Felis catus	cat
anus	tòn
Danish	Danmhairgis
Danish	Danmhairgeach
lexical	faclaireil
lexicographer	facladair
lexicography	faclaireachd
verbosity	briathrachas
talkative	briathrach
verbose	faclach
stòr	stòr-fhacal
Malay	Malaidheach
Malay	Malaidhis
absence	neo-làthaireachd
presence	làthaireachd
lack	easbhaidh
dearmad	dearmad-inntinne
neglect	dearmad
Finno-Ugric	Fionn-Ungaireach
Hungarian	Ungaireach
Hungarian	Ungairis
Ungaire	Ungair
coo	dèan dùrdail
coo	dùrdail
còmhla	còmhla ri
absolute	lethoireach
absolute alcohol	dearbh-alcol
absolute temperature	dearbh-theodhachd
temperature	teodhachd
dominant	ceannasach
complete	iomlan
weave	figh
weaver	figheadair
antler	cabar
moss	còinneach
rushes	luachair
a	a dheòin no a dh'aindeoin
consent	deòin
a dh’aindeoin	a dh'aindheoin
grammatical	dh'
when	cuin
when	nuair
an	an uair
bent	crom
visit	tadhal
visitor	neach-tadhail
bromide	bròimid
bromine	bròimin
inform	tairg comhairle do
advise	comhairlich
advise	thoir comhairle do
advice	comhairle
councillor	comhairliche
fòn	fòn-làimh
legend	uirsgeul
uirsgeul	ùirsgeul
story	sgeul
violent	ainneartach
violence	ainneart
an	an aghaidh
mu	mu choinneimh
corcan	corcan-coille
derivatives	corcan
corcan	corcan glas
voiceless	neo-ghuthach
voiced	guthach
gas	deatach
reul	reul na maidne
sa	sa mhadainn
harmony	co-cheòl
harmony	co-fhuaim
praise	moladh
ruction	ramaidh
cloud	sgòth
heaping	càrnadh
òrdag	òrdag mhòr
viola	ailt
goirmean	goirmean-searradh
resemblance	samhla
expensive	daor
agree	co-aontaich
agree	aontaich
agreement	aontachadh
freagair	freagair a chèile
answer	freagairt
le	le chèile
liked	còrd ri
agreement	còrdadh
sucker	faillean
heir	oighre
muir	muir-làn
spit	tilg smugaid
throw	tilgeil
feast	fèill
thoir	thoir ionnsaigh
crann	crann-deiridh
end	deireadh
deireadh	deireadh-seachdain
week	seachdain
air	air dheireadh
mu	mu dheireadh
last	deireannach
mu dheireadh	mu dheireadh thall
over there	thall
thall	thall thairis
a-null	a-null thairis
there	a-null
searching	rannsachadh
post	post-dealain
agility	sgiobaltachd
agile	sgiobalta
cheerfulness	sùrd
latha	latha-fèille
saor	saor-làithean
saor-làithean	làithean-saora
hunt	sealg
hunter	sealgair
tropical	tropaigeach
tropics	tropaigean
treasurer	ionmhasair
treasure	ionmhas
oesophagus	slugan
corridor	trannsa
shinty	camanachd
hellish	ifrinneach
hell	ifrinn
free	fuasgailte
telegram	teileagram
cable	càball
countenance	aogas
net	lìon
flow	lìonadh
ainm	ainm-chlàr
successful	soirbheachail
prosperity	soirbheachas
easy	furasta
occupational	ceàirde
ceàrd	cèard
industry	gnìomhachas
contraption	tionnsgain
crunch	cnag
click	cliog
wink	priob
wink	caog
wink	caogadh
pace	ceumnaich
graduation	ceumnachadh
step	ceum
facal	facal-suaicheantais
emblem	suaicheantas
ceann	ceann-sgrìobhadh
writing	sgrìobhadh
sabotage	sabotàis
faint	fannaich
terrier	abhag
dòrtadh	dòrtadh-fala
planning	dealbhadh
nevertheless	gidheadh
a dh’aindeoin	a dh'aindeoin chùis
a	a dh'aindeoin
sin	air a shon sin
heavenly	nèamhaidh
quasar	cuasar
report	aithisg
statement	ràdh
prophet	fiosaiche
eun	eun-druidh
charmer	druidh
 penetrate	drùidh
Magi	druidhean
prophecy	fàisnich
pine	giuthas
vision	sealladh
thank	thoir taing do
thanks	taing
hiding	falach
cuir	cuir am falach
rach	rach am falach
cloud	neulaich
nip in the bud	bac an tùs
obstacle	bacadh
beginning	tùs
bho	bho thùs
bho thùs	o thùs
compare	dèan coimeas air
breakwater	doirlinn-fasgaidh
isthmus	doirlinn
shelter	fasgadh
bulwark	bàbhan
eloquent	fileanta
enable	thoir comas do
enable	thoir cothrom do
Y Gododdin	Dùn Èideann
drive	spàrr
thrust	sparradh
cuir	cuir air adhart
air	air adhart
identity	ionannachd
equal	ionann
ionann	ionnan
identity	dearbh-aithne
knowing	aithneachadh
crew	sgioba
drown	bàth
elision	bàthadh
grocer	grosair
groceries	grosaireachd
bùth	bùth grosaireachd
surround	iadh
enclosure	iadhadh
change	atharrachadh
change	atharraich
disturbance	aimhreit
chagrin	miabhadh
strain	sàrachadh
liberal	libearalach
district	sgìre
excavation	cladhach
stùc	stùc-shread
peak	stùc
decide	cuir ro
decide	suidhich air
place	suidhich
setting	suidheachadh
old man	bodach
snow	sneachd
cuir	cuir an t-sneachda
sponsor	sponsairich
sin	peacadh
overcome	ceannsaich
conquest	ceannsachadh
extinguish	mùch
suffocation	mùchadh
tame	callaich
class	clas
drive	iomain
lèir	lèir-shealbhachd
acquire	sealbhaich
possession	sealbhachadh
clear	lèir
monopoly	aon-mhargadh
market	margadh
sgaradh	sgaradh-pòsaidh
separation	sgaradh
separate	sgar
leac	leac-sgrìobhadh
tittle	punc
fragment	bìdeag
meeting	coinneachadh
meet	coinnich
thrash	slac
thrashing	slacadh
parent	pàrant
explain	mìnich
explanation	mìneachadh
annotate	notaich
annotation	notachadh
fondle	beadraich
roam	rach air fàrsan
range	fàrsan
complaint	gearan
complain	dèan casaid
pronounce	fuaimnich
pronunciation	fuaimneachadh
safety	sàbhailteachd
safe	sàbhailte
save	sàbhail
savings	sàbhaladh
publish	foillsich
publication	foillseachadh
publisher	foillsichear
appear	nochd
mistake	mearachd
cooking	còcaireachd
cook	còcaire
shallow	tanalachd
domhainn	eu-domhainn
deep	domhainn
depth	doimhneachd
guarantee	urras
security	tèarainteachd
safe	tèarainte
gu	gu sònraichte
gu h-	gu h-àraidh
gu h-	gu h-àraid
special	àraidh
fortifying	daingneachadh
fortify	daingnich
conscious	mothachail
reul	reul-bhad
expel	fògair
exile	fògradh
leig mu sgaoil	leig mu sgaoil e
release	leig mu sgaoil
come	trobhad
come	trobhadaibh
envy	farmad
indefatigable	do-shàrachaidh
shoe	crudhaich
horseshoe	crudha
deur	deur nam breug
nam	deòir nam breugan
lie	breug
strìopach	strìopach sràide
sràid	sràide
cocoa	còco
bùth	bùth-gheall
promising	gealladh
losgann	losgann dubh
clach	clach-chopair
obstinate	dùr
inseparable	do-dhealachaidh
separation	dealachadh
ambiguous	dà-sheaghach
meaning	seagh
seaghach	seaghail
sensible	seaghach
consan	consan dùinte glotasach
mèinn	mèinn-ghuail
mèinne	mèinne-ghuail
glottal	glotasach
closed	dùinte
consonant	consan
consonant	connrag
naive	soineannta
naivety	soineanntachd
truss	crios-taice
belt	crios
truss	muillean
million	millean
hiatus	hiatas
alluvial	alùbhiach
yesterday	an-dè
garage	garaids
married	pòsta
data	dàta
broad	leathann
briogais	briogais-biob
bib	biob
apricot	apragod
late	fadalach
slow	màirnealach
air	air an làimh eile
teas	teas-mheidh
scales	meidh
exchangeable	co-mhalairteach
exchange	malairtich
commercial	malairteach
teip	teip steigeach
sticky	steigeach
magpie	pitheid
pigheann	pithean
pie	pigheann
despise	dèan dìmeas air
disrespect	dìmeas
lager	làgar
clòimh	clòimh-chat
Highlands	Gàidhealtachd
Gael	Gàidheal
highland	àrd-thìreach
highland	àrd-thìr
expectation	fiughair
look forward to	dèan fiughair ri
perhaps	theagamh
theagamh	a theagamh
gun	gun teagamh
doubt	cuir teagamh
essential	riatanach
main	prìomh
inalienable	do-dhealaichte
separate	dealaichte
burning	uile-losgadh
founder	neach-stèidheachaidh
institute	stèidheachadh
found	stèidhich
established	stèidhichte
predecessor	ro-theachdaire
messenger	teachdaire
generator	gineadair
coming	tighinn
prime number	prìomh-àireamh
number	àireamh
calculator	àireamhair
capital city	prìomh-bhaile
headlamp	prìomh-sholas
headquarters	prìomh-àros
dwelling	àros
coronach	corranach
stream	sruth
gardening	gàirnealaireachd
gardener	gàirnealair
pulpit	crannag
notch	beàrn
palace	lùchairt
program	prògram
fluid	glugan
gurgle	dèan glugan
student	oileanach
oilskin	oilisgin
leaving	fàgail
seasonable	amanta
conversation	còmhradh
police officer	earraid
presence	làthair
match	leithid
ever	riamh
rogue	slaightear
brute	brùid
grateful	taingeil
subject	cuspair
beard	feusag
haddock	adag
internet	eadar-lìon
Internet	Eadar-lìon
shoemaker	greusaiche
cyclist	rothaidhe
cycling	rothaidheachd
exceeding	anabarrach
opinion	barail
fold	cròilean
Lord's Prayer	Ùrnaigh an Tighearna
mill	muileann
desert	fàsach
cuibhrig	cuibhrig-cluasaig
hospital	ospadal
eight	ochdnar
numerical noun	ainmear àireamhach
eighty	ochdad
bound	sìnteag
widower	banntrach
widower	bantrach
caravan	carabhan
slender	seang
cause	adhbhar
exulting	aighearach
rare	ainneamh
accountant	cunntasair
nail	ionga
Iona	Ì
pudding	marag
haggis	taigeis
marag	marag dhubh
marag	marag gheal
fat	reamhar
cleverness	tapadh
frost	reòthadh
lionn	lionn-ubhal
raineach	raineach chruaidh
raineach	raineach Moire
raineach	raineach rìoghail
royal	rìoghail
trap	ribe
delicious	blasta
siege	sèist
besiege	dèan sèist air
contemporary	co-aois
contemporary	co-aoiseach
Halloween	Oidhche Shamhna
lick	ligh
singe	dòth
a'	-ich
a'	-aich
happen	tàrlaidh
needle	snàthad
interesting	inntinneach
venison	sitheann
meal	meal do naidheachd
meal	meal ur naidheachd
just now	an ceartuair
just now	an-dràsta
wax	cèir
cèir	cèir-chluaise
cèir	cèir-sheillean
cèir	cèir-sheulachaidh
need	feum
leap	leum
penny	sgillinn
syllable	lide
Estonia	Eastòinia
bàta	bàta-ràmh
boat	eathar
oar	ràmh
lapwing	curracag
room	rùm
rut	dàmhair
October	Dàmhair
broadcast	craol
broadcaster	craoladair
na	Bodach na Nollaige
shelf	sgeilp
complain	talaich
context	co-theacsa
text	teacsa
byre	bàthach
romantic	romansach
walk	coisich
Nis	Inbhir Nis
walker	coisiche
àite	àite-coise
àrainn	àrainn-choisichean
fruit	toradh
session	seisean
heifer	agh
fourth	ceathramh
four	ceathrar
hoof	ladhar
according to	a rèir
a rèir	a rèir coltais
middle	meadhan
appearance	coltas
a rèir	a rèir choltais
area	àrainn
body	colann
filled	lìonta
dependent	fhuair
video	bhidio
challenge	dùbhlan
tobacco	tombaca
saobh	saobh-chràbhadh
saobh	saobh-chràbhach
foolish	saobh
piety	cràbhadh
pious	cràbhach
sixty	seasgad
six	sianar
sixth	siathamh
stormy	stoirmeil
pupil	sgoilear
tax	cìs
tax	càin
ivy	eidheann
roinn	roinn tìde
time	tìde
time	tìm
neòinean	neòinean-grèine
third	trian
fast	aoine
definite article	Ògmhìos
May	Màigh
July	Iuchar
January	Faoilleach
February	Gearran
March	Màrt
April	Giblean
May	Cèitean
September	Sultain
December	Dùbhlachd
December	Dùdlachd
mac	mac-meanmna
imaginative	mac-meanmnach
make head or tail	dèan bun no bàrr
air	air neo
clock	gleoc
gleoc	gleoc àrd
low	ìseal
tro	tro-chèile
chess	tàileasg
chess	fidhcheall
draughts	dàmais
às	às-aithris
's	's math a rinn thu
always	daonnan
an	an còmhnaidh
dwelling	còmhnaidh
air	air leth
làmh	làmh-sgrìobhainn
script	sgrìobhainn
loneliness	aonaranachd
secret	dìomhair
runic	rùnach
secretary	rùnaire
mion	mion-rannsachadh
fear	fear mu seach
tè	tè mu seach
somebody	tè-eigin
story	sgeulachd
somebody	feareigin
some	feadhainn
past	seachad
lesbian	leasbach
come true	thig gu buil
complete	buileach
crow	feannag
cairt	cairt-iasaid
cairt	cairt-creideis
cairt	cairt-bhòrd
cairt	cairt-bidhe
cairt	cairt-chluiche
cairt	cairt-iùil
cairt	cairt-phuist
loan	iasad
gay	gèidh
gay	co-ghnèitheach
generic	gnèitheach
sigh	osna
three	triùir
thirty	trìthead
-teen	deug
twin	leth-aon
monastery	manachainn
monk	manach
dependent	gheibh
dependent	tèid
dependent	ruigidh
attainment	ruigsinn
importance	toirt
fear	fear-deasachaidh
preparation	deasachadh
muile	muile-mhàg
copy	copaidh
cairn	càrn
mark	comharraich
correct	cuir ceart
persuade	iompaich
bisexual	dà-ghnèitheach
transgender	tar-ghnèitheach
various	iol-ghnèitheach
some	-eigin
trans-	tar-
cross-	tair-
multi-	iol-
clothes	aodach
air	air choireigin
air	air choreigin
some	àiteigin
somebody	cuideigin
somebody	duin'-eigin
someday	lath'-eigin
something	rudeigin
rud	rud sam bith
sam	sam bith
sometime	uaireigin
sometimes	uaireannan
yew	iubhar
literature	litreachas
bun	bun-sgoil
àrd	àrd-sgoil
pan	aghann
bowl	bobhla
cuckoo	cuthag
costly	cosgail
rock	carraig
banrigh	banrìghinn
salt water	sàl
association	comann
eighth	ochdamh
ochd	ochd-shliosach
ochd	ochd-oisneach
angular	oiseanach
locked	glaiste
nach	nach maireann
durable	maireannach
giant	famhair
generation	ginealach
Dark Ages	Linntean Dorcha
Middle Ages	Linntean Meadhanach
middle	meadhanach
leave	falbh
today	an-diugh
western	siar
carbad	carbad-eiridinn
nursing	eiridinn
whistle	dèan fead
cease	leig seachad
humpbacked	crotach
gealach	gealach chrotach
firth	linne
eadar	eadar dà sgeul
twentieth	ficheadamh
air	air fhichead
meanbh	meanbh-chlàr
clàr	clàr cruaidh
clàr	clàr-inneal
clàr	clàr-iùil
female	bana-shearbhanta
servant	searbhanta
recycle	ath-chuairtich
surround	cuairtich
tonight	a-nochd
dance	dannsa
bullet	peilear
come across	thig tarsainn air
soap	siabann
nuair	nuair a thig air duine, thig air uile
threaten	maoidh
bully	maoidhear
às	dol-às
dà	dà dheug
dhà	dhà dheug
ten	deichnear
tenth	deicheamh
air	air chor 's gu
air	air a h-uile cor
air	air na h-uile cor
cor	cor-inntinn
football	ball-coise
a'	Bliadhna Ùr
na	Là na Bliadhna Ùire
na	Là na Bliadhn' Ùire
New Year's Day	Callainn
New Year's Eve	Oidhche Challainn
Dihaoine	Dihaoine na Càisge
Friday	Dihaoine
Monday	Diluain
Tuesday	Dimàirt
Wednesday	Diciadain
Thursday	Diardaoin
Saturday	Disathairne
Sunday	Didòmhnaich
Monday	Oidhche Luain
Wednesday	Oidhche Chiadain
Thursday	Oidhche Ardaoin
Friday	Oidhche Haoine
Saturday	Oidhche Shathairne
Sunday	Oidhche Dhòmhnaich
Pentecost	Caingis
Lent	Carghas
August	Lùnastal
Bealltainn	Là Bealltainn
Bealltainn	Là Buidhe Bealltainn
Nollaig	Oidhche Nollaig
Càisg	Càisg nan Iùdhach
an	Fèill an Taisbeanaidh
nan	Là nan Trì Rìghrean
appearance	taisbeanadh
Brìghde	Fèill Brìghde
Michaelmas	Fèill Mìcheil
Michael	Mìcheal
Màrtainn	Fèill Màrtainn
nan	Fèill nan Naoimh Uile
saint	naomh
Saint	Naomh
Pàdraig	Fèill Pàdraig
definite article	Giblinn
June	Ògmhios
definite article	Sultainn
definite article	Sultuin
definite article	Dàmhar
dozen	dusan
dà	dà dhusan dheug
thousandth	mìleamh
hundredth	ceudamh
millionth	milleanamh
billion	billean
billionth	billeanamh
fùdar	fùdar-gunna
pùdar	pùdar-gunna
powder	fùdar
cunning	seòlta
peat	fàd
supernatural	os-nàdarrach
super-	os-
natural	nàdarrach
nature	nàdar
execute	cuir an gnìomh
nine	naoinear
ninety	naochad
ninetieth	naochadamh
hammer	òrd
why	carson
ultraviolet	os-bhiolait
superhuman	os-daonna
human	daonna
humanist	daonnaire
humanism	daonnaireachd
superstate	os-stàit
state	stàit
cosmopolitan	os-nàiseanta
national	nàiseanta
international	eadarnàiseanta
nation	nàisean
nationalist	nàiseantach
nationalism	nàiseantachd
surreal	os-fhìreach
surrealism	os-fhìreachas
Sabbath	Sàbaid
midday	meadhan-là
midnight	meadhan-oidhche
listen	èist
stake	stob
seventy	seachdad
seventh	seachdamh
seven	seachdnar
seachd	seachd-shliosach
seachd	seachd-fillte
Pleiades	Seachd-Reultan
sudden	obann
gu h-	gu h-obann
cliath	cliath-theine
grating	cliath
cliath	cliath-bhogsa
hillside	leathad
herring	sgadan
engine	einnsean
engineer	einnseanair
engineering	einnseanaireachd
einnsean	einnsean-smàlaidh
einnsean	einnsean-smùide
snuff	smàil
review	lèirmheas
reviewer	lèirmheasaiche
cargo	carago
skipper	sgiobair
captain	caiptean
male	buidseach
witch	bana-bhuidseach
store	stòir
doze	dùsal
doze	dèan dùsal
urgent	faochnach
coward	cladhaire
cowardice	cladhaireachd
half-crown	leth-chrùn
crown	crùn
crowning	crùnadh
calm	fèath
fèath	fèath nan eun
cù	cù-eunaich
cù	cù-chaorach
five	còignear
one	aonar
fifth	còigeamh
infrared	fo-dhearg
sub-	fo-
purple	purpaidh
purple	purpar
liath	liath-phurpur
liath	liath-chòrcra
liath	liath-ghorm
purple	còrcair
eel	easgann
fecund	torrach
Liberal	Libearalach
liberal	pailt-làmhach
plentiful	pailt
abundance	pailteas
buffalo	buabhall
buabhall	buabhall Afragach
buabhall	buabhall Ceap
buabhall	buabhall uisge
bison	bìoson
bìoson	bìoson Ameireaganach
American	Ameireaganach
African	Afragach
cattle	crodh
Breton	Breatnach
mouse	luchag
fear-	fear-caitheamh
neach-	neach-caitheamh
tapadh	tapadh leat
tapadh	tapadh leibh
handy	tapaidh
boldness	tapachd
subordinate clause	fo-chlàs
clause	clàs
bylaw	fo-lagh
underground railway	fo-rèile
subtitle	fo-thiotal
title	tiotal
subconscious	fo-mhothachail
uisge	uisge beatha
worth	fiach
packet	pacaid
pound	punnd
degree	beann
wheel	roth
leabhar	leabhar-fiosrachaidh
information	fiosrachadh
informed	fiosrach
lus	lus dà bhliadhnail
biennial	dà bhliadhnail
annual	bliadhnail
large	tomadach
local	ionadail
place	ionad
authority	ùghdarras
frozen	reòta
freezer	reothadair
uisge	uisge-adhair
uisge	uisge-searbhaig
acid	searbhag
uisge	uisge-dhìonach
safe	dìonach
uisge	uisge-stiùireach
uisge	uisge-coisrigte
sacred	coisrigte
consecrate	coisrig
parrot	pearraid
galar	galar-pearraide
ionad	ionad-beachd
opinion	beachd
ionad	ionad-seallaidh
ionad	ionad-bhùthan
ionad	ionad-cleasachd
play	cleasachd
play	cleasaich
ionad	ionad-còmhnaidh
ionad	ionad-dìon nàdair
protection	dìon
ionad	ionad-fiosrachaidh
ionad	ionad-thaighean
ionad	ionad-spòrsa
sport	spòrs
ionad	ionad-slàinte
ionad	ionad-siubhail
ionad	ionad-obrach
ionad	ionad-gnìomhachais
doe	maoiseach
maoim	maoim-sneachda
panic	maoim
day after tomorrow	an-earar
tomorrow	a-màireach
day before yesterday	a bhòn-dè
year	a' bhòn-uiridh
last year	an-uiridh
am	am bliadhna
next	ath
last night	a-raoir
riochdair	riochdair roimhearach
prepositional	roimhearach
prepositional phrase	abairt roimhearach
hunting	fiadhach
people	muinntir
drunkenness	misg
crofter	croitear
teacher	muinear
teacher	muintear
quarter	cairteal
quart	seipinn
software	bathar-bog
hardware	bathar-cruaidh
membership	ballrachd
threshold	stairsneach
stair	staidhre
bheil	a bheil Beurla agad
bheil	a bheil Beurla agaibh
chan	chan eil Beurla agam
system	siostam
heating	teasachadh
heat	teasaich
professor	àrd-ollamh
doctor	dotair
take it easy	gabh socair
air	air do shocair
air	air ur socair
crucial	deatamach
university	oilthigh
iolairean	iolairean-buidhe
uinneag	uinneag mullaich
dusk	ciaradh
fever	fiabhras
drake	dràc
rowan	caorann
mion	mion-chànan
mion	mion-chànanan
returning	tilleadh
lean	lean air
saucer	sàsar
youth	òigridh
juvenile	òganta
youthful	ògail
lobster	giomach
bicycle	rothar dà-chuibhleach
tricycle	rothar trì-rothan
Spain	Spàinnt
mow	speal
crab	crùbag
Alba	Alba Nuadh
ainm	ainm-baistidh
ainmean	ainmean-baistidh
baptism	baisteadh
precious	prìseil
precious	luachmhor
bailtean	bailtean mòra
intermediary	eadar-mheadhanair
eadar	eadar-mheadhanairean
intermediate	eadar-mheadhanach
letheach-	letheach-slighe
half-	letheach-
foreigner	Gall
Norwegian	Nirribheach
daily	làitheil
holiday	saor-latha
archaeology	arc-eòlas
archaeology	àrsaidheachd
archaeologist	àrsair
raffle	rafail
anyway	co-dhiù
an	an siud
maybe	's mathaid
maybe	's dòcha
here and there	an siud 's an seo
here and there	thall 's a-bhos
math	math na bà
already	mar thà
there	an sin
temptation	buaireadh
again	a-rithist
disturb	buair
troublemaker	buaireadair
mar	mar seo
slow	slaodach
ecology	eag-eòlas
copy	lethbhreac
clàr	clàr-grèine
clàran	clàran-grèine
clàr	clàr grèine
neòineanan	neòineanan-grèine
crann	crann-gaoithe
fiabhras	fiabhras-ballach
fiabhrasan	fiabhrasan-ballach
spotted	ballach
brindled	riabhach
fiabhras	fiabhras-breac
now	a-nis
hard-working	dèanadach
rinse	sgol
uinneag	uinneag bàta
mar	mar sin
altogether	air fad
uinneag	uinneag cearcaill
ring	cearcall
circular	cearclach
uinneag	uinneag còmhlaidh
door	còmhladh
group	còmhlan
yearling	gamhainn
tent	pùball
cnò	cnò Fhrangach
walnut	gall-chnò
crann	crann ghall-chnò
north	Tuath
fetter	gèibhinn
clergyman	clèireach
clerical	clèireachail
Presbyterian	Clèireach
why not	carson nach
person	urra
each	an urra
ri	an urra ri
admit	aidich
certain	deimhinn
certainty	cinnt
definitive	deimhinnte
uinneag	uinneag chrochte
hung	crochte
hang	croch
uinneag	uinneag bhannach
hinged	bannach
uinneag	uinneag dà-ghlainne
double-glazed	dà-ghlainne
cool	fionnar
tribe	treubh
without	às aonais
lemon	liomaid
innleadair	innleadair-thogalach
innleadairean	innleadairean-thogalach
coma	coma-co-dhiù
impossible	do-dhèanta
done	dèanta
absurd	amaideach
folly	amaideachd
absurdity	amaideas
fiabhras	fiabhras-buidhe
expectant	dòchasach
hopeful	gealltanach
fiabhras	fiabhras-dearg
fiabhras	fiabhras-lòinidh
rheumatism	lòinidh
rheumatic fever	fiabhras-rheumatas
identical	ceudna
mar	mar an ceudna
assurance	gealltanas
fiabhras	fiabhras-feòir
fiabhras	fiabhras-clèibhe
pannier	cliabh
breast	broilleach
fiabhras	fiabhras-eanchainne
fiabhrasan	fiabhrasan-eanchainne
job	dreuchd
wage	tuarasdal
pay	pàigh
is	is tighe fuil na bùrn
thick	tiugh
dust	duslach
dust	stùr
dust	dustaig
dusty	dustach
joy	sogan
nickname	leas-ainm
rope	ròpa
merciful	tròcaireach
leis	leis an fhìrinn innse
choir	còisir
snooker	snucair
quern	brà
personate	riochdaich
melt	leagh
dear	ionmhuinn
swift	siùbhlach
neul	neul-sùla
meditate	meòraich
expert	ealantach
expert	ealanta
kelp	ceilp
às	às leth
deny	àicheidh
expressly	a dh'aon ghnothach
thorn	droigheann
thorny	droighneach
prickly	deilgneach
prickle	dealg
description	tuairisgeul
blossom	flùr
sample	sampall
sgillinn	sgillinn ruadh
sgillinnean	sgillinnean ruadha
ionad	ionad-àraich
upbringing	àrach
ionadan	ionadan-àraich
luath	luath no mall
blather	bleadraig
depend	bi an crochadh
mob	gràisg
vulgar	gràisgeil
vulgarity	gràisgealachd
ceannard	ceannard gràisge
leader	ceannard
bike	bàic
fuel	connadh
jersey	geansaidh
nonconformity	neo-aontachd
neo-	neo-aontachdan
chew	cnuasaich
lick	imlich
mud	clàbar
clang	gliong
shaggy	giobach
hey	hòigh
contract	cùmhnant
covered	còmhdaichte
power	cumhachd
powerful	cumhachdach
throne	rìgh-chathair
dòigh	dòigh-beatha
dòighean	dòighean-beatha
way	dòigh
ainm	ainm àite
creep	èalaidh
crime	eucoir
criminal	eucoireach
bicycle	baidhsagal
stable	stàball
ri	ri linn
drag	slaod
packsaddle	srathair
straw	sràbh
an	an ainm an àigh
discharge	cuir à dreuchd
liar	breugaire
liar	breugadair
liar	breugaiche
lying	breugach
mumble	brunndail
dummy	breugag
crumbs	sprùilleach
turf	fòid
fon	fon fhòid
use	dèan feum de
difficulty	staing
success	piseach
skerry	sgeir
light	sorcha
herb	luibh
botanical	luibheach
luibh	luibh-eòlaiche
luibh	luibh-eòlaichean
luibh	luibh-eòlas
fleet	cabhlach
Royal Navy	Cabhlach Rìoghail
Innseanach	Cuan Innseanach
Atlantic Ocean	Cuan Siar
North Sea	Cuan a Tuath
turas	turas-mara
tursan	tursan-mara
journey	turas
caisean	caisean-reòta
caiseanan	caiseanan-reòta
dewlap	caisean
feast	cuirm
cuirm	cuirm-chnuic
cuirmean	cuirmean-cnuic
cuirm	cuirm-chiùil
cuirmean	cuirmean-ciùil
enlighten	sorchaich
darken	dorchaich
Isle of Man	Manainn
stocking	stocainn
sock	socais
an	an iar
an	an ear
a	a tuath
scream	sgreuch
seach	seach-thìm
seach	seach-thìmean
pedal	casachan
àitean	àitean-coise
àiteachan	àiteachan-coise
dè	dè air thalamh
masculine	talmhainn
ditch	dìg
rush	deann
haste	cabhag
larch	learag
finger	corrag
deargan	deargan-fraoich
dearganan	dearganan-fraoich
red	deargan
lasair	lasair-choille
lasraichean	lasraichean-coille
flame	lasair
flashing	lasrach
bending	lùbach
bend	lùb
Ulster	Ulaidh
beckon	smèid
resource	goireas
convenient	goireasach
àrd	àrd claiginn
àrd	àrd mo chlaiginn
àrd	àrd do chlaiginn
àrd	àrd a chlaiginn
àrd	àrd a claiginn
àrd	àrd ur claiginn
àrd	àrd an claiginn
àrd	àrd ar claiginn
live on	thig suas air
live on	thig beò air
tomato	tomàto
greis	greis gnìomhachais
while	greis
cion	cion-meirbhidh
digestion	meirbheadh
digestive	meirbheach
bean	pònair
bròg	bròg-sheòmair
brògan	brògan-seòmair
bròg	bròg-dannsa
bròigean	bròigean-dannsa
brògan	brògan-dannsa
bròg	bròg-chleasachd
brògan	brògan-cleasachd
indigestion	dì-chnàmhadh
humour	àbhachd
humorous	àbhachdach
funny	èibhinn
stop	stailc
bonnach	bonnach-uighe
match	thig suas ri
suspicious	amharasach
doubt	amharas
confuse	cuir tro-chèile
toy	cluicheag
chanter	feadan
trouble	trioblaid
làmh	làmh-sgrìobhainnean
maiden	ainnir
debt	comain
àbhaisteach	ceistean àbhaisteach
FAQ	CÀBHA
following	leanmhainn
assiduous	leanmhainneach
lynx	lioncs
flirt	sùgair
eàrr	eàrr-sgrìobhadh
eàrr	eàrr-sgrìobhaidhean
tail	eàrr
le	le tuiteamas
event	tuiteamas
coincidence	co-thuiteamas
mention	iomradh
noisy	fuaimneach
noisy	faramach
noise	faram
ro	ro làimh
orange	orainds
orange	oraindsear
editor	deasaiche
luchd	luchd-deasachaidh
mu	mu seach
darkness	dubhar
umbrella	sgàilean
às	às a' cheud
somewhat	leth-char
badger	broc-lann
fox	brocair
fox	sionnachair
fox	brocaireachd
carcasse	marbhan
gealaichean	gealaichean crotach
briseadh	briseadh-dùil
brisidhean	brisidhean-dùil
disarm	dì-armaich
arm	armaich
an	an toiseach
chill	fuaraich
column	colbh
guth	guth fulangach
guthan	guthan fulangach
hardy	fulangach
teanas	teanas-bùird
tennis	teanas
principle	prionnsabal
ann am	ann am prionnsabal
wild boar	torc allaidh
wild boar	torc fiadhaich
wild	fiadhaich
demolish	dì-làraich
measurement	tomhas
loidhne	loidhne-àirde
loidhnichean	loidhnichean-àirde
loidhne	loidhne cho-àirde
loidhnichean	loidhnichean co-àirde
line	loidhne
apostrophe	asgair
gossiping	cèilidh
strong	daingeann
coordinate	co-chomharra
co	co-aoisean
co	co-chomharran
prehistoric	ro-eachdraidheil
pre-	ro-
historic	eachdraidheil
environment	àrainneachd
eàrr	eàrr-nota
eàrr	eàrr-notaichean
symmetrical	co-chothromach
balance	co-chothrom
co	co-chothroman
in	da-rìribh
math	math dha-rìribh
toothache	dèideadh
minister	ministear
simultaneous	co-amail
hitch	amaladh
lazy	leisgeadair
excuse	leisgeul
gabh	gabh mo leisgeul
lease	gabhail
writer	sgrìobhadair
clàr	clàr-amais
offence	oilbheum
offensive	oilbheumach
miann	miann gadachd
miannan	miannan gadachd
mianntan	mianntan gadachd
theft	gadachd
