father	اب
Mainland China	مهاچین
Mainland China	ماچین
چین	چین و ماچین
چین	چین و مهاچین
why	سیچه
shahanshah	شاهنشاه
alchemist	کیمیاگر
آب	آب زندگانی
Goethe	گوته
electronics	الکترونیک
dictator	دیکتاتور
road	ره
whistle	شافتک
cold	سردی
two-faced	دورو
dew	شونم
frying pan	توه
belly	اشکم
able	تنسن
اندیشه	پندار نیک، گفتار نیک، کردار نیک
garden	بوستان
شاخاب	شاخاب پارس
foolish	جاهل
Olympic Games	بازی‌های المپیک
fire temple	آذرآبادگان
thorn	تلو
nova	نواختر
supernova	ابرنواختر
astronomer	اخترمار
astronomer	ستاره‌شناس
knight	شوالیه
fie	شه
neighbour	همسده
house	خنه
one	یگ
abdominal	شکمی
rumen	شکمبه
P.S.	پ.ن
archives	آرشیو
clay	تفور
brainless	بی‌مغز
half	نیم
scratch	خرنج
mill	آسیو
roof	بون
last year	پار
leaf	بلگ
decrease	کاستن
rampart	بارو
wall	دیفال
return	وایشتن
return	واگشتن
be	بیدن
organ	ارغنون
West	مغرب‌زمین
afghani	افغانی
Abdorreza	عبدالرضا
به	به هم زدن
calligraphy	خوشنویسی
calligrapher	خوشنویس
Shikasta Nasta'liq	شکسته‌نستعلیق
cuneiform	میخی
dale	ماهور
Christianity	ترسایی
Farhan	فرهان
nail	نخون
bridegroom	دوما
attic	زیرشیروانی
Shapur	شاپور
muqarnas	مقرنس
windcatcher	بادگیر
polygon	چندضلعی
qanat	کاریز
idol	صنم
near	نزد
crosier	چوگان
حالت	حالت چطوره
ایستگاه	ایستگاه اتوبوس
imperialism	امپریالیسم
frog	قربک
shave	تراشتن
candidate	نومزاد
which	کمو
Artsakh	آرتساخ
Hootan	هوتن
glass	استکام
lock	قلف
kielbasa	کالواس
pick	کلنت
dictionary	واژه‌نامه
evident	مشهود
part	نصیب
not	نومد
geek	گیک
stranger	غریبه
latch	کلون
Arabic	واو
bilabial	ڤ
ناهید	زهره
Roman	رومی
pair of compasses	پرگار
mihrab	محراب
Jerusalem	بیت‌المقدس
Satanism	شیطان‌پرستی
oath	قسم
edible	خوردنی
after	پس از
hammam	گرمابه
do you need help	کمک می‌خوای
quince	بهی
attachment	پیوست
agent provocateur	پرووکاتور
agent provocateur	آژان پرووکاتور
citron	بادرنگ
Freemasonry	فراموشخانه
Freemasonry	فراماسونری
lodge	لژ
so-called	کذایی
walking stick	چوبدست
Canaan	کنعان
Marzieh	مرضیه
camelopard	شترگاوپلنگ
join	پیوستن
اتفاق	اتفاق افتادن
رخ	رخ دادن
روی	روی دادن
event	رخداد
quarter	سه‌ماهه
قالیچه	قالیچه پرنده
lord	شهریار
resemble	مانستن
coarse	زمخت
tiny	هیچ
annihilated	نیست
Asperger's syndrome	نشانگان آسپرگر
راه	راه ابریشم
baboon	عنتر
Big Mac	بیگ مک
lightning	صاعقه
giraffe	زرناپا
measure	کیله
Talmud	تلمود
skilled	ماهر
پسین	پسین‌فردا
پس	پس پریروز
پسین	پسین‌فرداشب
pendulum	آونگ
hail	تگرگ
think	اندیشیدن
statue	تندیس
platter	دیس
tughra	طغرا
paiza	پایزه
victorious	پیروز
از	از یک سو
از	از یک طرف
on the other hand	از طرف دیگر
shh	هیس
independence	استقلال
از	از بیخ عرب بودن
nanny	دادا
royal	خسروانی
stamina	طاقت
cup	پیاله
ammonium chloride	نشادر
Meghdad	مقداد
archer	کماندار
holy	مقدس
muqarnas	آهوپای
interview	مصاحبه
each other	یکدیگر
استفهام	استفهام انکاری
Zahedi	زاهدی
echo	پژواک
reflection	انعکاس
each other	همدیگر
subject	فاعل
چه	چه کسی
permanent	ماندگار
merchant	بازرگان
precipice	پرتگاه
holy	سپنتا
merchandise	بازرگانی
disconnect	دیسکانکت
Najafi	نجفی
illusion	توهم
Shahram	شهرام
Atrianfar	عطریانفر
Rudabeh	رودابه
albino	زال
Tirdad	تیرداد
twins	جوزا
Ancient Rome	روم
accusation	اتهام
arrogant	غره
تعارف	تعارف کردن
everything	همه‌چیز
ta'arof	تعارف
whisper	نجوا
قابل	قابل ندارد
وظیفه	وظیفه‌ام بود
duty	وظیفه
gusan	گوسان
قابل	قابل نداره
قدم	قدمت روی چشم
قدم	قدمت رو چشم
قربان	قربانت بروم
ت	قربونت برم
ت	قربونت
ت	قربانت بشوم
فدا	فدایت بشوم
فدا	فدات
verse	آیه
lizard	سوسمارخور
goodbye	خداحافظ
goodbye	خدافظ
goodbye	به سلامت
Mahdi	مهدی
barzakh	برزخ
century	سده
Canopus	سهیل
Soheyla	سهیلا
day	ایام
thistle	کنگر
اتراق	اتراق کردن
laying over	اتراق
standard	متعارف
متحیر	متحیر کردن
سجاوندی	نشانه سجاوندی
guillemet	گیومه
faculty	دانشکده
фалон	فلان
so-and-so	بهمان
farsang	فرسنگ
amber	کهربا
childhood	بچگی
love letter	عشاق‌نامه
bahariyye	بهاریه
poetic	شاعرانه
ineloquent	غیرفصیح
راجع	راجع به
diminutive	ممد
dispersion	پراکندگی
حسب	حسب حال
حسب	حسب‌حال
given name	کامی
nonsense	شر و ور
Roozbeh	روزبه
breeze	نسیم
Ashkan	اشکان
Mahnoosh	مهنوش
eternal	جاوید
Azimi	عظیمی
Bargoshad	برگشاد
Golnaz	گلناز
Esfandiari	اسفندیاری
flower	شکوفه
prosperous	برخوردار
open	گشادن
Damavand	دماوند
statement	اظهار
امرار معاش	امرار معاش کردن
Sharifi	شریفی
Boroujerdi	بروجردی
order	ترتیب
کلیک	کلیک کردن
به	به تازگی
Fereydun	فریدون
qasida	مطلع
qasida	مقطع
Farrokhzad	فرخزاد
pattern	الگو
به	به کار بردن
country	دیار
virgin	بکر
Herati	هراتی
تکرار	تکرار کردن
tomorrow night	فرداشب
Asadollah	اسدالله
province	ولایت
Mortazavi	مرتضوی
به	به خودی خود
temporary	موقت
envelope	لفاف
discourse	گفتمان
Ahura Mazda	هرمز
هرمز	تنگه هرمز
again	یکبار دیگر
قرض	قرض دادن
دنبال	دنبال ... بودن
Shi'ite	شیعی
vagueness	ابهام
Larijani	لاریجانی
carpet	قالیباف
Karbaschi	کرباسچی
silver	سیمین
Rezayi	رضایی
Yousefi	یوسفی
pastry	کاک
Salehi	صالحی
darugha	داروغه
Jamshid	جمشید
جام	جام جمشید
جام	جام جم
بته	بته جغه
بته	بته‌جقه
بته	بته جقه
سرو	سرو خمیده
observatory	رصدخانه
caravanserai	تیمچه
chapter	فرگرد
Armenia	ارمن
Frank	فرنگ
France	فرنگستان
plain	هامون
Kaveh	کاوه
Mahyar	مهیار
Mani	مانی
Mehran	مهران
Mehrdad	مهرداد
pious	پارسا
joyous	پدرام
Pejman	پژمان
Sahand	سهند
Suren	سورن
Arman	آرمان
rare	نادر
if you please	اگر لطف کنید
میل	میل داشتن
researcher	پژوهشگر
hardworking	سخت‌کوش
active	پرتکاپو
genetics	ژنتیک
dry lake	کویر
chinar	چنار
president	رئیس‌جمهور
taekwondo	تکواندو
کشتی	کشتی فرنگی
کشتی	کشتی گرفتن
fennel	بادیان
دل	دل به دریا زدن
bath	آبزن
appearance	ظاهر
قهوه	قهوه ترک
form	شکل دادن
شکل	شکل گرفتن
oral sex	سکس دهانی
بد	بد آمدن
golden	مزخرف
technique	فن
barracks	سربازخانه
bullshit	کسشعر
hospice	خسته‌خانه
lavatory	دستشویی
inconvenience	زحمت
ruba'i	رباعی
taqiyya	تقیه
انسان	انسان کامل
martyrdom	شهادت
paternal aunt	عمه
شوهر	شوهرخاله
دفن	دفن کردن
انجام	انجام دادن
دنبال	دنبال ... گشتن
santur	سنتور
setar	سه‌تار
tanbur	تنبور
tombak	تنبک
Keyghobad	کی‌قباد
англис	انگلیس
English	انگلیس‌ها
منتظر	منتظر ... بودن
Ajam	عجم
excellence	شگرفی
once	یکبار
Quranic	قرآنی
خود	خود را گول زدن
به	به زبان آوردن
به	به یاد آوردن
سعی	سعی کردن
Abbasid	عباسی
Davani	دوانی
Shahriari	شهریاری
flame	گر
otherwise	وگرنه
long live	زنده باد
right now	هم‌اکنون
use	کاربرد
دارا	دارا بودن
object	تکیه‌گاه
base	پایه
foundation	مبنا
horrible	وحشتناک
چیست	منظورت چیست
what's	چیست
به	به نظر آمدن
shovel	پارو
rare	نایاب
expensive	گرون
relatively	نسبتا
such as	چنان
Sufism	تصوف
these	این‌ها
همکاری	همکاری کردن
twist	پیچیدن
به	به جای
starling	سار
fall asleep	خواب بردن
هر	هر دو
renewal	تجدید
understandable	قابل‌فهم
unofficial	غیررسمی
duality	دویی
neither	هیچ‌کدام
enumerate	برشمردن
در	در هر حال
toe	انگشت پا
anatomy	کالبدشناسی
rest	استراحت کردن
place	مکان
Danube	دانوب
سوراخ	سوراخ بینی
Nowruz	نوروزی
nightfall	شبانگاه
Behrangi	بهرنگی
Behrang	بهرنگ
sing	سرودن
composer	سراینده
pay attention	توجه کردن
خواهش	خواهش کردن
یقین	یقین داشتن
pity	حیف
چمباتمه	چمباتمه زدن
Azami	اعظمی
پس	پس‌فرداشب
پس	پسفردا
the night before last	پریشب
Iran	ایرانشهر
Kazakh	قزاق
resident	مقیم
idiot	خرفت
convoy	قافله
arrest	بازداشت
world	جهانگیر
Jahangiri	جهانگیری
vernal	بهاری
embassy	سفارتخانه
مربوط	مربوط به آینده
ineffective	بیهوده
صدمه	صدمه دیده
drowned	غرق
belief	عقیده
maharaja	مهاراجه
bulbul	شباهنگ
شرح	شرح دادن
Uzbek	ازبکی
Rajasthani	راجستانی
Afghanistan	ولسوالی
Bengal	بنگال
musical	آهنگین
Gujarati	گجراتی
تمییز	تمییز دادن
جلو	شیشه جلو
Taha	طاها
گاه‌شماری	گاه‌شماری هجری خورشیدی
Achaemenian	هخامنشی
Achaemenes	هخامنش
Sassanian	ساسانی
ZWNJ	برای اینکه
problem	مسئله
alkali	قلیا
commoner	رعیت
Tehrangeles	تهرانجلس
stumble	سکندر
Arash	آرش
Nariman	نریمان
Mahsa	مهسا
hatchet	تیشه
Diwali	دوالی
unmarried	مجرد
never	هیچ‌گاه
charming	فریبا
firewood	هیزم
farm	مزرعه
blizzard	بوران
elixir	اکسیر
alchemy	کیمیا
rare	کمیاب
justification	توجیه
handsome	خوش‌تیپ
dead	رفتگان
amount	مقدار
Qizilbash	قزلباش
heat	گرما
row	سطر
Leila	لیلا
Komeil	کمیل
garden	پردیس
Hamid	حمید
drawing	خاتم
assassin	آدمکش
جوش	جوش دادن
Parivash	پریوش
Kazem	کاظم
آزمایش	آزمایش واحد
cookie	کلوچه
Gorgan	گرگان
لحیم	لحیم کردن
cultural relativism	نسبی‌گرایی فرهنگی
moral	اخلاقی
anthropology	انسان‌شناسی
anthropologist	انسان‌شناس
انسان‌شناسی	انسان‌شناسی فرهنگی
then	آنگاه
suddenly	ناگهان
suddenly	یکدفعه
suddenly	یهو
تکان	تکان خوردن
still	کماکان
harmony	هماهنگی
lasso	کمند
fare	کرایه
درجه	درجه حرارت
transportation	ترابری
حمل	حمل و نقل
striving	تکاپو
coloring	رنگ‌آمیزی
دین	دین زرتشتی
thought	پندار
act	کردار
possibly	احیاناً
repetition	تکرار
Shahnama	زواره
Pleiades	پروین
execution	اعدام
اعدام	اعدام کردن
yak	غژگاو
that's that	والسلام
allusion	کنایه
promotion	ترفیع
جنوبی	کره جنوبی
شمالی	کره شمالی
breakable	شکستنی
disloyalty	جفا
I miss you	دلم برات تنگ شده
beauty	قشنگی
در	در رفتن
escape	فرار کردن
unintelligible	غیرقابل‌فهم
breakable	شکننده
Pouyan	پویان
Abraham	پرهام
Farzad	فرزاد
Fareed	فرید
Pouria	پوریا
Behrouz	بهروز
Behnam	بهنام
Behnaz	بهناز
Behdad	بهداد
Salimi	سلیمی
Behzad	بهزاد
Behrad	بهراد
Samir	سمیر
Samira	سمیرا
translate	برگرداندن
set square	گونیا
ترجیح	ترجیح دادن
nostalgia	نوستالژی
از	از دل برود هر آنکه از دیده برفت
از	از دل نرود هر آنکه از دیده برفت
hoopoe	شانه‌بسر
hoopoe	پوپک
ford	گدار
Murghab	مرغاب
drunk	نشئه
Qarmatian	قرمطی
senile	خرف
lapis lazuli	لاجورد
soporific	خواب‌آور
disturbed	آشفته
nest	آشیانه
darkness	تیرگی
compassionate	دلسوز
heartbreaking	دل‌شکن
lovely	دلفریب
guarded	مصون
hold	نگه داشتن
iris	زنبق
faithful	ایمان‌دار
faithless	بی‌ایمان
vulgar	عامیانه
film	فیلمی
taste	طعم
mare	مادیان
Yalda	یلدا
prayer beads	تسبیح
attachment	ضمیمه
hump	غوز
loan	قرض
suitcase	جامه‌دان
خاموش	خاموش کردن
separation	هجران
sick	دردمند
vessel	چایدان
تک‌زنگ	تک‌زنگ زدن
déjà vu	دژاوو
curved	خمیده
blue-gray	کبود
Mehmanparast	مهمان‌پرست
auspicious	بختیار
wishful	خواستار
propensity	رغبت
wishful	آرزومند
regex	ریجکس
unspeakable	ناگفتنی
یواش	یواش یواش
cord	زیگ
horoscope	زایچه
torn	پاره
rhyton	تکوک
backgammon	نردشیر
backgammon	تخته نرد
damn	لعنتی
celery	کرفس
diminutive	ویه
number	تعداد
good	نکونام
non-oil	غیرنفتی
increase	افزایش
main	عمده
entered	وارد
fog	نزم
bead	مهره
garment	قبا
armour	زره
grass	واش
for	واس
treasurer	گنجور
locomotive	لوکوموتیو
attractive	جذاب
Mojtaba	مجتبی
woolen	پشمین
shiver	لرزیدن
thick	کلفت
Yassa	یاسا
goldsmith	زرگر
swallow	بلعیدن
correction	تصحیح
urethra	میزراه
aqua fortis	تیزاب
uninterrupted	بی‌وقفه
priority	اولویت
قمپز	قمپز درکردن
Ahmad	احمد
Tafazzoli	تفضلی
Shahbazi	شهبازی
Zarrinkoub	زرین‌کوب
crawl	خزیدن
curviness	خمیدگی
Zanganeh	زنگنه
Hojjati	حجتی
Vaezi	واعظی
Hashemi	هاشمی
subtle	ظریف
Mohammad-Javad	محمدجواد
Bijan	بیژن
Gilani	گیلانی
real	حقیقی
Saatchi	ساعتچی
Taghvaei	تقوایی
Ansari	انصاری
Sadeghi	صادقی
Veisi	ویسی
configuration	پیکربندی
situation	وضعیت
خط	خط کرسی
admiral	دریاسالار
doctor	حکیم
future	آینده
public	عموم
Haddadi	حدادی
necessarily	لزوماً
commission	کمیسیون
popular	پرطرفدار
mother	ننه
natural gas	گاز طبیعی
CNG	سی‌ان‌جی
dog rose	نسرین
career	حرفه
spread	گستردن
flax	زغر
Syriac	سریانی
lord	خدیو
Nur	الیکا
trust	اطمینان
Amanpour	امان‌پور
Khaje Amiri	خواجه‌امیری
Sina	سینا
Mitra	میترا
Solomon	سلیمان
Stalin	استالین
Rafsanjani	رفسنجانی
crown	افسر
effort	تلاش
member	عضو
plaintiff	عارض
beggar	کشکول
linden	زیزفون
stuff	مایه
hut	کازه
house	کاشانه
Zandi	زندی
تقیه	تقیه کردن
cuddly	ملوس
grapevine	تاک
silent	بی‌صدا
state	حالت
Morteza	مرتضی
brash	گستاخ
spear	نیزه
qurut	ترف
شیطان	شیطان بزرگ
Sabeti	ثابتی
Majid	مجید
Samii	سمیعی
desire	یاسه
Daniel	دانیال
sea	یم
spin	تنیدن
Gotarzes	گودرز
jeans	لی
Omidyar	امیدیار
Afrasiab	افراسیاب
receptive	نیوشا
wig	کلاه‌گیس
doorway	درگاه
sleeve	آستین
tunic	کرته
shirt	پیراهن
sipahsalar	سپهسالار
commander	سردار
vault	طاق
glass	کاش
furniture	مبلمان
cause	علت
enemy	خصم
pond	تالاب
Khazaee	خزاعی
teal	خوتکا
storm	کولاک
recognition	شناسایی
tool	ابزار
amargar	آمارگر
mill	آسیاب
emperor	فغفور
host	میزبان
فوت	فوت کردن
disgusting	گست
red	آل
Samadi	صمدی
sling	فلاخن
moon	مانگ
disk	کلیچه
pure	ناب
diadem	دیهیم
sin	بزه
heap	کپه
fast	فرز
slave	برده
sneeze	اشنوسه
heap	توده
Ghasem	قاسم
Soleimani	سلیمانی
grey	توسی
gutter	ناودان
sinful	عاصی
sleep	خفتن
advice	پند
calm	آهسته
slide	سریدن
carnation	قرنفل
sand	ماسه
description	تشریح
king	تاجور
Armenian	تکفور
Alborz	البرز
nitrous earth	شوره
neck	جید
asteroid	سیارک
event	حادثه
ibex	پازن
investigation	رسیدگی
wide	پهن
Crimea	کریمه
cartridge	فشنگ
think	پنداشتن
renewed	مجدد
confirmation	تایید
porcupine	تشی
leaving	ترک ترک
hurry	عجله
riot	هرج
confines	مرج
camomile	بابونه
thin	تنک
lightning	آذرخش
Jew	جهود
food	آهار
open	فاش
hall	دالان
noble	ازناور
warrior	ارتشتار
warrior	جنگاور
toast	برشتن
grilled	بریان
roll	غلتیدن
shake	جنبیدن
scratch	خراشیدن
must	بایست
strength	قوت
talk	مکالمه
yogurt	چغرات
conformity	تطابق
hill	تمب
high	برزکوه
جولای	جولای
mummy	مومیایی
sphere	حوزه
strut	خرامیدن
buried	مدفون
honour	افتخار
spin	رشتن
swell	آماسیدن
rot	پوسیدن
wither	پژمردن
knead	سرشتن
reap	درویدن
Merila	مریلا
Melika	ملیکا
wound	خستن
throne	افرنگ
lightning	ابرنجک
destroying	تخریب
surrogate	جایگزین
feast	ضیافت
reparation	مرمت
opening	گشایش
dear	گرامی
mass	انبوه
development	توسعه
guardian	رقیب
thus	بنابراین
volume	حجم
patient	شکیفتن
scatter	پراکندن
soak	آغشتن
opponent	مقاوم
draw	نگاشتن
promotion	ارتقا
run	تاختن
praise	ستودن
importance	اهمیت
rough	خشن
heat	تافتن
put	نهادن
new	نوین
dill	شوید
almond	لوز
realm	قلمرو
guarantee	تضمین
distribution	توزیع
arrange	ویراستن
pen box	قلمدان
analyst	تحلیلگر
sailor	ملوان
history	تاریخچه
alder	توسکا
good	نغز
glass	استکان
leave	هشتن
hot	تفسیدن
polearm	ناچخ
smell	انبوییدن
listen	نیوشیدن
happy	شادمان
hedgehog	ژوژ
forgive	بخشودن
hope	پیوسیدن
wipe	ستردن
remove	زدودن
rob	ربودن
strong	ستبر
sneeze	شنوشه
cave	اشکفت
stumble	سکرفیدن
jump	سکیزه
jump	سکیزیدن
recognize	بازشناختن
Ohio	اوهایو
unaware	فرناس
sweet	نوشین
ambrosia	نوش
elixir	نوش‌دارو
wish	کامستن
endure	تاوستن
seem	سهستن
twist	پیختن
conquer	وانستن
convert	گرویدن
examine	پژوهیدن
time	اوان
time	آوام
Manije	منیژه
Karen	کارن
grow	وخشیدن
sufficient	بسنده
beaming	بامی
Bamshad	بامشاد
Farnoud	فرنود
Fariyan	فریان
Farinam	فرینام
Flora	فلورا
Roza	رزا
Helen	هلن
Nina	نینا
Bita	بیتا
Hojir	هژیر
bark	توژ
kill	اوژنیدن
omni-	ویسپ
gigolo	ژیگولو
dandy	ژیگول
coal	زغال
غسل	غسل کردن
Conley	کونلی
capsule	کپسول
lung	ریه
capillary	مویرگ
lively	سرزنده
sickle	داس
rage	اشتلم
Farshad	فرشاد
Mehri	مهری
floating	شناور
merchant	کاسب
business	کاسبی
thalassemia	تالاسمی
Semnan	سمنان
commander	فرمانده
director	کارگردان
media	رسانه
lord	ارباب
battle	پیکار
full	مملو
magazine	خشاب
pharmacist	داروساز
pharmaceutics	داروسازی
fan	پنکه
bedsheet	ملافه
punishment	تنبیه
polio	پولیو
poliomyelitis	فلج اطفال
paralysis	فلج
verdict	قضاوت
tsar	تزار
foundation	پای‌بست
faithful	پایبند
fetter	پابند
steel	پولادی
Tahmooressi	طهمورثی
Badakhshan	بدخشان
mad	شیدا
hopeful	بزرگ‌امید
amount	قدر
Genghis Khan	چنگیز
mattress	تشک
Aydin	آیدین
ruby	یاکند
body	کالبد
David	دیوید
Davood	داوود
Mackenzie	مکنزی
Benyamin	بنیامین
stone	سنگک
onion	سوخ
Merv	مروزی
boycott	بایکوت
nourish	مار در آستین پروراندن
maulana	مولانا
element	عنصر
tuition	شهریه
bow	آرشه
Mahnaz	مهناز
depressed	افسرده
robab	رباب
warning	هشدار
sky	فلک
revenge	انتقام
badger	گورکن
citizen	شهروند
citizenship	شهروندی
guidance	ارشاد
fall	سقوط
resistance	مقاومت
cello	ویولنسل
conflict	کشمکش
Parisa	پریسا
caravanner	ساربان
mathematician	ریاضی‌دان
curettage	کورتاژ
ZWNJ	حرام‌زاده
Mirzakhani	میرزاخانی
tremor	لرزش
stairs	پلکان
gift	داشن
roulette	رولت
salad	الویه
rhyme	قافیه
lump	قلمبه
heap	کومه
نیاز	نیاز داشتن
complete	کمپلت
breath	رمق
defect	عیب
noble	ایر
equipped	مجهز
love	دلبر
approach	رویکرد
resurrection	بعث
culture	کولتور
engineer	انجنیر
whirlpool	گرداب
Jila	ژیلا
tumult	همهمه
anthem	سرود
سفره	سفره‌خانه
hostage	گروگان
Persian calendar	سنبله
ZWNJ	گروگان‌گیر
ZWNJ	گروگان‌گیری
prohibited	ممنوع
rumour	شایعه
تاپه	تاپه
centimetre	سانتی‌متر
fuel	سوخت
married	متاهل
express	سریع‌السیر
dust	غبار
smile	تبسم
weakness	ضعف
همه	همه‌پرسی
referendum	رفراندوم
رأی	رأی‌دهنده
opinion poll	نظرسنجی
candy floss	پشمک
hazelnut	پندک
market	مارکت
boot	بوت
crisps	چیپس
breech	ازار
spit	گردنا
slowly	گاماس
white	الوس
ISIS	داعش
piece	لزگه
poison	شرنگ
hog	کاس
enamored	آلفته
ZWNJ	سینه‌بند
ZWNJ	پستان‌بند
dummy	پستانک
dog	اسبه
gnaw	خاییدن
leap	آلیختن
hook	آکج
stupid	کانا
decrepit	کودن
monster	هیولا
tyrant	ساستا
ZWNJ	نخست‌وزیر
ZWNJ	موافقت‌نامه
ZWNJ	زن‌ستیزی
forearm bone	زند
bury	نگندن
Reyhaneh	ریحانه
whirlwind	گردباد
beehive	کندو
salvation	نجات
worry	دغدغه
remain	پایستن
sugarcane	پانید
ZWNJ	روح‌الله
ZWNJ	ذره‌بین
ZWNJ	سرطان‌زا
Siyavash	سیاوش
Fariyane	فریانه
Farimah	فریماه
Aylin	آیلین
besmear	اندودن
حل	حل کردن
coming	آتی
receiving	تلقی
position	موقعیت
demand	اقتضا کردن
friction	اصطکاک
hasty	عجول
reliable	موثق
effective	مؤثر
halter	مهار
مناقشه	مناقشه کردن
dare	یارستن
pack animal	ستور
hidden	نیان
forward	فرارون
brave	نیو
joke	لاغ
اشتباه	اشتباه لپی
exigency	اقتضا
middle part	بحبوحه
boast	لاف
bunch	سپریغ
grape	غژب
rug	تنبسه
Afshin	افشین
Iraj	ایرج
shine	رخشیدن
goblin	کخ
fishing rod	نشپیل
shabby	شفک
turtle	باخه
August	آگست
anvil	سندان
rudder	سکان
shoal	سنار
because of	وسناد
entertainer	خنیاگر
music	خنیا
ice	هسر
Fatimah	فاطمه
ZWNJ	برف‌روب
ZWNJ	شهرک‌سازی
town	شهرک
انتقاد	انتقاد کردن
Kazhal	کژال
waistcoat	جلیقه
festival	جشنواره
front	جبهه
coin	سکه
whip	تازیانه
peach	شفتالو
creator	کروگر
ZWNJ	مجسمه‌ساز
sculpture	مجسمه
ZWNJ	مجسمه‌سازی
neighbourhood	محله
continuation	ادامه
ZWNJ	موسیقی‌دان
piano	پیانو
ZWNJ	دروازه‌بان
gate	دروازه
ZWNJ	آتش‌نشانی
ZWNJ	آتش‌نشان
pan	تیان
cauldron	لوید
murdered	مقتول
سر	سربند
Sarbandi	سربندی
ZWNJ	پیاده‌رو
dastgah	شهناز
Jabbari	جباری
petrol station	پمپ بنزین
sense	حس
bud	غنچه
ZWNJ	دست‌فروش
ballet	رقص باله
ballet	باله
ZWNJ	خانه‌دار
oesophagus	مری
Silas	سیلاس
mallow	ورتاج
seedling	خوید
fracture	شکستگی
fighter jet	جنگنده
salted	نمک‌سود
pond	شمر
اسید	اسیدپاشی
shy	خجالتی
shyness	خجالت
جواهر	جواهرفروش
جواهر	جواهرفروشی
jewel	جواهر
jewellery	جواهرات
jeweller's	جواهری
holiday	بین التعطیلین
chequebook	دسته چک
symphony	سمفونی
chord	آکورد
کوک	کوک کردن
donkey	خرک
constipation	یبوست
عزا	عزادار
mourning	عزا
زنجیر	زنجیرزنی
نوار	نواربهداشتی
hygienic	بهداشتی
hygiene	بهداشت
tampon	تامپون
bleeding	خونریزی
like	لایک
گرگ	گرگ‌ومیش
گرگ	گرگ ومیش
wheat flour	میده
suspect	مظنون
пойгаҳ	پایگاه
ginger	شنگویر
humanitarianism	بشردوستی
humanitarian	بشردوست
nuclear power station	نیروگاه هسته‌ای
ZWNJ	هسته‌ای
ray	پرتو
radioactive	پرتوزا
circle	مندل
recommendation	توصیه
ZWNJ	سیاه‌چال
jelly	لرزانک
Philip	فیلیپ
Behbahani	بهبهانی
ZWNJ	ماشین لباس‌شویی
dear	فری
suicide	انتحار
ZWNJ	بمب‌گذار انتحاری
ZWNJ	بمب‌گذار
suicidal	انتحاری
solitary	جداگانه
ovum	تخمک
ZWNJ	تخمک‌گذاری
asthma	آسم
bladder	مثانه
diabetes	دیابت
tinnitus	وزوز گوش
infection	عفونت
prostate	پروستات
diabetes	بیماری قند
ZWNJ	بیماری‌زا
strawberry	چیالک
kindness	ملاطفت
haemorrhoids	بواسیر
battlefield	آوردگاه
sweet	گوگولی مگولی
amalgamation	ادغام
dispute	مشاجره
corn	جواری
otherwise	اندی
ZWNJ	وب‌سایت
site	سایت
web hosting	میزبانی وب
Patrick	پاتریک
slavery	بردگی
attack	حمله
deafness	کری
ZWNJ	ضرب‌الاجل
explosion	انفجار
explosive	انفجاری
Joseph	یوسف
driver	راننده
salt cellar	نمکدان
بانک	بانکدار
Mazyar	مازیار
ZWNJ	آنتی‌ژن
cell	سلول
Charles	چارلز
حمله	حمله انتحاری
sauce	سس
boob	ممه
that ship has sailed	اون ممه رو لولو برد
here	ایدر
because	ایرا
Ghodsieh 	قدسیه
ZWNJ	ماهی‌تابه
complicated	سهل ممتنع
Ashton	اشتون
ZWNJ	کافی‌نت
F	فا
solfège	سلفژ
matron	بی‌بی
issuance	صدور
down	فرود
active	فعال
cor anglais	کر آنگله
breeches	تنبان
tablet	تبلت
Manuchehr	منوچهر
yogi	جوگی
ZWNJ	فیروزه‌ای
reconstruction	بازسازی
پیکار	پیکارجو
split pea	لپه
دی	دی‌ان‌ای
hepatitis	هپاتیت
پناه	پناهجو
acceptance	پذیرش
dialysis	دیالیز
cookie	کوکی
Abdollah	عبدالله
ZWNJ	کتاب‌فروش
ZWNJ	ماهی‌فروش
ZWNJ	عمده‌فروش
ZWNJ	میوه‌فروش
elder	دادمه
ZWNJ	شیرینی‌فروش
old man	زرمان
shaving brush	فرچه
copy	پچین
گل	گلخانه
operating system	سیستم عامل
Ebola	ابولا
ZWNJ	گاز گلخانه‌ای
ZWNJ	اثر گلخانه‌ای
pregnancy	بارداری
pregnancy	حاملگی
ZWNJ	اسپرم‌کش
gonorrhoea	سوزاک
اچ	اچ‌آی‌وی
chlamydia	کلامیدیا
syphilis	سیفلیس
gonorrhoea	گنوره
paper handkerchief	دستمال کاغذی
hepatitis B	هپاتیت ب
hepatitis C	هپاتیت سی
viral hepatitis	هپاتیت ویروسی
WHO	سازمان بهداشت جهانی
malaria	مالاریا
ZWNJ	پشه‌بند
Champions League	لیگ قهرمانان
stadium	ورزشگاه
سی	سی‌آی‌ای
atomic energy	انرژی اتمی
mechanical energy	انرژی مکانیکی
kinetic energy	انرژی جنبشی
stockings	ساپورت
underwear	لباس زیر
abattoir	کشتارگاه
ZWNJ	قدرت‌الله
animation	انیمیشن
ZWNJ	یخ‌زده
best-selling	پرفروش
شاهنامه	شاهنامه آخرش خوشه
IAEA	آژانس بین‌المللی انرژی اتمی
West Bank	کرانه باختری
unrest	ناآرامی
Ottoman	عثمانی
ZWNJ	حزب‌الله
ZWNJ	حزب‌الله لبنان
