one	on
redeem	redemtar
flywheel	flugroto
cellophane	celofano
hide	celotrovo
stage	ceneyo
scenic	cenala
celibate	celibino
bachelor	celibulo
cessation	cesigo
discontinue	cesigar
ceruse	ceruzo
cerumen	cerumeno
hundredth	centesma
conglomeration	konglomerateso
prudence	prudenteso
prudent	prudenta
corruption	koruptajo
integrity	integreso
decoration	dekoreso
decoration	dekoruro
crossroads	krucovoyi
chastity	chasteso
chaste	chasta
psychosis	psikozo
personality	personeso
painful	penigiva
dolorous	doloroza
pension	pensionar
penance	penitencar
persist	persistar
persistence	persistemeso
perpetuity	perpetueso
perturbation	perturbeso
pemmican	pemikano
persuade	persuadar
pervert	perversigar
necropolis	nekropolo
cursor	kursoro
detail	detalo
temper	humoro
asthma	astmo
tuning fork	diapazono
diagnosis	diagnozo
eczema	ekzemo
grotesque	groteska
idioblast	idioblasto
scratch	skrachar
fox	foxo
canary	kanario
antibiotic	antibiotiko
pronunciation	pronunco
storm	sturmar
betray	trahizar
autocracy	autokrateso
wobble	balotear
ferry	paromo
encrust	inkrustar
bactericide	bakteriocidivo
cohort	kohorto
demagnetize	desmagnetigar
county	komtio
sheet	eskoto
shake	shanceligar
oligarchy	oligarkio
chamberlain	chambelano
snow	nivar
rain	pluvar
corrode	korodar
anxious	anxiar
padlock	padloko
azure	azurea
summarise	rezumar
palliative	paliativa
Muhammad	Muhamad
-ion	-es-
sulfite	sulfito
doubt	dubitar
name	nomar
artichoke	artichoko
mobilization	mobilizo
tweet	twitar
share	aciono
plutonic	plutonala
brutalist	brutalisto
original	originala
polyandrous	poliandra
polyandry	poliandro
brooch	brocho
immoral	debochar
rickets	rakito
goodwill	bonvolo
protagonist	protagonisto
possess	posedar
possession	posedo
cantonment	akantoneyo
time	posdineo
dinner	posdinea
purslane	portulako
biomass	biomaso
assembly	asemblajo
aspirator	aspiratoro
patient	pacienta
impatient	nepacienta
patience	pacienteso
impatience	nepacienteso
agitated	agitesar
jerk	sukuso
commotion	sukusado
shake	sukusar
indifferent	indiferenta
indifference	indiferenteso
siesta	siesto
sleep	siestar
afternoon	posdimezo
midday	dimezo
midday	jornomezo
vespiary	vespeyo
bathing	balneyo
undertaker	sepultisto
undertaker	funeristo
funeral	funero
funeral	funerala
bind	kartonobindar
bind	bindar
happiness	feliceso
unhappiness	desfeliceso
nursery	arboreyo
deforest	desarborizar
frugiferous	fruktifanta
mustard	mustarduyo
planetarium	planetaro
bravery	braveso
courageousness	kurajeso
brave	bravajo
braggart	bravacho
crumbling	krulo
erection	erekto
erectile	erektebla
erect	erektar
erected	erektita
crumble	krular
mess	gamelo
mess room	gameleyo
silver	arjentomoneto
silver	arjento
silver	arjenta
argentine	arjentea
argentiferous	arjentoza
snowy	nivala
snowy	nivoza
snowy	nivatra
snowball	nivobulo
numerical	nombrala
housekeeping	menajar
housekeeping	menajo
after-	pos-
potential	potencialo
frequency	frequeso
frequent	frequa
heather	eriko
illusionist	iluzionisto
illusion	iluzionar
intercession	interceso
intercede	intercesar
poor	povro
impoverish	povrigar
impoverish	povreskar
enrich	richigar
enrichment	richigo
rich	richeskar
enrichment	richesko
wealthy	richego
wealthy	richega
wealth	richeso
poor	desricha
luxury	luxala
luxurious	luxoza
luxuriously	luxoze
trireme	triremo
utricle	utrikulo
powerful	povoza
fidelity	fideleso
positivist	pozitivisto
positivism	pozitivismo
poltroonery	poltroneso
cowardice	poltronajo
ham	poplito
polymathy	polimatio
pollination	polenizo
pollenize	polenizar
doorman	pordisto
thumb	polexo
polonaise	polonezo
median value	mezavalora
podagra	podagro
chiragra	kiragro
polyandry	poliandreso
exhaustion	exhausteso
exhaust	exhaustar
exhausting	exhaustanta
polyurethane	poliuretanala
dubitable	dubitebla
undoubtable	nedubitebla
dubitative	dubitema
blameworthy	blaminda
blame	blamo
reprimand	reprimando
reprimand	remonstro
remonstrate	remonstrar
reprimand	reprimandar
berate	reprimandegar
undoubtedly	nedubiteble
dubitably	dubiteble
doubtworthy	dubitinda
impersonal	nepersonala
build	nestifar
neuter	neutralo
practitioner	praktikisto
hardship	privaco
deprive	privacar
foresee	previdar
prophase	profazo
burnish	brunisar
go	preirar
prognosticate	prognozar
protandry	protandra
itch	pruritar
pronate	pronacar
pronate	pronar
patchouli	pachulio
pallid	palega
go	parirar
apathetic	apatioza
spade	spadagar
spume	spumifar
spontaneity	spontaneso
spool	spular
mate	spozeskar
sprout	sproso
sprout	sprosifar
slobber	bavo
bib	bavotuko
drool	bavar
dribble	bavajo
bur	bavuro
expectorate	expektorar
sedum	sedumo
saddle	selizar
unsaddle	desselizar
garnish	garniso
furniture	furniso
contractor	furnisanto
furnish	furnisar
provide	provizar
revocation	revoko
polish	poliso
garnish	garnisar
containing	konteno
content	kontenajo
indicate	-ajo
revoke	revokar
tricolor	trikolora
extremity	extremajo
extremeness	extremeso
examination	exameno
examine	examenar
examinee	examenato
subsume	subsumar
subdivision	subdividuro
suffer	sufrar
suffusion	sufuziono
furrow	sulkizar
furrow	sulko
subrogate	subrogar
subreption	subrepto
obtain	subreptar
sweeten	sukrizar
sweetened	sukrizita
concerned	suciar
careful	suciema
colored	sucinea
suffragan	sufragano
steep	trempar
mongoose	mangusto
standpoint	judiko
judge	judikar
judge	judikero
calumniation	kalumnio
falsely	kalumniar
torn	lacerita
rip	laceruro
larch	larico
spear	lancagar
leucine	leucino
leucite	leucito
leucoplast	leukoplasto
beneficiary	legacario
bequeath	legacar
lipothymia	lipotimio
lipoma	lipomo
lychee	lichio
phoneme	fonemo
indecision	nedecideso
decisiveness	decideso
indecision	nedecidemeso
decisiveness	decidemeso
decisive	decidema
indecisive	nedecidema
decisive	decidiva
indecisive	nedecidiva
prebendary	prebendiero
prebend	prebendo
diabase	diabaso
diadepesis	diapedezo
translucence	translucideso
diatonic	diatonika
diffraction	difrakto
dioptre	dioptro
diaspora	diasporo
diorite	diorito
dioxide	dioxido
dioxin	dioxino
modem	modemo
molybdenum	molibdo
morel	morelo
morphosis	morfoso
tomorrow	morgematine
morning	matine
morganatic	morganatika
mortadella	mortadelo
Motacilla	motacilo
morphogenesis	morfogenezo
morphogen	morfogeno
morphogenic	morfogena
morphoplasm	morfoplasmo
squash	kukurbito
marshy	marshoza
marshy	marshatra
nature	-atra
isoclinal	izoklina
isocline	izoklino
isotopic	izotopa
isochronous	izokrona
isogamous	izogama
isogonal	izogona
isomeric	izomera
isomorphic	izomorfa
isomorph	izomorfo
isotonic	izotonika
aeroscope	aeroskopo
alidade	alidado
alopecia	alopecio
amaurosis	amauroso
several	pluri
ford	vadeyo
honeycomb	vabo
wail	vajisar
foolish	dessaja
chromatic	kromatika
tan	tano
ebonite	ebonito
imperfect	neperfekta
defectless	sendefekta
exine	exino
characteristic	karakteristiko
characteristic	karakteriziva
distinctive	distingiva
characteristic	karakterizivo
trait	traito
distinctness	distingeso
do	riagar
reanimate	rianimar
revive	rivivigar
vivify	vivigar
wealth	richajo
redcurrant	ribiero
recycle	riciklar
heroic	heroala
heroic	heroatra
contemptible	desestiminda
estimable	estiminda
speed	rapideso
precipitate	precipitajo
lancer	lanciero
guava	guyavo
vulcanize	vulkanizar
gooseberry	grozelo
roar	grondar
grimace	grimaso
grimace	grimasar
squeak	grinco
make	grincar
burlesquely	burleske
slaughterhouse	bucherio
establishment	-erio
butcher	buchar
slaughterhouse	bucheyo
soapbark	quilayo
residue	reziduo
rubble	eskombro
light	lumoradio
light	lumizar
footwear	pedovesto
roost	percheyo
condensation	kondenso
condensation	kondensado
condensation	kondenseso
thinker	pensero
peccary	pekario
pelagic	pelagika
pellagra	pelagro
peristyle	peristilo
peritonitis	peritonito
periwinkle	pervinko
peroxidase	peroxidazo
pyrogallol	pirogalo
disinfectant	desinfektiva
infectious	infektiva
disinfectant	desinfektivo
pylon	pilono
picador	pikadoro
pierid	pierido
pyrosis	piroso
elision	eliziono
elide	elizionar
elide	elizionesar
smallness	mikreso
baldness	kalveso
bald	kalveskar
hardness	hardeso
stubborn	obstinema
stubbornness	obstinemeso
attainment	atingo
nauseating	nauzeigiva
repugnant	repugnanta
offensive	ofensanta
offend	ofensar
respectability	respektindeso
azure	azuro
azure	azura
crusader	krucomilitanto
bleed	sangifar
burgeon	burjonifar
germinate	jermifar
sweat	sudorifar
hoard	trezorifar
spawn	frayifar
spawn	frayo
impregnate	fekundigar
impregnation	fekundigo
igar	-igo
fecund	fekunda
fecundity	fekundeso
excuse	exkuzo
excusable	exkuzebla
apologize	exkuzar
fulfill	exaucar
exegesis	exegezo
explain	exegezar
extortion	extorso
extort	extorsar
displace	diplasar
take	deprenar
issue	exutorio
suppuration	pusifo
generate	-ifo
suppurate	pusifar
extrovert	extraverto
introvert	introverto
extrinsic	extrinseka
intrinsic	intrinseka
extrajudicial	exterjudicia
extravagant	exterlimita
exudation	exuduro
occlusion	klozo
occlusion	klozeso
unclose	desklozar
enclose	cirkumklozar
about	cirkum
closed	klozita
open	apertita
disposable	disponebla
diagnose	diagnozar
sick ward	maladeyo
unwell	maladeta
sickish	maladatra
patient	malado
patient	maladulo
patient	maladino
sick	maladesar
sick	maladigar
sicken	maladeskar
hollyhock	malvarozo
macronucleus	makronukleo
megaspore	makrosporo
megaspore	megasporo
microspore	mikrosporo
macrogamete	makrogameto
microgamet	mikrogameto
hemoglobin	hemoglobino
albuminoid	albuminoido
alembic	alambiko
allantoid	alantoido
disquieting	desquietiganta
worry	desquietigar
disquiet	desquieta
tranquility	quieteso
distrust	desfidar
trust	fidar
mistrust	desfidemeso
mistrustful	desfidema
unfaithfulness	desfideleso
conclusion	konkluzo
conclusive	konkluziva
conclude	konkluzar
precociousness	prekoceso
anticipated	anticipita
iambic	iambala
firstly	unesme
overture	uverturo
gross	kuntara
tittle-tattle	babilo
salvation	salveso
tortoise	tortugo
male	elefantulo
fantastic	fantastika
tired	fatigita
famous	famoza
boron	borono
thrush	turdo
Afghan	Afgano
colonist	koloniano
leek	porelo
poultice	kataplasmo
commodore	komodoro
risky	riskoza
stand up	staceskar
pass	pasigar
sit down	sideskar
axis	axo
miracle	mirakla
circum-	cirkum-
stone	stonagar
chisel	cizelagar
hook	angelagar
unclasp	desagrafagar
unmoor	desamaragar
moor	amaragar
dynamite	dinamitagar
button	butonagar
bridle	bridagar
lock	klefagar
bizarre	bizara
material	materio
hamster	hamstro
begin	-eskar
cordage	kordagaro
fall in love	ameskar
grow up	adulteskar
friendly	amikeskar
sight	apareskar
surprised	astoneskar
astonish	astonar
depressed	depreseskar
press	depresar
sober up	desebrieskar
fall asleep	dormeskar
get drunk	parebrieskar
empty	vakueskar
evaporate	vaporeskar
absent	absenteskar
sharpen	akuteskar
fall behind	tardeskar
grow	grandeskar
lessen	mikreskar
make	-igar
decadence	dekadeskar
emboldened	audaceskar
dare	audacar
become	timeskar
indemnity	indemno
miscarry	abortigar
abstract	abstraktigar
adhere	adherigar
adjust	adjustigar
match	ajustigar
tune	akordigar
in tune	akordar
update	aktualigar
sharpen	akutigar
alter	altrigar
heap up	amasigar
amplify	ampligar
wind	anheligar
suitable	aptigar
embolden	audacigar
audacity	audaco
ballast	balastizar
cement	cementizar
polish	cirajizar
electrify	elektrizar
etherize	eterizar
enamel	emaliizar
survey	expertizar
halt	haltigar
harness	harnesizar
daytime	jorneskar
gladden	joyigar
joyful	joyar
dress	jupizar
cause	obediigar
dress	vestizar
oil	untizar
unify	unigar
immune	imunigar
accent	acentizar
address	adresizar
air	aerizar
hook	agrafagar
accrue	amaseskar
quay	ankayeskar
anchor	ankro-agar
animate	anmizar
soul	anmo
endow	apanajizar
prosthesis	aparatizar
water	aquizar
reinforce	armaturizar
arm	armizar
aromatize	aromatizar
asphalt	asfaltizar
guarantee	avalizar
empty	vakuigar
rouse	vekigar
wake	vekar
cup	ventuzagar
verify	verigar
show	vidigar
see	vidar
vitrify	vitrigar
embellish	beleskar
white	blankeskar
blue	blueskar
tan	bruneskar
dearer	chereskar
stinky	fetideskar
dear	chera
weaken	debileskar
insane	dementeskar
harder	desfacileskar
soften	deshardeskar
harden	hardeskar
out of practice	deskustumeskar
accustomed	kustumeskar
slacken	laxeskar
black	nigreskar
hate	odieskar
old	oldeskar
industrialize	industrieskar
industrialize	industriizar
childish	infanteskar
lose one's temper	iraceskar
freshen	fresheskar
fossilize	fosileskar
fossil	fosila
build	faceskar
easier	facileskar
collapse	febleskar
fly	flugeskar
console	konsolo
slim down	dineskar
domesticate	domestikeskar
domesticated	domestika
bubble	ebulieskar
bubble	ebuliar
come into play	efikeskar
effectual	efikar
chapped	ekzemeskar
make one's bed	enliteskar
ecstasy	extazeskar
come into existence	existeskar
ecstasy	extazar
ecstasy	extazo
feel	emoceskar
familiar	familiareskar
tender	friableskar
tire	fatigeskar
trot	troteskar
humble	humileskar
gain	haveskar
dampen	humideskar
home	hemeskar
become	gaseskar
lighten	gayeskar
dazzle	dazlar
freeze	glacieskar
level	glateskar
clump	glebeskar
pregnant	gravideskar
clot	grumeleskar
shine	lumar
calm	kalmeskar
calm	kalmigar
capitalize	kapitaleskar
crimson	karmezineskar
cartilage	kartilageskar
cartilage	kartilago
bend	kurveskar
cold	koldeskar
effect	efekto
encircle	encirkligar
key	klefo
porthole	lumotruo
luminous	lumoza
shorten	kurteskar
embolden	kurajeskar
courageous	kurajar
crust	krusteskar
chronicle	kronikigar
chronicle	kroniko
inveterate	kronikeskar
come in contact	kontakteskar
contact	kontaktigar
acquainted	konoceskar
make known	konocigar
concave	konkaveskar
concave	konkavigar
disconcert	konfuzigar
fluster	konfuzeskar
conform	konformeskar
conform	konformigar
complete	kompleteskar
add	kompletigar
hither	cisa
devote	devotigar
undress	desvestizar
low	basigar
breach	brecho
compass	busolo
illustrate	imajizar
implode	implozar
collapse	implozigar
implosion	implozo
tax	impostizar
inflate	intumecigar
swell	intumecar
cense	incensagar
rouse	indignigar
conspire	intrigizar
heel	talono
draw out	trodurigar
reef	refagar
decide	rezolvigar
pucker	rugeskar
begin	rupteskar
sweat	sudoro
penance	penitenco
puzzle	enigmato
someday	uldie
produce	ozonigar
ossify	ostigar
designate	titulizar
stripe	striizar
sign	signizar
sign of the cross	krucosignizar
sign of the cross	krucosigno
lengthen	longeskar
free	libereskar
butter	butrizar
widen	larjeskar
harden	lauteskar
uglify	ledeskar
uglify	ledigar
lighten	lejereskar
lighten	lejerigar
slow down	lentigar
speed up	rapidigar
speed up	rapideskar
slow down	lenteskar
freckle	lentigineskar
freckle	lentigino
clear up	limpideskar
line up	lineeskar
lodge	lojeskar
widen	larjigar
freckle	lentiginigar
line up	lineigar
line	lineizar
harbour	lojigar
lengthen	longigar
curl	lokligar
wilt	langorigar
slacken	laxigar
list	listigar
punch	lakunizar
cover	lidizar
liniment	linimentagar
move	lokomocigar
cheapen	chipigar
foal	kavalyuno
radioactive	radioaktiva
facilitate	faciligar
zigzag	zigzagar
weigh anchor	desankragar
unbuckle	desbuklagar
buckle	buklagar
destroy	desfreshigar
freshen	freshigar
deflower	desvirgigar
ungird	deszonizar
girdle	zonizar
disarm	desarmizar
disappear	desaparigar
boot	botizar
remove	desbutonizar
cover	butonizar
unbutton	desbutonagar
dehumanize	deshumanigar
soften	deshardigar
harden	hardigar
unharness	desharnesizar
disinherit	desheredigar
harness	harneso
orphan	orfanigar
orphaned	orfaneskar
invalidate	desvalidigar
cool	desvarmigar
unveil	desvelizar
veil	velizar
upset	desequilibrigar
equilibrate	equilibrigar
thaw	desfrostigar
despair	desesperigar
give	esperigar
freeze	frostigar
difficult	desfaciligar
grieve	chagrenigar
grieve	chagrenar
certify	certigar
circulate	cirkuligar
blind	blindigar
trot	trotigar
attenuate	tenuigar
pietist	pietisto
braid	tresigar
intimidate	timidigar
tan	tanagar
torment	tenaliagar
sword	espadagar
harpoon	harpunagar
padlock	padlokagar
scissor	cizagar
cudgel	bastonagar
hoe	hauagar
garden	bineto
hoe	hauo
peck	bekagar
bicycle	biciklagar
unlock	desklefagar
unscrew	desskrubagar
drill	drilagar
fence	fencagar
fence	fenco
fly	flagagar
boil	boliigar
boil	boliar
amuse	amuzar
car	automobilo
vehicle	veturo
apply	aplikar
beautify	beligar
prop	apogar
look	aspektar
attain	atingar
welcomed	bonvenar
branch	brancho
depend	dependar
lady	damzelo
depart	departar
half	duima
make	diskursar
distract	distraktar
diminish	diminutar
deposit	depozar
destroy	destruktar
direct	direktar
disperse	difuzar
guide	guidar
exceed	ecesar
excess	eceso
foreign	exterlando
excite	ecitar
extend	extensar
educate	edukar
efficient	efikiva
explain	explikar
regard	egardo
pay	egardar
characterize	distingar
infect	infektar
staircase	eskalero
grief	chagreno
presence	koram
revenue	revenuo
bone	desostizar
glove	gantizar
unglove	desgantizar
roughen	desglatigar
gap	brechizar
bronze	bronzizar
embalm	embalmar
bandage	bandajizar
bankrupt	bankrotigar
go bankrupt	bankrotar
rock	baskuligar
salt	salizar
hammer	martelagar
freeze	frostar
refrigerate	frigorizar
cold	koldigar
isolate	izolar
translate	tradukar
convert	konvertar
invert	inversigar
execute	exekutar
collect	kolektar
be	sanesar
conjugate	konjugar
testamentary	testamentala
codicil	kodicilo
sultanate	sultanio
orphanage	orfanerio
bitter	bitra
bitter	bitrigar
intellect	intelekto
polish	briligar
murmur	bruisigar
noise	bruisar
unchain	deskatenizar
enchain	katenizar
handcuff	manoto
chain	kateno
triumph	triumfo
material	materiala
scrap	peceto
sandy	sabloza
leaven	hefo
defraud	fraudar
cash desk	kaso
swindle	fraudado
trick	fraudetar
joy	joyo
judge	judiciar
nuance	nuanco
once	unfoye
joyful	joyema
excel	ecelar
delighted	joyanta
merry	joyala
fructify	fruktifar
ashamed	shamar
equerry	kavalkero
equestrianism	kavalko
chase	chasar
covet	deziregar
exhaust	fatigegar
cram	klemegar
cram	instruktegar
laugh	ridegar
wolf down	glutegar
swallow	glutar
devour	manjegar
snow	nivegar
hold	tenegar
trounce	bategar
toil	laboregar
stride	pazegar
overpowering	somnolegar
drowsy	somnolar
praise	laudegar
vituperate	blamegar
splurge	spensegar
dumbfound	surprizegar
spend	spensar
triumph	triumfar
abundant	abundegar
gasp	anhelegar
drench	arozegar
astound	astonegar
wet	arozar
scream	kriegar
mess up	kulpegar
at fault	kulpar
daring	kurajegar
flatten	presegar
press	presar
run	kuregar
cry one's eyes out	ploregar
sugary	sukra
fraudster	fraudero
strike	shokar
shoulder	shultro
bang	intershokar
stagger	shancelar
shovel	shovelagar
shovel	shovelo
swab	swabragar
swab	swabro
fraternal	fratala
fraternal	fratatra
again	itere
be	indijar
indolent	indolentigar
industrialize	industriigar
infiltrate	infiltrigar
ink	inkizar
anywhere	irgaloke
diversify	diversigar
scatter	divergigar
hurt	dolorigar
pain	dolorar
dose	dozigar
dose	dozo
make	durigar
intoxicate	ebriigar
bubble	ebuliigar
equalize	egaligar
regarding	egardanta
respect	egardigar
dead drunk	parebriigar
intoxication	parebrieso
drink	parebriesar
lock up	enceluligar
mix	mixar
cistern	aquuyo
inkwell	inkuyo
boot	bagajuyo
ashtray	cindruyo
haybarn	fenuyo
violin	violinuyo
gas tank	gasuyo
purse	monetuyo
salt	saluyo
beehive	abeluyo
tub	balnuyo
tureen	supuyo
sugar bowl	sukruyo
cigar box	sigaruyo
case	etuyo
infusion	infuzuyo
infuser	infuzilo
championship	championeso
champion	championo
championship	championokonkurso
chestnut	kastano
candelabrum	kandelabro
dethrone	destronizar
splint	lashizar
befoul	desnetigar
monetize	monetigar
demonetize	desmonetigar
unfurnish	desmoblizar
piece of furniture	moblo
household goods	moblaro
furnished	moblizita
furniture	moblala
furnish	moblizar
dismast	desmastizar
desalinate	dessalizar
pliant	desrigidigar
depilate	despilizar
unpack	despakigar
palm tree	palmiero
bedroom	chambreto
box	buxeto
cart	charo
cart	chareto
chive	ciboleto
tipsy	ebrieta
tipsiness	ebrieteso
glide	glitar
slip	glitetar
slip	gliteto
glide	glito
nose	nazego
operetta	opereto
organelle	organeto
minutia	detaleto
blind drunk	ebriega
drunkenness	ebrieso
heady	ebriigiva
time	foyo
slide	glitigar
miniskirt	jupeto
as though	quaze
quasi-	quaza
immediately	quik
unite	unionar
disunite	desunionar
urgent	urjar
urgent	urjanta
usurp	uzurpar
angry	iracar
thunder	tondrar
result	rezultar
meal	repastar
reside	rezidar
strip	nudeskar
snow	niveskar
swimming	nateskar
range pole	baliseto
ball	baloneto
ball	balono
error	eroreto
prick	empaletar
mistake	eroro
yelp	aboyetar
anger	iracigar
rile	despitigar
displace	desplasizar
place	plaso
pluck	desplumizar
feather	plumizar
featherbed	plumolito
popular	popularigar
unpopular	despopularigar
fountain pen	fontenoplumo
penholder	plumiero
featherlike	plumatra
popular	populareskar
unpopular	despopulara
depopulate	despopulizar
populate	populizar
dispossess	desposedigar
popularity	populareso
dismember	deskorpizar
discourage	deskurajigar
courage	kurajigar
courageous	kuraja
crown	kronizar
scour	deskrasizar
particle	graneto
tip	gratifiketo
droplet	guteto
fart	flatuigar
sleet	greleto
mattock	haueto
home	hemeto
watch	horlojeto
Strix aluco	hueto
watch	horlojo
hawk owl	sparvierohuo
hermetic	hermetikigar
hermetic	hermetika
harrow	hersagar
harrow	herso
slight	insulteto
insult	insultetar
hut	kabaneto
cabin	kabano
cabin	kabineto
cabin	kabino
lune	luneto
gleam	lumeto
lorgnette	lorneto
putter	laboretar
small	langeto
berth	liteto
berth	trenoliteto
berth	navoliteto
berth	kabinetolito
leak	liketar
shuttle	naveto
cruise ship	exkursonavo
excursion	exkurso
til	til rivido
reseeing	rivido
point of view	vidpunto
animalcule	animaleto
animal	animala
animal	animalala
animal	animalaro
moisten	arozetar
bottle	enboteligar
stairs	eskalereto
collect	enkasigar
put	enkuvertigar
include	enlistigar
take	enmanuigar
curette	kureto
known	diskonocigar
mistake	miskonocar
tooth	denteto
detail	detaligar
decide	decidigar
determined	decidoza
decision	decidoze
devil	diableto
breakfast	dejuneto
boil up	bolietar
burn	bruletar
mouth	boketo
strengthen	fermigar
baste	fibulizar
flag	flageto
puddle	flaketo
flow	flueto
smell	flarigar
gable	frontoneto
stain	fuliginagar
start	funcionigar
stuff	furizar
murmur	grunetar
grant	grantar
scratch	gratigar
stepfather	stifa patro
bedside table	litotableto
cadastre	kadastro
canapé	kanapeo
ball	globeto
clod	glebo
grunt	gruno
gas	gasagar
gasify	gasigar
gas	gasizar
girth	gurtizar
girth	gurtagar
gratinate	gratinizar
mix	enmixigar
list	katalogigar
categorize	kategoriizar
cardboard	kartonizar
catheterize	kateterizar
catheter	katetero
bobtail	kaudeto
caudal	kaudala
cause	kauzigar
cause	kauzo
causal	kauzala
booklet	kayereto
draft	kladigar
add	klauzizar
article	klauzo
chlorinate	klorizar
classify	klasigar
student	klasano
whip	knutagar
knout	knuto
qualify	kompetenteskar
competency	kompetenteso
continue	kontinuigar
continue	kontinuar
shrink	kontrakteskar
rope	kordigar
knife	kulteleto
corpse	korpeskar
covered	kovreskar
apply	kramponizar
minor	krimineto
collapse	kruligar
apply	kulisizar
err	kulpetar
chalice	kupeto
try	kurajetar
lollop	kuretar
italicize	kursivigar
envelope	kuvertigar
envelope	kuverto
cause	klozigar
complicated	komplexigar
plot	kolumnizar
type	klavagar
cupel	kupelagar
confuse	mixigar
windowpane	vitrokarelo
vitreous	vitratra
womanhood	muliereso
woman	muliereskar
perfume	moskizar
musk	mosko
champion	maestrigar
mast	mastizar
move	movar
material	materioza
material	materiajo
working	materiaro
malleus	marteleto
warship	militonavo
spot	makuleto
teat	mameto
handle	mancheto
daisy	margriteto
mix	mixeskar
migraine	migrenigar
migraine	migreno
blender	mixilo
intermingle	intermixar
cause	sufrigar
crease	sulketo
brown	sunobrunigar
toy spaniel	spanieleto
screw	skrubagar
screw	skrubo
seem	sembligar
constellation	stelaro
rebel	revoltar
loudness	lauteso
stool	tabureto
satirical	satirema
breezy	brizoza
torture	tormentar
carmine	karmino
carmine	karminea
windy	ventoza
torrentially	torentatre
combinable	kombinebla
beige	beja
bolide	bolido
ambivalent	ambivalenta
leaflet	folieto
foreign	stranjera
tease	vexetar
vesicle	veziketo
table	tableto
wedge	taketo
carpet	tapiseto
bracket	traverseto
jogtrot	trotetar
radicle	radiketo
meal	repasteto
smile	ridetar
rinse	rinsetar
rinse	rinsar
gnaw	rodetar
kid	puereto
bow	arketo
wing	aleto
cabinet	armoreto
pretty	beleta
doze	dormetar
book	verketo
viol	violineto
breeze	sufleto
pebble	stoneto
curl	lokleto
cool	koldeta
trip	marchetar
banter	moketar
snow	nivetar
slight	niveto
unusual	nekustumala
customary	kustumala
unaccustomed	nekustumanta
accustomed	kustumanta
usual	kustumata
anticipate	presavigar
boat	bateleto
bevel	bizelizar
rig	bastingizar
edge	bordizar
curb	bridizar
pad	burizar
keg	bareleto
baton	bastoneto
boot	boteto
monarchy	monarkio
stable	kavaleyo
laudable	laudinda
cage	enkajigar
pocket	enposhigar
invoice	enfakturigar
sheath	engainigar
admit	enirigar
sack	ensakigar
conscript	en-armeigar
immure	enmurigar
wrap	enlanjigar
engage	engajar
enthrone	entronigar
oven	enfornigar
focus	enfokigar
pot	enpotigar
park	enparkigar
pack	enpakigar
quarter	enkazernigar
frame	enkadrigar
encase	enkestigar
string	enkordigar
incorporate	enkorpigar
gallop	galopigar
pawn	gajigar
accommodate	gastigar
pregnant	gravidigar
fatten	grasigar
granulate	granigar
merry	gayigar
magnify	grandigar
tissue	texajo
narcotize	narkotigar
lay bare	nudigar
blacken	nigrigar
bear	naskigar
wreck	naufrajigar
nauseate	nauzeigar
disqualify	nekapabligar
necessitate	necesigar
unable	nekapabla
realize	realigar
straighten	rektigar
relation	relatigar
rattle	resonigar
cause	retroirigar
revolt	revoltigar
red	redeskar
level	rezigar
round	rondigar
heal	risanigar
well	sanigar
stiffen	rigidigar
make	ridigar
thicken	dikigar
thin	dinigar
debilitate	debiligar
domesticate	domestikigar
echo	ekigar
cause	emocigar
emotion	emocar
enthuse	entuziasmigar
cold	koldeso
eternalize	eternigar
fluctuate	fluktuar
hunt	furetagar
ferret	fureto
strengthen	fortigar
delight	delicio
sophism	sofismo
sandwich	sandwicho
toaster	rostilo
supernatural	supernatura
conserve	konservar
keep	mantenar
exchange	kambiar
theatrical	teatrala
opera house	operoteatro
lodge	lojar
magnesium	magnezo
shoe polish	cirajo
goatee	mentonobarbo
whiten	blankigar
darkish	nigratra
whitish	blankatra
recent	recenta
San Marino	San-Marino
page	pajo
card game	kartoludo
heart	kordio
trump	trumpo
picket	piketo
angel	anjelo
litigious	procesema
pleasantly	plezure
yolk	vitelo
Cyprus	Chipro
scimitar	cimitaro
santorum	sodomiuro
holly	ilexo
Gregorian calendar	Gregoriala kalendario
sunala	sunala sistemo
greenhouse	teplico
duplicate	duopligar
yogurt	yogurto
airport	aeroportuo
Esperantist	Esperantisto
badger	daxo
slice	loncho
vice president	viceprezidanto
wound	vundar
quo	quo eventas
quo	quo esas ito
quo	quo signifikas …
tower	turmo
duck	anado
scientist	ciencisto
indeed	advere
with	kun-
iterate	iterar
meow	miaular
discharge	descharjar
load	charjar
e-mail	e-posto
database	datumaro
data	datumi
always	omnatempe
everywhere	omnaloke
nowhere	nulaloke
never	nulatempe
satisfy	restorar
nightingale	naktigalo
cross	krucumar
ear	orelumo
crucify	krucagar
crucifixion	krucago
aim at	vizar
disturb	trublar
Amerika	Sud-Amerika
employ	employar
grandfathers	geavi
speculate	spekular
switch	swichar
switch on	enswichar
switch off	ekswichar
milk	melkar
esto	nord-esto
esto	sud-esto
westo	sud-westo
westo	nord-westo
official	oficala
artificially	artificale
artificial	artificala
artifice	artifico
natural	naturala
o'clock	kloko
previously	antee
male	homulo
girl	puerino
complaisance	komplezo
marathon	maratono
interjection	interjeciono
postposition	postpoziciono
chimpanzee	chimpanzeo
etc.	edc.
etc.	e.c.
Dorian	Doriana
