at	pie
animal	grūsns
animal	grūsnējs
mammals	grūsnība
grow	neaugt
growing	neaugam
sell	tirgojot
sell	netirgojot
grow	augot
grow	neaugot
vend	tirgojis
sold	netirgojis
grown	audzis
grown	neaudzis
sell	tirgojošs
sell	netirgojošs
grow	augošs
grow	neaugošs
sell	tirgodams
sell	netirgodams
grow	augdams
grow	neaugdams
can	tirgojams
cannot	netirgojams
can	augams
cannot	neaugams
vend	tirgots
vend	netirgots
grow	augts
grow	neaugts
selling	tirgošana
selling	netirgošana
growing	augšana
growing	neaugšana
vend	tirgojušais
vend	netirgojušais
grow	augušais
grow	neaugušais
fatherland	tēvija
fatherland	tēvzeme
tēvu zeme	tēvu zeme
homeland	dzimtene
be born	dzimt
lousy	utains
mustached	ūsains
human	bārdains
family	dzimta
bearded man	bārdainis
bearded	bārdaini
mustached man	ūsainis
mustached	ūsaini
lousiness	utainība
lousiness	utainums
give birth	dzemdēt
be born	nedzimt
give birth	nedzemdēt
innate	dzimis
can	dzimstams
cannot	nedzimstams
can	dzemdējams
cannot	nedzemdējams
born	dzimts
born	nedzimts
birth	dzimšana
birth	dzemdēšana
wanting	gribošais
wanting	negribošais
working	strādājošais
working	nestrādājošais
growing	augošais
African	afrikānisks
African	afrikānis
African	afrikānietis
African	afrikāniete
Latin	latīnisks
latīņu valoda	latīņu valoda
Latin	latīniete
Latin America	Latīņamerika
Central America	Centrālamerika
central	centrāls
center	centrs
centrism	centrisms
centralism	centrālisms
centralization	centralizācija
centralization	centralizēšana
centralize	centralizēt
central	centrāle
central	centrāli
center	centrēt
middle	vidū
use	starp
area	apvidus
international	starptautisks
international	internacionāls
popular	tautisks
quality	tautiskums
internationalism	starptautiskums
internationalism	internacionālisms
male	internacionālists
internationalist	internacionāliste
internationalist	internacionālistisks
ethnicity	tautība
male	tautietis
compatriot	tautiete
interplanetary	starpplanētu
interstellar	starpzvaigžņu
intergalactic	starpgalaktiku
Milky Way	Galaktika
Milky Way	Piena Ceļš
skābējs gaiss	skābējs gaiss
oxygen	skābējs
sour	skābs
sourness	skābums
become	skābt
make sour	skābēt
bitter	rūgts
bitterness	rūgtums
intercity	starppilsētu
interlibrary	starpbibliotēku
interbank	starpbanku
Democratic People's Republic of Korea	Korejas Tautas Demokrātiskā Republika
Republic of Korea	Korejas Republika
korejiešu valoda	korejiešu valoda
Korean	korejisks
interstate	starpvalstu
Korean	korejietis
Korean woman	korejiete
think	domāt
think	nedomāt
think	domājam
think	nedomājam
look after	negādāt
suck	nesūkāt
suck	sūkājam
suck	nesūkājam
think	domājot
think	nedomājot
suck	sūkājot
suck	nesūkājot
provide	gādājis
provide	negādājis
suck	sūkājis
suck	nesūkājis
think	domājošs
suck	sūkājošs
suck	nesūkājošs
think	domādams
think	nedomādams
suck	sūkādams
suck	nesūkādams
poor	trūcīgs
poverty	trūcīgums
poverty	trūcība
wealth	mantība
beautiful	krāšņs
splendor	krāšņums
can	gādājams
cannot	negādājams
can	domājams
cannot	nedomājams
can	sūkājams
cannot	nesūkājams
think	nedomājošs
provide	gādāts
provide	negādāts
suck	sūkāts
suck	nesūkāts
think	domāšana
think	nedomāšana
suck	sūkāšana
suck	nesūkāšana
Lebanese Republic	Libānas Republika
Lebanese	libānisks
Lebanese man	libānietis
female	libāniete
object	grezns
luxury	greznība
luxury	greznums
Hashemite Kingdom of Jordan	Jordānijas Hašimītu Karaliste
Hashemite	hašimīts
tongue	mēle
Jordanian man	jordānietis
lousy	utaini
lousy	utainais
lousier	utaināks
lousier	utaināk
lousier	utainākais
lousiest	visutainākais
lousiest	visutaināk
Indo-European	indoeiropeiski
Indo-European	indoeiropeiskais
more Indo-European	indoeiropeiskāks
more Indo-European	indoeiropeiskāk
more Indo-European	indoeiropeiskākais
most Indo-European	visindoeiropeiskākais
most Indo-European	visindoeiropeiskāk
Kazakh	kazahiski
Kazakh	kazahiskais
more Kazakh	kazahiskāks
more Kazakh	kazahiskāk
more Kazakh	kazahiskākais
most Kazakh	viskazahiskākais
most Kazakh	viskazahiskāk
Israeli	izraēliski
Israeli	izraēliskais
more Israeli	izraēliskāks
more Israeli	izraēliskāk
Israeli	izraēliskākais
most Israeli	visizraēliskākais
most Israeli	visizraēliskāk
Egyptian	ēģiptiski
Egyptian	ēģiptiskais
more Egyptian	ēģiptiskāks
more Egyptian	ēģiptiskāk
more Egyptian	ēģiptiskākais
most Egyptian	visēģiptiskākais
most Egyptian	visēģiptiskāk
next	turpmākais
animal	grūsni
pregnant	grūsnais
Arabic	arābiski
Arabic	arābiskais
more Arabic	arābiskāks
more Arabic	arābiskāk
more Arabic	arābiskākais
most Arabic	visarābiskākais
most Arabic	visarābiskāk
Jordanian	jordāniete
pay	maksāt
Republic of Iraq	Irākas Republika
Iraqi man	irākietis
female	irākiete
Iraqi	irākisks
Islamic Republic of Iran	Irānas Islāma Republika
male	rīdzinieks
Rigan	rīdziniece
man	liepājnieks
woman born	liepājniece
man	daugavpilietis
woman	daugavpiliete
man	cēsnieks
Cēsis	cēsniece
Iranian	irānisks
childhood	bērnība
limit	tikai
Azerbaijani	azerbaidžāniski
Azerbaijani	azerbaidžāniskais
more Azerbaijani	azerbaidžāniskāks
more Azerbaijani	azerbaidžāniskāk
more Azerbaijani	azerbaidžāniskākais
most Azerbaijani	visazerbaidžāniskākais
most Azerbaijani	visazerbaidžāniskāk
Korean	korejiski
Korean	korejiskais
more Korean	korejiskāks
more Korean	korejiskāk
more Korean	korejiskākais
most Korean	viskorejiskākais
most Korean	viskorejiskāk
mustached	ūsainais
more mustached	ūsaināks
more mustached	ūsaināk
more mustached	ūsainākais
most mustached	visūsainākais
most mustached	visūsaināk
international	starptautiski
international	starptautiskais
more international	starptautiskāks
more international	starptautiskāk
more international	starptautiskākais
most international	visstarptautiskākais
most international	visstarptautiskāk
bearded	bārdainais
more bearded	bārdaināks
more bearded	bārdaināk
more bearded	bārdainākais
most bearded	visbārdainākais
most bearded	visbārdaināk
central	centrālais
more central	centrālāks
more central	centrālāk
more central	centrālākais
most central	viscentrālākais
most central	viscentrālāk
international	internacionāli
international	internacionālais
more international	internacionālāks
more international	internacionālākais
most international	visinternacionālākais
most international	visinternacionālāk
internationalist	internacionālistiski
internationalist	internacionālistiskais
more internationalist	internacionālistiskāks
more internationalist	internacionālistiskāk
more internationalist	internacionālistiskākais
most internationalist	visinternacionālistiskākais
killer	slepkava
murder	slepkavība
murderous	slepkavīgs
murder	slepkavot
murder	neslepkavot
murder	slepkavojam
murder	neslepkavojam
murder	slepkavojot
murder	neslepkavojot
murder	slepkavojošs
murder	neslepkavojošs
murder	slepkavojis
murder	neslepkavojis
murder	slepkavots
murder	neslepkavots
murderable	slepkavojams
murderable	neslepkavojams
murdering	slepkavošana
murdering	neslepkavošana
ring	apdārzs
son-in-law	znots
Iranian man	irānietis
female	irāniete
Iranian man	irānis
State of Qatar	Kataras Valsts
Qatari man	katarietis
female	katariete
man	rēzeknietis
woman	rēzekniete
female beggar	ubadze
beg	ubagot
today	šodien
now	šobrīd
current	šodienīgs
beg	neubagot
man	valmiernieks
woman born	valmierniece
establish	konstatēt
establish	nekonstatēt
university	universitāte
schoolchild	skolēns
joke	jokot
joke	nejokot
funny	jocīgs
guilty	vainīgs
guilt	vainīgums
guilt	vainība
innocent	nevainīgs
innocence	nevainība
innocence	nevainīgums
male	vaininieks
female	vaininiece
blame	nevainot
accept	atvainot
excuse	neatvainot
beg	ubagojam
beg	neubagojam
establish	konstatējam
establish	nekonstatējam
sorry	atvainojiet
beg	ubagojot
beg	neubagojot
establish	konstatējot
establish	nekonstatējot
beg	ubagojis
beg	neubagojis
establish	konstatējis
establish	nekonstatējis
joke	jokojis
joke	nejokojis
blame	vainojis
blame	nevainojis
excuse	atvainojis
excuse	neatvainojis
beg	ubagojošs
beg	neubagojošs
establish	konstatējošs
establish	nekonstatējošs
beg	ubagodams
beg	neubagodams
establish	konstatēdams
establish	nekonstatēdams
beggable	ubagojams
beggable	neubagojams
establishable	konstatējams
establishable	nekonstatējams
blamable	vainojams
blamable	nevainojams
excusable	atvainojams
unexcusable	neatvainojams
beg	ubagots
beg	neubagots
establish	konstatēts
establish	nekonstatēts
blame	vainots
blame	nevainots
excuse	atvainots
excuse	neatvainots
begging	ubagošana
begging	neubagošana
establishing	konstatēšana
establishing	nekonstatēšana
joking	jokošana
joking	nejokošana
blaming	vainošana
blaming	nevainošana
excusing	atvainošana
excusing	neatvainošana
harp	arfa
exist	eksistēt
exist	neeksistēt
existentialism	eksistenciālisms
existentialist	eksistenciālists
existentialist	eksistenciāliste
existentialist	eksistenciālistisks
always	vienmēr
express possibility	varbūt
tonight	šovakar
ask question	jautāt
ask	nejautāt
help	nepalīdzēt
help	līdzēt
help	nelīdzēt
till	līdz
exist	eksistējam
exist	neeksistējam
ask	jautājam
ask	nejautājam
helping	palīdzam
helping	nepalīdzam
helping	līdzam
helping	nelīdzam
exist	eksistējot
exist	neeksistējot
ask	jautājot
ask	nejautājot
help	palīdzot
help	nepalīdzot
help	līdzot
help	nelīdzot
exist	eksistējis
exist	neeksistējis
ask	jautājis
ask	nejautājis
help	palīdzējis
help	nepalīdzējis
help	līdzējis
help	nelīdzējis
exist	eksistējošs
exist	neeksistējošs
ask	jautājošs
ask	nejautājošs
help	palīdzošs
help	nepalīdzošs
help	līdzošs
help	nelīdzošs
exist	eksistēdams
exist	neeksistēdams
ask	jautādams
ask	nejautādams
help	palīdzēdams
help	nepalīdzēdams
help	līdzēdams
help	nelīdzēdams
can	jautājams
cannot	nejautājams
helpful	palīdzams
cannot	nepalīdzams
can	līdzams
cannot	nelīdzams
ask	jautāts
ask	nejautāts
help	palīdzēts
help	nepalīdzēts
help	līdzēts
help	nelīdzēts
existing	eksistēšana
existing	neeksistēšana
asking	jautāšana
helping	palīdzēšana
helping	līdzēšana
helping	nelīdzēšana
asking	nejautāšana
helping	nepalīdzēšana
Kingdom of Bahrain	Bahreinas Karaliste
Bahraini man	bahreinietis
female	bahreiniete
exist	eksistējošais
exist	neeksistējošais
answer	jautājošais
answer	nejautājošais
help	palīdzošais
help	nepalīdzošais
help	līdzošais
help	nelīdzošais
can	jautājamais
cannot	nejautājamais
helpful	palīdzamais
can	līdzamais
cannot	nelīdzamais
cannot	nepalīdzamais
emirate	emirāts
emir	emīrs
dormitory	kopmītne
purchase	pirkums
male	pircējs
Republic of Yemen	Jemenas Republika
guilty	vainīgi
guilty	vainīgais
guiltier	vainīgāks
guiltier	vainīgāk
guiltier	vainīgākais
guiltiest	visvainīgākais
guiltiest	visvainīgāk
innocent	nevainīgi
innocent	nevainīgais
more innocent	nevainīgāks
more innocent	nevainīgāk
more innocent	nevainīgākais
most innocent	visnevainīgākais
most innocent	visnevainīgāk
blamable	vainojamais
blame	nevainotais
Yemeni man	jemenietis
female	jemeniete
shrew	cirsnis
shrew	cirksnis
shrew	cirkste
man	ventspilietis
woman	ventspiliete
liver	aknas
interior	iekša
in	iekšā
gut	iekšas
to	iekšan
funny	jocīgi
funny	jocīgais
funnier	jocīgāks
funnier	jocīgāk
funnier	jocīgākais
funniest	visjocīgākais
funniest	visjocīgāk
sandy	smilšains
Republic of Uzbekistan	Uzbekistānas Republika
Sultanate of Oman	Omānas Sultanāts
uzbeku valoda	uzbeku valoda
current	šodienīgi
current	šodienīgais
murderous	slepkavīgi
murderous	slepkavīgais
more murderous	slepkavīgāks
more murderous	slepkavīgāk
more murderous	slepkavīgākais
most murderous	visslepkavīgākais
most murderous	visslepkavīgāk
Uzbek	uzbekisks
Uzbek	uzbekiski
definite	iekšējs
internal	iekšēji
internal	iekšējais
more internal	iekšējākais
more internal	iekšējāks
more internal	iekšējāk
most internal	visiekšējākais
most internal	visiekšējāk
Uzbek	uzbekiskais
more Uzbek	uzbekiskāks
more Uzbek	uzbekiskāk
more Uzbek	uzbekiskākais
most Uzbek	visuzbekiskākais
most Uzbek	visuzbekiskāk
Uzbek	uzbekiete
Omani	omāniete
male	omānietis
sultanate	sultanāts
sultan	sultāns
sew	nešūt
sewing	šujam
sewing	nešujam
sew	šujot
sew	nešujot
sew	šujošs
sew	nešujošs
sew	šūdams
sew	nešūdams
sew	šuvis
sew	nešuvis
can	šujams
cannot	nešujams
sew	šūts
sew	nešūts
sewing	šūšana
sewing	nešūšana
Islamic Republic of Pakistan	Pakistānas Islāma Republika
comfortable	ērts
comfort	ērtība
kiss	skūpstīt
kiss	skūpsts
kiss	bučot
kiss	neskūpstīt
kiss	nebučot
kiss	bučojam
kiss	nebučojam
kiss	neskūpstām
kiss	skūpstām
kiss	skūpstot
kiss	neskūpstot
kiss	bučojot
kiss	nebučojot
kiss	skūpstošs
kiss	neskūpstošs
kiss	bučojošs
kiss	nebučojošs
kiss	skūpstījis
kiss	neskūpstījis
kiss	bučojis
kiss	nebučojis
kissable	skūpstāms
kissable	neskūpstāms
kissable	bučojams
kissable	nebučojams
kiss	skūpstīts
kiss	neskūpstīts
kiss	bučots
kiss	nebučots
kiss	skūpstīdams
kiss	neskūpstīdams
kiss	bučodams
kiss	nebučodams
kissing	skūpstīšana
kissing	neskūpstīšana
kissing	bučošana
kissing	nebučošana
comfortable	ērti
comfortable	ērtais
more comfortable	ērtāks
more comfortable	ērtāk
more comfortable	ērtākais
most comfortable	visērtākais
most comfortable	visērtāk
Catalan	katalāniski
lie	nemelot
death	nāvs
kill	nāvēt
wash	mazgāt
smell	apost
wet	slapjš
blood	miesīgs
wetness	slapjums
humid	mitrs
humidity	mitrums
a little humid	mikls
humidity	miklums
humid	valgs
humidity	valgums
humidity	valgme
humid	valgans
humidity	valganums
dry	sauss
desert	tuksnesis
drought	sausums
deity	dievība
kill	nenāvēt
love	nemīlēt
pay	nemaksāt
wash	nemazgāt
center	necentrēt
centralize	necentralizēt
lift	necelt
humid	valgais
more humid	valgāks
more humid	valgāk
more humid	valgākais
most humid	visvalgākais
most humid	visvalgāk
humid	valgani
humid	valganais
more humid	valganāks
more humid	valganākais
most humid	visvalganākais
physical	miesīgi
physical	miesīgais
more physical	miesīgāks
more physical	miesīgāk
more physical	miesīgākais
most physical	vismiesīgākais
most physical	vismiesīgāk
wet	slapji
wet	slapjais
wetter	slapjāks
wetter	slapjāk
wetter	slapjākais
katalāņu valoda	katalāņu valoda
wettest	visslapjākais
wettest	visslapjāk
humid	mitrais
more humid	mitrāks
more humid	mitrāk
more humid	mitrākais
most humid	vismitrākais
most humid	vismitrāk
humid	mikli
humid	miklais
more humid	miklāks
plant	ražīgs
harvest	raža
humid	miklāk
more humid	miklākais
small change	sīknauda
sīka nauda	sīka nauda
mortal	nāvīgs
most humid	vismiklākais
most humid	vismiklāk
crop	ražība
productivity	ražīgums
Greek	grieķiski
Greek	grieķiskais
more Greek	grieķiskāks
more Greek	grieķiskāk
more Greek	grieķiskākais
most Greek	visgrieķiskākais
most Greek	visgrieķiskāk
dry	sausi
drier	sausais
drier	sausāks
drier	sausāk
drier	sausākais
driest	vissausākais
driest	vissausāk
mortal	nāvīgais
more mortal	nāvīgāks
more mortal	nāvīgāk
more mortal	nāvīgākais
most mortal	visnāvīgākais
most mortal	visnāvīgāk
lift	ceļošs
lift	ceļošais
lift	neceļošs
lift	cēlis
lift	necēlis
lift	necelts
can	ceļams
cannot	neceļams
lift	neceļam
noble	cēli
journey	ceļot
lift	neceļot
love	mīlējis
love	nemīlējis
love	mīlēts
love	nemīlēts
can	mīlams
cannot	nemīlams
lift	celdams
lift	neceldams
act	celšana
act	necelšana
act	mīlēšana
act	nemīlēšana
male	mīlētājs
male	mīļotājs
last year	pērn
last year	pērngada
pērn	pērns
last year	pērngad
Mongolian	mongoliski
Mongol	mongoliskais
more Mongol	mongoliskāks
more Mongolian	mongoliskāk
more Mongol	mongoliskākais
most Mongol	vismongoliskākais
most Mongolian	vismongoliskāk
last year	pērni
last year	pērnais
year before last	aizpērn
aizpērn	aizpērns
year before last year	aizpērngad
aizpērn	aizpērnais
pērn	pērnējs
pērn	pērnējais
aizpērn	aizpērnējs
aizpērn	aizpērnējais
tell	melojam
tell	nemelojam
kill	nāvējam
kill	nenāvējam
pay	maksājam
pay	nemaksājam
wash	mazgājam
wash	nemazgājam
center	centrējam
center	necentrējam
tell	melojot
tell	nemelojot
kill	nāvējot
kill	nenāvējot
pay	maksājot
pay	nemaksājot
wash	mazgājot
wash	nemazgājot
center	centrējot
center	necentrējot
tell	melojošs
tell	nemelojošs
kill	nāvējošs
kill	nenāvējošs
pay	maksājošs
pay	nemaksājošs
wash	mazgājošs
wash	nemazgājošs
center	centrējošs
center	necentrējošs
lie	melojis
lie	nemelojis
kill	nāvējis
kill	nenāvējis
cost	maksājis
cost	nemaksājis
wash	mazgājis
wash	nemazgājis
center	centrējis
center	necentrējis
centralize	centralizējis
centralize	necentralizējis
killable	nāvējams
killable	nenāvējams
payable	maksājams
payable	nemaksājams
washable	mazgājams
washable	nemazgājams
can	centrējams
cannot	necentrējams
can	centralizējams
cannot	necentralizējams
kill	nāvēts
kill	nenāvēts
cost	maksāts
cost	nemaksāts
wash	mazgāts
wash	nemazgāts
center	centrēts
center	necentrēts
centralize	centralizēts
centralize	necentralizēts
lying	melodams
lying	nemelodams
kill	nāvēdams
kill	nenāvēdams
pay	maksādams
pay	nemaksādams
wash	mazgādams
wash	nemazgādams
center	centrēdams
center	necentrēdams
tell	melošana
tell	nemelošana
kill	nāvēšana
kill	nenāvēšana
payment	maksāšana
pay	nemaksāšana
wash	mazgāšana
wash	nemazgāšana
center	centrēšana
center	necentrēšana
centralization	necentralizēšana
man	nāvinieks
woman	nāviniece
death penalty	nāvessods
nāves sods	nāves sods
payment	maksājums
washer	mazgātājs
washing room	mazgātava
Pakistani man	pakistānietis
dolphin	delfīns
ide	ālants
leisure	vaļa
more international	internacionālāk
cough	klepus
cough	klepot
can	klepojams
capitalize	velns
demonic	dēmonisks
devilish	velnišķs
devilish	velnišķīgs
capitalize	sātans
satanic	sātanisks
Satanism	sātanisms
divine	dievišķs
divine	dievišķīgs
goddess	dieve
goddess	dieviete
little devil	velniņš
young	velnēns
devilishness	velnišķums
devilishness	velnišķīgums
devilishness	velnišķība
male	sātanists
female	sātaniste
satanic	sātaniski
satanic	sātaniskais
more satanic	sātaniskāks
more satanic	sātaniskāk
more satanic	sātaniskākais
most satanic	vissātaniskākais
most satanic	vissātaniskāk
devilish	velnišķi
devilish	velnišķais
more devilish	velnišķāks
more devilish	velnišķāk
most devilish	visvelnišķākais
most devilish	visvelnišķāk
devilish	velnišķīgi
devilish	velnišķīgais
more devilish	velnišķīgāks
more devilish	velnišķīgākais
most devilish	visvelnišķīgākais
more devilish	velnišķīgāk
most devilish	visvelnišķīgāk
divine	dievišķi
divine	dievišķais
more divine	dievišķāks
more divine	dievišķāk
more divine	dievišķākais
most divine	visdievišķākais
most divine	visdievišķāk
divine	dievišķīgi
divine	dievišķīgais
more divine	dievišķīgāks
more divine	dievišķīgāk
more divine	dievišķīgākais
most divine	visdievišķīgākais
most divine	visdievišķīgāk
demonic	dēmoniskais
more demonic	dēmoniskāks
more demonic	dēmoniskāk
more demonic	dēmoniskākais
most demonic	visdēmoniskākais
most demonic	visdēmoniskāk
arvien vēl	arvien vēl
vēl arvien	vēl arvien
always	arvien
still	joprojām
negative sentence	vēl
husband	dzīvesbiedrs
dzīves biedrs	dzīves biedrs
wife	dzīvesbiedre
dzīves biedre	dzīves biedre
dzīves biedrene	dzīves biedrene
male	biedrs
female	biedre
female	biedrene
consultant	konsultante
beak	knābis
object	tīrs
real	īstens
cough	neklepot
realness	īstums
academy	akadēmija
male	akadēmiķis
female	akadēmiķe
academicism	akadēmisms
academic	akadēmisks
academic	akadēmiski
academic	akadēmiskais
more academic	akadēmiskāks
more academic	akadēmiskāk
more academic	akadēmiskākais
most academic	visakadēmiskākais
most academic	visakadēmiskāk
divide	nedalīt
do	nedarīt
cough	klepojam
cough	neklepojam
do	darām
do	nedarām
cough	klepojot
cough	neklepojot
do	darot
do	nedarot
cough	klepojošs
cough	neklepojošs
do	darošs
do	nedarošs
cough	klepodams
cough	neklepodams
do	darīdams
do	nedarīdams
cough	klepojis
cough	neklepojis
divide	dalījis
divide	nedalījis
do	darījis
do	nedarījis
can	neklepojams
can	dalāms
cannot	nedalāms
can	darāms
cannot	nedarāms
cough	klepots
cough	neklepots
divide	dalīts
divide	nedalīts
do	darīts
do	nedarīts
coughing	klepošana
coughing	neklepošana
division	dalīšana
do	darīšana
do	nedarīšana
taste	negaršojis
object	netīrs
female	pakistāniete
Pakistani	pakistānisks
Kyrgyz Republic	Kirgīzu Republika
kirgīzu valoda	kirgīzu valoda
male	kirgīzs
Kyrgyz	kirgīziete
Kyrgyz	kirgīzisks
Republic of Tajikistan	Tadžikistānas Republika
tadžiku valoda	tadžiku valoda
male	tadžiks
Tajik	tadžikiete
Tajik	tadžikisks
Turkmenistan	Turkmenistāna
turkmēņu valoda	turkmēņu valoda
male	turkmēnis
Turkmen	turkmēniete
Turkmen	turkmēnisks
tough	grūts
singular	grūtums
difficulty	grūtība
needle	adata
animal	traks
secretly	zagšus
theft	zādzība
female	zagle
male	zaglis
jaw	žoklis
sawmill	kokzāģētava
sawmill	zāģētava
saw	zāģēt
saw	zāģis
father	tētis
little girl	meitenīte
little girl	skuķēns
little boy	puisītis
girl	skuķe
girl	skuķis
little boy	puisēns
unmarried young man	jauneklis
unmarried	puisis
boy	zeņķis
meitas vīrs	meitas vīrs
brother-in-law	svainis
sister-in-law	svaine
sister-in-law	svainiene
son-in-law	meitasvīrs
craziness	trakums
Courland	zāgs
saw	nezāģēt
saw	zāģējam
saw	nezāģējam
saw	zāģējot
saw	nezāģējot
saw	zāģējis
saw	nezāģējis
saw	zāģējošs
saw	nezāģējošs
saw	zāģēdams
saw	nezāģēdams
can	zāģējams
cannot	nezāģējams
saw	zāģēts
saw	nezāģēts
saw	zāģēšana
saw	nezāģēšana
thievish	zaglīgs
thievishness	zaglīgums
thievishness	zaglība
a little sweet	saldens
sweetness	saldums
roan horse	salnis
roan	salni
animal	salns
weather	skaidrs
clear	dzidrs
plant	ražens
specific	īpašs
grass	maurs
estuary	grīva
offering	upuris
larger farm animal	mājlops
seal	ronis
pelēkais ronis	pelēkais ronis
pure	šķīsts
cunt	pīzda
people	tīrīgs
people	netīrīgs
uncleanliness	netīrīgums
light	blāvs
light	blāvums
light	blāvot
become sour	neskābt
make sour	neskābēt
glow	neblāvot
glow	blāvojot
glow	neblāvojot
glow	blāvojošs
glow	neblāvojošs
pickling	neskābēdams
glow	blāvodams
glow	neblāvodams
become sour	skābis
become sour	neskābis
made sour	skābējis
made sour	neskābējis
glow	blāvojis
glow	neblāvojis
can	skābējams
cannot	neskābējams
glow	blāvojam
glow	neblāvojam
pickle	skābēts
pickle	neskābēts
glow	blāvošana
glow	neblāvošana
productivity	produktivitāte
uncleanliness	netīrība
Islamic Republic of Afghanistan	Afganistānas Islāma Republika
cleanliness	tīrīgums
explain	skaidrot
explanation	skaidrojums
blindness	aklums
blindness	aklība
low	vājdzirdīgums
seeing	redzīgs
quality	redzīgums
blind	neredzīgs
blindness	neredzīgums
blindness	neredzība
low	vājredzīgums
weak	vājredzīgs
low	vājredzība
pupil	redzoklis
object	tīrība
productive	produktīvs
fruitful	rezultatīvs
result	rezultāts
plant	auglīgs
fruitfulness	auglīgums
fruitfulness	auglība
fruit grower	augļkopis
fruit grower	augļkope
fruit growing	augļkopība
breed	vaislīgs
breed	vaisla
breeding animal	vaislīgums
breeding animal	vaislība
stud	vaislinieks
female	vaisliniece
produce	producēt
female	vokāliste
male	vokālists
sleep	dusa
shortness of breath	aizdusa
singing	dziedājums
song	dziesma
produce	ražot
clean	tīrīt
cleaner	tīrītava
produce	ražojums
cleaner	tīrītājs
producer	ražotājs
shame	kauns
produce	neražot
produce	neproducēt
explain	neskaidrot
sleep	nedusēt
clean	netīrīt
arrow	strēla
explain	skaidrojam
explain	neskaidrojam
sleep	dusam
sleep	nedusam
explain	skaidrojot
explain	neskaidrojot
sleep	dusot
sleep	nedusot
clean	tīrot
clean	netīrot
productive	ražojošs
explain	skaidrojošs
explain	neskaidrojošs
sleep	dusošs
sleep	nedusošs
clean	tīrošs
clean	netīrošs
produce	ražojis
produce	neražojis
produce	producējis
produce	neproducējis
explain	skaidrojis
explain	neskaidrojis
clean	tīrījis
clean	netīrījis
can	ražojams
cannot	neražojams
can	producējams
cannot	neproducējams
can	skaidrojams
cannot	neskaidrojams
can	tīrāms
cannot	netīrāms
produce	ražots
produce	neražots
produce	producēts
produce	neproducēts
explain	skaidrots
explain	neskaidrots
clean	tīrīts
clean	netīrīts
explain	skaidrodams
explain	neskaidrodams
sleep	dusēdams
sleep	nedusēdams
clean	tīrīdams
clean	netīrīdams
production	ražošana
production	neražošana
logaritmiskais lineāls	logaritmiskais lineāls
ruler	lineāls
logarithmic	logaritmisks
male	kalkulators
female	kalkulatore
production	producēšana
production	neproducēšana
explain	skaidrošana
explain	neskaidrošana
sleeping	dusēšana
sleeping	nedusēšana
cleaning	tīrīšana
cleaning	netīrīšana
logarithmic	logaritmiski
logarithmic	logaritmiskais
blinder	aklāks
blinder	aklāk
blinder	aklākais
blindest	visaklākais
blindest	visaklāk
seeing	redzīgi
seeing	redzīgais
more seeing	redzīgāks
more seeing	redzīgāk
more seeing	redzīgākais
most seeing	visredzīgākais
most seeing	visredzīgāk
blind	neredzīgi
nightingale	lakstīgala
nightingale	lakstīga
nightingale	laksīgala
blind	neredzīgais
blinder	neredzīgāks
blinder	neredzīgāk
blinder	neredzīgākais
blindest	visneredzīgākais
blindest	visneredzīgāk
weak	vājredzīgi
weak	vājredzīgais
weaker	vājredzīgāks
weaker	vājredzīgāk
weaker	vājredzīgākais
weakest	visvājredzīgākais
productive	rezultatīvi
productive	rezultatīvais
more productive	rezultatīvāks
more productive	rezultatīvāk
more productive	rezultatīvākais
most productive	visrezultatīvākais
more productive	visrezultatīvāk
fruitful	auglīgi
fruitful	auglīgais
more fruitful	auglīgāks
more fruitful	auglīgāk
more fruitful	auglīgākais
most fruitful	visauglīgākais
more fruitful	visauglīgāk
fertile	vaislīgi
fertile	vaislīgais
more fertile	vaislīgāks
more fertile	vaislīgāk
more fertile	vaislīgākais
most fertile	visvaislīgākais
more fertile	visvaislīgāk
dim	blāvi
dim	blāvais
dimmer	blāvāks
dimmer	blāvāk
dimmer	blāvākais
dimmest	visblāvākais
dimmest	visblāvāk
cleanly	tīrīgi
clean	tīrīgais
cleaner	tīrīgāks
cleaner	tīrīgāk
cleaner	tīrīgākais
cleanest	vistīrīgākais
cleanest	vistīrīgāk
dirty	netīrīgi
dirty	netīrīgais
dirtier	netīrīgāks
dirtier	netīrīgāk
dirtier	netīrīgākais
dirtiest	visnetīrīgākais
dirtiest	visnetīrīgāk
poor	mazturīgi
poor	mazturīgais
poorer	mazturīgāks
poorer	mazturīgāk
poorer	mazturīgākais
poorest	vismazturīgākais
poorest	vismazturīgāk
federal	federāli
federal	federālais
special	īpaši
special	īpašais
more special	īpašāks
more special	īpašāk
more special	īpašākais
most special	visīpašākais
most special	visīpašāk
mad	traki
mad	trakais
madder	trakāks
madder	trakāk
madder	trakākais
maddest	vistrakākais
maddest	vistrakāk
existentialist	eksistenciālistiski
existentialist	eksistenciālistiskais
more existentialist	eksistenciālistiskāks
more existentialist	eksistenciālistiskāk
more existentialist	eksistenciālistiskākais
most existentialist	viseksistenciālistiskākais
most existentialist	viseksistenciālistiskāk
sandy	smilšaini
sandy	smilšainais
sandier	smilšaināks
sandier	smilšaināk
sandier	smilšainākais
sandiest	vissmilšainākais
sandiest	vissmilšaināk
Pakistani	pakistāniski
Pakistani	pakistāniskais
more Pakistani	pakistāniskāks
more Pakistani	pakistāniskāk
more Pakistani	pakistāniskākais
