be	may
thin	miswa
hopia	hopya
wholesale buying	pakyaw
lament	taghoy
Chinese cabbage	petsay
electricity	dagitab
wooden sandal	bakya
drama	teleserye
drip	tagaktak
sprinkling	budbod
forced	pilit
pity	habag
change	sukli
victim	biktima
cover	sakob
highway robber	tulisan
criminal	kawatan
exact	sayap
hold-upper	holdaper
bamboo plank	taytay
bridge	tulay
coconut	niyog
cloud	ulap
tragic	kalunos-lunos
traffic jam	trapik
fish corral	baklad
activity	aktibidad
riding together	angkas
franc	prangko
soldier	sundalo
warp	pintal
cut	patid
cinema	sinehan
dragnet	pukot
blandness	tabang
minium	minyo
diffused	lirot
savings	ipon
saucer	platito
ladle	kutsaron
widen	luwag
extent	lawak
holding	hawak
lameness	tikod
rattle	pakalog
destabilization	destabilisasyon
complete	kompleto
list	listahan
giant clam	taklobo
ang pagsasabi ng tapat ay pagsasama ng maluwat	maluwat
radish	labanos
plant species	mustasa
opo squash	upo
loud	kabog
edible tuberous root	singkamas
lemongrass	tanglad
full	malisa
focus	tutok
thread	tungod
anguish	dawis
district	purok
watercraft Austronesian	balangay
barrio	baryo
gas lamp	gasera
crutch	andaderas
blond	rubyo
jeweller	alahero
arm	akbay
wire netting	alambrera
outer void	alangaang
duration	luwat
time	panahon
conceited	suplado
cook	kusinero
cook	kusinera
long time	kalaunan
teaspoon	kutsarita
axe	palakol
harlot	kiyo
necklace	binaysok
awning sheet	bilubilo
dimple	biloy
route	yagban
valve	balbula
military veteran	beterano
nurse	nars
daughter	senyorita
son	senyorito
accountant	akawntant
notebook	kuwaderno
flying ember	alipato
paleness	putla
beautiful	guwapa
half-blooded	mestiso
half-blooded	mestisa
very young girl	dalaginding
young Chinese man	tsinito
young Chinese woman	tsinita
industry	industriya
first stroke	talaw
cut off	putol
lieutenant	tenyente
sentinel	tanod
light bulb	bombilya
outrigger	katig
person	kaedad
enemy	kaaway
slender	balingkinitan
somersault	balintong
turn	bumalintong
curled	balisuso
standing on end	baliskad
strangury	balisawsaw
nosebleed	balinguyngoy
blown inside-out	balinghat
idleness	kabatuganan
spy	batyaw
pork sausage	batutay
loose morals	kirimpot
ceiling	kisame
infant	kipangkipang
half	binting
dragonfly	tutubi
shadow	kulalaying
Annona reticulata	anonas
immediate	agaran
finger	daliri
building	gusali
midnight	hatinggabi
dried nasal mucus	kulangot
buttock	puwit
nipple	utong
abdomen	tiyan
tweezers	tiyani
soy sauce	toyo
earring	hikaw
food	pagkain
floor	sahig
conjunction	pangatnig
pronoun	panghalip
adverb	pang-abay
cheek	pisngi
chest	dibdib
body	katawan
butterfly	paruparo
oil	langis
home	tahanan
acacia	langil
dandruff	balakubak
stomach	sikmura
shortsightedness	pagkasilag
peach	melokoton
child-in-law	manugang
talent	talihilig
shark	pating
duty	tungkulin
amulet	dupil
thread	sinulid
needle	karayom
noun	pangngalan
dot	tuldok
appearance	itsura
gambler	sugarol
place	sugalan
mahjong	madyong
swordmaker	panday
isolation	wakaak
isolation	pagkawakaak
shaking	witwit
mascot	wisit
eggcup	webera
filament	walidwid
signal	walawad
uncovered	wadwad
neatness	wakya
scatter	walwal
varicolored woven cloth	walna
mammal	wilik
dimmed	wating-wating
eighty	walumpu
eight hundred	walundaan
dilapidated	waray
squander	waldas
triumph	wagi
Purgatory	purgatoryo
dejected	sungo
threatening gesture	yaang
waling-waling	walingwaling
change	palit
torn	windang
awry	wiliwid
impoverishment	yangot
betel nut	hitso
betel pepper	ikmo
whiz	wiswis
whiz	wagiswis
archipelago	kapuluan
ruin	wasak
eight thousand	walunlibo
seventy	pitumpu
sixty	animnapu
fifty	limampu
forty	apatnapu
thirty	tatlumpu
twenty	dalawampu
ninety	siyamnapu
nine hundred	siyamnaraan
five hundred	limandaan
four hundred	apatnaraan
fifty thousand	limanlaksa
fifteen	labinlima
shade	lilom
shady	malilom
sculptor	manlililok
five time	makalima
slovenly	limahi
frequent	malimit
thrice	makaitlo
society	lipunan
seventeen	labimpito
seven hundred	pitundaan
eleven	labing-isa
twelve	labindalawa
thirteen	labintatlo
fourteen	labing-apat
sixteen	labing-anim
eighteen	labingwalo
million	angaw
slight vision	tataw
three hundred	tatlundaan
three-fourths	tatlong-kapat
human relation	pakikitungong-tao
reconstruction	mulinyari
recreation	mulinsigla
rust	kalawang
throat	lalamunan
road	lansangan
brown	kayumanggi
clean	kikig
punch	suntok
wreck	pagwawasak
maybe	yata
small	yatab
rattan	yantok
set	yangasngas
rubbish	yamutmot
partial corrosion	yatyat
whatth	pang-ilan
France	Pransya
small creek	alod
thickened	gipalpal
ridicule	uyaw
dungeon	bartolina
monument	bantayog
germ	binhay
vegetable	gulay
watermelon	pakwan
literature	panitikan
liana	baging
color	kulay
fast	mabilis
slow	mabagal
wide	malapad
our	natin
our	atin
noisy	maingay
cowardly	duwag
rim	lipit
dense	malapot
lascivious	malanya
betel nut palm	luyos
commonly	marani
sick	umay
wag	puyupoy
solar plexus	gawis
kindness	kagandahang-loob
leave	lumabas
bring out	maglabas
killed	mapatay
die	mamatay
subject	panaguri
simple	payak
Adam's apple	lalagukan
leap year	bisyesto
fog	ulop
rocking chair	tumba-tumba
lullaby	oyayi
eyebags	lowat
tsking	talak
there	diyan
Corchorus olitorius	saluyot
good	mabuti
patience	pasensya
sorry	pasensya na
joy	galak
acquainted	makilala
that	iyon
office	opisina
artichoke	alkatsopas
art	palatugtugan
musical score	talaawitan
musical score	talatugtugan
barramundi	apahap
sandalwood	apalit
major	medyor
colonel	koronel
commander	komander
sergeant	sarhento
dessert	himagas
act	himanting
slow	mahiman
gazelle	gasela
trowel	dulos
peak	dunggot
window	durungawan
acrid	kulasim
suckling pig	kulig
rustle	kulos
stye	kuliti
small net	kurag
myopia	kurarap
human rights	karapatang pantao
right	karapatan
large	ipo
old bachelor	bulandal
careful search	bulatlat
painful	masakit
Mrs.	Gng.
Ms.	Bb.
Miss	Binibini
pugnacious	palaaway
thief	magnanakaw
stump	sakwa
whereabouts	nasaan
toy boat	lanunab
hip	bugnit
fish hook	kawit
camel	kamelyo
second plowing	sugok
pool	salog
species	kulaw
act	pusad
pustule	burog
how	paano
idle talk	gakgak
noisy	hakhak
seasickness	ilay
completely toothless	bungaw
rope	lubid
act	liwat
spit	luwa
wrist	galanggalangan
light	sigit
instant	iglap
flying fish	iliw
grandmother	impo
stepmother	inang-panguman
tender	labong
muse	lakambini
great blaze	lagabgab
readily available	lagap
noise	laginit
just delivered	lagsang
passage	lagusan
smear	lahid
drip	lahoy
shroud	lalab
valley	lambak
doubled	lambal
hanging cluster	lambayog
viscous	lamira
wattle	lampik
slippery	malandas
slippery	madulas
prurient	landit
display	lamuga
banana plantation	sagingan
guava plantation	bayabasan
Chinese celery	kintsay
half-witted	langkas
solder	hinang
grace	biyaya
sapphire	sapiro
baldness	upaw
disobedient	suwail
sentinel	taliba
rotting	lupog
pomelo	lukban
hornbill	kalaw
bald	kalbo
variety	kulat
United States	Kana
whisper	bulong
granary	taklab
intestinal worm	ulay
volcano	bulkan
chopping board	sangkalan
fowl	ulikba
orphaned	ulila
pigsty	ulbo
eagle	banoy
shoulder	balikat
bamboo outrigger	pakaway
all	lahat
some	iilan
mustard plaster	sinapismo
act	katay
Samson	Sanson
hero	bayani
large bag	bayong
female Belgian	Belhika
request	pakiusap
money	pakimkim
foot	sulikap
light	sumbo
punch	sumbi
species	duhol
oppressed	dusta
lopped	sangal
powerful	makapangyarihan
costly	magugol
healed	hilom
egg yolk	apyak
tree	abuab
plea	tagiamo
provide	bahagan
rank	ranggo
thinness	nipis
lily	liryo
Mexican marigold	amarilyo
denim cloth	maong
sound	sasak
embarrassed	sawil
hut	sawong
candlenut tree	lumbang
request	hingan
Moses	Moises
Arabian jasmine	sampagita
ylang ylang	alangilan
sea turtle	pawikan
five	singko
weight	timbang
brazenly greedy	buwakaw
gold brooch	kansing
rickety	kantog
neighbor	kapitbahay
neighboring country	kapitbansa
act	kapol
temporary shed	karang
leather bag	karay
resentment	hinanakit
leap	himbak
tough tissue	gatid
frisky	magaslaw
chance	tsansa
cigarette	sigarilyo
seesaw	tiwasan
sure	tiyak
merry-go-round	tiyobibo
doggerel	tulakis
confused	tuliro
infection	tulok
persecution	siphaw
disappointment	siphayo
passionate kiss	sisil
chick	sisiw
sudden flight	tiplas
male quail	tiktiko
abrasion	tikal
young quail	kutipaw
sickle	lilik
cause	sanhi
weapon	sandata
sliver	salubsob
animal tusk	salimao
slowness	sagal
covetous	sakim
thick dirt	libag
extreme weakness	lugo
lullaby	lulay
pupil	inla
cry	uha
peninsula	tangway
edge	tangwa
wide	tangkulok
irritable	talusaling
landing	talurang
sheathing	talupak
empty	taltal
small bar	talasok
mildew	tagulamin
small wave	tagbik
anchor	sawo
strong smelly odor	sangyod
rivulet	saog
act	saoy
bending	luyok
attack	lusob
open blister	lintos
scythe	lingkaw
secret	lingid
state	lisok
fissure	litak
night vigil	lamay
fatty substance	lanab
pancreas	lapay
excessive softness	laroy
growl	ingil
saw	lagari
toddle	ampang
nostril	butas-ilong
Chinese owner	kabisi
cacao tree	kakaw
narrow	kalalang
dropsy	kalamayo
careful consideration	kalapa
playmate	kalaro
poison	lason
welt	latay
long tail feather	lawi
edge	laylayan
state	laylay
burial	libing
libido	libog
blister	libtos
short firebrand	agipo
furtive	alimis
only	lamang
kneaded	lapisa
affliction	tihil
flyspeck	tilis
lowland	timak
slight burn	tilay
swarm	kuyog
giant	tandayag
stench	bansiw
shameless person	matigas ang sikmura
person	matigas pa sa kulig
lazy	matigas ang buto
lazy	matigas ang katawan
old bachelor	matandang tinali
someone	ahas-bahay
authorities	bisig ng batas
clavicle	balagat
toothless	bungal
skipjack tuna	gulyasan
sweetlips	gulyabaw
thin	lusay
middle finger	hinlalato
shanty	palirong
plowshare	palinta
anvil	palihan
buoy	palutang
temple	pilipisan
occiput	pilipot
sidelong glance	liing
careful study	linay
child	laman ng laman
vagabond	laman ng lansangan
rivals	langis at tubig
couple	langaw at gatas
girl	lantang bulaklak
destitute	makitid ang kumot
industrious	makapal ang palad
something	pampatabang-puso
insane	sira ang bait
little finger	kalingkingan
thumb	hinlalaki
bumblebee	bubuyog
salty	maalat
windy	mahangin
hot	mainit
long	mahaba
colorful	makulay
patriotic	magiting
amiable	magiliw
dawdling	magigi
prankish	magaso
disorder	magulo
entangled	magusot
like coconut milk	malagata
milky	malagatas
sailfish	malasugi
full	malaway
smoke	usok
talent	hiram na ulo
good luck	hulog ng langit
grave	huling hantungan
foreign land	ibayong dagat
unfortunate person	ibong sawi
bachelor	ibong malaya
bad woman	ibong mababa ang lipad
press	ikaapat na kapangyarihan
extreme happiness	ikapitong langit
young lady	labi ng aso
asal	asal-Hudas
small children	anghel ng tahanan
new pair	bagong bakal
newcomer	bagong-ahon
shameless	balat-kalabaw
heavy	balot sa puti
useless person	bato sa lansangan
misfortune	biro ng tadhana
charitable	bukas ang palad
superficial expression	bulaklak ng dila
socialite	bulaklak ng lipunan
courageous	buhay ang loob
life	buhay-alamang
child	bunga ng pag-ibig
skinny	buto't balat
thief	kaaway ng liwanag
gossiper	mapagsagap ng alimuom
shameless	matigas ang mukha
proud	may hangin sa ulo
still young	may gatas pa sa labi
jobless	nagbibilang ng poste
back	likod
fierce	may tahid
restless person	may uod sa katawan
married	may pananagutan sa buhay
cuckoo	may kato sa ulo
phrase	parirala
knock	katok
hot-headed	may apoy sa tuktok
having little money	maikli ang pisi
always late	maikli ang paa
weak-minded	abo ang laman ng ulo
treacherous person	ahas sa damo
someone	ahas na tulog
already old	alog na ang baba
sudden departure	alsa-balutan
brave will	bakal na kalooban
prison	bahay na bato
stone	batong-buhay
life	buhay-manok
success	bundok na buhangin
penniless	butas ang bulsa
heaven	kabilang daigdig
friend	kabatakang-kumot
spouse	kabiyak ng dibdib
friend	kahiramang-suklay
friend	kadaupang-palad
one	kakaning-itik
fire	kalabasang pula
feeling	kalam ng tiyan
intimate friend	kapalagayang-loob
spouse	kapilas ng puso
spouse	karugtong ng buhay
fluency	dilang ginto
intelligent	dilat ang mata
bad luck	dagok ng kapalaran
blue blood	dugong mahal
beautiful voice	ginintuang tinig
kind-heartedness	ginintuang puso
father	haligi ng tahanan
well-dressed	hindi kakapitan ng alikabok
friendly	magaan ang bibig
couple	magkataling puso
unconscious	patay-dampot
lazy person	patabaing baboy
married	pinagbuhol ang dibdib
one's own home	sariling pugad
inflammable	takaw-apoy
always sleepy	takaw-tulog
very bad character	ugaling hayop
embrace	yakap-Hudas
complete happiness	langit ng buhay
selfish	lawit ang pusod
earth	langit at lupa
something	lumang tugtugin
someone	maamong kalapati
mababa	mababang-loob
happy	mabulaklak na kahapon
shameless	makapal ang mukha
deaf	malapad ang kaingin
person	pamasak-butas
very costly	halagang ginto
congenial companion	kabagang
compatible	magkabagang
very soft voice	boses-ipis
croaky voice	boses-palaka
truthful statement	birong-totoo
lazy	bato ang katawan
having	basa ang papel
having	baon sa utang
inattentive guard	bantay-tumana
dishonest guard	bantay-salakay
false news	balitang kutsero
large squid	kurita
vulture	buwitre
gout	piyo
violin	biyolin
viola	biyola
triangle	batingting
journey	biyahe
direct	deretso
boastful	mahangin ang ulo
hungry	mahapdi ang bituka
smarting	mahapdi
stingy	mahigpit ang hawak sa bulsa
with little influence	mahina ang kapit
with low intelligence	mahina ang ulo
easily spent	mainit sa kamay
boastfulness	isang dakot na hangin
relief	hamog sa tag-araw
punishment	hampas ng langit
help	hapin ng buhay
very dirty	hinahabol na ng sabon
chief	hepe
wily	burukinto
candle	sasang
candlestick holder	sasangan
concubinage	agulo
kleptomania	kulawin
coarse	balindang
wide	balanga
bassoon	bahon
adjective	pang-uri
tortoise	pagong
young growth	pulad
castration	puhag
mons pubis	puklo
sawdust	piyaos
species	pisig
pinch	piral
having	pingod
yoke	paod
small village	nayon
hard	mabigat panimbangan
hard	mabigat ang salapi
always	mabigat ang paa
easily shed	mababa ang luha
grave	lupang payapa
gum	gilagid
support	gilagiran
Italy	Italya
Indonesia	Indonesya
long	atungal
grammar	balarila
insect	kulisap
phlegm	plema
earwax	tutuli
Norway	Norwega
sip	higop
Taiwan	Taywan
Syria	Sirya
Romania	Rumanya
Lithuania	Litwanya
Congo	Konggo
Finland	Pinlandiya
Cambodia	Kambodya
India	Indiya
sandwich spread	palaman
exhaust pipe	tambutso
fair	perya
basketball player	basketbolista
irony	pasol
economy	ekonomiya
condensed milk	kondensada
godfather	ninong
godmother	ninang
cape	lungos
urinary bladder	pantog
disease	kayawa
lopsided	kayog
compressed tight	kiit
fib	kulimba
impudent	dansay
watch	pulaw
stupid	galgal
chicken louse	hanip
dew	hamog
large burial jar	gusi
eyeshade	gusilaw
light	gupiling
oval	habilog
firstborn child	panganay
danger	panganib
jealousy	panibugho
cockscomb	palong
halo	palaba
big beam	anaman
footfall	yabag
consumption	konsumo
decision	desisyon
boyfriend	nobyo
glare	pulag
tiny	malinggit
jolly fellow	salakata
stubborn	salahilo
pouch	lukbot
design	sulam
dart	suligi
blowgun	sumpak
trail	bagtas
badge	tsapa
reader	magbabasa
stop crying	tahan
investigation	imbestigasyon
action	aksiyon
court	husgado
climb	adyo
puppy	kuwa
club	bambo
act	uyog
client	kliyente
calamity	kalamidad
tragedy	trahedya
heaping handful	akom
thick peel	akba
small	kariton
bail	piyansa
bribe	suhol
motive	motibo
intent	sadya
public prosecutor	piskal
signed	pirmado
Cyprus	Tsipre
multicolored	tulik
army	hukbo
ashtray	titisan
edge	bingit
sunset	sibsib
scene	eksena
water spinach	kangkong
microphone	mikropono
ambition	ambisyon
ambitious	ambisyoso
twilight	takipsilim
slight wound	taklip
thin covering	takob
affected	apektado
Sweden	Suwesya
Hungary	Unggriya
smoothing iron	plantsa
ironed out	plantsado
patient	pasyente
village person	tagabukid
freeman	maharlika
rotten	bulok
highest point	hampol
salary	suweldo
port	lalawigan
Diospyros blancoi	kamagong
frank	prangka
vocation	bokasyon
physical weakness	kamping
swordfish	dugso
offering	alay
ripen	lunak
carried dangling	bitbit
spread out	lanay
melt	tunaw
ring finger	palasingsingan
cypress	sipres
splinter	subyang
bundle	sukong
spindle	sudian
briber	manunuhol
surfeit	sunok
rap	sungkol
recruit	sungko
伸齒	sungki
offshoot	supling
burnt	supok
amendment	susog
pressed	susop
fed up	susot
sugarcane cutting	taad
water	tabad
ferry	tabaw
tabernacle	tabernakulo
sheet	tabayag
native clothespress	takba
husk cover	takupis
covering	takuko
rib	tadyang
elongated	tagihaba
obsequious person	tagisuyo
irrigation canal	taguling
serious	talangas
lascivious woman	talandi
Jupiter	Hupiter
rent	sipak
frightened cry	siyok
rice wine	siyoktong
Chinese steamed bun	siyopaw
prudence	siyasip
prudent	masiyasip
survey	siyasig
very careful research	siyasik
investigation	siyasat
fig	sisiyo
tightwad	singgi
crooked	singkol
large china jar	sinamong
overflow	sinap
contrary current	sindal
hiccup	sinok
hiccup	sigok
short-necked	sigik
fortune	nigo
lucky	manigo
threadbare	nisnis
radiation	ninag
fringe	palawingwing
small axe	palathaw
arrow	palaso
small banner	palawis
fin	palikpik
beriberi	pamamanas
hand-to-hand combat	pamuok
summit	pantok
apostrophe	tudlik
diacritic	tuldik
severe diarrhea	tulasok
somewhat stupid	timang
cud	timayok
disagreeable odor	angot
handbarrow	arag-arag
dollar	dolyar
virility	bulog
boar	bulugan
cart	kangga
beam	silahis
basis	basehan
councilor	konsehal
spear	tugda
stake	tugday
ballast	tulakbahala
lance	tulag
stupid	tulala
stupidity	katulalaan
unique	tulali
multicolored rooster	tulikan
deafened	tulig
semicolon	tuldok-kuwit
colon	tutuldok
continuation	tuloy
uranium	uranyo
plants	pag-upas
bump	untog
prefix	unlapi
tiny	unsik
molting	ulag
rainy season	tag-ulan
stem	uhay
always snivel	uhog
caterpillar	uod
slow	ugaw
foolish	ugak
big bite	ukab
spool	ulak
spool	ulakan
suddenness	kabiglaan
exact	masayap
exactness	kasayapan
split bamboo	sasag
reminiscence	salamisim
held suspended	salalak
neckerchief	salampay
ally	sagpi
fishhook	sagat
train	sagayad
extra passenger	sakil
particle	mismis
feather duster	pamispis
earless	pingol
lime	pirali
very light throb	pinting
jerked beef	pindang
eyelash	pilik
banquet	piging
thinness	kapayatan
quick reply	patnig
flat	paril
tip	paragala
weak conclusion	taghap
cook	tagapagluto
having	maamos
coil	arwa
rathole	uot
flame	ulob
end	udyong
landlord	kasero
tap	tampi
deserving	tampat
lance	tandos
pulley	tangkalag
having	tapil
swagger	kiay
small fishing net	sakag
acme	rurok
subdue	saho
act	salag
resentment	salaghati
small fishing net	salap
gas	tabol
loud	takap
littleness	kauntian
low	pag-unga
insipid	mayapa
tastelessness	kayapahan
flowerpot	yanga
long stride	yangkaw
scraping	yamuam
little	tinip
intestinal worm	tiwa
topaz	topasyo
sharp	matalas
instrument	talarok
exchange	uyan
leaving	uad
short	itak
carry away	tangay
dean	dekano
thing	salawa
act	hintay
cessation	tugot
prostitute	patutot
sweaty	pawis
covetousness	yamo
covetous	mayamo
covetousness	kayamuan
stubble	yamot
bagasse	yamas
threatening gesture	yamba
emaciated	yagang
extreme thinness	kayagangan
sponginess	yabo
kind	paraw
ostentation	parayaw
bend	yukdo
overloaded	yutyot
intermittent shaking	pagyutyot
emaciated	yayat
trembling	pagyanig
annoyance	pagkayamot
given	yakyak
mind	isip
whale shark	isdantuko
light touch	isil
prominent	iswad
nit	kupi
act	ugoy
keen	sabik
soaked	tamak
cough	umubo
act	pag-ubo
act	pag-uubo
persistent ask	ukilkil
insistent	maukilkil
Maundy Thursday	Huwebes Santo
Holy Saturday	Sabado de Gloria
roof	bubong
snare	bitag
special long	sisip
point	sambat
nipa awning	samil
slap	sampal
crossroad	sangandaan
comedian	komedyante
comedy	komedya
reply	sagot
Indian coral tree	dapdap
false	sinungaling
sudden jerk	sintog
cutlery	kubyertos
Balthazar	Baltazar
why	bakin
now	ngayon
Melchior	Melchor
Barnabas	Bernabe
toughness	gayot
tough	magayot
toughness	kagayutan
oscillating movement	gibay
pyrite	giginto
crack	gitang
sudden	yaros
harmful	mapaminsala
harmful	nakakasira
harmful	nakakapinsala
attend	lingil
littleness	linggit
littleness	kalinggitan
mental perturbation	linggatong
din	linggal
boa constrictor	manlilingkis
bewildered	lingaw
erroneous	linsil
small	linib
recovery	lindayag
greasy	linab
mackerel fry	linatsay
very large jar	limpik
very big piece	limpal
light	liwanag
rut	lubyak
melancholic	lukulok
hollow	luganggang
tinder	lulog
shin	lulod
canoe	lunday
violence	kagahasaan
pressed tight	iting
wedge	iwak
spread	lanip
female deer	libay
gliding	limbay
Hokkien	Teng
intoxicated	bangag
carrot	asanorya
sudden gust	asbok
asexual	asog
gentle persuasion	atig
gentle persuasion	pag-atig
act	atupag
tailless bird	tukong
prop	tudlang
fast	matulin
Spanish mackerel	tangginggi
accusation	sumbong
calendar	kalendaryo
Bartholomew	Bartolome
domestic helper	katulong
order	utusan
womanhood	kababaihan
take	babaihin
court	mambabae
foul	mabaho
maternal hug	umaum
beautiful	pagandahin
sleep	patulugin
say	sabihin
tell	sabihan
reproach	pagsabihan
again	ulit
repeat	umulit
stick	mandila
spark	diklap
sparkling	padiklap-diklap
break	bumali
fried rice	tapsilog
fried rice	sinangag
become old	gumulang
small brass cannon	lantaka
stare	titig
province	Maguindanao
servant	lingkod
frequent	madalas
crème caramel	leche flan
shake	mag-alog
shake	alugin
shake	umalog
heap	tabon
angry conflict	basangal
castrated	basig
fishing rod	baway
testicle	bayag
scar	bikat
foreign matter stuck	bikig
tongs	bigting
type	binalalak
face towel	bimpo
stupid	binsa
pursuit	tugis
Saint Louis	San Luis
speedster	kaskasero
carpenter	kikil
mosquito larva	kikinsot
leprosy	ketong
lump	kimpal
oval	tighaba
measles	tigdas
word puzzle	tigbuhol
melted	tignas
sound produce	tigok
footstool	timbanin
uvula	tilao
sudden spurt	tilarok
strong spurt	tilandog
bamboo stilt	tiyakad
pool	tubog
short medium	tukil
featherless bird	tukang
involuntary nod	tukaki
poultry feed	patuka
voice	boses
building	edipisyo
Pampanga	Basa
insistence	giit
justice	katarungan
beach	aplaya
seacoast	dalampasigan
howl	tambaw
loud splash	tambog
reecho	ulyaw
tapeworm	ulyabid
superstition	pamahiin
provincial capital	Pili
diploid banana cultivar	lakatan
line	linya
smoke	manigarilyo
pump	tungga
line	guhit
frame	balangkas
steep	matarik
intimate	matalik
narrow	makipot
weak	matamlay
tickle	kiliti
message	mensahe
exploded	sabog
lowland	labak
puff	hithit
arranged	sansan
Croatia	Kroasya
Chinese cabbage	pechay
power	kapangyarihan
short	maikli
opportunity	pagkakataon
chance	kapalaran
neat	maayos
vast expanse	lupalop
methodical	mahusay
created	nilalang
guide	gabay
mimicry	gagad
part	bahagi
acute	matindi
gloomy	malagim
honk	pugak
nest	pugad
coccyx	puil
blunt	pungol
horrified surprise	gikla
matron	ginang
young woman	gining
button	pindutan
press	pindot
web	sapot
kalahati	sangkatlo
wasp	putakti
clothesline	sampayan
claw	sipit
diligence	sipag
humankind	sangkatauhan
woman	bestida
scorpion	alakdan
emblem	sagisag
stew	kare-kare
hovel	barong-barong
ginger	luya
wire	kawad
splendor	dilag
burrow	lungga
girlfriend	syota
adopted child	ampon
employee	kawani
office	tanggapan
room	kuwarto
skirt	palda
security guard	sekyu
police	lespu
bahay	bahay-ampunan
June beetle	salagubang
bat	paniki
nickname	palayaw
grasshopper	tipaklong
research	saliksik
desire	pagnanasa
butt	upos
Echeverri	Echiverri
Iturralde	Ituralde
strict	estrikto
yesterday	kahapon
straw	dayami
last night	kagabi
day before yesterday	kamakalawa
remove	tagtag
boy	utoy
monthly	buwanan
war	digma
push	tulak
fatigue	pagal
hilltop	gulod
collision	bangga
naked	hubad
hermit	ermitanyo
woodpecker	tariktik
rattan	uway
lead	tingga
loss	tikang
dad	tatang
rotten	tayuto
cloth	tapal
appellation	sangko
foolish	pusong
vulva	puday
drunkard	lasenggo
fool	sirang ulo
bribery	kotong
suction	huthot
fugitive	pugante
slant-eyed	pingkit
chief	pinuno
underwater cave	lungib
smoking	paninigarilyo
sewer line	imburnal
corrupt	kurakot
rice granary	kamalig
ladder	hagdan
gullet	bunganga
grasp	dakot
swim	langoy
receive	sagap
west	kanluran
heart attack	atake sa puso
hypertension	altapresyon
hospital	pagamutan
pharmacy	parmasiya
ovary	obaryo
Easter Sunday	Linggo ng Pagkabuhay
light scratch	gurlis
Lent	Kuwaresma
Pentecost	Pentekostes
Labor Day	Araw ng mga Manggagawa
Gospel	Magandang Balita
Revelation	Pahayag
sunken	lubog
Judges	Mga Hukom
Epiphany	Pista ng Tatlong Hari
Valentine's Day	Araw ng mga Puso
scratch	kalmot
Quezon City	Lungsod Quezon
various species	balete
float	lutang
Lord	Panginoon
Luzon	Rizal
intestine	bituka
Advent	Adbiyento
sexual intercourse	pagtatalik
act	kuyakoy
extortion	pangingikil
rent	arkila
funeral home	punerarya
novena	nobena
loanword	salitang hiram
borrowed	hiram
smuggle	puslit
centipede	alupihan
firefly	alitaptap
cicada	kuliglig
notary public	notaryo
justice	hustisya
sucking	hithit-buga
mold	amag
sneeze	bahin
insane	may topak
deaf	bingi
New Year's Eve	Bisperas ng Bagong Taon
New Year	Bagong Taon
Palm Sunday	Linggo ng Palaspas
national holiday	Araw ng Kagitingan
Independence Day	Araw ng Kalayaan
All Saints' Day	Araw ng mga Patay
Eid al-Fitr	Pagtatapos ng Ramadan
fasting	pag-aayuno
confession	kumpisal
baptism	binyag
Hail Mary	Aba Ginoong Maria
Lord's Prayer	Ama Namin
Lamb of God	Kordero ng Diyos
Pope	Santo Papa
Easter	Paskuwa
Ordinary Time	Karaniwang Panahon
Ten Commandments	Sampung Utos
Christmas Eve	Bisperas ng Pasko
Mass	Simbang Gabi
Merry Christmas	Maligayang Pasko
Yuletide	Kapaskuhan
Merry Christmas and a Happy New Year	Maligayang Pasko at Manigong Bagong Taon
Merry Christmas and a Happy New Year	Maligayang Pasko at Masaganang Bagong Taon
rascal	tarantado
nonsense	walang kwenta
jerk	kadyot
fool	tangengot
act	kiskis
act	salsal
have sex	magtalik
insane	maluwag ang turnilyo
cheater	mandaraya
corrupt	tiwali
of that	niyan
plant	magtanim
plant	itanim
plant	tamnan
planting	panananim
crop	pananim
planter	manananim
parent-in-law	biyanan
shallow tray	biyay
clumsy climb	alapaw
athlete's foot	alipunga
strong offensive odor	alisangsang
neglectful	alisagsag
calm	tahimik
support	tahilan
spur	tahid
dry land	tahik
patent	tahaw
tallness	tagway
tall	matagway
violent coughing	taghok
delicious	malinamnam
full	malinab
infested	malinta
serious	malubha
concave	malukong
sad	malungkot
full	malumot
cruel	malupit
crispy	malutong
wide	maluwag
cry	umiyak
sit	umupo
stand	tumayo
bend	yumuko
tread	yumurak
rub	yumahod
become rich	yumaman
study	mag-aral
expose something	magyangyang
love	magmahal
divide up property left	magwahil
say something unpleasant	mangwika
spray	magwisik
coarse fiber	yunot
bend	pagyukdo
bend	yumukdo
play	magyoyo
act	pagyoyoyo
fatten animal	magyibok
fattening	yibok
trample	yumasak
extreme brittleness	yasang
tender	mayumi
tremble	yumanig
brag	yumabang
boastfulness	yabang
act	yabangan
fallen dried twig	yabat
place	yabatan
act	pagyayabang
boastful	mayabang
boastfulness	kayabangan
boast	magyabang
boast	magmayabang
yachting ground	yatihan
hardwood	yakal
rub	yahod
extreme thinness	yagong
extreme thinness	kayagungan
certain route	pagyagban
great number	yakos
foolish talk	yakyakan
crush	yakyakin
impetuosity	pagkamayakyak
Seventh-day Adventist	Sabadista
leafy	mayabong
luxuriant foliage	yabong
luxuriant foliage	kayabungan
become luxuriant	yumabong
record	plaka
broken record	sirang plaka
embrace	yumakap
act	pagyakap
envy	kayakyakan
rub	yakis
invitation	yakag
act	yakagan
act	pagyarda
work	magtrabaho
travel	maglakbay
