Հայաստանի	Հայաստանի Հանրապետություն
Tyre	Տյուրոս
Transjordan	Անդրհորդանան
Thuringia	Թյուրինգիա
Pharos	Փարոս
Feodosiya	Թեոդոսիա
Thermopylae	Թերմոպիլե
Thessaly	Թեսալիա
Egyptian	Թեբե
Phocaea	Փոկեա
Մայնի	Մայնի Ֆրանկֆուրտ
Chaldea	Քաղդեա
Hankou	Հանկոու
Henan	Հենան
Cheops	Քեոփս
Chios	Քիոս
Hubei	Հուբեյ
khramulya	կողակ
provisions	պաշար
active	ժիր
geyser	գեյզեր
Chardzhou	Չարջոու
Չուդ	Չուդ լիճ
թերակղզի	Չուկոտյան թերակղզի
Shamakhi	Շամախի
Շլեզվիգ	Շլեզվիգ-Հոլշտայն
Շմիդի	Շմիդի կղզի
Shushi	Շուշի
Hellas	Հելլադա
Epirus	Էպիրոս
Erymanthus	Երիմանթոս
երիմանթյան	երիմանթյան վարազ
Abas	Աբաս
Habakkuk	Ամբակում
Augeas	Ավգիաս
ավգյան	ավգյան ախոռներ
Abel	Աբել
Augustus	Օգոստոս
Octavian	Օկտավիանոս
Augustine	Ավգուստինոս
Bebel	Բեբել
August	Ավգուստ
Aghaton	Աղաթոն
Hadrian	Ադրիանոս
Alcibiades	Ալկիբիադես
Alcmene	Ալկմենե
Anastas	Անաստաս
Andromache	Անդրոմաքե
Ancus	Անկոս
Marcius	Մարկիոս
Antigone	Անտիգոնե
Antisthenes	Անտիսթենես
Antiochus	Անտիոքոս
Antonius	Անտոնիոս
Antoni	Անտոնի
Appian	Ապպիանոս
Appius	Ապպիոս
Arius	Արիոս
Ahriman	Ահրիման
Ahriman	Արհմն
Arcadius	Արկադիոս
Arcady	Արկադի
Arminius	Արմին
Arseny	Արսենի
Archimedes	Արքիմեդ
Ascanius	Ասկանիոս
Atilius	Ատիլիոս
Regulus	Ռեգուլոս
list	թվարկել
prove	հիմնավորել
Afanasy	Աֆանասի
Athanasius	Աթանաս
Aphrodite	Աֆրոդիտե
Aetius	Աետիոս
Batu	Բաթու
Bibulus	Բիբուլոս
Beethoven	Բեթհովեն
Bonifatius	Բոնիֆացիոս
Brahma	Բրահմա
Brutus	Բրուտոս
Bacchus	Բաքոս
Valens	Վաղես
Valentinian	Վալենտինիանոս
Valerianus	Վալերիանոս
Valerian	Վալերիան
տասնմեկ	տասնմեկ մետրանոց
Varus	Վարոս
11	11 մետրանոց
check	ճշգրտել
Barbara	Վարվառե
Varvara	Վարվառա
Barnabas	Բառնաբաս
Bartholomew	Բարդուղիմեոս
գիշեր	Բարդուղիմեոսյան գիշեր
գիշեր	Բարդուղիմյան գիշեր
Vasily	Վասիլի
Vasil	Վասիլ
Belisarius	Բելիսարիոս
Beelzebub	Բեհեղզեբուղ
Benjamin	Բենիամին
Veniamin	Վենիամին
Vespasianus	Վեսպասիանոս
William	Վիլհելմ
Virgil	Վերգիլիոս
Gavriil	Գավրիլ
Halley	Հալլեյ
Hamilcar	Համիլկար
Hamlet	Համլետ
Hamsun	Համսուն
Ganymede	Գանիմեդ
Hartmann	Հարտման
Harun	Հարուն
Hasdrubal	Հասդրուբալ
Hebe	Հեբե
Hegel	Հեգել
Heine	Հայնե
Hecuba	Հեկուբ
Helenus	Հելենոս
Helvétius	Հելվեցիուս
Haemus	Հեմոս
Henry	Հայնրիխ
Heraclius	Հերակլ
Herbart	Հերբարտ
Hercules	Հերկուլես
swarm	վխտալ
Hermione	Հերմիոնե
Herostratus	Հերոստրատ
Hesiod	Հեսիոդոս
Hesperia	Հեսպերիա
Hesperid	Հեսպերիդ
Gessler	Գեսլեր
Goethe	Գյոթե
Hyacinthus	Հիակինթոս
Hildebrand	Հիլդեբրանդ
crawling	փորսող
Hohenzollern	Հոհենցոլերն
Hobbes	Հոբս
Goliath	Գողիաթ
Holbach	Հոլբախ
Honorius	Հոնորիոս
Horace	Հորացիոս
Gordias	Գորդիոս
գորդյան	գորդյան հանգույց
Godfrey	Գոտֆրիդ
Gracchus	Գրակքոս
Grigory	Գրիգորի
Hus	Հուս
Hugo	Հյուգո
Daniil	Դանիիլ
Codomannus	Կոդոմանոս
Desiderius	Դեսիդերիոս
Demosthenes	Դեմոսթենես
Diomedes	Դիոմեդես
Dionysius	Դիոնիսիոս
Dominic	Դոմինիկոս
Don Quixote	Դոն Քիշոտ
Dorothea	Դորոթեա
Duilius	Դվիլիոս
Eugenius	Եվգենիոս
Yevgeny	Եվգենի
primary source	սկզբնաղբյուր
Yazdegerd	Հազկերտ
Ezra	Եզրաս
Yelizaveta	Ելիզավետա
Yelisei	Ելիսեյ
Epiphanes	Եպիփանես
Jeremiah	Երեմիա
Yeremei	Երեմեյ
Esther	Եսթեր
Ephraim	Եփրեմ
Yefrem	Եֆրեմ
Zakhar	Զախար
Zakhary	Զախարի
Zechariah	Զաքարիա
Zeuxis	Զեւքսիս
Zerubbabel	Զորաբաբել
Zoroaster	Զրադաշտ
Ignatius	Իգնատիոս
Ignaty	Իգնատի
Ilya	Իլյա
hideous	անճոռնի
search	որոնել
talk	զրուցել
independence	անկախություն
climb	մագլցել
abbot	աբբա
gradient	գրադիենտ
ladder	ելարան
chortle	փռթկացնել
robber	հեն
eve	ճրագալույց
inform	մատնել
stain	բիծ
anger	մոլեգնել
ram	խոյանալ
Աբխազիայի	Աբխազիայի Հանրապետություն
apsar	ափսար
Ritsa	Ռիցա
Gagra	Գագրա
Կոդորի	Կոդորի կիրճ
Kodori	Կոդոր
Lezgi	լեզգի
qapik	գյափիկ
manat	մանաթ
Bazardüzü	Բազարդյուզյու
Göygöl	Գյոյգյոլ
İsmayıllı	Իսմայիլի
terrified	ահաբեկվել
panic	խուճապ
Azores	Ազորներ
Ազորների	Ազորների ինքնավար ռեգիոն
autonomous	ինքնավար
Sete Cidades	Սետի Սիդադիշ
Monchique	Մոնշիկե
Ալբանիայի	Ալբանիայի Հանրապետություն
Prokletije	Պրոկլետիե
mouth	երախ
mouth	ռեխ
cross-eyed	շլդիկ
transfer	տեղափոխել
seek	ձգտել
rove	հածել
clean	հստակ
near	մերձավոր
breath	հեւք
Ակրոտիրի	Ակրոտիրի եւ Դեկելիա
Ալժիրի	Ալժիրի Ժողովրդական Ժողովրդավարական Հանրապետություն
Berber	բերբեր
Tahat	Թահաթ
white	սպիտակամորթ
Grand Canyon	Գրանդ Կանյոն
lazy	ալարել
tortuous	աղամող
distort	աղճատել
distorted	աղճատ
pole	առեղ
root	ասլի
refutation	եղծ
hamarakar	համարակար
mountaineer	լեռնագնաց
period	պարբերություն
philosopher	փիլիսոփոս
foliage	սաղարթ
loot	ավար
dwelling	կացարան
sod	ճիմ
neck	ճիտ
cuff	ճիտք
slipper	մուճակ
fabulist	առակախոս
homelessly	անօթեւան
purl	քչքչալ
Tsolak	Ցոլակ
purl	կարկաչել
kind	տեսակ
undulate	դայլայլել
peck	կտցել
purl	խոխոջալ
trap	թակարդ
gata	գաթա
thesaurus	թեզաուրուս
shahanshah	շահնշահ
resourceful	հնարամիտ
գլուխը	գլուխը տաքանալ
pledge	գրավ
skillfulness	հնարամտություն
bet	գրազ
forgive	ներել
order	պատվեր
whine	նվալ
Aghayan	Աղայան
Saroyan	Սարոյան
look	հայացք
adversary	ախոյան
Aare	Աարե
Ալպեր	Բեռնյան Ալպեր
Bernese	բեռնյան
glacier	սառցադաշտ
Shatt al-Arab	Շատտ էլ-Արաբ
Ust-Abakanskoye	Ուստ Աբականսկոյե
Abbay	Աբայ
each other	միմյանց
Abkhaz Autonomous Soviet Socialist Republic	Աբխազական Ինքնավար Սովետական Սոցիալիստական Հանրապետություն
Soviet Socialist Republic	խորհրդային սոցիալիստական հանրապետություն
Autonomous Soviet Socialist Republic	ինքնավար սովետական սոցիալիստական հանրապետություն
Gudauta	Գուդաութա
Pitsunda	Պիցունդա
Աֆոն	Նոր Աֆոն
Elar	Էլար
Ապենիններ	Աբրուցյան Ապենիններ
Abqaiq	Աբքայք
Saïda	Սայդա
Hagåtña	Ագանյա
քաղաքատիպ	քաղաքատիպ ավան
Aga	Ագա
ինքնավար	ինքնավար օկրուգ
ինքնավար օկրուգ	Ագինսկոյեի Բուրյաթական ինքնավար օկրուգ
Transbaikal	Անդրբայկալ
sharp	ուշիմ
commander	զորապետ
conquer	զավթել
accurate	դիպուկ
attract	հրապուրել
տարածքային	տարածքային ամբողջականություն
Rakhmaninov	Ռախմանինով
creative	ստեղծագործական
madman	ցնորամիտ
motorcycle	մոտոցիկլ
powerful	ուժգին
Jahukyan	Ջահուկյան
Jahuktsyan	Ջահուկցյան
Hrach	Հրաչ
shout	աղաղակել
perfect	կատարյալ
bend	կքել
trough	տաշտ
striking	փառահեղ
organize	տնօրինել
invade	ներխուժել
fast	սրընթաց
throw down	տապալել
ring	շառաչել
standing	կանգուն
thunderstruck	շանթահար
ascribe	վերագրել
substantial	էական
gobble up	զխկտել
ungrateful	ապերախտ
symbolize	խորհրդանշել
etymology	ստուգաբանություն
dim	աղոտ
ungrateful	երախտամոռ
yoke	ամոլ
after	անց
Bakhchisaray	Բախչիսարայ
clever	սրամտել
Üsküdar	Ուսկյուդար
adequate	վայելուչ
skilled	հմուտ
archer	նետաձիգ
despot	բռնակալ
․	․
enslave	ստրկացնել
pompous	ամբարտավան
extremist	ծայրահեղական
few	սակավաթիվ
submit	հպատակվել
penalty	պենալ
broad	լայնալիճ
armored	զրահավոր
armadillo	զրահամորթ
Acharyan	Աճառյան
ceiling	առիք
dry	աստուճ
duel	մենամարտ
hurry	արտորալ
hurry	շտապել
herb	դեղաբույս
breathe one's last	շունչը տալ
citizenship	քաղաքացիություն
pass on	ավանդել
breathe one's last	շունչը փչել
yelp	կաղկանձ
here	հրես
shepherd	գառնարած
tear apart	հոշոտել
rebellious	ըմբոստ
justify	արդարացնել
mentally	մտովի
bravery	սխրանք
separate	տրոհել
clearing	բացատ
ivy	բաղեղ
everywhere	ամենուր
cooper	տակառագործ
lamp	կանթեղ
everywhere	ամենուրեք
inopportune	անպատեհ
in the name of	հանուն
skillful	ընդունակ
compassionate	գթասիրտ
highly	մեծապես
morning star	Լուսաբեր
help	նպաստել
push	մղել
world-famous	աշխարհահռչակ
discovery	հայտնագործություն
natural	բնովի
pedestal	պատվանդան
judgment	դատողություն
metrical	չափածո
sober up	սթափվել
anticipate	կանխել
immigrant	ներգաղթյալ
emigrant	էմիգրանտ
emigrate	արտագաղթել
pickpocket	գրպանահատ
straighten	շտկել
immigrate	ներգաղթել
empty-handed	դատարկաձեռն
naivety	միամտություն
Chinese	չինական
spatterdock	նունուֆար
mean	ժլատ
Brezhnev	Բրեժնեւ
cold	պաղ
get up	հառնել
help	օժանդակել
never	բնավ
khachkar	֍
khachkar	֎
impoliteness	անքաղաքավարություն
argue	վիճաբանել
whisper	շշնջալ
despair	հուսահատվել
short	կճատ
trousers	տաբատ
Scolopendra	ցողկ
Boyajian	Բոյաջյան
menstruation	դաշտան
patent	պատենտ
airan	այրան
stupid	դանդալոշ
sleepy	քնկոտ
torrential	հորդ
bundle	փաթեթ
crash	շառաչյուն
poplar	ճանդարի
Akhuryan	Ախուրյան
log	ճանդար
sandalwood	ճանդան
flat	դուզ
yoke	լծել
fan	հովհար
Karapetyan	Կարապետյան
faint	նվաղել
late	ողորմածիկ
avariciously	ագահորեն
gusto	լազաթ
Ghasabyan	Ղասաբյան
Platanus	տնջրի
countess	կոմսուհի
bunch	ողկույզ
abuse	ուշունց
pencil case	գրչատուփ
eraser	ռետին
flawless	անթերի
unripe	խակ
unusual	արտասովոր
subject	ենթակա
predicate	ստորոգյալ
soar	սավառնել
blossom	բողբոջել
boredom	ձանձրույթ
horn	շչակ
signal	ազդանշան
croissant	կրուասան
sommelier	սոմելիե
sandwich	սենդվիչ
appetizer	նախուտեստ
salami	սալյամի
parmesan	պարմեզան
manhole	մտոց
hashtag	հեշթեգ
showbusiness	շոու բիզնես
corner kick	անկյունային հարված
snooker	սնուկեր
cue ball	թելադրիչ
maximum break	ամենաբարձր բրեյկ
ambiguous	երկիմաստ
relative	յուրային
supporter	համախոհ
immortal	անմեռական
medicine	դարման
compatriot	հայրենակից
photograph	լուսանկար
charm	թովք
crematorium	դիակիզարան
famine	սով
people	խալխ
hut	խրճիթ
powerfully	կորովաձիգ
lady fern	ձարխոտ
fern	պտեր
fight	մաքառում
older	ավագ
Galstyan	Գալստյան
prefer	նախընտրել
spread	սփռել
documentary	վավերագրական
lock	կողպեք
doubt	տարակուսել
parliament	խորհրդարան
ambush	դարանակալել
Facebook	Ֆեյս
burning	կիզիչ
idle	բառադի
medicine	դեղորայք
packing needle	մախաթ
bandage	վիրակապ
satiate	հագեցնել
fade	առկայծել
rob	կողոպտել
router	երթուղիչ
neat	կոկիկ
full	անմնացորդ
hustle	իրարանցում
malicious	նենգ
kick out	վռնդել
soil	աղտոտել
soil	կեղտոտել
pasture	արածեցնել
cocoon	բոժոժ
constantly	հավետ
surging	ալեկոծ
observation	դիտողություն
shameless	լաչառ
archaeologist	հնագետ
paleontologist	հնէաբան
comforted	սփոփվել
comfort	սփոփել
approximately	մոտավորապես
lying	ստախոս
lying	սուտասան
ungratefulness	երախտամոռություն
ungratefulness	ապերախտություն
safety	ապահովություն
recompense	փոխհատուցել
then	ապա
oblige	հարկադրել
ebony	եբենոս
console	մխիթարել
abbasi	աբասի
abbot	աբբահայր
abbatial	աբբայական
abbey	աբբայարան
abbey	աբբայություն
abbess	աբբայուհի
talkative	խոսուն
sound film	խոսուն շարժապատկեր
moving picture	շարժապատկեր
penalised	տուժել
penalty	տույժ
weaker sex	տկար սեռ
tinder	աբեթ
Aphyllophorales	աբեթասունկ
pour out	բխել
air conditioner	օդորակիչ
flash mob	շանթամբոխ
flash mob	ֆլեշմոբ
crowd	ամբոխ
admin	կայքավար
journalism	լրագրություն
footwear	կոշկեղեն
doorman	շվեյցար
peal	զրնգալ
certificate	պատվոգիր
virtue	առաքինություն
encourage	քաջալերել
encouragement	խրախուսանք
twig	շիվ
slavery	ստրկություն
stilt	մաճ
place name	տեղանուն
gathering	հավաք
think about	մտորել
research	հետազոտել
think about	մտմտալ
athletics	աթլետիկա
cosmonaut	տիեզերագնաց
ball	գնդակ
Aramaic	արամերեն
Igbo	իբո
Assamese	ասսամի
Tahitian	տահիտի
Burmese	բիրմաներեն
Aymara	այմարա
Khmer	քմեր
Somali	սոմալի
Hawaiian	հավաի
Nepali	նեպալի
Cherokee	չերոկի
Navajo	նավահո
Telugu	տելուգու
Occidental	օքսիդենտալ
weigh	կշռադատել
Alemannic	ալեմաներեն
Occitan	լանգ դոկ
Occitan	օկցիտանա
Galician	գալյեգո
describe	բնորոշել
modern	արդիական
applied	կիրառվել
apply	կիրառել
New Year	ամանորյա
chubby	թմբլիկ
Ttujur	Թթուջուր
դաշտ	Արարատյան դաշտ
Mauritius	Մավրիկիոս
Bosnia	Բոսնիա
old	տարեց
epiglottis	կատիկ
poem	բանաստեղծություն
term	տերմին
abolitionism	աբոլիցիոնիզմ
absolutism	աբսոլյուտիզմ
free world	ազատ աշխարհ
continuously	անդուլ
national bourgeoisie	ազգային բուրժուազիա
bourgeoisie	բուրժուազիա
լիգա	Ազգերի լիգա
league	լիգա
sphere of influence	ազդեցության ոլորտ
alliance	ալյանս
Ak Koyunlu	ակ-կոյունլու
acropolis	ակրոպոլիս
sectarianism	աղանդավորություն
amir	ամիրա
amirspasalar	ամիրսպասալար
amnesty	ամնիստիա
cavalry	այրուձի
sprout	ծլարձակել
strike	գործադուլ
pendulum	ճոճանակ
spring	զսպանակ
ruthlessly	անխնա
abegha	աբեղա
abegha	աբեղաթող
woundwort	աբեղախոտ
crested lark	աբեղաձագ
crested lark	աբեղուկ
hoary	ալեզարդ
abegha	աբեղայական
abegha	աբեղայակերպ
abegha	աբեղայություն
abegha	աբեղացու
protection	պաշտպանություն
Latvian	լեթթերեն
sickle	մանգաղ
before	հանդիման
maliciously	նենգաբար
flash	փայլատակել
must	մաճար
Zakarian	Զաքարյան
telegraph	հեռագիր
trade	առեւտուր
wire	մետաղալար
snore	խռմփոց
snore	խռմփացնել
snore	խռմփալ
backpack	ուղեպարկ
top	կատար
signature	ստորագրություն
rest	հանգստանալ
sleight of hand	աճպարարություն
veghar	վեղար
allocate	հատկացնել
discourage	ընկճել
vardzak	վարձակ
club	մահակ
though	թեպետ
Ladin	լադիներեն
Canadian football	կանադական ֆուտբոլ
Canadian	կանադական
billiard table	բիլիարդի սեղան
four of a kind	կառե
dartboard	դարթսի տախտակ
Australian rules football	ավստրալական ֆուտբոլ
Mecca	Մեքքա
kindle	հրահրել
mallet	թակ
sale	ծախ
legate	նվիրակ
boot	մույկ
cloakroom	պատմուճակ
dreamy	անրջային
ashugh	աշուղ
kettledrum	գոս
eyesight	տեսողություն
Edenic	եդեմային
darts	դարթս
stoker	հնոցապան
stranger	նժդեհ
photographic	ֆոտոխցիկ
video camera	տեսախցիկ
telescope	հեռադիտակ
soccer ball	ֆուտբոլի գնդակ
telescope	աստղադիտակ
magic	հուռութ
mile	մղոն
crab	ծովախեցգետին
postage stamp	նամականիշ
action noun	-ոնք
awakening	զարթոնք
firewall	հրապատ
rugby league	ռեգբիլիգ
novelist	վիպասան
crumb	փշուր
vegetarianism	բուսակերություն
limousine	լիմուզին
gospel	ավետարան
incense	խնկել
murmur	սոսափյուն
Iranian	իրանահայ
mane	բաշ
mirage	օդատեսիլ
microwave oven	միկրոալիքային վառարան
stove	վառարան
microwave	միկրոալիք
micro-	միկրո-
microwave	միկրոալիքային
crossroads	խաչմերուկ
crossroads	քառուղի
four	քառ-
touch	դիպչել
Alazani	Ալազան
unperturbed	անվրդով
person	անհատ
slurp	ֆռթֆռթոց
counteract	հակազդել
xenophobic	այլատյաց
grant	շնորհել
grateful	շնորհակալ
rape	բռնաբարություն
thanks to	շնորհիվ
gift	շնորհք
push	բրթել
rotten	փտած
Mikoyan	Միկոյան
root	արմ
wharf	նավակայան
wave	ալեհերձ
Asatryan	Ասատրյան
Avagyan	Ավագյան
Avag	Ավագ
hit	խեթկել
Zilchyan	Զիլճյան
Kasparyan	Կասպարյան
permanent	մնացական
Mnatsakan	Մնացական
Mnatsakanyan	Մնացականյան
waterpot	փարչ
Kalantaryan	Քալանթարյան
curly	խուճուճ
խոտ	բալախ
slap	չափալախ
paw	թաթ
lap up	լափել
harmonious	ներդաշնակ
sorrow	վիշտ
pity	գութ
clemency	գթություն
collective	միահամուռ
anthem	օրհներգ
frying pan	տապակ
ambition	փառասիրություն
lighter	կրակվառիչ
friendship	ընկերություն
exultation	ցնծություն
rejoice	հրճվել
joy	հրճվանք
caress	գգվել
caress	գգվանք
life-giving	կենարար
germander	լերդախոտ
national anthem	ազգային օրհներգ
inextinguishable	անշեջ
set on fire	հրկիզել
fire department	հրշեջ պահպանություն
fire engine	հրշեջ մեքենա
therefore	ուստի
therefore	ուստիեւ
charm	հմայել
obelisk	կոթող
supplementation	լրացում
wallet	դրամապանակ
carefree	արխային
free will	ազատ կամք
encourage	խրախուսել
Mihranyan	Միհրանյան
referee	մրցավար
encouragement	քաջալերանք
encouragement	քաջալերություն
Mankasar	Մանկասար
inspire	ոգեշնչել
inspiration	ոգեշնչում
Apresyan	Ապրեսյան
Apres	Ապրես
traffic sign	երթեւեկության նշան
traffic	երթեւեկում
traffic	երթեւեկություն
compass	կողմնացույց
compass	բեւեռացույց
drone	բոռ
mosquito	մժեղ
primrose	գնարբուկ
Achemyan	Աճեմյան
cosmos	զարդենի
eryngo	երնջնակ
manuscript	ձեռագիր
sorrel	թրթնջուկ
ladle	շերեփ
Paliurus	ցաքի
Paliurus	ժանտափուշ
melilot	իշառվույտ
plantain	եզան լեզու
borage	գաղտրիկ
clover	խնձորուկ
change	փոփոխություն
climate	կլիմա
burdock	կռատուկ
burdock	կոծոծ
currant	հաղարջենի
hellebore	ղանձլամեր
basin	կոնք
chicory	եղերդակ
rose	մասուր
rose	մասրենի
Ghazaryan	Ղազարյան
lilac	եղրեւանի
chestnut tree	շագանակենի
Dactylis	ոզնախոտ
watercress	ջրկոտեմ
Achaemenid	Աքեմենյան
Caucasian zelkova	ձելկվա բոխատերեւ
bindweed	պատատուկ
hornbeam	բոխատերեւ
Ocimum	ռեհան
quince	սերկեւիլենի
starthistle	տերեփուկ
leek	պրաս
Movsesyan	Մովսեսյան
lecture	դասախոսություն
fence	ցանկապատ
caterpillar	թրթուր
papakha	փափախ
slovenly	փնթի
medieval	միջնադարյան
airline	ավիաընկերություն
method	մեթոդ
ginger	կոճապղպեղ
charm	հրապույր
flabby	փափկամորթ
soft	փափուկ
toy	խաղալիք
file	նիշք
folder	պանակ
server	սպասարկիչ
serve	սպասարկել
khash	խաշ
housewife	տնային տնտեսուհի
matron	տանտիկին
hostess	տանտիրուհի
cereal	ընդեղեն
epoch	ժամանակաշրջան
form	կաղապար
Kaladze	Կալաձե
show	ցույց տալ
ham	ապուխտ
demonstration	ցույց
past	անցյալ
Sarafyan	Սարաֆյան
sleeping bag	քնապարկ
beware	զգուշանալ
clutch	կցորդիչ
coupling	կցորդում
pill	հաբ
legend	ավանդություն
tradition	ավանդույթ
lock	կողպել
key	բանալի
thermometer	ջերմաչափ
muesli	մյուսլի
Achilles tendon	աքիլեսյան ջիլ
scared	վախեցած
jeans	ջինս
Nazaryan	Նազարյան
Nazar	Նազար
rocket	հրթիռ
drug	թմրամիջոց
diagnosis	ախտորոշում
diagnose	ախտորոշել
crater	խառնարան
free	արձակ
manual	ձեռնարկ
comment	մեկնաբանություն
participant	մասնակից
strawen	ծղոտե
cellar	ներքնատուն
giaour	գյավուր
context	շրջարկ
context	համատեքստ
text	տեքստ
concept	հղացք
humanity	մարդկություն
vegetable	բուսական
aid	աջակցել
monster	հրեշ
money laundering	փողերի լվացում
impertinent	հանդուգն
Garik	Գարիկ
Garegin	Գարեգին
startup	ստարտափ
disappointed	հիասթափվել
long-term	երկարաժամկետ
term	ժամկետ
empty-headed	դատարկագլուխ
thickheaded	հաստագլուխ
dowry	օժիտ
Perikhanyan	Փերիխանյան
Parikhan	Փարիխան
declaration	հայտարարություն
pleasant	դուր գալ
fur	մուշտակ
stubborn	կամակոր
plough	վարել
doink	կկել
sea angel	ծովահրեշտակիկ
download	ներբեռնել
download	ներբեռնում
magnifying glass	խոշորացույց
thimble	մատնոց
kneecap	ծնկոսկր
pus	թարախ
average adjuster	դիսպաշեր
central bank	կենտրոնական բանկ
greens	բանջար
screech	ծղրտալ
singing	երգեցողություն
rag	փալաս
subscription	աբոնեմենտ
subscription	աբոնեմենտային
subscriber	աբոնենտ
real	բուխ
Bukharian	բուխարա
Bukharian	բուխարական
fireplace	բուխարիկ
glow	շիկանալ
sign	ստորագրել
absolute	աբսոլյուտ
abstract	աբստրակտ
abstraction	աբստրակցիա
abstract	աբստրահել
abstraction	աբստրահում
absurdity	աբսուրդ
grow	աճեցնել
hymen	կուսաթաղանթ
film	թաղանթ
pacifier	ծծակ
state	վիճակ
cottage	տնակ
decade	տասնամյակ
stupid	տուպոյ
adherence	սկզբունքայնություն
dogmatism	դոգմատիզմ
regime change	իշխանափոխություն
reform	ռեֆորմ
element	էլեմենտ
petrodollar	նավթադոլար
increase	շատանալ
business	բիզնես
sharp	կտրուկ
Ilham	Իլհամ
independent	ինքնուրույն
accuse	մեղադրել
check	ստուգել
power	իշխանություն
container	տարա
tare	աբրա
silk	աբրեշում
silken	աբրեշումե
shame	աբուռ
disenfranchised	իրավազուրկ
stammering	թլվատ
stammer	թլվատել
employ	բանեցնել
decision	որոշում
espionage	լրտեսություն
spy	լրտեսել
gunny sack	ջվալ
treason	մատնություն
listen	ունկնդրել
hinder	խոչընդոտել
piercing	թորիծ
plough	արորել
build	կերտել
deceitful	դաղալ
textbook	դասագիրք
alternative	այլընտրանք
Eurasian	եվրասիական
unshakable	անսասան
sway	երերալ
doubt	վարանել
doubt	վարանք
doubting	վարանում
definite	վճռական
determination	վճռականություն
artillery	հրետանի
businessman	բիզնեսմեն
Ruben	Ռուբեն
power supply	հոսանքի աղբյուր
arrears	ապառք
indetermination	անվճռականություն
indeterminate	անվճռական
indeterminately	անվճռականորեն
diverge	տարամիտել
doubt	երկմտել
doubt	երկմտանք
hesitantly	երկմտորեն
hesitantly	երկմտի
doubt	երկբայել
doubt	երկբայություն
doubt	երկբայանք
doubtful	երկբայելի
doubtfully	երկբայորեն
doubtfully	երկբայաբար
doubt	կասկածել
doubtful	կասկածելի
doubtfulness	կասկածելիություն
excite	գրգռել
instigate	սադրել
provocation	սադրանք
instigator	սադրիչ
admonish	հորդորել
exhortation	հորդորանք
persuading	հորդորեցուցիչ
persuading	հորդորիչ
spur	դրդել
Leicester	Լեստեր
pursuing	հետամուտ
original	սկզբնագիր
original	բնագիր
epigraph	բնաբան
intelligent	խոհեմ
intelligent	խոհական
intelligent	խոհամիտ
careful	շրջահայաց
farsighted	հեռատես
sane	ողջախոհ
abstinent	ժուժկալ
risk	ռիսկ
endure	տոկալ
enduring	դիմացկուն
sturdy	ամրակազմ
stable	կայուն
certain	հաստատուն
unyielding	աննկուն
durable	տոկուն
endurance	տոկունություն
certain	որոշակի
apparent	բացահայտ
clear	ակներեւ
clearly	ակներեւաբար
clearly	ակներեւապես
clearly	ակներեւորեն
clearly	հայտնապես
clearly	հստակորեն
obvious	բացորոշ
obviously	բացորոշաբար
obviously	բացորոշակի
obviously	բացորոշապես
clear	պարզորոշ
clearly	պարզորոշաբար
obvious	ակնհայտ
obvious	ակնհայտնի
indefinite	անորոշակի
indefinitely	անորոշաբար
indefinite	անորոշանալ
decide	անորոշելի
indefiniteness	անորոշություն
hazy	մշուշապատ
fashion	մոդա
send	հղել
appeal	բողոքարկել
look	նայվածք
worn	հալումաշ
desecrate	պղծել
արգելախութ	Մեծ արգելախութ
petition	խնդրագիր
reckon	հատուցել
reckoning	հատուցում
send	ճամփել
travel	ճամփորդել
travel	ճանապարհորդել
irony	հեգնանք
ironic	հեգնական
mock	հեգնել
as	իբր
gigantic	հսկայական
unmanned	անօդաչու
uninhabited	անմարդաբնակ
uninhabited	անբնակ
uninhabited	անշեն
empty	անբովանդակ
homeless	անտուն
deserted	ամայանալ
abandoned	լքավեր
discourage	հուսալքել
hopeless	հուսահատ
hopelessness	հուսահատություն
discourage	հուսահատեցնել
hopelessly	հուսահատաբար
hopelessly	հուսահատորեն
hopeless	վհատ
discouraged	վհատել
discourage	վհատեցնել
hopelessness	վհատական
hopelessness	վհատեցուցիչ
hopelessness	վհատիչ
hopelessly	վհատորեն
hopelessness	վհատություն
hopelessness	հուսալքություն
discouraging	վհատում
hopeless	հուսակտուր
hopeless	հուսալքված
hopeless	հուսակորույս
abandoned	բարձիթողի
castrate	ամորձատել
castrate	ներքինացնել
together	միատեղ
splendid	փառավոր
splendidly	հոյաշեն
splendidly	հոյակառույց
splendidly	հոյակերտ
festive	հանդիսավոր
famous	հռչակավոր
renowned	մեծանուն
renowned	համբավավոր
notable	երեւելի
notable	ականավոր
famous	նշանավոր
extraordinary	արտակարգ
exclusive	բացառիկ
hairdryer	ֆեն
exception	բացառել
exceptionally	բացառաբար
ablative	բացառական
exceptionality	բացառիկություն
exception	բացառություն
splendid	ճոխ
magnificent	փարթամագեղ
splendid	փարթամակեցություն
opulence	փարթամակյաց
luxuriantly	փարթամանալ
splendidly	փարթամորեն
splendidly	փարթամապես
potbellied	փարթամորովայն
thickness	փարթամություն
splendid	մեծահանդես
splendid	մեծաշուք
splendid	մեծաշքեղ
splendor	մեծաշքեղություն
big-boned	մեծաոսկոր
festively	հանդիսավորապես
festivity	հանդիսավորություն
shining	փայլունակ
shine	փայլունակություն
shiny	փայլունանալ
shiny	փայլունացնել
shiny	փայլունացում
shine	փայլունություն
expansive	լայնատարած
expansive	ընդարձակ
