he	on
pulley	kladkový
Czechoslovak	československý
physiotherapeutic	fyzioterapeutický
haulier	dopravce
hardly	jedva
march	marš
bustard	drope
neurotransmitter	neuropřenašeč
synaptic	synaptický
lukewarm	vlažný
inexhaustible	nevyčerpatelný
memorize	memorovat
vegetative	vegetativní
vizier	vezír
evangelical	evangelický
solve	luštit
nuclear	nukleární
jaderný reaktor	jaderný reaktor
sněžný skútr	sněžný skútr
Dadaist	dadaista
insecticide	insekticid
milling machine	frézka
rigid	rigidní
sluneční vítr	sluneční vítr
hvězdný vítr	hvězdný vítr
inflammatory	zánětlivý
sagittal	sagitální
caption	popisek
palička na maso	palička na maso
velodrome	velodrom
-ation	-ace
otorhinolaryngologist	otorinolaryngolog
run over	přejet
get across	objasnit
spray	sprej
biathlon	biatlon
kroužkové brnění	kroužkové brnění
kroužková zbroj	kroužková zbroj
brutal	brutální
depressive	depresivní
spiral	spirální
plasmid	plazmid
corticosteroid	kortikoid
simony	simonie
emptiness	prázdnota
poetry	veršovnictví
poetry	básnictví
vulgar	vulgární
mastocytosis	mastocytóza
prednisone	prednison
prednisone	prednizon
angioedema	angioedém
edema	edém
diphenhydramine	difenhydramin
intradermal	intradermální
autoinjector	autoinjektor
eosinophil	eozinofil
černý kašel	černý kašel
cystic fibrosis	cystická fibróza
refundable	splatitelný
haircut	frizúra
hieroglyph	hieroglyf
bluff	blafovat
orofacial	orofaciální
srdce	ruku na srdce
extrusive	extruzivní
extrusion	extruze
flexible	flexibilní
fragmentary	fragmentární
sensational	počitkový
invincible	nepřemožitelný
invulnerable	nezranitelný
psychoanalyst	psychoanalytik
psychoanalytic	psychoanalytický
ticklish	lechtivý
deletion	škrt
drool	slintat
fitting	kování
thwart	překazit
thwart	zmařit
duplex	duplexní
turbine	turbína
addict	závislák
sensitive	senzitivní
biotite	biotit
reprove	napomenout
Goliath	Goliáš
nymphomania	nymfomanie
Görlitz	Zhořelec
macron	makron
mythology	bájesloví
diabetic	diabetik
diabetic	cukrovkář
wheelchair user	vozíčkář
pacemaker	kardiostimulátor
cardiological	kardiologický
Frenchman	žabožrout
heterogeneity	různorodost
repertoire	repertoár
sportsman	borec
probably	pravděpodobně
steak	biftek
cache	keš
sss	ss
digitization	digitalizace
straighten	narovnat
washtub	lavor
peony	pivoňka
yurt	jurta
bilocation	bilokace
cytological	cytologický
základní interakce	základní interakce
interactivity	interaktivnost
smuggler	pašerák
fascinated	fascinovaný
electromagnetic interaction	elektromagnetická interakce
gravitational interaction	gravitační interakce
strong interaction	silná interakce
strong nuclear interaction	silná jaderná interakce
weak interaction	slabá interakce
weak nuclear interaction	slabá jaderná interakce
economical	úsporný
battered	zbitý
battered	bitý
battered	skloněný
magmatic	magamatický
register	registrovat
volcanic	vulkanický
volcanological	vulkanologický
vocalic	vokalický
impulsiveness	impulzivnost
impulsively	impulzivně
impulse	impulz
imputative	imputativní
impute	imputovat
imputation	imputace
rash	ukvapený
mythological	mytologický
chromatic	chromatický
mythologically	mytologicky
sexuální orientace	sexuální orientace
bisexuality	bisexualita
heterosexuality	heterosexualita
homosexuality	homosexualita
pansexuality	pansexualita
orientation	orientace
ballistic	balistický
scummy	pěnovitý
nucleic	nukleový
reputation	reputace
intelligent	inteligentní
demigod	polobůh
come out	dopadnout
borscht	boršč
Czechoslovak	SČSP
stroj čas	stroj času
New York	newyorský
homeless person	bezdomovec
homeless person	houmlesák
district	župa
rickety	vratký
New Yorker	Newyorčan
out of control	vymknout z ruky
proconsulate	místodržitelství
smoky	čadící
smolder	čadit
niobous	niobitý
sooty	čadivý
proprietary	proprietární
progressive	progresivní
regressive	regresivní
hang up	zavěsit
quorum	kvorum
concrete term	konkrétum
genocidal	genocidní
freezing	mrazivý
inductive	induktivní
inductively	induktivně
inductive	indukční
induced	indukovaný
inductively	indukčně
inductance	indukčnost
icily	ledově
frostiness	ledovost
chilliness	mrazivost
chillingly	mrazivě
chilly	prostydlý
snowy	sněhový
sněhový pluh	sněhový pluh
snowdrift	sněhová závěj
blizzard	sněhová vichřice
snowiness	sněhovost
snowy	zasněžený
drift	závěj
xylophagous	xylofágní
blizzard	sněhová bouře
snowfall	sněhové srážky
snowfall	chumelenice
Comecon	RVHP
acquaint	seznámit
dating service	seznamka
geodetic	geodetický
gravimetric	gravimetrický
sootless	nečadivý
geotropic	geotropický
globular	globulární
gerontological	gerontologický
geodynamic	geodynamický
geriatric	geriatrický
germicide	germicid
germicidal	germicidní
political party	partaj
foreign policy	zahraničněpolitický
internal policy	vnitropolitický
gullibility	důvěřivost
spatula	špátle
parliamentary	parlamentní
toxicity	toxicita
galactose	galaktosa
gelignite	gelignit
sootiness	ukoptěnost
dodgy	ulejvácký
cytoplasmic	cytoplasmatický
hypoxia	hypoxie
defeatism	defétismus
anarchism	anarchismus
safecracker	kasař
cytotoxic	cytotoxický
brilliance	duchaplnost
toxicity	jedovatost
awareness	informovanost
kosmický let	kosmický let
space	kosmický
cosmographic	kosmografický
cosmography	kosmografie
cosmographically	kosmograficky
cosmologically	kosmologicky
erosive	erozívní
eruptive	eruptivní
eruptiveness	eruptivnost
erosion	erozní
erosiveness	erozivnost
escalation	eskalace
ethnologic	etnologický
ethnologically	etnologicky
ethnographic	etnografický
ethologic	etologický
furry	srstnatý
furriness	srstnatost
cruise	křižovat
shaded	stínovaný
secretion	sekreční
apartment building	panelák
rebirth	znovuzrození
skilled	dovedný
proficiently	dovedně
plantation	plantáž
study	pracovna
workshop	dílna
desire	tužba
voltage	voltáž
cup	číše
this	tenhle
this	tahle
this	tohle
Mrs	paní
innovation	inovace
fountain	kašna
indestructible	nezničitelný
hovercraft	vznášedlo
town	městys
fibromyalgia	fibromyalgie
požádat	po-
news	novina
astrologer	hvězdopravec
astrological	astrologický
astrology	hvězdopravectví
pitch	rozteč
dad	tatínek
whereas	kdežto
apparently	zjevně
apparent	zjevný
machete	mačeta
mortar	minomet
jízdní kolo	jízdní kolo
foil	fleret
biblical	bibl.
folk dance	sousedská
Christadelphian	kristadelfiánský
Christadelphian	kristadelfián
Socinian	socinián
assemble	sestavit
optionality	volitelnost
tear off	servat
Macedonian	Makedonka
transport	přeprava
pictogram	piktogram
imposing	impozantní
perfect	perfektní
reflexive verb	zvratné sloveso
nihilist	nihilista
electrocardiogram	elektrokardiogram
aerobics	aerobik
Anglican	anglikán
crater	kráter
terminal	terminál
positivist	pozitivista
cubist	kubista
expert	odborný
Faroe Islands	Faerské ostrovy
environment	životní prostředí
rain lightly	poprchávat
rainy	deštivý
blind	nevidomý
blind person	slepec
severity	závažnost
context	kontext
bark	štěkot
conformist	konformista
fan	ventilátor
remeasure	přeměřit
Iron Curtain	železná opona
in spite of	navzdory
Leo	Lev
serenade	serenáda
keep it up	jen tak dál
a tak dále	a tak dále
etc.	atd.
and so on	apod.
a podobně	a podobně
towards	vůči
you're welcome	rádo se stalo
hideout	skrýš
quantity	kvantum
audience	publikum
planetarium	planetárium
Muslim	mohamedán
agent noun	-ec
great-granddaughter	pravnučka
plank	prkno
demonym	-čan
demonym	-nec
oneself	sobě
factory farm	velkofarma
LLC	s r.o.
JSC	a.s.
joint-stock company	akciová společnost
half time	poločas
treatment	kúra
yum	mňam
ferry	trajekt
fishing	rybolov
blackmailer	vyděrač
muskrat	ondatra
pragmatic	pragmatický
phlegmatic	flegmatický
cunning	mazaný
sunflower oil	slunečnicový olej
rapeseed oil	řepkový olej
linseed oil	lněný olej
walnut	ořešák
gross	veletucet
postal code	PSČ
poštovní směrovací číslo	poštovní směrovací číslo
casein	kasein
stearic acid	kyselina stearová
carmine	karmín
carmine	karmazín
carmine	košenila
urea	močovina
carbamide	karbamid
ballerina	balerína
unobtrusive	decentní
nearby	poblíž
sway	kymácet
ill	chorý
botch	zbabrat
hippocampus	hipokampus
phoneme	foném
piece	poznatek
convent	konvent
expensively	draze
přijít draze	přijít draze
spiny lobster	langusta
citrus fruit	citrusové ovoce
neat	úhledný
natty	fešácký
fešačka	fešák
brave	chrabrý
valour	chrabrost
glitter	třpytit
noncarbonated	neperlivý
forbearing	shovívavý
insignificant	nepodstatný
weighty	závažný
heterophoria	heteroforie
hraniční přechod	hraniční
esophoria	esoforie
exophoria	exoforie
python	krajta
rechristen	překřtít
predisposition	predispozice
posttraumatic	posttraumatický
ophthalmologist	očař
monarchist	monarchista
monarchism	monarchismus
paranoid	paranoidní
paranoid	paranoik
cockchafer	chroust
subcommittee	podvýbor
meta-analysis	metaanalýza
heritability	dědivost
objectivity	objektivita
nihilistic	nihilistický
catatonic	katatonický
catatonic	katatonní
catatonia	katatonie
integral	nedílný
biblical	biblický
lymph node	uzlina
plasma	plazmový
octogenarian	osmdesátník
vicenarian	dvacátník
septuagenarian	sedmdesátník
sexagenarian	šedesátník
quinquagenarian	padesátník
quadragenarian	čtyřicátník
tricenarian	třicátník
green-eyed	zelenooký
enviable	záviděníhodný
surprising	překvapivý
surprising	překvapující
synonym	slovo souznačné
antonym	opozitum
gallows	šibenice
fine-tune	doladit
domácí pekárna	domácí pekárna
prefill	předvyplnit
unenviable	nezáviděníhodný
fallacious	klamný
swift parrot	latam
smoothness	hladkost
devotion	oddanost
loyalty	loajalita
loyal	loajální
angle grinder	flexa
blunder	trapas
con	negativum
libertarianism	libertarianismus
feminine	femininum
linguistically	linguisticky
adorable	rozkošný
elephant	sloní
female elephant	slonice
elephant	slůně
formula	receptura
of course	arci
exercise book	sešit
actually	vlastně
distinctive	osobitý
withered	zvadlý
operační sál	operační sál
operating	operační
inexplicably	nepochopitelně
general anesthesia	narkóza
Schutzstaffel	esesák
svět	svět se nezboří
conspirator	konspirátor
darn	sakra
wether	skopec
monadic	monadický
usurer	lichvář
gloomy	ponurý
female usurer	lichvářka
pentagon	pětiúhelník
heptagon	sedmiúhelník
nonagon	devítiúhelník
decagon	desetiúhelník
dodecagon	dvanáctiúhelník
hendecagon	jedenáctiúhelník
three	třítýdenní
two	dvoutýdenní
four	čtyřtýdenní
one	jednotýdenní
shallow	plytký
precious	skvostný
bulky	mohutný
thrilling	vzrušující
cumulative	kumulativní
dualist	dualista
non-verbal	neverbální
sister	ségra
brother	brácha
rehabilitation	rehabilitace
antistress	protistresový
antistress	antistresový
crystal meth	piko
arabesque	arabeska
successfully	zdárně
web page	webovky
amusing	úsměvný
helpful	vstřícný
undecane	undekan
dodecane	dodekan
repulsive	odporný
controversial	kontroverzní
uncontroversial	nekontroverzní
indisputable	nesporný
undeniable	nepopíratelný
contradictable	popíratelný
indubitable	nepochybný
seriously	vážně
multiple	několikanásobný
severalfold	několikanásobně
reliability	nespolehlivost
authoritatively	autoritativně
apple	jablkový
pomerančový džus	pomerančový džus
orange	pomerančový
kokosové mléko	kokosový
pistachio	pistáciový
poppyseed	makový
nutty	ořechový
rice milk	rýžové mléko
coconut milk	kokosové mléko
almond milk	mandlové mléko
soy milk	sojové mléko
soy	sojový
rice	rýžový
almond	mandlový
ease	lehkost
atheist	ateistický
animal	živočišný
plant	rostlinný
užitková funkce	užitkový
mullein	divizna
justice	spravedlivost
injustice	nespravedlivost
Sophocles	Sofokles
thousandth	tisící
hundredth	stý
bitch	ludra
cheek	lícní
inside out	naruby
na líc	na líc
backwards	pozpátku
kinship	příbuznost
dryness	suchost
local	tamní
unlucky	smolný
unfortunately	naneštěstí
callous	otrlý
astronautics	astronautika
bring about	přivodit
resound	rozlehnout
successor	nástupce
cozy	útulný
uncompromising	nekompromisní
rigorous	rigorózní
unyielding	neústupný
religious	religiózní
feasibly	proveditelně
mystic	mystik
sufficiently	sdostatek
bondage	poddanství
BCE	př. n. l.
CE	n. l.
before Common Era	před naším letopočtem
Common Era	našeho letopočtu
quality	kvalitní
hydroxytryptophan	hydroxytryptofan
revolutionary	převratný
tyrosine	tyrozin
charger	nabíječka
charge	nabít
interbank	mezibankovní
aerobic	aerobní
anaerobic	anaerobní
thoroughly	důkladně
inelegantly	neelegantně
inelegant	neelegantní
insipid	mdlý
insipidly	mdle
insipidity	mdlost
nickname	přezdívat
striped	proužkovaný
once	kdysi
insurmountably	nepřekonatelně
distinguish	odlišit
differently	odlišně
gorge	žleb
doodle	čmáranice
fluid	fluidum
tiny	malinký
tiny	maličký
default	defaultní
shake	zachvívat
the other way around	naopak
historical	historický
manage	podařit
doing	dařit
phonograph	fonograf
decagram	dekagram
Albanian	albánský
randomly	náhodně
fried egg	volské oko
smoke	udit
smoked	uzený
daughter nuclide	dceřiný nuklid
mother nuclide	mateřský nuklid
nuclide	nuklid
radionuclide	radionuklid
monster	obluda
count	spočíst
noble	ušlechtilý
asynchronously	asynchronně
kaolinite	kaolinit
by heart	zpaměti
by heart	nazpaměť
as well as	jakož
transvestite	travesti show
driver's license	řidičák
bus driver	autobusák
holder	držitel
touching	dojemný
vomer bone	kost radličná
plážový volejbal	plážový volejbal
volleyball	volejbal
volleyball	odbíjená
beach	plážový
report	nahlásit
hereby	tímto
impel	pudit
shell game	skořápky
destruction	zhouba
life	žití
many	četní
mourn	truchlit
farewell	rozloučení
bashfully	stydlivě
potential	potencionální
row	řádka
ionosphere	ionosféra
first	nejprve
styrene	styren
sleep	hajat
drip down	skapat
puke	blinkat
baguette	veka
place	tamtéž
too	též
hearts	srdcový
diamonds	kárový
spades	pikový
abstract term	abstraktum
brand	cejch
indeclinable	nesklonný
everything in moderation	všeho moc škodí
periodontitis	parodontóza
dysphoria	dysforie
farandole	farandola
myco-	myko-
split	rozpolcený
reside	sídlit
Pericles	Perikles
Pericles	Periklés
wear out	opotřebovat
wear	opotřebování
wear	opotřebení
antispam	protispamový
antispam	antispamový
specify	specifikovat
installer	instalátor
installation	instalační
fury	zuřivost
yettiové	yetti
drunk	zpitý
high priest	velekněz
sweep	mést
eye socket	očnice
subarachnoid	subarachnoidální
palpation	palpace
palpate	palpovat
diffuse	difuzní
hemicrania	hemikranie
supraorbital	supraorbitální
supraorbital	nadočnicový
hypercapnia	hyperkapnie
temporomandibular	temporomandibulární
retained	retinovaný
affection	afekce
occipital	okcipitální
by hand	ručně
web	pavučina
mechanism	mechanismus
regrettable	politováníhodný
gingivitis	gingivitida
metaphysician	metafyzik
reinstall	přeinstalovat
reinstall	reinstalovat
meningeal	meningeální
paroxysmal	paroxysmální
innervation	inervace
innervate	inervovat
migraine	migrenózní
vertebrogenic	vertebrogenní
anal	anál
haptic	hmatový
present	současnost
star cluster	hvězdokupa
disappear	mizet
nazdar	narozdíl od
suicide	suicidium
work	hokna
washer	pradlena
anvil	kovadlina
alley	ulička
k	pobádat
unintentionally	neúmyslně
diligently	pilně
construction site	staveniště
transgressive	mna
godly	bohulibý
counterrevolution	kontrarevoluce
counterrevolutionary	kontrarevoluční
counterrevolutionary	kontrarevolucionář
component	komponent
detonation	detonace
at least	přinejmenším
koronární arterie	koronární arterie
coronary	koronární
coronal	koronální
Armenian	arménský
ichthyology	ichtyologie
Armenian	arménština
sly	lstivý
vulpine	lišácký
two	dvě
mum	máma
farewell	žij blaze
brutality	ukrutnost
exceed	předstihovat
thematic	tematický
reject	zavrhnout
Cossack	kozák
garment	roucho
inch	coul
charm	půvab
label	škatulka
old man	stařec
old woman	stařena
glaze	ledovka
honeycomb	plást
honeycomb	plástev
cold fish	studený čumák
wax	voskovat
oblong	podlouhlý
mamilární tělísko	mamilární tělísko
allotropy	alotropie
iron	vyžehlit
iron	žehlit
team sport	kolektivní sport
trifle	maličkost
tract	trakt
geography	zeměpis
horny	nadržený
undaunted	neohrožený
notary	notář
product range	sortiment
untouched	nedotčený
surrender	odstoupit
resignation	odstoupení
-graph	-graf
kostní dřeň	kostní
kostní dřeň	kostní dřeň
broken	zlomený
monster	zrůda
sit-up	sedoleh
unwanted	nechtěný
engine driver	strojvedoucí
antigovernment	protivládní
grouse	reptat
draw	remíza
thermistor	termistor
pornographic	pornografický
inaudible	neslyšitelný
multiple	násobek
footballer	fotbalista
basketball player	basketbalista
volleyball player	volejbalista
tabulator	tabelátor
insanely	šíleně
disquieting	znepokojivý
decoration	ozdoba
dát pokoj	dát pokoj
leave alone	nechat na pokoji
nechat být	nechat být
dát svátek	dát svátek
intramuscular	nitrosvalový
intramuscular	intramuskulární
screensaver	šetřič obrazovky
masculine	maskulinum
dispensable	zbytný
reader	čítanka
twentieth	dvacátý
thirtieth	třicátý
fortieth	čtyřicátý
fiftieth	padesátý
sixtieth	šedesátý
seventieth	sedmdesátý
eightieth	osmdesátý
ninetieth	devadesátý
thirteenth	třináctý
fourteenth	čtrnáctý
fifteenth	patnáctý
sixteenth	šestnáctý
seventeenth	sedmnáctý
eighteenth	osmnáctý
nineteenth	devatenáctý
twentieth	dvacetina
thirtieth	třicetina
fortieth	čtyřicetina
fiftieth	padesátina
sixtieth	šedesátina
seventieth	sedmdesátina
eightieth	osmdesátina
ninetieth	devadesátina
millionth	milióntý
two-hundredth	dvoustý
three-hundredth	třístý
four-hundredth	čtyřstý
five-hundredth	pětistý
six-hundredth	šestistý
seven-hundredth	sedmistý
eight-hundredth	osmistý
nine-hundredth	devítistý
tsarina	carevna
censor	cenzurovat
vascular	cévní
foreigner	cizinka
Cyrillic	cyrilice
deciliter	decilitr
decimeter	decimetr
additional	dodatečný
annual	výroční
relative pronoun	vztažné zájmeno
hexadecimal	hexadecimální
hexadecimal	šestnáctkový
binary	dvojkový
binary	binární
Hawaii	Havaj
Hebrew	hebrejský
hunger	hladovět
hierarchical	hierarchický
hierarchy	hierarchie
mountain bike	horské kolo
Ukrainian	ukrajinština
misleading	zavádějící
considerable	značný
singer	zpěvačka
zelený čaj	zelený čaj
černý čaj	černý čaj
adherent	přívrženec
straightforward	přímočarý
surprised	překvapený
invitation	pozvání
planar	rovinný
Rwandan	rwandský
Regensburg	Řezno
Saharan	saharský
Serbo-Croatian	srbochorvatský
Serbo-Croatian	srbochorvatština
submachine gun	samopal
Sakhalin	Sachalin
self-study	samostudium
saxophonist	saxofonistka
farewell	sbohem
Socinian	sociniánský
stochastic	stochastický
bunting	strnad
economy	ekonomika
format	formátovat
Greenlandic	grónština
Greenlandic	grónský
guillotine	gilotina
galleon	galeona
galley	galéra
Galician	galicijština
Galician	galicijský
Galicia	Halič
harem	harém
hermaphrodite	hermafrodit
Herod	Herodes
hyperbolic	hyperbolický
infrared	infračervený
ultraviolet	ultrafialový
Indochina	Indočína
dachshund	jezevčík
Judas	Jidáš
Yugoslavia	Jugoslávie
Chukotka	Čukotka
Carthage	Kartágo
castanets	kastaněty
collaborate	kolaborovat
gonorrhea	kapavka
Kurdish	kurdština
Kurdish	kurdský
kitchen	kuchyňský
cubism	kubismus
Lapland	Laponsko
Leipzig	Lipsko
létající talíř	létající talíř
Hungarian	Maďarka
model	manekýna
model	manekýnka
model	manekýn
Manchuria	Mandžusko
Maoism	maoismus
marshal	maršál
mathematically	matematicky
deafening	ohlušující
entertaining	zábavný
entertainment	zábavní
ginger	zázvorový
glockenspiel	zvonkohra
beat up	zmlátit
prevent	zabránit
perish	zahynout
shoot	zastřelit
busy	zaneprázděný
Abkhaz	abcházština
Abkhaz	abcházský
Ainu	ainština
Aymara	ajmarština
alternative	alternativní
altruistic	altruistický
Algerian	Alžířanka
Altay	Altaj
ampere	ampér
amylase	amyláza
anabolism	anabolismus
catabolism	katabolismus
architect	architektka
apatite	apatit
Azerbaijani	ázerbájdžánský
Azerbaijani	ázerbájdžánština
Azerbaijani	Ázerbájdžánec
Azerbaijani	Ázerbájdžánka
Bahamian	bahamský
Bahraini	bahrajnský
Belgian	Belgičanka
doctor	doktorka
Austrian	Rakušanka
Russian	Ruska
Frenchwoman	Francouzka
Spanish woman	Španělka
Astrakhan	Astrachaň
astronomical unit	astronomická jednotka
Turkmen	turkmenský
Turkmen	turkmenština
atheist	ateistka
Australian	Australanka
avocado	avokádo
white wine	bílé víno
red wine	červené víno
rosé wine	růžové víno
banjo	benžo
banjo	bendžo
Byzantium	Byzantion
capital city	Cchinvali
Dalmatian	dalmatština
Dalmatia	Dalmácie
Dalmatian	dalmatský
emigration	emigrace
Faroese	faerština
Faroese	faerský
Flanders	Flandry
Hezbollah	Hizballáh
Hokkaido	Hokkaidó
Iwo Jima	Iwodžima
isomerase	izomeráza
Yalta	Jalta
South Korean	jihokorejský
Cappadocia	Kappadokie
Corsican	korsický
Corsican	Korsičan
Corsican	Korsičanka
Korean	korejský
cosmetologist	kosmetolog
cosmetological	kosmetologický
cosmetology	kosmetologie
Kosovar	kosovský
Königsberg	Královec
Curonian	kuronský
smoker	kuřačka
Ligurian	ligurský
Los Angeles	losangeleský
Matsuyama	Macujama
Asia Minor	Malá Asie
Cape of Good Hope	mys Dobré naděje
Nagorno-Karabakh	Náhorní Karabach
nucleic acid	nukleová kyselina
Ossetia	Osetie
Dniester	Dněstr
Austria-Hungary	Rakousko-Uhersko
Northern Ireland	Severní Irsko
Scheldt	Šelda
Tyre	Týros
skater	bruslař
aerological	aerologický
Åland	Alandy
Thrace	Thrákie
Anglicist	anglistka
archduke	arcivévoda
Asclepius	Asklépios
Bangladeshi	bangladéšský
Bangladeshi	Bangladéšan
Barbadian	barbadoský
Barbadian	Barbadosan
childless	bezdětný
run	běhat
score	bodovat
Chechen	čečenština
Chechen	Čečenka
Chechen	Čečenec
Chechen	čečenský
black	černoch
black	černoška
black	černošský
Far East	Dálný východ
Middle East	Blízký východ
differentiate	derivovat
diocese	diecéze
devilish	ďábelský
electrolysis	elektrolýza
electrolytic	elektrolytický
enteritis	enteritida
etymologically	etymologicky
importer	importér
exporter	exportér
import	importovat
export	exportovat
excommunication	vyobcování
excommunicate	vyobcovat
excommunicate	exkomunikovat
exorcism	exorcismus
excite	excitovat
excitation	excitace
excitation	excitační
vibration	vibrace
entomologist	entomolog
entomological	entomologický
extract	extrahovat
parochial	farní
violet	fialový
congratulation	gratulace
Gujarati	gudžarátština
Gujarati	gudžarátský
hepatocyte	hepatocyt
herpetologist	herpetolog
herpetological	herpetologický
hydraulics	hydraulika
hydraulic	hydraulický
hygroscopic	hygroskopický
hydrophyte	hydrofyt
chronological	chronologický
Indonesian	Indonésanka
Icelander	Islanďanka
iteration	iterace
iterator	iterátor
iterate	iterovat
ash	jasanový
campanology	kampanologie
campanologist	kampanolog
campanological	kampanologický
collectivist	kolektivistický
collectivism	kolektivismus
collectivist	kolektivista
colonialism	kolonialismus
colonial	koloniální
colonization	kolonizace
colonize	kolonizovat
colonist	kolonista
Confucius	Konfucius
conversation	konverzace
converse	konverzovat
conservation	konzervace
tartaric acid	kyselina vinná
spaceport	kosmodrom
Latin America	Latinská Amerika
Lutheran	luteránský
Lutheran	luterán
Lutheranism	luteránství
violet	fialka
county	hrabství
hostess	hostitelka
manual	manuální
mangle	mandl
satellite	satelitní
myxomatosis	myxomatóza
myxoma	myxom
certainly	jistě
apricot	meruňkový
methionine	methionin
metallurgist	metalurg
metallurgical	metalurgický
monoculture	monokultura
multicultural	multikulturní
monsoon	monzun
monotheism	monoteismus
polytheism	polyteismus
polytheistic	polyteistický
monotheistic	monoteistický
motor	motorický
motor function	motorika
moraine	moréna
Paleolithic	paleolit
copper	měděný
copper	měďák
silver	stříbrňák
coppersmith	mědikovec
mortuary	márnice
Nazism	nacismus
Nazi	nacista
Nazi	nacistický
irregularly	nepravidelně
insatiable	neukojitelný
nosit dříví do les	nosit dříví do lesa
nuclease	nukleáza
nationalism	nacionalismus
nationalist	nacionalistický
necromancy	nekromancie
non-smoker	nekuřák
non-smoker	nekuřačka
nejstarší řemeslo	nejstarší řemeslo
inhuman	nehumánní
figuratively	obrazně
defender	obránce
occupied	obsazený
deflower	odpanit
astonished	ohromený
occupation	okupace
occupy	okupovat
occupied	okupovaný
carefully	opatrně
fence	oplotit
noose	oprátka
repair shop	opravna
dandelion	pampeliška
pattypan	patizon
parsnip	pastinák
permutation	permutace
Pan-Slavism	panslavismus
Pan-Slavism	všeslovanství
Pan-Germanism	pangermanismus
polonaise	polonéza
relatively	poměrně
relatively	relativně
food	potrava
positivist	pozitivistický
prelate	prelát
antidote	protijed
adherent	příznivkyně
detractor	odpůrkyně
favorably	příznivě
unfavorably	nepříznivě
swear	přísahat
limpet	přílipka
ichthyologist	ichtyolog
ichthyological	ichtyologický
eel	úhoř
psychologist	psycholožka
astrologist	astroložka
rhubarb	rebarbora
rectorate	rektorát
recyclability	recyklovatelnost
recyclable	recyklovatelný
retroactive	retroaktivní
reset	resetovat
rhizosphere	rhizosféra
rodný list	rodný list
prop	rekvizita
reliquary	relikviář
diluted	ředěný
fritillary	řebčík
pipe	svislítko
sulfamethoxazole	sulfamethoxazol
sulfamethoxazole	sulfametoxazol
red lead	suřík
synopsis	synopse
synod	synoda
backwards	zaostalý
locust	saranče
satanism	satanismus
Satanic	satanistický
sled	sáňky
fathom	sáh
sisterly	sesterský
brotherly	bratrský
reap	sklízet
contemporary	současník
contemporary	současnice
comrade	soudružka
Stalinism	stalinismus
Stalinist	stalinistka
Stalinist	stalinistický
ancient	starověký
stoichiometric	stechiometrický
silversmith	stříbrotepec
simony	svatokupectví
choke	sytič
rennet	syřidlo
sloop	šalupa
shashlik	šašlik
kindergarten	školka
schooner	škuner
earwig	škvor
sprat	šprot
shocked	šokovaný
shock	šokovat
shocking	šokující
shogun	šógun
tautological	tautologický
tanker	tankista
tektite	tektit
tectonic	tektonický
tennis player	tenistka
mining	těžba
trimethoprim	trimetoprim
cherry	třešňový
uniform	uniformní
uniformity	uniformita
usefully	užitečně
strangle	uškrtit
strangle	škrtit
steal	ukrást
ballot box	volební urna
voting	volební
Uyghur	ujgurština
Uyghur	ujgurský
Uyghur	Ujgur
apprentice	učedník
secretly	tajně
secrecy	utajení
amazed	užaslý
learned	učený
learning	učenost
destiny	úděl
completely	úplně
strait	úžina
isthmus	převlaka
neck	šíje
army	vojsko
decoration	výzdoba
East Slavic	východoslovanský
West Slavic	západoslovanský
east	východně
west	západně
north	severně
south	jižně
persistent	vytrvalý
absorb	vstřebat
vetch	vikev
hatred	zášť
manipulate	manipulovat
manipulation	manipulace
manipulator	manipulátor
manipulated	zmanipulovaný
stern	záď
cursory	zběžný
note	zápisek
erode	erodovat
spoiled	zkažený
lock	zdymadlo
enlarged	zvětšený
ring	zvonění
sweetgum	ambroň
argue	argumentovat
absorption	absorpce
acrobatics	akrobacie
acrobatic	akrobatický
ptarmigan	bělokur
bichon	bišonek
hemlock	bolehlav
yellow press	bulvár
baguette	bageta
spaghetti	bužírka
bungalow	bungalov
muddy	blátivý
muddy	zablácený
hogweed	bolševník
celibate	celibátní
celiac disease	celiakie
chickpea	cizrna
civet	cibetka
awesome	úchvatný
Abramis	cejn
integer	celočíselný
lapwing	čejka
chicory	čekanka
chihuahua	čivava
čárový kód	čárový kód
chador	čádor
axis	čepovec
mugwort	černobýl
headlamp	čelovka
černý humor	černý humor
Dada	dadaismus
dadaistic	dadaistický
cubistic	kubistický
surrealistic	surrealistický
champagne	šampus
fallow deer	daněk
Dalai Lama	dalajláma
defragment	defragmentovat
decriminalization	dekriminalizace
earthworm	dešťovka
desert	dezertovat
epilogue	doslov
dribble	driblovat
epigraphy	epigrafika
epigraphic	epigrafický
epigraphist	epigrafik
numismatic	numismatický
numismatist	numismatik
text message	esemeska
elative	elativ
energy	energetický
exogamy	exogamie
exogamous	exogamní
endogamous	endogamní
enologist	enolog
enological	enologický
esoterism	esoterismus
exoteric	exoterický
essential	esenciální
esenciální olej	esenciální olej
fan	fanoušek
finance	financovat
fluctuation	fluktuace
flash	fleš
phosphorylation	fosforylace
father	fotr
phi	fí
xi	ksí
zeta	zéta
falsify	falzifikovat
format	formát
faience	fajáns
groschen	groš
grimoire	grimoár
bagpipes	gajdy
tram	šalina
geographical	geografický
geographical	zeměpisný
geographer	zeměpisec
geographer	geograf
geomorphologist	geomorfolog
geomorphological	geomorfologický
horníkovi	horník
lose weight	hubnout
