horse	march
anyone	unrhyw un
outside half	maswr
suffix	ôl-ddodiad
ice	hiâ
healthy	hiach
home	cartref
homewards	tua thref
abundant	helaeth
build	adeiladu
illustrate	egluro
steer	llywio
through	trwy
bronze	efydd
study	astudiaeth
phonology	ffonoleg
phonological	ffonolegol
degree	gradd
synopsis	crynodeb
compact	cryno
examine	archwilio
distinct	penodol
context	cyd-destun
dialectal	tafodieithol
accomplish	cyflawni
away	hwnt
already	eisoes
afterwards	wedyn
describe	disgrifio
description	disgrifiad
natural	naturiol
naturalist	naturiaethwr
focus	canolbwynt
midland	canolbarth
analyse	dadansoddi
analysis	dadansoddiad
analytical	dadansoddol
analyst	dadansoddwr
quantitative	meintiol
impose	arddodi
Sellotape	selotep
adhesive tape	tâp selo
barrel	casgen
rowing	rhwyfo
oar	rhwyf
convenient	cyfleus
tail	llost
tulip	tiwlip
umbrella	ymbarél
continent	cyfandir
dyslexia	dyslecsia
rye	rhyg
butcher	cigydd
shadow	cysgod
pillow	gobennydd
chimney	simnai
gardener	garddwr
copper	copr
dinosaur	deinosor
hare	ysgyfarnog
peace	heddwch
apron	ffedog
kettle	tegell
cloudy	cymylog
second-person plural present subjunctive	-och
suffer	dioddef
Easter	Pasg
branch	colfen
buck	bwch
under	go-
widow	gweddw
autumn	elfed
centre	craidd
own	piau
perceive	canfod
detector	canfodydd
lie	celwydd
discover	darganfod
disappearance	diflaniad
disappear	diflannu
murderer	llofrudd
killer	lladdwr
murder	llofruddio
murder	llofruddiaeth
arrest	arestio
arrest	arestiad
doubt	amheuaeth
last	diwethaf
coroner	crwner
death	marwolaeth
mortal	marwol
death	angau
death	tranc
die	trengi
thankfulness	diolchgarwch
bird watching	adarydda
ornithologist	adarydd
crime	trosedd
criminology	troseddeg
criminal	troseddol
commit	troseddu
criminal	troseddwr
allegation	honiad
alleged	honedig
allegation	haeriad
allege	haeru
earnest	taer
among	ymysg
midst	mysg
midst	plith
among	ymhlith
sufferer	dioddefwr
suffering	dioddefaint
suffer	goddef
tolerance	goddefedd
tolerant	goddefgar
permission	goddefiad
tolerable	goddefol
patience	amynedd
patient	amyneddgar
long-suffering	dioddefgar
yearly	blynyddol
complete	cyflawn
incomplete	anghyflawn
wealthy	cefnog
support	cefnogi
supporter	cefnogwr
encouraging	cefnogol
support	cefnogaeth
slacken	llacio
woe	gwae
undress	dadwisgo
uproot	dadwreiddio
root	gwreiddio
wealth	cyfoeth
serious	difrif
attack	ymosod
reset	ailosod
misplace	camosod
assemble	cydosod
place side by side	cyfosod
direction	cyfair
announce	cyhoeddi
idea	syniad
think	synio
stunning	syfrdanol
dazed	syfrdan
input	mewnosod
plan	cynllun
strain	hidlo
filter	hidl
mine	mwynglawdd
pilot	peilot
corrupt	llygru
damage	llwgr
environment	amgylchedd
circumference	amgylch
environmental	amgylcheddol
friend	cyfaill
friend	cyfeilles
technique	techneg
empty	arloesi
inclination	tuedd
inclination	tueddfryd
metal	metel
tire	blino
separation	gwahân
separate	gwahanu
coalmine	glofa
technology	technoleg
deliverance	gwared
have	effeithio
ability	medr
global	byd-eang
develop	datblygu
undo	dad-
bend	plygu
developer	datblygwr
enquiry	ymholiad
enquire	ymholi
scientist	gwyddonydd
experiment	arbrofi
experiment	arbrawf
necessary	rheidiol
necessity	rhaid
store	crawn
reservoir	cronfa
beautiful	prydferth
unsightly	anferth
evaporate	anweddu
steam	stêm
kite	barcud
popular	poblogaidd
populous	poblog
tourist	twrist
tun	tunnell
spread	gwasgaru
brothel	puteindy
gather	casglu
mixed	cymysg
scale	graddfa
adequate	digonol
author	awdur
report	adroddiad
collection	casgliad
abuse	camdriniaeth
abuse	cam-drin
present	presennol
future	dyfodol
permanent	parhaol
past	gorffennol
indeterminate	amhenodol
chapter	pennod
pluperfect	gorberffaith
perfect	perffaith
imperative	gorchmynnol
command	gorchymyn
dependent	dibynnol
hang	dibynnu
study	astudio
crossing	croesiad
cable	cebl
gather	crynhoi
prison	carchar
abbreviation	byrfodd
investigate	ymchwilio
investigation	ymchwiliad
support	cynnal
thorough	trylwyr
complete	llwyr
abstain	ymwrthod
campaign	ymgyrchu
campaign	ymgyrch
campaigner	ymgyrchwr
make for	cyrchu
attack	cyrch
gravity	disgyrchiant
beginning	cychwyn
consult	ymgynghori
consultation	ymgynghoriad
option	opsiwn
display	arddangos
purpose	bwriad
ensure	sicrhau
sure	sicr
mother-in-law	chwegr
track	llwrw
gift	cyflwyn
lecture	darlithio
lecture	darlith
image	delw
model	cynddelw
dawn	dyddio
climb	dringo
side	ochr
bottom	gwaelod
ashore	glanio
foot	troedfedd
slope	llethr
anxious	pryderus
security	diogelwch
branch	cangen
subdivision	israniad
subdivide	isrannu
disaster	trychineb
disastrous	trychinebus
miraculous	gwyrthiol
paramedic	parafeddyg
cut	toriad
income	cyllid
budget	cyllideb
financial	cyllidol
class	dosbarth
emergency	argyfwng
interval	cyfwng
figure	ffigur
fall	gostyngiad
lessening	lleihad
lessen	gostwng
training	hyfforddiant
trainee	hyfforddai
trainer	hyfforddwr
coach	hyfforddi
chairman	cadeirydd
governor	llywodraethwr
govern	llywodraethu
secondary school	ysgol uwchradd
primary school	ysgol gynradd
first degree	cynradd
transparency	tryloywder
transparent	tryloyw
bright	gloyw
Gloucester	Caerloyw
conservative	ceidwadol
Birkenhead	Penbedw
Severn	Hafren
Thames	Tafwys
Leicester	Caerlŷr
Bath	Caerfaddon
Carlisle	Caerliwelydd
Devon	Dyfnaint
Exeter	Caerwysg
Dover	Dofr
Mersey	Merswy
Dee	Dyfrdwy
goddess	duwies
Dovey	Dyfi
Vyrnwy	Efyrnwy
Usk	Wysg
Ogmore	Ogwr
Loughor	Llwchwr
steal	twgu
farmer	ffermwr
farm	ffermio
watchful	gwyliadwrus
watcher	gwyliadwr
watch	gwyliadwriaeth
watching	gwyliad
confidence	hyder
confident	hyderus
stream	ffrydio
performer	perfformiwr
dozen	dwsin
vocalist	lleisydd
vocalise	lleisio
betroth	dyweddïo
engagement	dyweddïad
royal	brenhinol
majesty	mawrhydi
high	uchelder
envelope	amlen
act	deddf
minister	gweinidog
ministry	gweinidogaeth
ministerial	gweinidogol
culture	diwylliant
cultural	diwylliannol
assembly	cynulliad
ban	gwaharddiad
ban	gwahardd
express	mynegi
gospel	efengyl
evangelical	efengylaidd
evangelize	efengylu
evangelist	efengylwr
appear	ymddangos
terrible	ofnadwy
fear	ofni
Nazi	Natsi
Nazi	Natsïaidd
Nazism	Natsïaeth
attribute	cynneddf
statute book	deddflyfr
legal	deddfol
legislate	deddfu
legislator	deddfwr
bylaw	is-ddeddf
index	mynegai
signpost	mynegbost
index finger	mynegfys
expression	mynegiad
expression	mynegiant
wild	gwyllt
wildness	gwylltineb
balladeer	baledwr
rest	gorffwys
spring	ffynnon
brilliant	disglair
quiet	distaw
known	adnabyddus
decade	degawd
middle	ynghanol
commissioner	comisiynydd
commissioner	comisiynwr
commission	comisiwn
respect	parchu
Reverend	Parchedig
respected	parchedig
orthography	orgraff
spell	sillafu
shit	cach
attend	mynychu
often	mynych
equality	cydraddoldeb
inequality	anghydraddoldeb
unequal	anghydradd
unequal	anghyfartal
agreement	cydfod
agreement	cytundeb
in agreement	cytûn
drone	gwchi
North Wales	Gogs
ant	mŷr
call	galwad
mobile	symudol
elm	llwyf
tick	torogen
want	moyn
love	serch
metre	hatyr
owner	perchen
hairdryer	sychwr gwallt
hexagon	chweongl
safe	saff
clove	clof
forge	gefail
eco-friendly	ecogyfeillgar
friendly	cyfeillgar
castle	Caernarfon
throw	taflu
motor	modur
flagstone	llech
disease	clefyd
hillside	llechwedd
gazelle	gafrewig
wok	woc
udder	piw
mediaeval Wales	trefgordd
tref	gorfodtref
swallow	llyncu
standard	safon
standard	safonol
luxurious	moethus
luxury	moeth
sly	slei
reason	rheswm
explain	esbonio
explanation	esboniad
load	baich
pregnant	beichiog
pregnancy	beichiogrwydd
conceive	beichiogi
explicable	esboniadwy
inexplicable	anesboniadwy
call	enwi
chase	erlid
peak	Pen y Fan
fruitful	ffrwythlon
easy	rhwydd
medicine	meddyginiaeth
treatment	triniaeth
nostril	ffroen
wise	cymen
apothegm	doethair
reconciliation	cymod
bush	perth
ruler	llyw
gap	bwlch
devil	diawl
measure	mesur
mental health	iechyd meddwl
cough	pesychu
rural	gwledig
crash	gwrthdrawiad
collide	gwrthdaro
deadly	angheuol
compensation	iawndal
acknowledge	cydnabod
partly	rhannol
icy	rhewllyd
legal	cyfreithiol
traveller	teithiwr
serious	difrifol
accident	damwain
insure	yswirio
insurer	yswiriwr
insurance	yswiriant
career	gyrfa
flock	diadell
flock	praidd
mare	caseg
barley	haidd
authority	awdurdod
save	achub
nestful	nythaid
cup	cwpan
cupful	cwpanaid
handful	dyrnaid
spoonful	llwyaid
armful	coflaid
lap	cofl
bagful	cydaid
nest	nythu
sweep	ysgubo
sheaf	ysgub
broom	ysgubell
brush	brws
sweeping	ysgubol
third	traean
improvement	gwelliant
disability	anabledd
disabled	anabl
able	abl
wealthy	goludog
wealth	golud
wealthy	ariannog
able	medrus
adroit	deheuig
skilful	cywrain
expert	celfydd
art	celfyddyd
art	celf
column	celfi
traffic	trafnidiaeth
move	symud
plead	pledio
guilty	euog
magistrate	ynad
deny	gwadu
accuse	cyhuddo
accusation	cyhuddiad
denial	gwadiad
judge	barnwr
adjudge	barnu
sentence	dedfryd
punish	cosbi
penal	cosbol
soul	enaid
relation	perthynas
relevance	perthnasedd
relevant	perthnasol
relativistic	perthnaseddol
object	gwrthrych
subject	goddrych
mirror	drych
neuter	diryw
comparison	cymhariaeth
compare	cymharu
companion	cydymaith
journey	ymdaith
loan	benthyciad
pace	cyflymder
constant	cyson
constant	cysonyn
portion	cyfran
contribute	cyfrannu
contribution	cyfraniad
contributor	cyfrannwr
partaking	cyfrannog
participate	cyfranogi
participation	cyfranogiad
participant	cyfranogwr
contributory	cyfrannol
shareholder	cyfranddaliwr
catcher	daliwr
satellite	lloeren
shine	tywynnu
worship	addoli
place of worship	addoldy
devout	addolgar
worship	addoliad
worshipper	addolwr
eternal	tragwyddol
eternity	tragwyddoldeb
exalt	mawrygu
harvest	cynhaeaf
harvest	cynaeafu
allegiance	gwrogaeth
acknowledgement	cydnabyddiaeth
ceremony	defod
ritualism	defodaeth
ritual	defodol
dependence	dibyniaeth
excessive	gormodol
religion	crefydd
religious person	crefyddwr
religious	crefyddol
miser	cybydd
miserly	cybyddlyd
miserly	llawgaead
lid	caead
unknown	anhysbys
unknown	anadnabyddus
honour	anrhydedd
honour	anrhydeddu
honourable	anrhydeddus
craft	crefft
skilled	crefftus
craftsmanship	crefftwaith
craftsman	crefftwr
miserly	crintach
greedy	trachwantus
greed	trachwant
desire	chwant
aspiration	dyhead
desire	dymuniad
greed	gwanc
heavenly	nefol
bow down	crymu
curved	crwm
bow	ymgrymu
spread	taenu
spreadsheet	taenlen
spreader	taenwr
light	gwawl
giant	cawr
obedient	ufudd
moor	gwaun
rearer	magwr
strange	rhyfedd
wonder	rhyfeddod
wondrous	rhyfeddol
wonder	rhyfeddu
instinct	greddf
mighty	grymus
strength	cryfder
strengthen	cryfhau
strong	cadarn
nourishment	maeth
hostility	gelyniaeth
hostile	gelynol
hostile	gelyniaethol
hypocrisy	rhagrith
form	rhith
intoxicating	meddwol
infusion	trwyth
lye	lleisw
infuse	trwytho
urine	troeth
healthy	iachus
fragile	bregus
ointment	ennaint
sixteen	un ar bymtheg
weak	llesg
languor	llesgedd
languish	llesgáu
lively	bywiog
drunkard	meddwyn
poor	tlawd
pauper	tlotyn
poorhouse	tloty
inferior	tlodaidd
poverty	tlodi
jewel	tlws
tune	tiwn
phonetics	seineg
mirth	digrifwch
merry	digrif
enjoyment	mwynhad
enjoyment	mwyniant
enjoyment	hyfrydwch
enjoyment	difyrrwch
enjoyment	llawenydd
fun	ysmaldod
obedience	ufudd-dod
pleasant	difyr
amusing	ysmala
jocular	cellweirus
banter	cellwair
song of praise	gwawd
mockery	gwatwar
hesitant	petrus
cup	ffiol
hardly	odid
excellent	odiaeth
as many	cynifer
number	nifer
sum	swm
clamour	dwndwr
commotion	mwstwr
din	twrw
hero	arwr
razor	ellyn
glory	gogoniant
cheerful	siriol
adorn	addurno
decoration	addurn
zest	asbri
fifteen	bymtheg
coat	coban
mesh	rhwyll
resource	adnodd
brown	gwrm
horse	gorwydd
frontier town	cyffindref
exploit	gorchest
masterpiece	campwaith
champion	campwr
trip	baglu
privilege	braint
elector	etholwr
election	etholiad
electorate	etholaeth
cheerful	llon
charter	breinlen
active	heini
sprightly	hoenus
gay	hoyw
old age	henaint
quarry	cwar
quarry	chwarel
civilised	gwâr
inch	modfedd
intent	arfedd
measured	arfeddog
oxygenate	ocsigenu
hallucination	rhithweledigaeth
snowflake	plu eira
JCB	jac codi baw
tackle	tacl
facsimile	cyfargraff
elevator	esgynnydd
internationalism	rhyngwladoldeb
running water	aweddwr
exact copy	eileb
trousers	llodrau
pocket	llogell
telescope	pellweledydd
automatic	hunanysgogol
drizzle	gwlithlaw
midst	i blith
amongst	o blith
curdle	ceulo
deep	dwfn
smartphone	ffôn clyfar
Scandinavia	Llychlyn
Scandinavia	Sgandinafia
canoe	ceufad
Scandinavian	Sgandinafaidd
Scandinavian	Llychlynnaidd
reindeer	carw Llychlyn
Scandinavian	Sgandinafiad
Norseman	Llychlynnwr
lichen	cen y coed
lichen	cen coed
lichen	cen y cerrig
lichen	cen cerrig
dandruff	cen pen
sushi	swshi
caviar	cafiâr
caffeine	caffîn
tattoo	tatŵ
apple juice	sudd afal
pine-cone	moch coed
apple trees	coed afalau
hot chocolate	siocled poeth
sleep like a log	cysgu fel clawdd
swimmer	nofiwr
swimmer	nofwraig
multiply	lluosi
order	archebu
truth	gwirionedd
catfish	cathbysgod
Belfast	Belffast
melt	toddi
warm	twym
mist	nudd
after	ar ôl
shower	cawod
sign language	iaith arwyddion
there	yno
document	dogfen
Antigua and Barbuda	Antigwa
sexual orientation	cyfeiriadedd rhywiol
sexual orientation	rhywioldeb
sexual orientation	rhywioledd
delicatessen	danteithfa
disturbance	twrf
commotion	cynnwrf
Judaism	Iddewiaeth
find	dod o hyd
demolish	chwalu
bite	brathu
bite	cnoi
emu	emiw
civil partnership	partneriaeth sifil
partnership	partneriaeth
civil union	uniad sifil
union	uniad
civil	sifil
disapproval	anghymeradwyaeth
ancient	hynafol
mistake	camgymeriad
epistemology	epistemoleg
epistemology	epistemeg
royal family	teulu brenhinol
relic	crair
avocado	afocado
clean	glanhau
clean	llnau
Vaccinium myrtillus	llus
Taff	Taf
rood screen	croglen
gallows	crog
earring	clustdlws
motel	motél
mentionable	bondigrybwyll
turkey	twrci
watermelon	melon dŵr
pineapple	pinafal
lemon	lemwn
south-east	de-ddwyrain
north-east	gogledd-ddwyrain
north-west	gogledd-orllewin
south-west	de-orllewin
ill	claf
heart disease	clefyd y galon
hay fever	clefyd y gwair
sickness	clefyd y Sul
fortnight	pythefnos
magpie	piod
reddish white	rhuddwyn
oxygen	ocsigen
pâr minimol	pâr minimol
harper	telynores
hydrogen	ulai
oxygen	ufelai
carbon	ulyfai
nitrogen	blorai
Stonehenge	Côr y Cewri
woodcock	cyffylog
woodcock	nid wrth ei big y mae prynu cyffylog
woodcock	nid wrth ei big y mae mesur cyffylog
crested	copog
ramsons	craf
ramsons	craf y geifr
Welsh	anghymreig
Welsh	anghymreigio
push	hwpo
intertidal zone	parth rhynglanw
Assembly Member	Aelod Cynulliad
vampire	fampir
e-book	e-lyfr
foam	distrych
drowning	bawdd
rust-coloured	rhytgoch
cowshed	beudy
third-person singular future	-ith
lunch	cinio
nightdress	coban nos
care	gofal
therapist	therapydd
therapy	therapi
physiotherapist	ffisiotherapydd
physiotherapy	ffisiotherapi
radiographer	radiograffydd
radiography	radiograffi
practitioner	ymarferydd
practitioner	ymarferwr
occupation	galwedigaeth
midwife	bydwraig
useful	defnyddiol
vocational	galwedigaethol
boiled	berw
flapjack	fflapjac
as long as	cyhyd
effort	ymdrech
editor	golygydd
decision	penderfyniad
success	llwyddiant
priority	blaenoriaeth
objection	gwrthwynebiad
respectable	parchus
trial	profedigaeth
silly	gwirion
compete	cystadlu
competitive	cystadleuol
keen	llym
hospital	clwyfdy
manslaughter	dynladdiad
manslaughterer	dynleiddiad
Welsh-speaking	di-Gymraeg
Breton-speaking	di-Lydaweg
poor dab	pŵr-dab
primal	cyntefin
pitch black	pyglyd
druidism	derwyddiaeth
druid	derwydd
winter solstice	Alban Arthan
summer solstice	Alban Hefin
autumnal equinox	Alban Elfed
vernal equinox	Alban Eilir
little bear	arthan
vernal equinox	Alban Cyntefin
autumnal equinox	Alban Hyfed
spring	eilir
summer	hefin
equinox	cyhydnos
vernal equinox	cyhydnos y gwanwyn
autumnal equinox	cyhydnos yr hydref
winter solstice	byrddydd gaeaf
short day	byrddydd
long day	hirddydd
summer solstice	hirddydd haf
hibernate	gaeafgysgu
heuldro'r gaeaf	heuldro'r gaeaf
heuldro'r haf	heuldro'r haf
heliotrope	heuldro
solstice	heulsaf
solstice	troad y rhod
forgetful	anghofus
oblation	aberthged
sacrifice	aberthu
side effect	sgileffaith
skill	sgìl
yn sgil	yn sgil
yn sgîl	yn sgîl
information technology	technoleg gwybodaeth
information technology	tech gwyb
GCSE	TGAU
National Library of Wales	Llyf Gen
ablative	abladol
genitive	genidol
subjective	goddrychol
objective	gwrthrychol
vocative	cyfarchol
dative	dadiol
unacceptable	annerbyniol
metre	carsi
metre	rhiniart
metre	fflamgwr
metre	toddyf
metre	wnsach
awkward	trwsgl
wailing	wylofus
mush	iytan
flay	blingo
rotten	braen
stormy	drycin
Fair weather	hinon
surge	mordwy
nigger	nigar
superheat	traphoethi
hobgoblin	bwgan
goblin	ellyll
absent	absennol
slander	absennu
accent	acen
accentuation	aceniad
accentuate	acennu
academic	academydd
academy	academi
slander	athrod
slander	athrodi
slanderer	athrodwr
slanderous	athrodus
limestone	carreg galch
greensand	tywodfaen gwyrdd
gnat	gwybed
fungus gnat	gwybed ffwng
fungus	ffwng
amanita'r gwybed	amanita'r gwybed
barefoot	troednoeth
OS	Llandudno
fingernail	ewinfedd
handbreadth	dyrnfedd
blackness	düwch
netball	pêl-rwyd
baseball	pêl-fas
basketball	pêl-fasged
basket	basged
phish	gwe-rwydo
net	rhwydo
middle	perfedd
fallow	hafar
dew	gwlitho
illuminate	llusernu
have to	gorfod
policeman	plismon
policewoman	plismones
policewoman	heddferch
trunk	cyff
soft toy	tegan meddal
cuddly toy	tegan anwes
everything	popeth
bile	bustl
mullet	hyrddyn
trout	brithyll
beak	gylfin
corpse	celain
smoke-coloured	mygliw
proprietor	priodor
mace	byrllysg
illusion	rhithganfyddiad
metallurgy	meteleg
metallurgist	metelegwr
metallurgist	metelegydd
metallurgical	metelegol
on fire	ar dân
for sale	ar werth
amphitheatre	amchwaraefa
soft mutation	o dan
internet	rhyngrwyd
Internet of Things	rhyngrwyd y pethau
unimportant thing	pethach
Internet of Things	rhyngrwyd pethau
in the blink of an eye	ar amrantiad
in the blink of an eye	mewn chwinciad
instant	chwinciad
circumflex	acen grom
acute accent	acen ddyrchafedig
grave accent	acen ddisgynedig
circumflex	to bach
circumflex	hirnod
refuge	encil
stick	glynu
sticking	glŷn
adhesive	adlyn
adhesive	adlynol
clinging	glynol
on record	ar gof a chadw
coat	côt
freeze solid	rhewi'n gorn
wolfpack	cnud
prepare	paratoi
wolfcub	pothan
glebe-land	clastir
underworld	isfyd
Bible	Beibl
musician	cerddor
happen	damweinio
belong	perthyn
text	testun
fodd bynnag	fodd bynnag
-tion	-iant
reaction	ymateb
refuge	achles
shelter	achlesu
mug	mỳg
spider	copyn
spider	pryf cop
spider	pryf copyn
halo	eurgylch
halo	lleugylch
shame	achlod
occasion	achlysur
stage	banllawr
cause	echlysur
occasional	achlysurol
occasionally	yn achlysurol
earl	hiarll
National Library of Wales	Llyfrgell Genedlaethol Cymru
rubbish	fflwcs
sea mist	nydden
sea mist	nudden
hollow tree	ceubren
baguette	bagét
cassette	casét
corduroy	melfaréd
surprise	syrpréis
deal	delio
genealogy	achres
row	rhes
three rows	teires
triple harp	telyn deires
eloquent	huawdl
memory stick	cof bach
memory stick	cofbin
already	yn barod
plateau	llwyfandir
jungle	jyngl
congregation	cynulleidfa
large head	penfras
postcode	cod post
-ness	-deb
pertain	ymwneud
rescue	achubiaeth
rescuer	achubwr
saving	achubol
virus	firws
virus	feirws
coronavirus	coronafirws
coronavirus	coronafeirws
-ness	-dod
-ness	-tod
leaven	surdoes
lump	toesen
doughy	toesaidd
doughy	toeslyd
crust	crwst
together	cyd-
together	cyf-
out	ech-
against	gwrth-
in	mewn-
prior	rhag-
between	rhyng-
under	tan-
across	traws-
over	tros-
interview	cyfweliad
interview	cyfweld
interviewer	cyfwelydd
agree	cyd-weld
agreement	cydwelediad
disagree	anghydweld
disagreement	anghydwelediad
contention	cynnen
disagreement	anghytundeb
disagreeing	anghytûn
disagree	anghytuno
disagree	anghydsynio
agree	cydsynio
agreement	cydsyniad
in agreement	cydsyniol
agree	cytuno
allow	caniatáu
permission	caniatâd
concur	cydgordio
interview	cyf-weld
agreement	cytgord
with	can-
concordant	cydgordiol
consonant	cytsain
vowel	llafariad
vocal	llafar
discord	anghytgord
dissonance	anghyseinedd
run errand	negeseua
messenger	negesydd
message board	negesfwrdd
covenant	cyfamodi
covenant	cyfamod
book	-iadur
concordant	cyfun
system	cyfundrefn
systematic	cyfundrefnol
systematise	cyfundrefnu
consonant	cyflafar
harmonious	cydseiniol
confer	cyflafareddu
discourse	cyflafaredd
arbitration	cyflafareddiad
arbitrator	cyflafareddwr
mute	aflafar
unconditional	diamod
stipulate	amodi
stipulation	amodiad
accompany	cyd-fynd
difference	gwahaniaeth
differ	gwahaniaethu
differentiation	gwahaniaethiad
distinguishing	gwahaniaethol
hatter	hetiwr
reveal	datguddio
disagree	anghyd-weld
lightness	ysgafnder
lightening	ysgafnhad
lighten	ysgafnhau
downcast	pendrwm
sorrowful	pendrist
wise	prudd
disheartened	digalon
multiple	aml-
lose heart	digalonni
dejection	digalondid
despair	anobaith
hopeless	anobeithiol
despair	anobeithio
hopeful	gobeithiol
hopeless	diobaith
abysmal	affwysol
abyss	affwys
bathos	affwysedd
worthless	diwerth
unimportant	dibwys
frightful	dychrynllyd
fear	dychryn
fear	brawychu
afraid	arswydo
horror	arswyd
horrific	arswydus
trousers	trowsus
jumper	siwmper
fright	brawychdod
frightening	brawychiad
terrorism	brawychiaeth
terrorism	terfysgaeth
terrorist	brawychwr
terrifying	brawychus
riot	terfysgu
commotion	terfysg
tumultuous	terfysgaidd
riotous	terfysglyd
insurrection	gwrthryfel
rebel	gwrthryfela
rebel	gwrthryfelwr
rebellious	gwrthryfelgar
shivering	crŷn
moderate	cryn
fair	gweddol
moderate	cymedrol
skill	cymedr
moderation	cymedroldeb
moderate	cymedroli
moderator	cymedrolwr
mediator	cyfryngwr
mediator	canolwr
mediate	cyfryngu
mediation	cyfryngiad
medium	cyfrwng
media	cyfryngau
intrepid	digryn
earthquake	daeargryn
disheartened	penisel
dreadful	echrydus
trembling	echryd
dread	echrydu
shivering	cryndod
shivering	cryd
chilly	iasoer
chilling	iasol
media	cyfryngi
groat	rhynion
shoemaker	crydd
shoemaking	cryddiaeth
illuminate	goleuo
lighthouse	goleudy
light	goleuad
enlightened	goleuedig
light year	blwyddyn golau
difference	ymrafael
contentious	ymrafaelgar
contentious	cynhennus
contentious	ymrysongar
competition	cystadleuaeth
competitor	cystadleuwr
contest	gornest
contest	gornestu
duelist	gornestwr
fighter	ymladdwr
contestant	ymrysonwr
quarrel	cynhenna
quarrel	cweryl
quarreler	cwerylwr
quarrel	cweryla
lonely	unig
quarrel	cecru
quarrelsome	cecrus
termagant	cecren
quarreling	cecraeth
quarrel	ymgecru
quarrel	ffraeo
quarrel	ffrae
brawl	ffrwgwd
quarrelsome	ffraegar
quarrelsome	cwerylgar
fight	ymladd
pugnacious	ymladdgar
fight	ymladdfa
tire	ymlâdd
battle	brwydro
battler	brwydrwr
war	rhyfela
fight	cwffio
box	paffio
boxer	paffiwr
boxer	bocsiwr
box	bocsio
counterpart	cyfateb
correspondence	cyfatebiaeth
corresponding	cyfatebol
complex	cymhleth
complicate	cymhlethu
complexity	cymhlethdod
difficulty	anhawster
trouble	trafferth
hindrance	rhwystr
hindered	rhwystredig
frustration	rhwystredigaeth
hindrance	llesteiriant
hinder	llesteirio
obstacle	llestair
obstacle	atalfa
confusion	dryswch
tangled	dyrys
maze	drysfa
maze	drysle
thicket	drysgoed
thorn	drysi
brake	dryslwyn
confused	dryslyd
muddled	cymysglyd
thicket	drysni
tangle	drysu
abstruse	astrus
trouble	helbul
troubled	helbulus
troublesome	trafferthus
cause trouble	trafferthu
bother	ymdrafferthu
trouble	helynt
trouble	trwbl
troublesome	trwblus
quandary	penbleth
dilemma	cyfyng-gyngor
plait	pleth
wreath	plethdorch
coiled	torchog
wattle	plethwaith
plait	plethu
plaited	plethedig
tenant	deiliad
stakeholder	budd-ddeiliad
shareholder	cyfranddeiliad
occupancy	deiliadaeth
tenure	daliadaeth
holding	daliad
tenancy	tenantiaeth
rent	rhent
rent	rhentu
renter	rhentwr
leaseholder	lesddeiliad
stakeholder	rhanddeiliad
freeholder	rhydd-ddeiliad
expand	ehangu
breadth	ehangder
expansion	ehangiad
magnanimous	eangfrydig
broadband	band eang
before this	cyn hyn
by now	erbyn hyn
like this	fel hyn
shortly	gyda hyn
up to now	hyd yn hyn
pith	mwydyn
worm	pryf genwair
fishing rod	genwair
fishing rod	gwialen bysgota
aspen	aethnen
paper	-eb
third-person singular future	-iff
first-person plural present indicative	-wn
first-person singular conditional	-swn
second-person singular conditional	-set
second-person plural conditional	-sech
impersonal pluperfect	-asid
impersonal pluperfect	-esid
impersonal preterite	-wyd
second-person singular preterite	-aist
first-person plural preterite	-asom
second-person plural preterite	-asoch
third-person plural preterite	-asant
second-person plural preterite	-soch
first-person singular pluperfect	-aswn
second-person singular pluperfect	-asit
third-person singular pluperfect	-asai
first-person plural pluperfect	-asem
second-person plural pluperfect	-asech
third-person plural pluperfect	-asent
first-person singular present subjunctive	-wyf
third-person plural present subjunctive	-ont
agent noun	-awdwr
singulative	-cyn
direct	uniongyrchol
accessible	hygyrch
assess	asesu
assessment	asesiad
assessor	aseswr
-ness	-aint
-ness	-did
-ness	-tid
-ness	-dra
-ness	-tra
-ness	-dwr
-ness	-fel
-ness	-ineb
-ness	-rwydd
-ness	-yd
-ness	-ioni
cooperate	cydweithio
-tet	-awd
-ful	-lon
-ful	-llon
-ful	-gar
cooperation	cydweithiad
cooperation	cydweithrediad
co-worker	cydweithiwr
co-worker	cydweithredwr
cooperate	cydweithredu
shopkeeper	siopwr
builder	adeiladwr
construction	adeiladwaith
administrative	gweinyddol
attendant	gweinydd
verjuice	ferdis
verjuice	gwyrddsug
must	gwin newydd
must	mwst
purple	cochlas
antidepressant	gwrthiselydd
antidepressant	gwrthiselder
depressant	iselydd
lowness	iselder
depression	iselder ysbryd
industry	diwydiant
waitress	gweinyddes
order	archeb
administer	gweinyddu
mottled	erch
football	pêl droed
razor	rasel
record	recordio
recording	recordiad
noise	reiat
administrator	gweinyddwr
administration	gweinyddiad
administration	gweinyddiaeth
classify	dosbarthu
classification	dosbarthiad
distributor	dosbarthwr
classified	dosbarthol
-s	-iaid
strike	streic
strike	streicio
periodic	cyfnodol
periodical	cyfnodolyn
employ	cyflogi
employment	cyflogaeth
employer	cyflogwr
unemployment	diweithdra
unemployment	anghyflogaeth
unemployed	di-waith
just	cyfiawn
justify	cyfiawnhau
justification	cyfiawnhad
regulation	rheoliad
inspection	arolwg
inspectional	arolygol
inspect	arolygu
inspection	arolygiad
