where	on
fus horari	fus horari
whiteness	blancor
whiteness	blancúria
rigidly	rígidament
rigid	rígid
rigidity	rigiditat
rigidity	rigidesa
inflexibility	inflexibilitat
flexibility	flexibilitat
fret	frisar
suffocate	ofegar
darkness	foscor
darkness	obscuritat
welcoming	acollidor
welcome	rebuda
ugliness	lletjor
ugliness	lletgesa
inebriate	inebriar
malice	malícia
mystify	mistificar
lyric	lírica
relic	relíquia
joy	goig
polygonal	poligonal
servile	servil
minority	minoria
resound	ressonar
miniskirt	minifaldilla
skirt	faldilla
palindromic number	capicua
in love	enamorat
come up	sobrevenir
join	ajuntar
tenant farmer	masover
bitterness	amargor
hockey	hoquei
Navarrese	navarrès
avocado	alvocat
avocado	alvocater
appearance	aparença
appearance	aparició
appearance	apareixement
appearance	parença
ravage	assolar
plenitude	plenitat
dot	puntet
corner	racó
gazpacho	gaspatxo
scale	esquama
reasonably	raonablement
ideally	idealment
disproportionately	desproporcionadament
disproportionate	desproporcionat
anywhere	onsevulga
hypothetically	hipotèticament
lazy	peresós
lazily	peresosament
preparation	adob
surprisingly	sorprenentment
suspiciously	sospitosament
suspicious	sospitós
suspect	sospitar
up	amunt
above	dalt
down	avall
below	davall
softly	suaument
socially	socialment
stubbornly	tossudament
prehensile	prènsil
preon	preó
significantly	significativament
significant	significatiu
expressively	expressivament
sadly	tristament
seemingly	aparentment
skeptically	escèpticament
repeatedly	repetidament
athletically	atlèticament
athletic	atlètic
phonetically	fonèticament
nowhere	enlloc
individually	individualment
wrongly	erròniament
tenderly	tendrament
full up	afartar
pretentious person	bufanúvols
aversion	aversió
chromatism	cromatisme
rotten	podrit
repulsive	repulsiu
explosive	explosiu
stay	estai
horseshoe	ferrar
shatter	esmicolar
goodbye	adéu-siau
calm	bonança
jug	botija
excessively	excessivament
bovine	boví
scent	aromar
mask	careta
docker	carregador
boast	jactar
brotherhood	confraria
obsessed	capficar-se
gum	geniva
pheasant	faisà
aircraft carrier	portaavions
strongly	fortament
nit	Lleó
Castella i Lleó	Castella i Lleó
La Rioja	riojà
firecrest	bruel
ecclesiastical	eclesiàstic
lush	bledà
shovelful	palada
countryman	paisà
beet	bleda-rave
retinue	seguici
blaverisme	blaver
confidently	confidentment
interactive	interactiu
Filipino	filipí
star	protagonitzar
appearance	compareixença
Mauritanian	maurità
interuniversity	interuniversitari
tolerance	tolerància
sportsperson	esportista
correction	esmena
emend	esmenar
shelter	asil
milking	orri
suffragan	sufragani
temper	trempar
fuss	estabeig
maintenance	manteniment
pledge	jurament
gooey	llefiscós
maleficient	malèfic
evil	malvat
awn	aresta
Martian	marcià
archbishop	arquebisbe
archlute	arxillaüt
molding	motllura
jay	gaig
swarm	eixam
executioner	botxí
irresponsibility	irresponsabilitat
iambic	iàmbic
New England	Nova Anglaterra
anthropologist	antropòleg
anthropological	antropològic
Indo-European	indoeuropeu
line	folrar
dementia	demencial
barn owl	òliba
telepathically	telepàticament
telepathic	telepàtic
boycott	boicotejar
Scandinavian	escandinau
Scandinavia	Escandinàvia
Kafkaesque	kafkià
Dublin	dublinès
Ligurian	lígur
candelabrum	canelobre
Caribbean	caribeny
cavity	cavitat
Gregory	Gregori
suborder	subordre
Merovingian	merovingi
burst	esclatar
scan	escanejar
shine	esclat
bray	bram
odd	imparell
a penes	a penes
earring	arracada
band-aid	tireta
bandage	embenar
choking	ennuegament
choke	ennuegar
drowning	ofegament
otherwise	altrament
San Sebastián	donostiarra
quiver	buirac
Uyghur	uigur
lending	prestador
working	laborable
multinational	multinacional
nick	oscar
legitimately	legítimament
get lost	esgarriar
detour	marrada
replaceable	reemplaçable
irreplaceable	irreemplaçable
quince	codony
quince	codonyer
pebble	còdol
round	arrodonir
larch	làrix
unevenness	desigualtat
fumigate	fumigar
capsule	càpsula
go down	davallar
annual	anuari
trace	traçar
trajectory	trajecte
bagpipe	sac de gemecs
word of mouth	boca-orella
woodworm	quera
dragline excavator	dragalina
donor	donador
retouch	retocar
filferro espinós	filferro espinós
thorny	espinós
secondary	secundari
originally	originàriament
amphitheatre	amfiteatre
imprint	impressió
paper de vàter	paper de vàter
pine grove	pinar
firmness	fermesa
Spanish	castellanoparlant
Catalan	catalanoparlant
English	angloparlant
she-ass	somera
Viking	víking
gossipy	xafarder
marble	marbrista
poplar	pollancre
protein	proteïna
bedsheet	llençol
contagious	contagiós
palpably	palpablement
starling	estúrnid
perceptibly	perceptiblement
redundantly	redundantment
interrogatively	interrogativament
interrogative	interrogatiu
superstitiously	supersticiosament
superstitious	supersticiós
Pont de Suert	pontarrí
Igualada	igualadí
Mataró	mataroní
riverbank	riberenc
Occitan	aranès
county	comtat
sour cherry	guinder
descend	descendir
predilection	predilecció
horned	banyut
level	llivell
strawberry	fraula
snail	caragol
shit	tifarada
fly	bragueta
cuckold	cuguç
tugboat	remolcador
ramrod	baqueta
Florentine	florentí
centre comercial	centre comercial
exhaustive	exhaustiu
recount	recomptar
Greek	Antioquia
Bythinia	Bitínia
Cilicia	Cilícia
tenant	llogater
Lydia	Lídia
Mecca	Meca
Prussia	Prússia
abyssal	abissal
on-site	presencial
naiad	nàiada
trade-union	sindicalista
fishing	pesquera
Oedipus	Èdip
musk	mesc
dagger	copagorja
vision	barruf
advocate	advocar
caraway	alcaravia
trucker	camioner
zigzag	ziga-zaga
capture	enxampar
button mushroom	xampinyó
Josep Maria	Josep Maria
populational	poblacional
day off	endillunsat
accentuate	accentuar
Barcelona	Rodolfa
shuffle	barallar
factitious	factici
flat roof	terrat
isomorphic	isomòrfic
obedience	obediència
interpreter	intèrpret
disobedience	desobediència
disobedient	desobedient
whitebait	morralla
masseur	massatgista
millilitre	mil·lilitre
milli-	mil·li-
unblock	desencallar
milligram	mil·ligram
office	menester
porous	porós
anonymity	anonimat
simplicity	simplicitat
acceptability	acceptabilitat
unacceptability	inacceptabilitat
update	actualització
accessibility	accessibilitat
bulletproof	antibales
any llum	any llum
aqueduct	aqüeducte
cloudiness	nuvolositat
cloudy	nuvolós
permissibility	permissibilitat
impersonally	impersonalment
affectable	afectable
worm	corc
diamondiferous	diamantífer
superego	superjò
popcorn	crispeta
height	súmmum
thundering	tronada
wart	berruga
track	rastrejar
més val tard que no mai	més val tard que no mai
rust	rovell
tar	quitrà
annelid	anèl·lid
daily	quotidianament
myrtle	murtera
chinchilla	xinxilla
crossbow	ballesta
enlist	allistar
doctorate	doctorar
store	emmagatzemar
Franquist	franquista
flight	volada
vaudeville	vodevil
bandoneon	bandoneonista
defiant	desafiador
gizzard	pedrer
hopelessness	desesperança
bandoneon	bandoneó
amputation	amputació
stump	monyó
ramrod	atacador
sabotage	sabotatge
salinity	salinitat
sandal	sandàlia
sandy	sorrenc
sapling	plançó
sarcophagus	sarcòfag
sartorius	sartori
Satan	Satanàs
satiety	sacietat
Segovian	segovià
seismic	sísmic
selection	selecció
punt	punt i coma
dos punts	dos punts
punt	punts suspensius
square bracket	claudàtor
parenthesis	parèntesi
punt volat	punt volat
hyphen	guionet
signe	signe d'exclamació
signe	signe d'admiració
questioning	interrogació
headstall	cabeçada
mask	mascareta
hunter	caçadora
crude	tosc
Aegean	egeu
bovine spongiform encephalopathy	encefalopatia espongiforme bovina
stenography	estenografia
group	estol
typhoid fever	febre tifoide
batch	fornada
winepress	cubada
hazardous	atzarós
throat	gorja
stevedore	estibador
prokaryotic	procariota
separatism	separatisme
cocktease	escalfabraguetes
Amerindian	amerindi
slip	esvarar
help	socors
calumny	calúmnia
budget	pressupost
pastry	ensaïmada
tournament	torneig
selfie	autofoto
light bulb	bombeta
nosebag	morral
landline	telefonia fixa
beat	bategar
costume jewellery	bijuteria
string trimmer	desbrossadora
two-wheel tractor	motocultor
progeny	progènie
fall to	obvenir
masturbating	masturbador
month	mesada
minutia	minúcia
set	desena
Malagasy	malgaix
district	comarcal
daisy	margarida
Publius	Publi
shine	refulgir
oligarchy	oligarquia
Perciformes	perciforme
fold	séc
peritoneum	peritoneu
handshake	encaixada
shearing	esquilada
slender	esvelt
thick	espès
sharp	esmolat
jeer	befa
shark	tintorera
perseverance	perseverança
fungus	fong
invaginate	invaginar
plain	planura
time off	folgar
indoctrinate	adoctrinar
airbus	aerobús
processor	processador
secretary	secretari
recharge	recarregar
comfort	reconfortar
growth	creixement
hairy	pelut
outskirts	afores
pixel	píxel
call	trucada
hayfield	fenar
surrounding area	rodalia
side	vessant
beg	impetrar
phthisic	tísic
mathematical	matemàtic
mathematics	matemàtiques
vex	vexar
turn	revoltar
but	sinó
gluttonous	golut
Comorian	comorià
awning	tendal
Tinca tinca	tenca
catastrophism	catastrofisme
constructive	constructiu
Taiwanese	taiwanès
institut d'educació secundària	IES
broom	escombra
Catalan	xarnego
knuckle	artell
compromising	comprometedor
reissue	reeditar
pedal	pedalar
Samnite	samnita
nest	niar
grasshopper	saltamartí
pole	perxa
unintelligently	inintel·ligentment
unintelligence	inintel·ligència
intelligence	intel·ligència
taxonomy	taxonomia
melon	meloner
sheen	tornassol
give in	cedir
atheism	ateisme
cushion	coixí
watermelon	síndria
watermelon	meló d'aigua
pitcher	setra
flint	sílex
Catalan	catanyol
hair roller	bigudí
sycophant	sicofanta
admiral	almirall
appeal	apel·lar
mohair	moher
turret	torreta
proportion	proporció
drag	arrossegar
blow	bufada
subscription	abonament
fuchsia	fúcsia
wash	rentada
reaping	segada
rise	pujada
lowering	abaixament
crack	fenedura
bedbug	xinxa
chat	xatejar
measles	xarampió
stilt	xanca
sardine	arengada
apostatize	apostatar
parade	desfilada
hendiadys	hendíadis
intersect	intersectar
pilaster	pilastra
pygmy	pigmeu
rappel	rapelar
failure	fallida
deck chair	gandula
revealing	revelador
paella	socarrat
Torah	Torà
undervalue	infravalorar
tuft	tofa
bengaline	bengalina
gossipmonger	xafardera
African	africà
aeronautics	aeronàutica
gilt-head bream	daurada
small change	menuts
stocking	mitja
circle	rodona
Madrid	-eny
fleur-de-lis	flor de lis
group	cinquantena
Wi-Fi	wifi
haystack	paller
historiography	historiografia
turkeycock	pioc
mulberry	móra
disapprove	desaprovar
Moldova	Moldàvia
Gaea	Gea
forward	endavant
lazy	mandrós
casteller	enfaixar
Swiss roll	braç de gitano
churro	xurreria
large intestine	intestí gros
left-handed	esquerrà
derogatorily	despectivament
derogatorily	pejorativament
lemon	llimoner
lettuce	enciam
lettuce	lletuga
lexicographer	lexicògraf
lexicographer	lexicògrafa
lexicographic	lexicogràfic
first aid	primers auxilis
lobe	lòbul
frontal lobe	lòbul frontal
occipital lobe	lòbul occipital
parietal lobe	lòbul parietal
temporal lobe	lòbul temporal
lookalike	sòsia
cultivate	conrear
oat	civada
noodle	fideu
turn	tombar
ladyfinger	melindro
sputum	esput
sociolinguistics	sociolingüística
-cide	-cidi
compliment	floreta
alfalfa	melga
wood pigeon	tudó
Senyera	senyera
diplomatically	diplomàticament
preconceived	preconcebut
pre-Columbian	precolombí
pre-Christian	precristià
Polynesian	polinesi
monotheism	monoteisme
addicted	drogoaddicte
interpretation	interpretació
emerge	sorgir
impoverish	depauperar
bacchanal	bacanal
fork	forqueta
starling	estornell
back up	recular
algebra	àlgebra
galley slave	xurma
leopard	lleopard
foam	escuma
puffin	fraret
alms	almoina
prey on	depredar
cradle	bressol
scarp	escarpa
communism	comunisme
belt	cinturó
quarrel	baralla
subvert	subvertir
acacia	acàcia
artichoke	carxofa
mature	madur
she-wolf	lloba
South Sudan	Sudan del Sud
embroider	brodar
buffalo	búfal
hearing	oïda
soot	sutge
spill	vessar
boss	patró
ship	navili
stem	tija
anchovy	anxova
north	tramuntana
honeycomb	bresca
sandy place	sorral
athletics	atletisme
department	departament
Saudi Arabia	Aràbia Saudita
aubergine	albergínia
liberalism	liberalisme
polyglot	poliglot
bat	muricec
driving school	autoescola
flash	llampec
lightning	llamp
trinket	quincalla
Psalms	Salms
sulfate	sulfat
study	gabinet
dendrogram	dendrograma
thinness	primor
farting	petada
holy cow	porca misèria
misery	misèria
crash	topada
triumphal arch	arc de triomf
storm	tempestat
unfortunately	malauradament
supranational	supranacional
pizzabaker	pizzer
shares	accionarial
insertion	inserció
exploiting	explotador
foundational	fundacional
point	puntuable
blowing up	voladura
calcify	calcificar
Ptolemy	Ptolemeu
crack	esquerdar
¿ ?	¿ ?
¡ !	¡ !
postwar	postguerra
blizzard	torb
ex-player	exjugador
Caucasus	Txetxènia
swing	bascular
paranoiac	paranoic
lifeguard	socorrista
nitrify	nitrificar
this	açò
express	exprés
balcony	balconada
you	vostés
Nausicaa	Nausica
Ptolemy	Ptolomeu
accelerator	accelerador
deceptive	enganyós
tame	amansir
riches	riquesa
valuable	valuós
value	vàlua
novelist	novel·lista
tie	nuar
too much	massejar
laundry	bugada
stick out	ressaltar
subfamily	subfamília
simplistic	simplista
cluster	clúster
sewage	depuradora
disagree	desconvenir
decathlon	decatló
triathlon	triatló
talented	talentós
duly	degudament
temptation	temptació
tempt	temptar
single	unifamiliar
hurry	cuitar
sponge cake	pa de pessic
porridge	farinetes
Hellenistic	Heraclea
mock	escarnir
promotional	promocional
Czech Republic	Txèquia
prototype	prototip
magnificently	magníficament
magpie	garsa
magnet	imant
stamen	estam
chaffinch	pinsà
lizard	sargantana
boom	botavara
de-escalate	desescalar
avalanche	allau
mizzen	trinquet
columnist	articulista
retaliate	represaliar
Titus	Tit
adapt	apropiar
choreograph	coreografiar
claw	arpejar
quadruple	quadruplicar
fauvist	fauviste
expressionist	expressionista
country house	masia
director	directriu
favour	afavorir
requirement	exigència
aldopentose	aldopentosa
acolyte	acòlit
truce	treva
sweeten	edulcorar
turd	cagarro
decode	descodificar
tourist	excursionista
non-negotiable	innegociable
portraitist	retratista
reforming	reformador
bucket	galleda
epenthesis	epèntesi
correspondence	correspondència
simplicity	senzillesa
disciple	deixeble
radicalize	radicalitzar
carry out	realitzar
disappearance	desaparició
decoder	descodificador
discourage	descoratjar
please	per favor
please	sis plau
please	si et plau
fanatic	fanàtic
ordering	ordenament
hierarchy	jerarquia
taxon	tàxon
phylogenetics	filogènia
finality	finalitat
identification	identificació
determination	determinació
elaboration	elaboració
biodiversity	biodiversitat
inheritance	herència
technique	tècnica
later	posteriorment
in order that	per tal que
in order to	per tal de
stylus	estil
Madrilenian	madrileny
together	juntament
joined	conjunt
join	conjuntar
Olympic	olímpic
James	Jaume
gully	barranc
creosote bush	governadora
Soviet	soviètic
opera	òpera
constitution	constitució
meeting	ajuntament
composition	composició
academy	acadèmia
together	alhora
Catalonia	Generalitat
Pallars Sobirà	Pallars
foundation	fundació
commission	comissió
expedition	expedició
present	actualitat
happen	succeir
get	assolir
Sagrada Familia	Gaudí
Muslim	musulmà
practice	pràctica
principality	principat
place	localitat
internship	pràctiques
seat	escon
consul	cònsol
elevation	elevació
protection	protecció
album	àlbum
decoration	decoració
destruction	destrucció
humanity	humanitat
viscount	vescomte
restoration	restauració
rebirth	renaixement
power	potència
exhibition	exposició
pressure	pressió
famous	famós
classic	clàssic
infancy	infància
mention	esmentar
realm	àmbit
republican	republicà
citizen	ciutadà
Byzantine	bizantí
maternal	matern
put in	introduir
finalize	finalitzar
face	enfrontar
give out	concedir
paternal	patern
entity	entitat
guard	guàrdia
originally	originalment
recently	recentment
Roman	romànic
Pacific	Pacífic
Balearics	Balears
standard	estàndard
owning	tinent
act	actuació
ascent	ascens
Bourbon	Borbó
sovereign	sobirà
Persia	Pèrsia
offensive	ofensiu
arran de	arran de
historicism	historicisme
hide	dissimular
aquarium	aquàrium
tale	relat
divorced	divorciat
structuralist	estructuralista
unidirectional	unidireccional
de-escalation	desescalada
advisor	consellera
affirm	adverar
medick	melgó
diners	sisó
stride	gambar
sophisticate	sofisticar
servitude	servitud
prefecture	prefectura
Estelada	estelada
diòxid de carboni	diòxid de carboni
singable	cantable
running	corrents
Burgundy	Borgonya
mainly	majoritàriament
transition	transició
execution	execució
popularity	popularitat
advance	avanç
antiquity	antiguitat
azure	atzur
use	utilització
archipelago	arxipèlag
substitution	substitució
Hispania	Hispània
garrison	guarnició
chevet	capçalera
satellite	satèl·lit
band	bàndol
fabrication	fabricació
dissolution	dissolució
confederation	confederació
launch	llançament
conservation	conservació
persecution	persecució
reconstruction	reconstrucció
disposition	disposició
repression	repressió
resolution	resolució
concession	concessió
promotion	promoció
connection	connexió
conception	concepció
vassal	vassall
mechanism	mecanisme
reproduction	reproducció
audience	audiència
personality	personalitat
Yugoslavia	Iugoslàvia
Columbus	Colom
Charlemagne	Carlemany
Babylon	Babilònia
Hercules	Hèrcules
basically	bàsicament
concretely	concretament
jointly	conjuntament
popularly	popularment
widely	àmpliament
progressively	progressivament
extremely	extremadament
specifically	pròpiament
allegedly	suposadament
exactly	exactament
highly	altament
deeply	profundament
fully	plenament
successively	successivament
constantly	constantment
delivery	lliurament
hard	durament
usually	usualment
neglect	negligir
mailbox	bústia
bull run	correbou
recuperation	recuperació
programming	programació
domination	dominació
approval	aprovació
demonstration	demostració
equation	equació
navigation	navegació
group	agrupació
increasing	ampliació
incorporation	incorporació
reduction	reducció
surrender	rendició
intergenerational	intergeneracional
interlace	imbricar
type	mecanografiar
parallelepiped	paral·lelepípede
hoarseness	ronquera
environmental	mediambiental
take apart	desballestar
restrain	morigerar
transit	trànsit
appliance	dispositiu
competence	competència
deposit	jaciment
marsh	pantà
Equatorial Guinea	Guinea Equatorial
conjunctivitis	conjuntivitis
fossil word	fòssil
sports	esportiu
Ottoman	otomà
autonomous	autònom
relief	relleu
partial	partidari
Baroque	barroc
reredos	retaule
affluent	afluent
front	capdavant
border	termenal
populated	poblat
massive	massís
rotation	rotació
settlement	assentament
capital	capitell
descent	descens
contemporary	contemporani
bestow	atorgar
promote	promoure
bell tower	campanar
benefit	aprofitar
psychodrama	psicodrama
towel	tovallola
towel rail	tovalloler
carpenter	fuster
godchild	fillol
curd	quall
spite	despit
greatness	grandària
primitive	primitiu
decisive	decisiu
quantum	quàntic
Cicero	Ciceró
Antiochus	Antíoc
Gaul	Gàl·lia
Renaissance	renaixentista
cultivation	cultiu
livestock	ramaderia
management	gestió
chapter	capítol
descendence	descendència
naming	nomenament
calculus	càlcul
appliance	aparell
well-known	cèlebre
length	llargada
technical	tècnic
ceramics	ceràmica
characteristic	característic
closeness	proximitat
instruction	encàrrec
decadence	decadència
spectre	espectre
reign	regència
capacity	facultat
proposition	propòsit
division	repartiment
annoyance	punyeta
Andalusian	andalús
whole	totalitat
heiress	hereva
certificate	permís
transmigrate	transmigrar
press	imposar
meeting	trobada
reprehensible	criticable
anorak	anorac
Sulla	Sul·la
Lyceum	Liceu
Bages	Cardona
comparison	comparació
commitment	compromís
vine	vinya
reach	abast
topic	temàtica
precipitation	precipitació
reprint	reimprimir
standard	estendard
-naut	-nauta
poncho	capelina
wilt	marcir
magic	màgic
magic	màgica
Matthew	Mateu
rectangular	quadrilong
lifting	aixecament
ease	facilitat
Spartan	espartà
resupply	remuntar
conversion	conversió
depression	depressió
modification	modificació
demission	dimissió
submission	submissió
abolition	abolició
fortification	fortificació
contribution	contribució
inversion	inversió
fraction	fracció
notation	notació
designation	designació
approximation	aproximació
disintegration	desintegració
implant	implantació
decomposition	descomposició
localization	localització
extraction	extracció
accumulation	acumulació
crater	cràter
squadron	esquadró
consideration	consideració
cooperation	cooperació
unification	unificació
obtention	obtenció
citizenship	ciutadania
camp	campament
immigration	immigració
nationality	nacionalitat
destination	destinació
projection	projecció
leadership	lideratge
circumscription	circumscripció
renovation	renovació
crew	tripulació
obviousness	evidència
emigration	emigració
invention	invenció
goalscorer	golejador
transference	transferència
realism	realisme
Czechoslovakia	Txecoslovàquia
Alsace	Alsàcia
Bohemia	Bohèmia
Kiev	Kíev
voltage	voltatge
Arabia	Aràbia
colonization	colonització
dependency	dependència
annexation	annexió
circulation	circulació
precision	precisió
partition	partició
conspiracy	conspiració
stability	estabilitat
population	poblament
administrative	administratiu
spectacle	espectacle
merit	mèrit
effective	efectiu
surrender	rendiment
put	col·locar
knock down	enderrocar
collaborating	col·laborador
symphony	simfonia
supply	subministrament
registration	enregistrament
keen	aficionat
Saracen	sarraí
Pluto	Plutó
instruction	instrucció
reinforcement	reforç
deposit	dipòsit
entry	ingrés
viceroy	lloctinent
leak	degoter
reel	carret
mass	massiu
Islamic	islàmic
raising	aportació
centimetre	centímetre
excavation	excavació
hard-working	estudiós
positive	positiu
permit	llicència
Neolithic	neolític
arithmetic	aritmètica
arithmetic	aritmètic
juridical	jurídic
awareness	esment
relativity	relativitat
procedure	procediment
join	aplegar
white lead	blanquet
flattering	afalagador
bureaucracy	burocràcia
cholesteatoma	colesteatoma
textile	tèxtil
training	entrenament
diocese	diòcesi
location	emplaçament
business	mercaderia
Visigoth	visigot
modality	modalitat
try	assaig
pile	cúmul
metropolitan	metropolità
in the long run	a llarg termini
architectural	arquitectònic
controversy	controvèrsia
Vatican	Vaticà
audio	àudio
clergy	clergat
prosperity	prosperitat
maritime	marítim
relevant	rellevant
unloading	desembarcament
professor	catedràtic
record	constància
organic	orgànic
occur	ocórrer
foundation	fonament
narrowly	estretament
native	nadiu
beat	compàs
finding	troballa
hamlet	llogaret
erosion	erosió
percussion	percussió
urbanization	urbanització
inauguration	inauguració
oxidation	oxidació
repopulation	repoblació
reconquest	reconquesta
voting	votació
conduction	conducció
contamination	contaminació
industrialisation	industrialització
reorganisation	reorganització
combustion	combustió
absorption	absorció
adhesion	adhesió
adoption	adopció
admiration	admiració
revision	revisió
exportation	exportació
coordination	coordinació
illumination	il·luminació
penetration	penetració
respiration	respiració
congregation	congregació
narration	narració
strophe	cobla
Athenian	atenenc
widow	vídua
stop	detenir
parameter	paràmetre
Bolshevik	bolxevic
hostility	hostilitat
Villareal	Vila-real
nibbling	rosegador
acceptance	acceptació
Zeno	Zenó
chassis	xassís
reproduce	reproduir
orchestral	orquestral
operative	operatiu
bay laurel	llorer
aquatic	aquàtic
apostle	apòstol
adolescence	adolescència
administratively	administrativament
joined	adjunt
attractive	atractiu
understanding	comprensió
spreading	dispersió
splitting	escissió
fission	fissió
subdivision	subdivisió
deletion	supressió
codification	codificació
compensation	compensació
consecration	consagració
opposition	contraposició
decline	degradació
confiscation	desamortització
detection	detecció
decline	disminució
construction	edificació
evacuation	evacuació
making	facció
insurrection	insurrecció
intersection	intersecció
multiplication	multiplicació
nomination	nominació
ordering	ordenació
ornamentation	ornamentació
planning	planificació
propagation	propagació
regulation	regulació
remodeling	remodelació
link	vinculació
vocation	vocació
fan base	afició
boat	embarcació
claim	reivindicació
oppose	contraposar
disentail	desamortitzar
rise up	insurgir-se
rise up	insurreccionar
take to	aficionar
knowledge	saviesa
trade union	sindicat
bearing	rumb
survival	supervivència
Socrates	Sòcrates
tactics	tàctica
moving	trasllat
disorder	trastorn
traffic	tràfic
tracing	traçat
eardrum	timpà
heat	tèrmic
Saxon	saxó
Mallorquin	mallorquí
Helsinki	Hèlsinki
eat	fer nyam
brightness	brillantor
canon	cànon
canon	canonge
cell	cel·la
chloride	clorur
carapace	closca
consequent	consegüent
counterattack	contraatac
corolla	corol·la
credit	crèdit
battleship	cuirassat
armour	cuirassar
crustacean	crustaci
hardness	duresa
coefficient	coeficient
rocket	coet
collapse	col·lapse
take off	deposar
register	enregistrar
throw	llençar
Tacitus	Tàcit
board game	joc de tauler
stallholder	tauler
chopping board	tauler de tallar
tenderizer	estovador
gridiron	graella
waffle iron	gofrera
grater	ratllador
grate	ratllar
mill	molinet
dishwasher	rentaplats
toaster	torradora
burning	cremació
bellows	manxa
bicycle pump	manxa de bicicleta
link	lligam
brightness	lluminositat
mamluk	mameluc
button	cordar
cavern	balma
vegan	vegà
Germania	Germània
generic	genèric
glasshouse	hivernacle
humid	humit
rebel	rebel·lar
percentage	percentatge
suggest	plantejar
pneumonia	pneumònia
foresee	predir
proceed	procedir
purity	puresa
vertex	vèrtex
brother	frare
civil servant	funcionari
pediment	frontó
Illyria	Il·líria
print	impremta
incapable	incapaç
infancy	infantesa
instability	inestabilitat
infinite	infinit
request	instància
show	xou
sheet	làmina
lymphocyte	limfòcit
maturity	maduresa
majority	majoritari
machinery	maquinària
marquisate	marquesat
mechanic	mecànic
sponsor	mecenes
mythical	mític
mobility	mobilitat
mechanics	mecànica
Metellus	Metel
Myron	Miró
Moses	Moisès
Montreal	Mont-real
module	mòdul
recently	modernament
transvestism	travestisme
Montpelier	Montpeller
el	Montseny
Nero	Neró
Odo	Odó
Pausanias	Pausànies
rock	penya
Pergamon	Pèrgam
Pepin	Pipí
Sahara	Sàhara
Saladin	Saladí
Solomon	Salomó
Septimania	Septimània
Thrace	Tràcia
Trajan	Trajà
Turia	Túria
Versailles	Versalles
Vespasian	Vespasià
Agathocles	Agàtocles
Anatolia	Anatòlia
Armagnac	Armanyac
Arctic	Àrtic
Baltic	Bàltic
Barbara	Barberà
Bartholomew	Bartomeu
Boeotia	Beòcia
vegetarianism	vegetarianisme
strict	estricte
rigorously	rigorosament
rigorous	rigorós
definite article	article definit
automatic	automàtic
advance	avenç
arthropod	artròpodes
holm oak	alzina
Alsatian	alsacià
farmhouse	alqueria
Almoravid	almoràvit
height	alçària
raise	alçament
mayor	batlle
Bosphorus	Bòsfor
baccalaureate	batxillerat
block	bloqueig
botanic	botànic
Bourbon	borbònic
filing cabinet	fitxer
main	cabdal
cinematographic	cinematogràfic
Cleopatra	Cleòpatra
defensive	defensiu
deduce	deduir
name day	diada
rainbow	arc iris
-aceous	-aci
cauldron	perol
fen	mollera
hermeneutics	hermenéutica
sudden	sobtat
suddenly	sobtadament
inapplicable	inaplicable
harvest	collita
lollipop	pirulí
course	curset
chrysanthemum	crisantem
solidify	solidar
bestiality	bestialitat
papacy	papat
dispute	plet
nephritis	nefritis
suffrage	sufragi
successive	successiu
Alt Empordà	Roses
electuary	electuari
homicide	homicidi
boride	borur
much	mant
trade	compravenda
sometimes	a vegades
sometimes	de vegades
increasingly	cada vegada més
at once	a la vegada
d'una vegada	d'una vegada
perhaps	tal vegada
peaceful	pacífic
progressive	progressiu
from	provinent
protagonism	protagonisme
proconsul	procònsol
procession	processó
processing	processament
origin	procedència
early	primerenc
sled	trineu
resting	recolzament
perimeter	perímetre
tent	pavelló
optic	òptic
optics	òptica
cheetah	guepard
resonance	ressonància
lining	folre
contract	contractar
Tethys	Tetis
sardana	sardanista
talayot	talaiot
isolation	aïllament
articulation	articulació
vanguard	avantguarda
autochthonous	autòcton
buttress	contrafort
educative	educatiu
opposite	enfront
equal	equivaldre
aesthetics	estètic
financing	finançament
caste	nissaga
ceramic jar	topí
fermented cheese	formatge de tupí
brandy	aiguardent
Júcar	Xúquer
Jesus Christ	Jesucrist
Quintus	Quint
manorialism	senyoriu
prizewinner	guardonat
award	guardonar
Demetrius	Demetri
radically	radicalment
folding	plegatge
star-of-Bethlehem	vicaris
Venetian	venecià
veteran	veterà
stained glass window	vitrall
late	difunt
teaching	docència
directing	directiu
effectiveness	eficiència
efficient	eficient
businessperson	empresari
endemic	endèmic
focus	enfocament
descent	enfonsament
team	escuderia
essence	essència
et cetera	etcètera
extensive	extens
on purpose	expressament
exclusive	exclusiu
deafblindness	sordceguesa
deafblind	sordcec
deafness	sordesa
sestertius	sesterci
triumph	triomfar
license	llicenciar
Jordan	Jordà
Khrushchev	Khrusxov
Lysimachus	Lisímac
Lothair	Lotari
Jesuit	jesuïta
crossroads	cruïlla
Lyons	lionès
symphonic	simfònic
Roman	romanogermànic
Seljuk	seljúcid
preferably	preferentment
portal	portalada
palaeologist	paleòleg
tectonic	tectònic
cloak	mantell
included	inclús
festivity	festivitat
front	davanter
myopic	miop
swallow	oreneta
scrape	raure
magically	màgicament
gestational	gestacional
metformin	metformina
characterization	caracterització
ball boy	aplegapilotes
dyslexia	dislèxia
dyslexic	dislèctic
ear	espigar
Eumenes	Èumenes
Franciscan	franciscà
falsely	falsament
