dog	כלב
מינימלים	מינימלי
nice	נחמד
Exodus	תחיון
ER	מלר״ד
Exodus	ויקח
Exodus	ותרא
able	יכלה
take	ותקח
place	ותשם
Exodus	יעשה
shirt	חולצה
descend	ותרד
Exodus	לרחץ
ה־	הלכת
עַל	על יד
open	ותפתח
cry	בכה
Exodus	ותאמר
Iran	אירן
ambassador	שגריר
Exodus	עברים
sister	אחתו
request	בקשת
niche	נישה
sport	ספורט
Gehenna	גיהנום
veterinarian	וטרינר
אֲנִי	אני לא מדברת עברית
nuclear weapon	נשק גרעיני
wonderful	פנטסטי
detriment	נזק
milliard	מיליארד
huge	מסיבי
operation	מבצע
so	כך
old	זקנה
mainly	בעיקר
newsletter	ניוזלטר
vanilla	וניל
Venus	נוגה
keystone	אבן הראשה
exit	ויצא
see	וירא
stabbing	דקירה
grouper	דקר
medicine	רפואי
function	תפקד
spam	ספאם
greengrocer	ירקן
capability	יכולת
racquet	מחבט
drink	שתייה
remember	זיכרון
service	שירות
direct	ישיר
plan	תכנן
variety	מגוון
additionally	בנוסף
tennis	טניס
dinar	דינר
pledge	התחייבות
existing	קיים
volcano	וולקני
wash	ר־ח־ץ
Torah	תזו״מ
artificial sweetener	סוכרזית
oppose	התנגד
freeze	הקפאה
agriculture	חקלאות
photosynthesis	פוטוסינתזה
whistle	שריקה
dowry	נדוניה
Ethiopia	צלצל
wave	גל
cancel	ביטל
צו	צו הרחקה
living room	סלון
maintain	שמירה
publicize	פורסם
suitable	כדאי
uncommon	נדיר
מעט	מעט מדי, מאוחר מדי
late	מאוחר
excited	נגנב
logo	לוגו
cancer	מסרתן
founder	מייסד
establish	ייסד
afterward	לאחר כך
interest	רבית
decree	צו
snooker	סנוקר
Torah	תוה״ק
borscht	חמיצה
paradigm	פרדיגמה
samovar	סמובר
nucleus	גרעין
אֵיזֶהוּ	איזהו חכם? הלומד מכל אדם
biblical blue	תכלת
nota bene	נוטה בנה
pronunciation	ביטוי
anti-Semitic	אנטישמי
Sanhedrin	סנהדרין
foreword	הקדמה
pottery	חרס
vehicle	כלי רכב
pharmacology	פרמקולוגיה
tractate	פסחים
Abram	אברם
congratulations	מזל טוב
topology	טופולוגיה
cargo	מטען
unit	יחידה
completely	מכל וכל
matchmaker	שדכן
קהל	קו״ח
חֻפָּה	חו״ק
𐎘𐎍𐎈𐎐	שלחן
tables	שלחנות
tables	שולחנות
raspberry	פטל
tundra	טונדרה
thousand	אלפים
educate	התחנך
educate	חינך
sauce	רוטב
America	אמריקה
chauvinism	שוביניזם
friendship	ידידות
notebook	דפתר
notebook	פנקס
surprise	הופתע
surprise	הפתעה
עניין	עניין של זמן
bring in	הכניס
resume	חידש
hashish	חשיש
damage	הזיק
gas chamber	תא גזים
chutney	צ׳טני
kill	הי״ד
air conditioner	מזגן
blood test	בדיקת דם
Exodus	ויפן
Exodus	ויך
Exodus	תכה
broadcast	שידור
שִׁדּוּרִים	שידורים
foreign minister	שר חוץ
play down	גימד
get out of town	בחייך
bankruptcy	פשיטת רגל
lie in wait	ארב
מוּל	מול עיני
announcer	שדרן
hold	אחז
injure	נפצע
rerun	שידור חוזר
filler	תשדיר
PSA	תשדיר שירות
gas chamber	תא גז
new shekel	שקל חדש
new sheqel	שנקל
noon	חצות
white dwarf	ננס לבן
cutting	חתך
almond	שקד
magician	קוסם
virgin	בתולה
silt	טיט
kill	הרג
fear	ויירא
know	נודע
feminism	פמיניזם
חֶסֶד	המתת חסד
engineer	מהנדס
ballet	בלט
clamorous	קולני
element	אלמנט
save	הציל
swing vote	קול צף
sound wave	גל קול
graph	גרף
sauna	סאונה
call	קול קורא
asphalt	אספלט
traffic light	רמזור
hear	וישמע
Terah	תרח
מַּחְשֵׁב	מדעי המחשב
zither	ציתר
humanism	הומניזם
Rabshakeh	רבשקה
orchestra	תזמורת
ו־	ותבאנה
come	תבאנה
fill	ותמלאנה
policewoman	שוטרת
meteor shower	מטר מטאורים
Trojan horse	סוס טרויאני
discover	התגלה
paganism	פגניות
athlete	אתלט
גְּבִינָה	עוגת גבינה
מַּסְטִיק	אלת המסטיק
mastic	מסטיקא
Michigan	מישיגן
release	שוחרר
passport	דרכון
propose	הוצע
killed	הרוג
deputy	משנה
CEO	מנכ״ל
babysitting	שמרטוף
vocal cords	מיתרי הקול
קְבוּצָה	קבוצה פתוחה
Israel	משכן הכנסת
interface	ממשק
father	אביהן
expel	ויגרשום
Reuel	רעואל
dive	צלל
Egyptian	מצרי
draw	דלה
כיסא	כיסא גלגלים
מערכת	מערכת שמש
lamb	טלה
עוֹד	עוד מעט
tablet computer	מחשב לוח
bodyguard	שומר ראש
terrorism	טרור
LOL	חחח
Happy New Year	שנה טובה
discotheque	דיסקוטק
punch	מדגש
therefore	על כן
therefore	על־כן
whatever	מה שזה לא יהיה
daughter	בנתיו
where	איה
why	למה זה
conceal	כסה
conceal	כ־ס־ה
reign	מ־ל־ך
eat	יאכל
ל־	לשבת
daughter	בתו
Gershom	גרשם
הפתעה	מסיבת הפתעה
party	מסיבה
remember	ויזכר
his	בריתו
father-in-law	חתנו
do	נהג
Abigail	אביגיל
diagnose	אבחן
brotherhood	אחווה
differently	אחרת
horizon	אופק
convert	גייר
penetration	חדירה
tram	חשמלית
credit	אשראי
writing	כ־ת־ב
delight	ח־מ־ד
Arabian oryx	ראם
super-	סופר־
pillar	עמוד
lovingkindness	גמילות חסדים
עֲמוּדֵי	עמודי בית
gallop	דהר
ionosphere	יונוספירה
parapet	מעקה
Netanyahu	נתניהו
Satureja	צתרה
niqqud	ַ
niqqud	ִ
כּוֹרֵת	כורת עצים
buzzer	זמזם
German	גרמניה
tree	אילן
row	שורה
television	סכיון
אֵין	אין כל חדש תחת השמש
אֵין	אין חדש תחת השמש
indeed	הרי
בוסר	אבות אכלו בוסר ושיני בנים תקהינה
base	אדן
dicotyledon	דו־פסיגי
German measles	אדמת
atheism	אתאיזם
bio-	ביו־
miss	פיספס
cause of death	סיבת מוות
give up	ויתר
recall	הוזכר
intelligence	שכל
ice skating	החלקרח
salad	סלט
non-spacing	֯
כוח	תחנת כוח
כָּכָה	ככה־ככה
commissioned officer	קצין
nail polish	לק
עָלָיו	עליו השלום
gift	שי
cacao	קקאו
single	סינגל
shower	מקלחת
soup	מרק
music video	קליפ
grow	גידל
largeness	ג־ד־ל
purpose	כדי
Adam	אדה״ר
ב־	בישן
kite	דיה
bald	התקרחות
bald	התקרח
psychiatry	פסיכיאטרי
end	׃
live	יבדל לחיים
grade	דרג
pure	זך
stripe	מפוספס
Muhammad	מוחמד
God	המקום
אילה	אלהי
look	הביט
poor	עני
raise	העלה
wide	רחב
square	רחבה
Children of Israel	בני ישראל
her	באה
remove	הוצא
Saturday	יום שבת
pedestrian	הולך רגל
pedestrian	הולכת רגל
banker	שלחני
egg roll	אגרול
any-	־שהו
ladies and gentlemen	מורי ורבותי
איגרת	איגרת חוב
bond	אג״ח
tennis player	טניסאי
Tammuz	בין המצרים
baguette	בגט
Golden Gate	שער הרחמים
injury	פ־צ־ע
mm	מ״מ
suspended	תלוי
hope	תקווה
thus	כה
pleasant	יומנעים
firing	פיטור
begin	החל
finish	הסתיים
true	אמיתי
resident	תושב
northern	צפוני
western	מערבי
oriental	מזרחי
southern	דרומי
last minute	הדקה ה־90
violence	אלימות
fuel	תדלק
נְמַל	נמל תעופה
while	בעוד
entrecôte	אנטרקוט
bonus	בונוס
approach	התקרב
cancel	בוטל
dwell	דר
hunter	צייד
emergency	חירום
honor	כבוד
Jew	דוס
response	תגובה
testimony	עדות
throw	נזרק
return	החזיר
campus	קמפוס
impress	הרשים
note	ר־ש־ם
see	נראה
celebrate	חגג
בֶּן	בן דוד
heal	רפואה
hopeful	אופטימי
warn	הזהיר
Nakba	נכבה
in back of	מאחורי
process	תהליך
confuse	התבלבל
continue	נמשך
cautious	בזהירות
phallic	פאלי
phallus	פאלוס
emergency room	חדר מיון
wait	המתין
patient	מטופל
technical	טכני
land	ארצי
preparation	הכנה
flamingo	פלמינגו
insurrection	התקוממות
run over	נדרס
intersection	צומת
submit	הגיש
United Nations	או״ם
definite	מוחלט
worrisome	מדאיג
worry	הדאיג
worry	דאג
worry	דאגה
מזכיר	מזכ״ל
doll	בובה
rapidly	במהירות
argument	ויכוח
atmosphere	אטמוספירה
disappoint	אכזב
mile	מייל
intercession	תפילה
servant	משרת
charity	צדקה
deed	מעשה
nation	העם
spin-off	ספין אוף
intersexed	אינטרסקס
lobster	לובסטר
electrical	חשמלי
invest	השקיע
accessory	אקססורי
money	נמכר
deaf	חירש
חופש	חופש גדול
shorten	קוצר
donate	תרם
laser	לייזר
Arab	ערבי
fold	קיפל
shorten	קיצר
somber	רציני
obligated	צריך
complaint	תלונה
diplomat	דיפלומט
provocation	פרובוקציה
emphasize	הדגיש
brass	נחושת
inhabitant	יושב
inhabitant	יושבת
disunited	חלוק
bull	פר
objective	סובייקטיבי
dual	כפול
wake up	התעורר
human right	זכות אדם
erase	נמחק
eraser	מחק
parliament	פרלמנט
short	קצר
win	ניצח
boring	משעמם
cottage	קוטג׳
עַיִן	עין הרע
time	עת
teaching	תלמוד
doorpost	מזוזה
investigate	נחקר
imprisoned	כלוא
stop	נעצר
num.	מס׳
bris	ברית מילה
close	נסגר
psychologist	פסיכולוג
one-sided	חד צדדי
maybe	אלי
endanger	סיכן
pedagogic	פדגוגי
tan	השתזף
Orthodox	אורתודוקסי
salon	טרקלין
ecology	אקולוגי
pipe	צינור
inherit	ירש
poster boy	נער פוסטר
שָׂדֶה	שדה לבן
Chihuahua	צ'יוואווה
כל	כל עיקר
childhood	ילדות
cleft	נקרה
camp	מאהל
tent	אוהל
treat	טופל
שְׂדֵה	שדה תעופה
יש	יש לי שאלה
ש־	שלשת
presumption	חזקה
trip	טריפ
improve	השתפר
sense	חש
budget	תקציב
payment	תשלום
principal	עיקרי
result	תוצאה
complete	השלים
transit	תחבורה
hacker	האקר
attack	התקפה
organism	אורגניזם
embassy	שגרירות
standpoint	פרספקטיבה
conspiracy	קונספירציה
interest	עניין
Salmonidae	סלמון
hit	הכה
charm	חן
ocular	עיני
tune	לחן
DJ	די.ג׳יי
hit	היכה
nothing	ריקם
concerned	מודאג
ו־	ושאלה
neighbor	שכנתה
female	גרה
famous	התפרסם
torpedo	טרפד
cognition	הכרה
addicted	התמכר
shortcut	קיצור דרך
meet	נפגש
old	קשישה
stable	רפת
שָׁפַךְ	שפך אור
spill	שפך
postpone	נדחה
אי	אי־ודאות
יְהוּדָה	יהודה ועוד לקרא
נקודתיים	פעמיים נקודתיים
tail	זנבו
strong	ויחזק
smartphone	סמארטפון
story	סיפור
Dutch	הולנדי
socialism	סוציאליסטי
cold	קיפאון
pathologist	פתולוג
prayer	תשליך
American	אמריקאי
tonight	הערב
detainment	מעצר
receive	קיבל
congress	קונגרס
meeting	פגישה
hall	אולם
cease-fire	הפסקת אש
break	הפסקה
ו־	ויוצאה
population	אוכלוסין
sit	י־ש־ב
admit	הודה
ו־	והיה
ו־	ולקחת
watery	מימי
security	ניר ערך
security	נייר ערך
world	חלד
mute	אלם
kph	קמ״ש
kilometre	קילומטר
get lost	הלך לאיבוד
Nazarite	נזיר
sheath	נרתיק
stretched forth	נטוי
increase	התייקרות
lieutenant colonel	סא״ל
converse	שוחח
ו־	ודבר
judge	שופט
Immanuel	עמנואל
parents	הורים
expert	מומחה
tablet	גלולה
add	הוסיף
continue	המשיך
painting	ציור
load	נטל
treasure	אוצר
primary election	פריימריז
reprove	הוכיח
fill up	התמלא
weird	משונה
need	זקוק
cub	גור
שוק	שוק שחור
African	אפריקאי
בַּר	בר מינן
data	אינפורמציה
appealing	אטרקטיבי
decide	הוחלט
Tabernacles	החג
widen	הרחיב
יְהוָה צְבָאוֹת	תעשה
do	נעשה
indebted	מחויב
kid	גדי
certainly	בוודאי
view	נוף
coalition	קואליציה
delivery	מסירה
platform	פלטפורמה
commander	מפקד
relatively	יחסית
outdo	התעלה
save	חסך
מַעֲרֶכֶת	מערכת הפעלה
loved	אהוב
pluck	עקר
wedding	חתונה
ask for	ביקש
enough	הספיק
wound	פגע
injure	נפגע
commit suicide	התאבד
ים	מעבר לים
paroxytone	מלעיל
seal	גושפנקה
official	רשמי
pragmatic	פרקטי
difficulty	קושי
agitation	התרגשות
economy	כלכלה
synthesizer	סינתיסייזר
inventor	ממציא
musician	מוזיקאי
invent	המציא
remnant	שאר
human	אנושי
costume	תחפושת
republic	רפובליקה
atmosphere	אווירה
weather	מזג אוויר
מנוע	מנוע חיפוש
sanction	סנקציה
province	פרובינציה
fitting	ראוי
clarify	הבהיר
ideal	אידיאל
wine	חמר
bleach	ליבן
postcard	גלויה
receive	התקבל
הקדוש ברוך הוא	סדר
lose	הפסיד
Nevi'im	נביאים
thus	ככה
consultation	התייעצות
people	מאוכלס
likelihood	סבירות
linked	מחובר
gittith	גתית
strong	חזק
strengthen	חיזק
dagesh forte	דגש חזק
dagesh lene	דגש קל
deadly	קטלני
send	שילח
Becher	בכרי
demonstrator	מפגין
young camel	בכר
flax	פשתה
fait accompli	עובדה מוגמרת
right	זהו
Matityahu	מתתיהו
Rebecca	רבקה
Moses	רמב״ם
Eliezer	אליעזר
hear	נשמע
mint	מטבעה
come on	יאללה
raise	דיגל
poet	משורר
beehive	כוורת
monthly	חודשי
lord	אדון
thick	עב
cooperative	קואופרטיב
אִישׁ	איש עסקים
furthermore	עם זאת
balcony	מרפסת
Elijah	אליהו
ב־	בכרך
order	סידור
closed	סגור
without	בלי
earth	קרקע
ground floor	קומת קרקע
story	קומה
praise	הילל
unique	מיוחד
stadium	אצטדיון
eighth	שמיני
ninth	תשיעי
tenth	עשירי
utilization	ניצול
utilize	ניצל
grocery store	מכולת
at the moment	כרגע
pocket	כיס
personal	אישי
pickpocket	כייס
smoke	עישן
blvd.	שד׳
subterranean	תת קרקעי
finish	סיים
parking lot	חניון
square	כיכר
poppyseed	פרג
long live	יחי
bow	השתחוה
we	אנו
developing	פיתוח
nice	נעים
נָעִים	נעים מאוד
mulberry	תות
hold	כיהן
waste	איבד
Bahá'í	בהאי
sweat	יזע
move	זע
flutter	זיע
sweat	זיעה
half	חצי
carcass	נבילה
piece	חתיכה
hunk	חתיך
lafa	לאפה
Tel Aviv-Yafo	יפו
Temple in Jerusalem	בית המקדש
wait	חיכה
good job	כל הכבוד
chemistry	כימיה
forward	קדימה
really	באמת
a lot	הרבה
tell	הגיד
oh	אוי
gift	מתנה
pang	שבץ
standard of living	רמת חיים
arithmetic	חשבון
have a good time	בילה
mushroom	פטריה
quickly	צ׳יק צ׳ק
Hashem	ה׳
Olam Haba	העולם הבא
Gideon	גדעון
fry	ליבב
power	כוח
true	נאמן
loyalty	נאמנות
שַׁבָּת	שבת שלום
hook	וו
Internet	אינטרנטי
miss	התגעגע
business	עיסקי
hookah	נרגילה
cholent	צ׳ולנט
toward	לקראת
בָּשָׂר	בשר לבן
pain	כאב
act	עמידה
verse	פסוק
גְּמַר	גמר חתימה טובה
bread roll	לחמנייה
Ahasuerus	אחשורוש
tarry	התמהמה
expensive	התייקר
yet	עדיין
ask	נשאל
Sukkot	סוכות
address	מען
-er	־ן
sum	סך
lemonade	לימונדה
pomegranate	רימונדה
MP	מ"צ
rice	מג׳דרה
during	במשך
saintly	צדיק
little	כזית
umbrella	מטריה
שָׁלוֹם	שלום עליכם
שָׁלוֹם	עליכם שלום
polar	קוטבי
miracle	פלא
blood vessel	כלי דם
frying pan	מחבת
plaster	פלסטר
for ever and ever	לעולם ועד
studio	אולפן
Mediterranean	ים תיכוני
average	ממוצע
fry	טיגן
french fry	טוגן
special ed	חינוך מיוחד
district	מחוזי
terse	לקוני
notice	הודעה
recommend	המליץ
history	היסטורי
tendency	נטייה
tend	נטה
classify	קיטלג
regarding	לגבי
cosmetics	קוסמטי
inflammation	דלקת
campaign	קמפיין
baby	תינוקת
Google	גוגל
googol	גוגול
lowering	הפחתה
quote	ציטט
quote	צוטט
bottle	בקבק
jar	פך
accurate	אותנטי
small	קטנצ׳יק
rotten	מקולקל
alarm	אזעקה
tel	טל׳
forgery	זיוף
slow down	האט
crew	צוות
mark	ציין
garbanzo	חומוס
serve	שימש
forge	זייף
despite	בניגוד ל־
jealousy	קנאה
rich	עשיר
menu	תפריט
suggest	מומלץ
advantage	יתרון
congregate	התכנס
delay	איחור
disappoint	התאכזב
poison	הורעל
temper	מזג
Chenopodium quinoa	קינואה
high	גבוה
useful	הועיל
advantage	מעלה
walrus	סוס ים
very	דוסי
United States	ארצות הברית
sufganiyah	סופגנייה
Festival of Lights	חג האורים
Eleazar	אלעזר
rebellion	מרד
Hasmonean	חשמונאי
Jonathan	יונתן
small	קטון
changing	המרה
female	גמדת
Islamic	אסלאמי
approach	ניגש
show	הופעה
bacterium	חידק
alien	חיזר
crimson	ארגמן
ו־	ויאמן
ו־	וישמעו
welcome	ברוך הבא
include	נכלל
chutzpah	חוצפה
Shiloh	שילה
enough	הסתפק
litigant	בעל דין
culture	תרבות
low	נמוך
hug	חיבוק
flight	טיסה
hug	חיבק
magnificence	פאר
Big Mac	ביג מק
please	נא
אֲנִי	אני זקוק למתורגמן
distillation	זיקוק
firework	זיקוקי די-נור
attack	התקיף
attack	הותקף
press conference	מסיבת עיתונאים
Tanakhic	תנ״כי
joint	משותף
tame	מבויית
the straw that broke the camel's back	הקש ששבר את גב הגמל
such	כזה
reciprocal	הדדי
Pharaoh	פרעוני
council	מועצה
מוֹעָצָה	מועצה אזורית
מוֹעָצָה	מועצה מקומית
council	ועד
Maccabees	מכבים
evacuation	פינוי
dyslexia	דיסלקציה
פָּשַׁט	פשט את הרגל
redbud	כליל החורש
female	רופאה
Pisces	דגים
him	־ו
elections	בחירות
beetle	חיפושית
organization	הסתדרות
gabbai	גבאי
שיבולת	שיבולת שועל
millet	דוחן
waffle	וופל
diligent	חרוץ
by and large	בגדול
triangle	משולש
pancratium	חבצלת
recumbent	אופנוח
no way	בשום אופן
fashion	אופנה
ג׳ינס	סקיני ג׳ינס
ah-choo	אפצ׳י
structure	מבנה
assignment	מטלה
guttural	גרוני
wipe	קינח
certainty	ביטחון
Purim	פורים
Torah	סת״ם
noisemaker	רעשן
after all	סוף סוף
cashpoint	כספומט
איחוד	איחוד האמירויות הערביות
הזרעה	ה״מ
fortune	גדא
shout	זעק
bud	ניצן
dried out	מיובש
bowl	קערה
small	קערית
delightful	קסום
barley	שעורה
pimple	פצעון
ring	טבעת
rocket	טיל
saw	מסור
אני	אני צריך להזמין מונית
I need a taxi	אני צריכה להזמין מונית
אֵיךְ	איך מגיעים לתחנת הרכבת
אֵיךְ	איך מגיעים לשדה התעופה
crowd	המון
unexpectedly	דווקא
adulterer	נואף
אני	אני צריך מפה
אני	אני צריכה מפה
אני	אני צריך מפה של העיר
אני	אני צריכה מפה של העיר
majority	רוב
team	נבחרת
glove	כפפה
chewing gum	מסטיק
slowly	לאט
crossword puzzle	תשבץ
Allah	אללה
boss	מנהל
boss	מנהלת
stock exchange	בורסה
south	תימן
test	מבחן
bite	נשיכה
attorney	עורכת דין
editor	עורך
form	תבנית
brief	חטוף
pencil box	קלמר
grandson	נכד
granddaughter	נכדה
aunt	דודה
dock	מעגן
central	מרכזי
central bank	בנק מרכזי
rob	חמס
spy	מרגל
birthplace	מולדת
Ramesses	רעמסס
R.	ר׳
if only	הלוואי
in general	בכלל
manners	דרך ארץ
link	לינק
accountant	רואה חשבון
slice	פרוסה
cute	חמוד
raspberry	פטל אדום
blackberry	פטל שחור
furnishing	רהיט
Habakkuk	חבקוק
schnitzel	שניצל
sabotage	חיבל
writer	כותב
dogma	דוגמה
snorkel	שנורקל
female	חנונית
schnitzel	כתיתה
OK	אוקי
potato pancake	לביבה
yacht	יאכטה
rebel	מורד
player	שחקנית
journey	נסיעה
suitcase	מזוודה
apothecary	רוקחת
bag	שקית
freckle	נמש
lie	כזב
אלצהיימר	מחלת אלצהיימר
routine	שגרה
greeting card	כרטיס ברכה
rest	שקט
backpack	תיק גב
right	ישר
for	בעד
mamzer	ממזר
הֲבֵל	הבל הבלים
weak	חלש
hail	ברד
valley	גיא
medicine	תרופה
salary	משכורת
sharp	צ׳ופצ׳יק
grove	חורש
learn	לימוד
classes	לימודים
textbook	ספר לימוד
learning	למידה
dance	ריקוד
dancer	רקדנית
rumor	שמועה
seldom	לעיתים רחוקות
frequently	לעיתים קרובות
K	קי
worker	פועלת
clean	נקי
swimming pool	בריכה
river	יאור
מָצָא	מצא חן בעיני
dispute	מחלוקת
bake	אפה
granary	אסם
move	זז
number	מניין
sleep	נם
awesome	אחלה
nickel	ניקל
measure	שיעור
Einstein	איינשטיין
die	הלך לעולמו
silence	השתיק
mercifully	בחמלה
inhale	שאף
Golan Heights	רמת הגולן
inform	הודיע
path	מסלול
out of	מתוך
cut off	מנותק
goodwill	רצון טוב
Jeremiah	ירמיהו
grey	אפור
meet	פגש
play	ניגן
good job	סלאמתק
wisdom	חוכמה
leftward	שמאל
shady	קומבינה
laugh	צחק
to health	לבריאות
dwelling	משכן
weight	משקל
Akkad	אכד
nikud	נקדות
that is	יעני
sit down	התיישב
turkey	תרנהוד
tickle	דיגדג
murder	נרצח
female	נאקה
really	ממש
presidency	נשיאות
Ishmael	ישמעאל
stranger	הגר
Bilhah	בלהה
Zilpah	זלפה
blessed	הקדוש ברוך הוא
conquest	כיבוש
annexation	סיפוח
conference	כנס
occur	התרחש
attorney-in-fact	מיופה כח
channel	ערוץ
Ohio	אוהיו
separate	גזרה
sales tax	מס קנייה
post	דואר
post box	תיבת דואר
organic	אורגני
spice	תבלין
spring	מעיין
myrtle	הדס
furthermore	חוץ מזה
foreign currency	מט״ח
foreign currency	מטבע חוץ
pump	משאבה
Ashkenazi	אשכנזי
even so	בכל זאת
Olympic	אולימפי
Olympic Games	המשחקים האולימפיים
basketball	כדור סל
researcher	חוקר
researcher	חוקרת
barrel	חבית
absent	חסר
Hebrew	חולם
Hebrew	קמץ
Hebrew	קובוץ
violet	סגול
Hebrew	חיריק
Hebrew	צירי
Hebrew	חטף קמץ
Hebrew	חטף פתח
Hebrew	חטף סגול
Hebrew	רפה
autism	אוטיזם
shuruk	שורוק
political party	מפלגה
group	סיעה
amusing	מצחיק
robbery	שוד
robber	שודד
pirate	שודד ים
activity	עסוק
lecture	הרצאה
recipe	מרשם
exam	בחינה
clay	חומר
step	מדרגה
stairs	מדרגות
coat	אדרת
advertisement	מודעה
obituary	מודעת אבל
red carpet	שטיח אדום
great	נהדר
sadness	צער
mesa	הר שולחן
railway station	תחנת רכבת
bus stop	תחנת אוטובוס
razor	סכין גילוח
tuning fork	קולן
anchor	עוגן
marina	מעגנה
exhibition	תערוכה
World Exposition	תערוכה עולמית
modern art	אמנות מודרנית
contemporary	אמנות עכשווית
contemporary	עכשווי
modern	מודרני
performing arts	אמנות הבמה
stage	בימה
traditional	מסורתי
adult	מבוגר
adulthood	בגרות
student	תלמידה
shaving	גילוח
shave	גילח
electric	מכונת גילוח
washing machine	מכונת כביסה
laundering	כביסה
wash	כיבס
dryer	מייבש כביסה
dryer	מייבש
hair dryer	מייבש שיער
typewriter	מכונת כתיבה
typewriter	סרט דיו
magnetic tape	סרט מגנטי
writing	כתיבה
hand-held	מניפה
fan	מאוורר
fan	ונטילטור
halva	חלווה
בְּצֵק	בצק שמרים
evidence	לא ראינו אינה ראיה
boxing	קרב איגרוף
boxing	איגרוף
Thai	תאילנדי
cellular	תאי
clear	חד משמעי
חד	משמעי
exercise	תרגיל
exercise	תירגל
roll	גילגל
roll	התגלגל
life preserver	גלגל הצלה
rescue	הצלה
gear	גלגל שיניים
wisdom tooth	שן בינה
understanding	בינה
artificial	מלאכותי
artificial intelligence	בינה מלאכותית
intelligent	אינטליגנטי
artificial intelligence	אינטליגנציה מלאכותית
intelligent	נבון
sting	עקיצה
Palestinian	פלסטיני
spirituality	רוחניות
מִין	יחסי מין
stunning	מדהים
בָּרוּךְ	ברוך השם
convert	התגייר
fall in love	התאהב
interaction	אינטרקציה
Midrash	מדרש
נֵר	נר תמיד
convert	גיורת
secular	חילוני
protect	הגן
Orthodox Judaism	יהדות אורתודוקסית
tefillin	תפילין
melody	ניגון
Talmudic	תלמודי
manifest	גלוי
revelation	גילוי
בֵּית	בית דין
Gaza Strip	רצועת עזה
text	נוסח
Chumash	חומש
free	השתחרר
giyur	גיור
careful	זהיר
handwashing	נטילת ידיים
fornicate	זנה
adultery	נאף
איך	איך אומרים ... באנגלית
Torah	ספר תורה
loving kindness	חסד
spear	רומח
at least	לפחות
diaper	חיתול
bookshelf	ארון ספרים
suggestion	הצעה
Hamas	חמאס
butchershop	אטליז
allow	הרשה
הר	הר סיני
State of Israel	מדינת ישראל
Land of Israel	ארץ ישראל
e-mail	אימייל
password	סיסמה
congregate	התקהל
bring	הקהיל
refrain	נמנע
straw purchaser	איש קש
straw	קש
bachelor	רווק
married	נשוי
common	נפוץ
watch	צפה
subtitle	כתובית
interview	ריאיון
kippah	כיפה
Subbotnik	סובותניק
Steinberg	שטיינברג
Mendelovich	מנדלוביץ
Grozovsky	גרוזובסקי
wrap	התעטף
אורך	אורך גל
Ohayon	אוחיון
business	נשא ונתן
Hassidism	חסידות
scroll	מגילה
Hoffman	הופמן
strap	רצועה
custom	מנהג
asylum	מקלט
Babylonian	בבלי
bisexual	ביסקסואלי
monotheism	מונותאיזם
monotheistic	מונותאיסטי
victory	ניצחון
pick	קטף
Akiva	עקיבא
astound	הפליא
astounding	מפליא
mercy	רחמים
scientist	מדען
hi	אהלן
what the hell	מה לעזאזל
nonsense	שטויות
Hassid	חסיד
Hasidic	חסידי
hairy	שעיר
Lot	לוט
צְבָא	צבא הגנה לישראל
proud	גאה
ritual	פולחני
brimmed	מגבעת
deep	עמוק
tilt	הטה
rainy	גשום
catastrophe	אסון
surgery	כירורגיה
surgeon	מנתח
klezmer	כליזמר
win	זכה
hurt	הכאיב
armpit	בית שחי
sweaty	מיוזע
uncircumcised	ערל
pleasure	תענוג
lip	שפתיים
labia minora	שפתיים קטנות
labia majora	שפתיים גדולות
yawn	פיהק
kissing	נ־ש־ק
kiss	התנשק
kiss	נישק
Shacharit	שחרית
offering	מנחה
dress	הלביש
supplication	תחנון
rest	מנוחה
redeem	גאל
הַר	הר הבית
command	ציווה
High Holidays	ימים נוראים
Ten Days of Repentance	עשרת ימי תשובה
smicha	סמיכה
genitals	מבושים
former	עשרון
סֵפֶר	ספר בראשית
circumcised	נימול
pleasure	עונג
treat	התייחס
distant	הרחיק
instant	מיידי
take part	לקח חלק
wash	חפף
inwards	פנימה
whisper	לחישה
quickly	במהרה
pronunciation	הגייה
בָּרוּךְ	ברוך הוא וברוך שמו
seat	מושב
Chabad	חב״ד
hard	קשיח
hard disk	דיסק קשיח
hard disk	כונן קשיח
בַּעַל	בעל תשובה
dwelling	שכינה
Aramaic	ארמית
psalm	מזמור
legacy	מורשה
garbage	פסולת
rabbinic	רבני
add	צירף
paragraph	סעיף
שְׁמִינִי	שמיני עצרת
Steinsaltz	שטיינזלץ
חירום	יציאת חירום
מִצְרַיִם	יציאת מצרים
exit	יציאה
expression	אמירה
sheaf	עומר
prostate gland	בלוטת הערמונית
gland	בלוטה
slander	לשון הרע
Goldberg	גולדברג
Africa	אפריקה
innovation	חידוש
blame	אשמה
chuppah	חופה
sexually	גירה
even	אפילו
solar	שמשי
lunar	ירחי
celestial	שמימי
dark	החשיך
fall through	התפספס
urine	שתן
piss	השתין
see	התראה
עָשָׂה	עשה כביסה
hater	שונא
silence	דממה
serene	רוגע
relaxed	רגוע
calm	ר־ג־ע
give in	התפתה
awake	בהקיץ
disappear	נעלם
homiletic	ד־ר־ש
midrash aggadah	מדרש אגדה
midrash halacha	מדרש הלכה
lane	נתיב
anosmia	תתרן
