how	en
participant	þátttakandi
public sector	hið opinbera
public	opinber
talent	gáfa
kale	grænkál
amphetamine	amfetamín
snout	trýni
very	harla
sixth	sjötti
poem	bragur
bankruptcy	gjaldþrot
past perfect	þáliðin tíð
interloper	boðflenna
what	þvílíkur
snuggle	kúra
dative case	óþökk
open wide	glenna
breaststroke	bringusund
extend	framlengja
privatization	einkavæðing
collect dust	rykfalla
carrot	gulrót
venous ulcer	fótasár
baseball cap	derhúfa
rollerblade	línuskauti
drinking water	drykkjarvatn
congruent	samleifa
chicken	kjúklingur
group	grúpa
caffeine	koffín
bait	egna
käṣtär	kastar
stand out	stinga í stúf
shame	háðung
bunk	koja
twig	angi
quick	snar
lappet	sepi
wake	kjölfar
skill	fimi
burlap	strigi
earwax	eyrnamergur
decrepit	farlama
chop	saxa
name	kenndur
seismology	jarðskjálftafræði
woman	kerling
trust	traust
philatelist	frímerkjasafnari
glutton	átvagl
insomnia	svefnleysi
western	vestri
paradigm	beygingardæmi
female	kvendýr
review	upprifjun
bad	leirburður
kneading	hnoð
invisible	ósýnilegur
hide	leyna
dark horse	leyna á sér
soy milk	sojamjólk
tangle	flækja
em dash	þankastrik
memorable	eftirminnilegur
numb	dofinn
policewoman	lögreglukona
melanoma	sortuæxli
imitative	hermi-
biting	napur
resentful	gramur
annoyance	gremja
footstool	skemill
optimistic	bjartsýnn
-er	-ari
mucous	slíma
pseudocrater	gervigígur
artificial intelligence	gervigreind
womanizer	kvennabósi
visit	sækja heim
genius	snilld
almond	mandla
group sex	hópkynlíf
joy	frygð
churn	strokka
frivolous	drabba
Germanic	germanska
homonymous	samnefndur
Slovakia	Slóvakía
sickle	sigð
framan	framan af
orphan	munaðarleysingi
rattle	korra
wedding night	brúðkaupsnótt
menu	valmynd
talkie	talmynd
acknowledge	viðurkenna
justice	réttlæti
base	undirstaða
friendly	vinsamlegur
relations	samskipti
important	mikilsvert
strengthen	efla
born	borinn
conscience	samviska
endow	gæða
difficult	torfenginn
difficult	tormeltur
difficult	torráðinn
exclude	útiloka
harmful	skaðlegur
unattractive	óaðlaðandi
attractive	aðlaðandi
folic acid	fólínsýra
dairy cow	mjólkurkýr
deacon	djákni
music school	tónlistarskóli
surplice	rykkilín
Latin	latneskur
suffering	kvefaður
cupcake	formkaka
local	útsvar
solecism	ambaga
chairman	oddviti
drink	veig
baking	bakstur
breakfast cereal	morgunkorn
workshy	hyskinn
sheepskin	gæruskinn
scream	arga
disturb	raska
investigate	rannsaka
apple sauce	eplamauk
apple sauce	eplamús
Advent	aðventa
fast	flengur
undistilled	gambri
writing	skrift
credit card	kreditkort
deteriorate	versna
shoulder blade	herðablað
river	elfa
girl	telpa
importance	mikilvægi
aim	munda
liver	lýsi
donkey	asna
bottlenose dolphin	stökkull
flat	flatur
unwed	afturbatapíka
zeal	kapp
nuclear weapon	kjarnavopn
pet	gæludýr
Iran	Íran
Lithuania	Litháen
steep	núpur
Antarctica	Suðurskautslandið
Cambodia	Kambódía
insane	geðveikur
hiss	hvæs
perceptive	glöggur
prove	sanna
die	deyja drottni sínum
motet	mótetta
oratorio	óratóría
cinema	kvikmyndahús
calm	frór
bishopric	biskupsdæmi
dare	dirfast
chameleon	kamelljón
cane	reyr
whey	mysa
stultification	forheimskun
stultify	forheimska
depth-first search	lóðleit
inkwell	blekbytta
meta-	lýsi-
inch	tomma
mitre	mítur
bishop	biskupskápa
taboo	tabú
pluck	plokka
go out	slokkna
stiffen	stífna
buffer	biðminni
annoy	pirra
astonished	hlessa
cool	gæi
BC	f.Kr.
hit	högg
code	kóða
harden	herða
reduce	skerða
annoy	ergja
meteorology	veðurfræði
technology	tækni
scent	ilmur
pretty	snotur
hear	fregna
good	hollur
music	hljómlist
television	imbakassi
photosynthesis	ljóstillífun
edge	snös
Northumberland	Norðymbraland
Schleswig	Slésvík
Öland	Eyland
lemur	lemúr
goalkeeper	markvörður
Cumberland	Kumbaraland
Cornwall	Kornbretaland
Sherwood Forest	Skírisskógur
Shetland Islands	Hjaltlandseyjar
Reykjavík	Hörðaland
privy council	ríkisráð
president	þingforseti
high court	hæstiréttur
Limfjord	Limafjörður
haystack	sáta
crosier	bagall
beech	beyki
disease	veiki
clay	leir
tender	meyr
spear	geir
manure	teðja
goddess	gyðja
clear	ryðja
fifth	fimmti
seventh	sjöundi
eighth	áttundi
ninth	níundi
rabble	hyski
snath	orf
equally	jafn-
several	allnokkur
wise	vís
cheese	sís
verdigris	spanskgræna
Statue of Liberty	Frelsisstyttan
stately	reffilegur
fisherman	sjómaður
shit	lortur
hem	brydda
drive	drif
smirk	glott
alcohol	spritt
scales	vigt
quintillion	trilljón
editor	ritill
thorough	ýtarlegur
attachment	kyrrsetning
combining form	forliður
very	pínulítill
tiny	örlítill
foul	fúll
cathode	bakskaut
anode	forskaut
read-only memory	lesminni
octopus	kolkrabbi
applause	klapp
pat	klappa
dandle	hampa
thankful	þakklátur
phi	fí
result	fylgifiskur
rag	garmur
í	bylur hæst í tómri tunnu
expression	orðatiltæki
language	sprok
oft	oft má satt kyrrt liggja
side by side	hlið við hlið
digression	útúrdúr
sound	hlakka
categorize	flokka
sorcerer	vitki
yeast	jöstur
baby	bumbubúi
gamalmenni	löggilt gamalmenni
flow	flæði
spot	stæði
twig	kvistur
heightening	hækkun
pay	launahækkun
swing	róla
silent	fámáll
universe	alheimur
announcement	kynning
crime novel	krimmi
asexuality	kynleysi
asexual	kynlaus
king	tiggi
flag	veif
A major	A-dúr
vapor pressure	gufuþrýstingur
French kiss	fara í sleik
starboard	stjórnborði
port	bakborði
St Mark's Square	Markúsartorg
videotape	spóla
prefix	Há-
string	háband
danger	vá-
fine	gull af manni
algorithmic	reikni-
mythology	goðafræði
vestibule	anddyri
koma	koma ekki einhverjum við
sperm	brundur
infection	smit
group theory	grúpufræði
pastern	hófskegg
monarch	einvaldur
unipotent	einvalda
linear equation	línuleg jafna
tachyon	hraðeind
death	dauðakippur
whiteness	mjalli
toy	leikfang
trial	þraut
excommunication	bannfæring
poor	klénn
entice	ginna
pinworm	njálgur
zodiac	dýrahringur
sentence	málsgrein
moo	baul
counter	afgreiðsluborð
attendance	afgreiðsla
yawn	geispi
debtor	skuldari
Norwegian	Norðmaður
marquess	markgreifi
Rumex acetosella	hundasúra
subgroup	hlutgrúpa
cognac	koníak
ambiguity	tvíræðni
trilateral	þríhliða
bilateral	tvíhliða
cleaning	tiltekt
dire wolf	ógnarúlfur
meika	meika sens
bilberry	aðalbláber
blueberry	bláber
part of speech	orðflokkur
deontology	skyldufræði
small	smá-
blood orange	blóðappelsína
eyelid	hvarmur
attract	laða
ozone	óson
separately	sérstaklega
separate	sérstakur
lack	skortur
ghoul	náæta
just	barasta
group	grúbba
acquainted	heimullegur
kind	konar
socle	sökkull
sedimentation	sökk
belong	stofnlægur
benefit	akkur
calque	lánsþýðing
apathy	tómlæti
thanatology	dauðafræði
dry ice	þurrís
senator	öldungaráðsmaður
meteorological	veðurstofa
Icelandic Meteorological Office	Veðurstofa Íslands
place of work	vinnustaður
syllogism	rökhenda
mop	þvegill
isoperimetric	ummálsjafn
reverend	séra
synthesizer	gervill
lambda calculus	lambda-reikningur
morphine	morfín
ephedrine	efedrín
mistake	skyssa
forfeit	fyrirgera
save	seiva
mink	minkur
snap	slitna
heat up	hitna
ég	ég er með spurningu
known	kunnur
well	brunnur
respite	frestur
house	rannur
troll	skessa
flash	blossi
switch	sviss
interdisciplinary	þverfaglegur
paradox	þversögn
paradox	þverstæða
overhang	hengi
bowtie	þverslaufa
disciple	lærisveinn
subordinate clause	aukasetning
main clause	aðalsetning
tomcat	fress
graphite	grafít
vault	hvelfing
skin	nábrók
barrage	stórskotahríð
big	stór-
fertile	frjór
post	staur
pump	dæla
seduce	tæla
happiness	sæla
gray	grána
better	skárri
population	þýði
glaucoma	gláka
endure	þrauka
son	kundur
hummingbird	kólibrífugl
leaky	lekur
fog	nifl
digit sum	þversumma
sewing machine	saumavél
Bosnia	Bosnía
Herzegovina	Hersegóvína
ribonuclease	ríbónúkleasi
lactase	laktasi
kinase	kínasi
unabbreviated	fullum stöfum
description	beygingarlýsing
multi-	fleir-
word	fleiryrtur
verbal	-yrtur
obscure	torræður
logarithm	logri
foam	frauð
personal	smekkur
strengthen	styrkja
clove	negull
media history	fjölmiðlasaga
m/	m/
asymptote	aðfella
component	orðhluti
prefix	forskeyti
metric	firð
asymptote	ósnertill
livestock	smali
assembly language	smalamál
enumeration	þula
stutter	stama
gulp down	þamba
alliteration	stuðlun
politeness	kurteisi
jockey	knapi
lord	lávarður
ordinary	algengur
media historian	fjölmiðlasagnfræðingur
desire	fýsn
historian	sagnfræðingur
effective	skilvirkur
genotype	arfgerð
phenotype	svipfar
coward	raggeit
rim	felga
attentive	athugull
docent	dósent
terrorism	hryðjuverk
drunkenness	ölæði
fat	ljóska
Rhea	Rea
trifle	óvera
walking stick	stiki
mentally	vangefinn
busy	upptekinn
ventriloquism	búktal
misleading	misvísandi
barrel	kútur
a lot	hellingur
eager	tilhlökkun
run-up	tilhlaup
machine learning	vélrænt nám
difficult	bágur
compress	þjappa
overtone	yfirtónn
poetic licence	skáldaleyfi
kerchief	klútur
butter	butur
scream	öskur
lazy	löskur
quick	röskur
delicious	gómsætur
nice	næs
suited	hæfur
narrow	tæpur
alehouse	knæpa
inter	heygja
snowstorm	snjóstormur
Freya	Freyja
vixen	tæfa
unnecessary	ónauðsynlegur
unnecessary	óþarfur
watch over	gæta
honor	sæma
stench	stækja
stroke	strjúka
decorate	skrýða
suffix	-stola
crazed	hamstola
pita	píta
myth	mýta
suite	svíta
portion	skammtur
category theory	ríkjafræði
antiparticle	andeind
climb	klífa
hover	svífa
become	blífa
sink	hníga
wavefunction	bylgjufall
resound	dynja
Spaniard	Spánverji
split	kljúfa
break	rjúfa
cocoon	púpa
cooperation	samvinna
qubit	skammtabiti
predicate	sagnfylling
tumble	hrynja
zygote	okfruma
dissect	kryfja
delay	tefja
sniff	þefa
budge	bifa
doubt	vafi
blackcurrant	sólber
Conrad	Konráð
powder	púður
Catherine	Katrín
Christina	Kristín
cluck	gagga
axis	möndull
context	samhengi
protractor	gráðubogi
ruler	reglustika
foot	bragliður
stone dead	steindauður
Göta älv	Gautelfur
Egyptian	Þeba
Thrace	Þrakía
overfit	ofmáta
escrow	biðvarsla
dungeon	dýflissa
fall	hrun
adultery	hórdómur
Macedonia	Makedónía
Corsica	Korsíka
Holstein	Holtsetaland
checksum	prófsumma
test	próf
checksum	gátsumma
margin of error	skekkjumörk
mother	mæðgur
mother	mæðgin
prize	verðlaun
sudden	skyndi-
quick	skyndikynni
association	samtök
stretcher	börur
hint	hálfkveðinn
haircut	klipping
biscuit	tvíbaka
Serb	Serbi
breadth-first search	þverleit
heat	hita
roam	vafra
snoring	hrota
Valkyrie	valkyrja
municipality	hreppur
jack	tjakkur
flatten	slétta
myoclonus	fjörfiskur
straighten	rétta
lighten	létta
mince	hakka
ground meat	hakk
udder	júgur
gait	skokka
trot	brokka
jar	krukka
geld	gelda
chess	tefla
virtue	dyggð
cognitive dissonance	hugarmisræmi
discrepancy	misræmi
graze	hrufla
chemical equation	efnajafna
rejection	höfnun
choke	kafna
lyre	lýra
fair	sanngjarn
unfair	ósanngjarn
clarify	skýra
splotch	ýra
cubital fossa	olnbogabót
patella	hnésbót
alcohol	spíri
shire	skíri
shoulder strap	hlýri
Irish	Íri
neck	svíri
trapdoor	hleri
cutter	skeri
board	bretti
Pict	Pétti
demon	skratti
Moor	Mári
clover	smári
razor	rakvél
clumsy	klaufi
silent	þögull
thief	þjófur
periodic table	lotukerfi
notebook	stílabók
chrism	krisma
host	obláta
baptismal font	skírnarfontur
patriarch	patríarki
archbishop	erkibiskup
cardinal	kardináli
sequence	sekvensa
sacristy	skrúðhús
Albanian	Albani
pick	grefill
monk	munkur
altarpiece	altaristafla
Lutheran	lúterskur
evangelist	guðspjallamaður
dangle	lafa
nose	nebbi
sphincter	hringvöðvi
Catholic	kaþólskur
forgiveness	fyrirgefning
fully	fyllilega
tail	stél
temptation	freisting
devil worship	djöfladýrkun
cowl	kufl
whorehouse	hóruhús
bus	strætisvagn
useful	gagnlegur
majestic	tignarlegur
Thumbelina	Þumalína
card game	pamfíll
aria	aría
Daisy Duck	Andrésína
distort	afbaka
gossip	slúður
king	sjóli
neglect	vanrækja
neglect	vanræksla
misinterpret	mistúlka
botch	klúður
botch	klúðra
creed	trúarjátning
reverence	lotning
pail	skjóla
harmonica	munnharpa
tiger	tígrisdýr
language technology	máltækni
core	kjarni
concentric	sammiðja
yak	jakuxi
nucleolus	kjarnakorn
exponent	veldisvísir
base	veldisstofn
Idun	Iðunn
G sharp	gís
A sharp	aís
E sharp	eís
round	kringja
young	yngja
pouch	pyngja
swallow	kyngja
tighten	þrengja
force	þvinga
lap	hringa
contradict	rengja
saviour	frelsari
Judea	Júdea
Galilee	Galílea
or	eður
small	píra
clipboard	skrifbretti
Yule	jólaköttur
suffix	-henda
trickle	mingra
corset	lífstykki
tuxedo	smóking
accompanying	samför
sexual intercourse	samfarir
screen	skermur
gibberish	fimbulfamb
diet	kúr
hear	bænheyra
edge	kantur
pull	dráttur
hummock	þúst
soot	sót
pantsuit	buxnadragt
fly	buxnaklauf
pinstriped	teinóttur
cheat	svindla
cheater	svindlari
pacemaker	gangráður
hunger	svengd
white tie	kjólföt
fractional	aukastafur
coordinating conjunction	aðaltenging
subordinating conjunction	aukatenging
cushion	sessa
telescope	kíkir
quarter	kortér
madness	brjálæði
pollution	mengun
American	amerískur
opera house	óperuhús
apartment building	fjölbýlishús
twig	hrísla
loudspeaker	hátalari
alienation	firring
bookend	bókastoð
Taliban	talibani
supplier	birgir
supply	birgja
pen pal	pennavinur
soldier	dáti
chapter	kapítuli
sweat	sveiti
wet	blotna
bottom	botn
break	brotna
rot	rotna
creation	skepna
hyoid bone	málbein
logic	rökfræði
control	fjarstýra
pepper	pipra
seat	sess
matching	mátun
bail	beila
modal logic	háttarökfræði
fish	kútmagi
parallel	samhliða
arguing	pex
dispersion	dreifing
squash	skvass
hold	hald
inferiority complex	minnimáttarkennd
confusion	rugl
crust	hjarn
larva	lirfa
short	snöggur
luggage	föggur
burka	búrka
dryness	þurrkur
glorify	dýrka
cork	korkur
fringe	kögur
drifting	skafrenningur
plague	plága
court	hirð
yum	namm
partying	djamm
morphology	orðhlutafræði
stream cipher	straumdulritun
mine	náma
mine	jarðsprengja
trickery	brek
clumsy	luri
toe	tása
meaning	merking
drum	bumba
yell	gaula
genius	mannvitsbrekka
bat	kylfa
pillowcase	koddaver
anthropomorphize	manngera
bow	hneigja
fling	fleygja
eye	eygja
bend	sveigja
maiden	meyja
María	María mey
stretch	teygja
fiddle	gígja
warmth	hlýja
nine	nía
defame	rægja
hook	krækja
sari	sarí
carrion	hrææta
Indonesia	Indónesía
Malaysia	Malasía
Northern Ireland	Norður-Írland
Moldova	Moldavía
Caucasus	Téténía
Burma	Búrma
Mongolia	Mongólía
Arabia	Arabía
caraway	kúmen
vaff	tvöfalt vaff
turmeric	túrmerik
homophobia	hómófóbía
control	stjórn
hvítur	hvítur pipar
svartur	svartur pipar
cumin	broddkúmen
standing committee	fastanefnd
skin	hamur
gallows	gálgi
Mesopotamia	Mesópótamía
kind	tegund
line	ættkvísl
tuning fork	tónkvísl
tone	tónn
youth	æska
fork	kvísl
joy	lukka
wrinkle	hrukka
postponement	frestun
liturgical	litúrgískur
bullying	einelti
superhero	ofurhetja
apostolic	postullegur
mud	leðja
sauerkraut	súrkál
shovel	spaði
revelation	opinberun
beginning	upphaf
dry ground	þurrlendi
fruitful	frjósamur
excellence	ágæti
creation	sköpun
breath	lífsandi
garden	aldingarður
tempting	girnilegur
fork	kvísla
golden	gullinn
certainly	vissulega
livestock	fénaður
abandon	yfirgefa
comic	grínisti
managing director	framkvæmdastjóri
discussion	viðræða
praise	hrósa
professionalism	fagmennska
conduct	hegðun
guy	náungi
statement	yfirlýsing
offer	tilboð
agreement	samkomulag
player	leikmaður
crafty	slægur
somewhat	dálítið
knowledge	fróðleikur
pain	þjáning
toil	erfiði
cherub	kerúb
consul	konsúll
pelican	pelíkani
arrest	handtaka
curve	ferill
adviser	ráðgjafi
technical	tæknilegur
garbage	sorp
compatriot	samlandi
defender	varnarmaður
ordinal number	raðtala
fool	fífl
competition	samkeppni
empathy	samkennd
empathy	hluttekning
attacker	sóknarmaður
pursue	ásækja
quiet	hljóðlátur
record	metfé
god	týr
death sentence	dauðadómur
rule	drottna
fight	slagsmál
elegant	glæsilegur
paperback	kilja
grove	lundur
unmarried	heimasæta
herdsman	hjarðmaður
agriculture	jarðyrkja
formerly	forðum
small	minnka
finch	finka
soaked to the bone	holdvotur
remind	áminna
front	framan
colonel	ofursti
truly	sannarlega
truly	sannlega
exactly	nákvæmlega
representative	fulltrúi
self	sjálf
likely	sennilega
sergeant	liðþjálfi
hell	helvíti
major	majór
idiot	hálfviti
chief	foringi
million	milljón
discernibly	greinilega
majesty	hátign
general	hershöfðingi
joyful	gleðilegur
exciting	spennandi
resolution	samþykkt
command	skipun
loss	missir
seriously	alvarlega
differently	öðruvísi
training	þjálfun
guess	giska
simply	einfaldlega
particularly	einkum
captain	höfuðsmaður
daily	daglega
genius	snillingur
whiskey	viskí
in love	ástfanginn
sheriff	fógeti
attempt	tilraun
handling	meðferð
impossible	ómögulegur
terribly	hræðilega
excited	spenntur
violence	ofbeldi
perfectly	fullkomlega
traffic	umferð
task	hlutverk
release	lausn
phone call	símtal
assistant	aðstoðarmaður
perfect	fullkominn
crew	áhöfn
stupidity	heimska
obviously	augljóslega
jump	stökkva
stare	glápa
personally	persónulega
totally	algjörlega
strangely	undarlega
handsome	myndarlegur
lieutenant	liðsforingi
wide	sver
honored	háttvirtur
frank	opinskár
shy	feiminn
hospitable	gestrisinn
band	hljómsveit
symphony	sinfónía
consent	samþykki
delicious	sælgæti
disturb	ónáða
obvious	augljós
south	sunnan
son of a bitch	tíkarsonur
protection	vernd
normally	eðlilega
hell	helvískur
activity	starfsemi
kill	kála
usually	vanalega
blessing	blessun
ready	reiðubúinn
loyalty	tryggð
settlement	byggð
traitor	svikari
bravo	bravó
easily	auðveldlega
frank	hreinskilinn
only	eingöngu
police	lögreglustjóri
legislative	löggjafarvald
legislative	löggjafarþing
court	dómstóll
farm	bóndabær
awfully	agalega
cordially	alúðlega
antisocially	andfélagslega
vilely	andstyggilega
rudely	dónalega
calmly	rólega
understandably	skiljanlega
illegally	ólöglega
narrow	klif
unnecessarily	óþarflega
rug	motta
Osiris	Ósíris
police officer	lögregluþjónn
outstandingly	frábærlega
honest	heiðarlegur
oh my	jeminn
stop	stansa
happy	hamingjusamur
grovel	grúfa
world record holder	heimsmethafi
record holder	methafi
semigroup	hálfgrúpa
throw up	kasta upp
ambassador	sendiherra
Elijah	Elía
gymnastics	fimleikar
pudding	búðingur
scrape	skafa
swimming goggles	sundgleraugu
entrails	innyfli
inch	þumlungur
efnafræði	lífræn efnafræði
biochemistry	lífefnafræði
Platonic	platónskur
history	sagnfræði
zoology	dýrafræði
botany	grasafræði
economics	hagfræði
sense development	merkingarþróun
humpback whale	hnúfubakur
progress	framvinda
draw	jafntefli
fellow	félagi
lucky	lánsamur
lucky	heppinn
tragic	sorglegur
orienteering	ratleikur
spore	gró
develop	þróa
prostitution	vændi
chirality	hendni
chess player	skákmaður
astronomer	stjörnufræðingur
astrologer	stjörnuspekingur
admirable	aðdáanlegur
decide	afráða
farm	býli
child	kríli
boil	kýli
caress	atlot
stony	grýttur
rich	auðugur
patient	þolinmóður
impatient	óþolinmóður
present	viðstaddur
useful	nytsamlegur
popular	þokkaður
waterproof	vatnsheldur
ivory	fílsbein
penknife	pennahnífur
nameless	nafnlaus
ill	lasinn
usable	nothæfur
cause	orsök
writing system	ritkerfi
contemporary	jafnaldri
behave	hegða
preface	formáli
qualification	undankeppni
idiot	fáviti
duchy	hertogadæmi
pleasure	unun
continuum hypothesis	samfellutilgátan
sight	sýn
prince-elector	kjörfursti
boast	raupa
sleep	móka
spry	sprækur
peel	afhýða
peel	hýði
spank	hýða
POSIX	POSIX-staðall
scallop	hörpudiskur
filling	fylling
crispbread	hrökkbrauð
gradual	grallari
bird	drit
melt	bræðsla
I need ...	ég þarf ...
instruct	fræðsla
boredom	leiðindi
lump	klumpur
useful	þarfaþing
lesson	lexía
parade	skrúðganga
interested	áhugasamur
contract	samningur
abroad	erlendis
home team	heimalið
away team	útilið
stroll	spássera
coastline	strandlengja
transformer	straumbreytir
driver	ökumaður
coach	þjálfari
physiotherapist	sjúkraþjálfari
train	þjálfa
handball	handboltaþjálfari
football	fótboltaþjálfari
handball	handknattleiksþjálfari
football	knattspyrnuþjálfari
handball	handknattleikur
sports	íþróttaþjálfari
basketball	körfuboltaþjálfari
basketball	körfuknattleiksþjálfari
basketball	körfubolti
national	landsliðsþjálfari
ski coach	skíðaþjálfari
swimming	sundþjálfari
ski	skíða
din	þys
credit card	greiðslukort
rule	úrskurða
objection	mótbára
publishing house	bókaútgáfa
gossip	slúðra
youth	ungmenni
penalty kick	vítaspyrna
transfer window	félagaskiptagluggi
medical	læknisskoðun
birth	fæðing
extinguish	slökkva
road roller	valtari
hole punch	gatari
far away	fjarri
tell off	skamma
proverb	orðskviður
descendant	kynslóð
red cabbage	rauðkál
chicken	hænsn
reed organ	harmóníum
own goal	sjálfsmark
phrase	orðasamband
stand-in	varamaður
substitutes' bench	varamannabekkur
advantage	forskot
Spaniard	Spanjóli
appeal	áfrýja
appeal	áfrýjun
harsh	harkalegur
temporary	tímabundinn
legible	læsilegur
illegible	ólæsilegur
Islam	Medína
punk	pönk
punk	pönkari
organic	lífrænn
inorganic	ólífrænn
free kick	aukaspyrna
ball	knöttur
contribution	framlag
member	meðlimur
membership	aðild
Islam	íslam
bold	frakkur
toil	baksa
dishcloth	viskustykki
participation	þátttaka
edge	jaðar
alternative rock	jaðarrokk
independent	óháður
sediment	grugg
popular	vinsæll
concept	hugtak
whale watching	hvalaskoðun
hairy	loðinn
correction	leiðrétting
proposition	yrðing
asparagus	spergill
avocado	avókadó
extensive	viðamikill
babbling	hjal
rum	romm
cocktail	kokkteill
vermouth	vermút
criticise	gagnrýna
scrutinise	rýna
criticism	gagnrýni
critical	gagnrýninn
strong	öflugur
Ishmael	Ísmael
employment	ráðning
punishment	refsing
confidence	tiltrú
self-confidence	sjálfstraust
trusty	traustur
unreliable	ótraustur
useless	ónothæfur
visually impaired	sjónskertur
switch	rofi
ski jumping	skíðastökk
ski jumper	skíðastökkvari
skier	skíðamaður
cross-country skiing	skíðaganga
condition	skilyrði
breadth	breidd
degree	breiddargráða
20th	20.
stopwatch	skeiðklukka
hobby	tómstundagaman
chat	skrafa
demand	krafa
pyrosis	nábítur
protein	prótín
compound	efnasamband
insulator	einangrari
semiconductor	hálfleiðari
landlocked	landluktur
tackle	tækling
brute	hrotti
brutal	hrottalegur
eleventh	ellefti
twelfth	tólfti
fourteenth	fjórtándi
fifteenth	fimmtándi
sixteenth	sextándi
seventeenth	sautjándi
eighteenth	átjándi
nineteenth	nítjándi
twentieth	tuttugasti
hundredth	hundraðasti
thousandth	þúsundasti
choice	úrval
hint	ýja
forward	framherji
optimism	bjartsýni
noun phrase	aukafallsliður
crossbow	lásbogi
bush	runni
corner kick	hornspyrna
dramatic	dramatískur
wonder	býsn
vowel	sérhljóð
vowel	sérhljóði
consonant	samhljóði
consonant	samhljóð
quiet	hljóður
hemp	hampur
gloss	glósa
tiger	tígur
big cat	stórköttur
leopard	hlébarði
jaguar	jagúar
stripe	rönd
characterise	einkenna
extinct	útdauður
extinction	útdauði
sea otter	sæotur
fief	lén
order	ættbálkur
partition	bálkur
suborder	undirættbálkur
division	skipting
subphylum	undirfylking
Reykjavík	Vík
ornament	skart
Hercules	Herkúles
unemployed	atvinnulaus
lance	lensa
swordfish	sverðfiskur
mumble	æmta
sound	ómur
handbook	handbók
lock	lokkur
dribble	dripla
bobbin lace	knipla
profit	hagnaður
hardly	tæplega
report	skýrsla
widower	ekkill
collect	innheimta
torture	pynda
swim	syndur
reduce	fækka
fold	rétt
drepa	drepa tímann
course	námskeið
academy	akademía
practise	iðka
practise	ástunda
reception	móttaka
rotation	snúningur
insane	brjálaður
basset horn	bassetthorn
flugelhorn	flygilhorn
baronet	barónett
descendant	afkomandi
neck	strjúpi
spoken	talmál
harrow	herfi
scarecrow	fuglahræða
pillow	púði
airbag	loftpúði
stamp	stimpill
weak	óstyrkur
weak-willed	veikgeðja
laboratory	rannsóknarstofa
laboratory	tilraunastofa
contagious	smitandi
humour	skop
humorous	skoplegur
black-headed gull	hettumáfur
shopkeeper	búðareigandi
shoplifting	búðarþjófnaður
till	búðarkassi
clever	glúrinn
pet shop	dýrabúð
campfire	varðeldur
warehouse	pakkhús
capture	fanga
torture	pynting
even though	þótt
draw	teikna
right angle	vinkill
quadrilateral	ferhyrningur
store	geyma
paralysed	lamaður
paralysis	lömun
fast	greiður
burning	brandur
friendly	dæll
waiting	bið
construction	smíði
seal	selkjöt
reindeer	hreindýrakjöt
mutton	kindakjöt
mutton	hangikjöt
whale	hvalkjöt
bird	fuglakjöt
salt	saltkjöt
merely	einungis
reserves	varalið
tennis ball	tennisbolti
tennis court	tennisvöllur
shorts	stuttbuxur
club	klúbbur
tennis racquet	tennisspaði
table tennis	borðtennis
tennis elbow	tennisolnbogi
courgette	kúrbítur
crush	kremja
voiceless	óraddaður
silent	hljóðlaus
hall	forstofa
appearance	svipmót
expression	svipur
cockchafer	aldinbori
northern bottlenose whale	andarnefja
siskin	barrfinka
common house martin	bæjasvala
ichthyology	fiskifræði
fishing	fiski
hump	hnúður
whelk	beitukóngur
slug	brekkusnigill
Ranunculus	sóley
daisy	fagurfífill
arachnid	áttfætla
blowball	biðukolla
blue ling	blálanga
common ling	skrokklanga
body	skrokkur
Spanish ling	miðjarðarhafslanga
bean goose	akurgæs
pink-footed goose	heiðagæs
greater white-fronted goose	blesgæs
snow goose	snjógæs
Canada goose	kanadagæs
barnacle goose	helsingi
brent goose	margæs
red-breasted goose	fagurgæs
king eider	æðarkóngur
oldsquaw	hávella
Slavonian grebe	flórgoði
Manx shearwater	skrofa
cormorant	skarfur
great cormorant	dílaskarfur
European shag	toppskarfur
white-tailed eagle	haförn
osprey	gjóður
short-eared owl	brandugla
male	brimill
male	grunnli
weight	þungi
shoulder	axla
braces	axlabönd
tailbone	rófubein
tail	dindill
tail	sporður
vertebrate	hryggdýr
invertebrate	hryggleysingi
certificate	vottorð
baptism	skírn
witness	vottur
certificate	skírteini
irony	írónía
passerine	spörfugl
Eurasian bullfinch	dómpápi
dromedary	drómedari
Bactrian camel	kameldýr
greater scaup	duggönd
locust	engispretta
pheasant	fasani
Tipula paludosa	folafluga
settler	landnemi
gadwall	gargönd
admittance	aðgangur
tourist	túristi
traveller	ferðamaður
hotel	gistihús
snowfall	snjókoma
shower	demba
cloudless	heiðskír
chaste	skírlífur
sky blue	heiðblár
cloudy	skýjaður
inedible	óætur
cirrus	klósigi
cirrocumulus	maríutása
skyscraper	skýjakljúfur
contrail	flugslóði
bright	skír
path	slóði
altostratus	gráblika
nimbostratus	regnþykkni
altocumulus	netjuský
constipation	harðlífi
constipation	hægðatregða
calm	hægð
jealousy	afbrýði
jealous	afbrýðisamur
envy	öfund
envy	öfunda
superiority	afburður
improvement	bötnun
profit	ábati
bundle	baggi
profitable	ábatasamur
endorser	ábekingur
mortal	dauðlegur
immortal	ódauðlegur
Nissen hut	braggi
axis	öxull
energetic	ötull
wade	ösla
rough	ósléttur
wavy	öldóttur
dot	depill
dotted	deplóttur
impair	depra
prominent	áberandi
bowed	boginn
stooped	áboginn
curve	boglína
breeze	gjóla
whole	gjörvallur
