floor	cat
apsidole	absidiolă
acropolis	acropolă
watercolour	acuarelă
aerogram	aerogramă
aeromechanics	aeromecanică
allopathy	alopatie
astrophysics	astrofizică
atomics	atomistică
biomechanics	biomecanică
bionics	bionică
biopolitics	biopolitică
ceroplastics	ceroplastică
cystopathy	cistopatie
clique	clică
heredopathy	eredopatie
philippic	filipică
photoceramics	fotoceramică
photoenergetics	fotoenergetică
electroplating	galvanotehnică
geomechanics	geomecanică
hemodynamic	hemodinamică
hepatopathy	hepatopatie
hydrocosmetics	hidrocosmetică
iatrophysics	iatrofizică
maieutics	maieutică
meningopathy	meningopatie
metalinguistics	metalingvistică
cermet	metaloceramică
metamathematics	metamatematică
microphysics	microfizică
motorboating	motonautică
subnucleonic	nucleonică
optoelectronics	optoelectronică
pyrobalistics	pirobalistică
psychopathy	psihopatie
psychotechnology	psihotehnică
robotics	robotică
tunic	tunică
xenopathy	xenopatie
acuity	acuitate
adhesivity	adezivitate
adiposity	adipozitate
admissibility	admisibilitate
aeroelasticity	aeroelasticitate
affectivity	afectivitate
aggressivity	agresivitate
alterability	alterabilitate
amorality	amoralitate
removability	amovibilitate
anacidity	anaciditate
annuity	anuitate
applicability	aplicativitate
seismicity	aseismicitate
assiduity	asiduitate
associativity	asociativitate
atonality	atonalitate
audibility	audibilitate
bipolarity	bipolaritate
brutality	brutalitate
caducity	caducitate
caloricity	caloricitate
callosity	calozitate
capillarity	capilaritate
causality	cauzalitate
cylindricity	cilindricitate
cognoscibility	cognoscibilitate
combustibility	combustibilitate
commensurability	comensurabilitate
compatibility	compatibilitate
complementarity	complementaritate
complicity	complicitate
comprehensibility	comprehensibilitate
compressibility	compresibilitate
communicability	comunicabilitate
conductivity	conductibilitate
conductivity	conductivitate
consanguinity	consangvinitate
consubstantiality	consubstanțialitate
contractility	contractilitate
convertibility	convertibilitate
convexity	convexitate
cordiality	cordialitate
corrosivity	corosivitate
corporality	corporalitate
corruptibility	coruptibilitate
criminality	criminalitate
chronicity	cronicitate
culpability	culpabilitate
demonstrability	demonstrabilitate
deformity	diformitate
diffusivity	difuzibilitate
directivity	directivitate
discontinuity	discontinuitate
dissociability	disociabilitate
divisibility	divizibilitate
domesticity	domesticitate
duality	dualitate
ductility	ductilitate
duplicity	duplicitate
ecostability	ecostabilitate
equality	egalitate
electivity	electivitate
electrocapillarity	electrocapilaritate
electronegativity	electronegativitate
electropositivity	electropozitivitate
ellipticity	elipticitate
emotivity	emotivitate
endemicity	endemicitate
essentiality	esențialitate
eccentricity	excentricitate
excitability	excitabilitate
chargeability	exigibilitate
expandability	expansibilitate
exploitability	exploatabilitate
extensibility	extensibilitate
exteriority	exterioritate
exterritoriality	exteritorialitate
extraneity	extraneitate
extraterritoriality	extrateritorialitate
fatality	fatalitate
felinity	felinitate
feasibility	fezabilitate
reliability	fiabilitate
fiscality	fiscalitate
fixity	fixitate
drillability	forabilitate
photoconductivity	fotoconductibilitate
photoconductivity	fotoconductivitate
photoelasticity	fotoelasticitate
photoelectricity	fotoelectricitate
photosensitivity	fotosensibilitate
friability	friabilitate
frigidity	frigiditate
frivolity	frivolitate
functionality	funcționalitate
futility	futilitate
fusibility	fuzibilitate
generality	generalitate
granulosity	granulozitate
hybridity	hibriditate
hyperemotivity	hiperemotivitate
hypersensitivity	hipersensibilitate
hypoacidity	hipoaciditate
ideality	idealitate
hilarity	ilaritate
illegibility	ilizibilitate
illogicality	ilogicitate
immateriality	imaterialitate
immensity	imensitate
immiscibility	imiscibilitate
immorality	imoralitate
impalpability	impalpabilitate
impartiality	imparțialitate
impassibility	impasibilitate
impenetrability	impenetrabilitate
imperceptibility	imperceptibilitate
impermeability	impermeabilitate
impersonality	impersonalitate
impetuosity	impetuozitate
imponderability	imponderabilitate
unpopularity	impopularitate
impracticability	impracticabilitate
impregnability	impregnabilitate
imprescriptibility	imprescriptibilitate
impressionability	impresionabilitate
unpredictability	imprevizibilitate
improbability	improbabilitate
immorality	impudicitate
impulsivity	impulsivitate
imputability	imputabilitate
immutability	imuabilitate
immunity	imunitate
immutability	imutabilitate
inaccessibility	inaccesibilitate
inactivity	inactivitate
perpetuity	inalienabilitate
inalterability	inalterabilitate
irremovability	inamovibilitate
inanity	inanitate
inauthenticity	inautenticitate
nontransferability	incesibilitate
incoagulability	incoagulabilitate
incoercibility	incoercibilitate
unknowability	incognoscibilitate
incombustibility	incombustibilitate
incommensurability	incomensurabilitate
incompatibility	incompatibilitate
incomprehensibility	incomprehensibilitate
incompressibility	incompresibilitate
communicability	incomunicabilitate
incommutability	incomutabilitate
incorrigibility	incorigibilitate
incorruptibility	incoruptibilitate
incurability	incurabilitate
indelibility	indelebilitate
unprovability	indemonstrabilitate
indestructibility	indestructibilitate
indissolubility	indisolubilitate
indispensability	indispensabilitate
unavailability	indisponibilitate
individuality	individualitate
indivisibility	indivizibilitate
indocility	indocilitate
inequality	inegalitate
ineligibility	ineligibilitate
inevitability	ineluctabilitate
inexcitability	inexcitabilitate
inexigibility	inexigibilitate
inexorability	inexorabilitate
impregnability	inexpugnabilitate
inextensibility	inextensibilitate
infectivity	infecțiozitate
inferiority	inferioritate
infertility	infertilitate
inflexibility	inflexibilitate
ingenuity	ingeniozitate
iniquity	inicvitate
innocuity	inocuitate
unenforceability	inopozabilitate
insalubrity	insalubritate
insanity	insanitate
insatiability	insațiabilitate
insensibility	insensibilitate
insipidity	insipiditate
insociability	insociabilitate
unfathomability	insondabilitate
intelligibility	inteligibilitate
intentionality	intenționalitate
interdisciplinarity	interdisciplinaritate
interchangeability	interșanjabilitate
intransitivity	intranzitivitate
intrepidity	intrepiditate
invalidity	invaliditate
inviolability	inviolabilitate
irascibility	irascibilitate
irrationality	iraționalitate
irreality	irealitate
irreductibility	ireductibilitate
irrefutability	irefutabilitate
irregularity	iregularitate
irremissibility	iremisibilitate
impeccability	ireproșabilitate
irresponsibility	iresponsabilitate
irreversibility	ireversibilitate
irrevocability	irevocabilitate
irritability	iritabilitate
washability	lavabilitate
legality	legalitate
lethality	letalitate
clarity	limpiditate
linearity	liniaritate
lividity	lividitate
legibility	lizibilitate
lucidity	luciditate
luminosity	luminozitate
malleability	maleabilitate
manageability	maniabilitate
materiality	materialitate
mentality	mentalitate
meteorosensitivity	meteorosensibilitate
modicity	modicitate
molarity	molaritate
monstrosity	monstruozitate
monumentality	monumentalitate
morbidity	morbiditate
mobility	muabilitate
multiplicity	multiplicitate
municipality	municipalitate
mutability	mutabilitate
muteness	mutitate
mutuality	mutualitate
musicality	muzicalitate
navigability	navigabilitate
nasality	nazalitate
nationality	naționalitate
negativity	negativitate
negotiability	negociabilitate
notability	notabilitate
nobility	nubilitate
nullity	nulitate
obesity	obezitate
obliquity	oblicitate
formality	oficialitate
homogeneity	omogenitate
lubricity	onctuozitate
onerosity	onerozitate
opposability	opozabilitate
horizontality	orizontalitate
orthogonality	ortogonalitate
hospitality	ospitalitate
palpability	palpabilitate
parasexuality	parasexualitate
passivity	pasivitate
penetrability	penetrabilitate
perceptibility	perceptibilitate
perenniality	perenitate
perfectibility	perfectibilitate
periodicity	periodicitate
permeability	permeabilitate
permittivity	permitivitate
permutability	permutabilitate
perpendicularity	perpendicularitate
piezoelectricity	piezoelectricitate
pilosity	pilozitate
pyroelectricity	piroelectricitate
placidity	placiditate
plasticity	plasticitate
multidisciplinarity	pluridisciplinaritate
polarizability	polarizabilitate
porosity	porozitate
posteriority	posterioritate
potentiality	potențialitate
positivity	pozitivitate
practicability	practicabilitate
precarity	precaritate
precocity	precocitate
prescriptibility	prescriptibilitate
primordiality	primordialitate
prodigality	prodigalitate
producibility	productibilitate
progressivity	progresivitate
promiscuity	promiscuitate
proportionality	proporționalitate
chastity	pudicitate
puerperality	puerperalitate
punctuality	punctualitate
radioactivity	radioactivitate
radioelectricity	radioelectricitate
radiosensitivity	radiosensibilitate
rationality	raționalitate
reactivity	reactivitate
receptivity	receptivitate
recoverability	recuperabilitate
reeligibility	reeligibilitate
reflectivity	reflectivitate
refrangibility	refrangibilitate
religiosity	religiozitate
reproducibility	reproductivitate
respectability	respectabilitate
retractility	retractilitate
retroactivity	retroactivitate
backward compatibility	retrocompatibilitate
reversibility	reversibilitate
revocability	revocabilitate
resistivity	rezistivitate
salinity	salinitate
saturability	saturabilitate
scissiparity	sciziparitate
seismicity	seismicitate
selectivity	selectivitate
senility	senilitate
sentimentality	sentimentalitate
septicity	septicitate
serosity	serozitate
servility	servilitate
sphericity	sfericitate
sentimentality	sintalitate
sociability	sociabilitate
solubility	solubilitate
celebrity	somitate
spatiality	spațialitate
sporadicity	sporadicitate
weldability	sudabilitate
suggestibility	sugestibilitate
superficiality	superficialitate
superfluity	superfluitate
superiority	superioritate
superconductivity	supraconductibilitate
surescitability	surescitabilitate
theatricality	teatralitate
technicality	tehnicitate
voltage activity	tensioactivitate
territoriality	teritorialitate
thermal conductivity	termoconductibilitate
thermo-electricity	termoelectricitate
thermosensitivity	termosensibilitate
thermostability	termostabilitate
tonicity	tonicitate
transmissibility	transmisibilitate
transitivity	tranzitivitate
triplicity	triplicitate
tuberosity	tuberozitate
unanimity	unanimitate
unisexuality	unisexualitate
universality	universalitate
validity	validitate
variability	variabilitate
venosity	venozitate
veracity	veracitate
veracity	veridicitate
verticality	verticalitate
viability	viabilitate
violability	violabilitate
virtuality	virtualitate
viscosity	viscozitate
volatility	volatilitate
schistosity	șistozitate
canzonetta	canțonetă
masterpiece	capodoperă
caravel	caravelă
card	cartelă
fortune telling	cartomanție
blindness	cecitate
combativeness	combativitate
compactness	compacitate
completeness	completivitate
condottiere	condotier
accountancy	contabilitate
infectiousness	contagiozitate
counterpoint	contrapunct
faultiness	defectuozitate
discrepancy	discrepanță
disgrace	dizgrație
hardness	duritate
effectiveness	eficacitate
expansiveness	expansivitate
expressiveness	expresivitate
feverishness	febrilitate
illegality	ilegalitate
grimness	implacabilitate
ineffectiveness	ineficacitate
insolvency	insolvabilitate
invariableness	invariabilitate
cheerfulness	jovialitate
massiveness	masivitate
nervousness	nervozitate
harmfulness	nocivitate
penalty	penalitate
perniciousness	perniciozitate
flatness	planeitate
primitiveness	primitivitate
prodigiousness	prodigiozitate
childishness	puerilitate
roughness	rugozitate
scabrousness	scabrozitate
hard work	travaliu
dryness	sicativitate
dryness	sicitate
similarity	similaritate
sponginess	spongiozitate
sportsmanship	sportivitate
foaminess	spumozitate
wordiness	verbozitate
nuncio	nunțiu
pagination	paginatură
polymetry	polimetrie
benefit	beneficiu
epithelium	epiteliu
accelerometer	accelerometru
acidimeter	acidimetru
actinometer	actinometru
audiometer	acumetru
aerometer	aerometru
aphelion	afeliu
alkalimeter	alcalimetru
aleurometer	aleurometru
square	careu
benefaction	binefacere
cargo	cargou
casino	cazinou
kepi	chipiu
cycle	ciclu
cider	cidru
cipher	cifru
cinnabar	cinabru
domain	domeniu
echo	ecou
galactometer	galactometru
gasholder	gazometru
geometer	geometru
gyrometer	girometru
multiple	multiplu
ocher	ocru
pate	pateu
fibula	peroneu
floor	planșeu
plasmodium	plasmodiu
crease	pliu
plunge	plonjeu
pen	stilou
route	traseu
trihedral	triedru
trolley	troleu
tour	turneu
altimeter	altimetru
amperemeter	ampermetru
anemometer	anemometru
apertometer	apertometru
areometer	areometru
argentometer	argentometru
arithmometer	aritmometru
astigmometer	astigmometru
audiometer	audiometru
barometer	barometru
bathometer	batimetru
bolometer	bolometru
butyrometer	butirometru
calcimeter	calcimetru
calorimeter	calorimetru
capacitance meter	capacimetru
kata thermometer	catatermometru
cephalometer	cefalometru
speedometer	celerimetru
keratometer	cheratometru
cyrtometer	cirtometru
colorimeter	colorimetru
compactometer	compactometru
koniscope	conimetru
consistometer	consistometru
coreometer	coreometru
coulombmeter	coulombmetru
craniometer	craniometru
cream meter	cremometru
current meter	curentometru
flowmeter	debitmetru
sound level meter	decibelmetru
declinometer	declinometru
declivometer	declivometru
dendrometer	dendrometru
densitometer	densimetru
depression manometer	depresiometru
drift meter	derivometru
diameter	diametru
dilatometer	dilatometru
distortion meter	distorsiometru
dosimeter	dozimetru
ebulliometer	ebuliometru
eclimeter	eclimetru
ecometer	ecometru
effusion meter	efuziometru
electrometer	electrometru
ergometer	ergometru
esthesiometer	esteziometru
eudiometer	eudiometru
evaporimeter	evaporimetru
phase meter	fazmetru
fluorimeter	fluorimetru
fluviometer	fluviometru
flowmeter	fluxmetru
phonometer	fonometru
photocolorimeter	fotocolorimetru
photoelasticimeter	fotoelasticimetru
photometer	fotometru
galvanometer	galvanometru
geodimeter	geodimetru
geothermometer	geotermometru
gyroclinometer	giroclinometru
glucometer	glicometru
glucometer	glucometru
goniometer	goniometru
angulometer	grafometru
gravimeter	gravimetru
methanometer	grizumetru
halometer	halometru
gluttonous	mâncăcios
helcometer	helcometru
heliometer	heliometru
hematimeter	hematimetru
hematoglobinometer	hematoglobinometru
hemocytometer	hemocitometru
hemodynamometer	hemodinamometru
hemoglobinometer	hemoglobinometru
hemometer	hemometru
heptameter	heptametru
hydrometer	hidrometru
hygrometer	higrometru
hypsometer	hipsometru
hysterometer	histerometru
hodometer	hodometru
inclinometer	inclinometru
integrometer	integrometru
interferometer	interferometru
Geiger counter	ionometru
lactodensimeter	lactodensimetru
lactometer	lactometru
lysimeter	lizimetru
logometer	logometru
lumenometer	lumenmetru
luxmeter	luxmetru
magnetometer	magnetometru
manometer	manometru
megohmmeter	megohmetru
melodimeter	melodimetru
microameter	microampermetru
microphotometer	microfotometru
micromanometer	micromanometru
micrometer	micrometru
microvoltmeter	microvoltmetru
milliammeter	miliampermetru
minimometer	minimetru
myotonometer	miotonometru
modulation meter	modulometru
monometer	monometru
multimeter	multimetru
mustimeter	mustimetru
snow	nivometru
odometer	odometru
odontometer	odontometru
magnetometer	oerstedmetru
ophthalmometer	oftalmometru
ohmmeter	ohmmetru
oleometer	oleometru
olfactometer	olfactometru
opacimeter	opacimetru
optimeter	optimetru
optometer	optometru
oscillometer	oscilometru
osmometer	osmometru
oxidimeter	oxidimetru
oximeter	oximetru
ozonometer	ozonometru
pantometer	pantometru
passameter	pasametru
passimeter	pasimetru
pediometer	pediometru
pedometer	pedometru
pelvimeter	pelvimetru
penetrometer	penetrometru
perimeter	perimetru
periodometer	periodmetru
permeameter	permeametru
pycnometer	picnometru
piezometer	piezometru
pyranometer	piranometru
pyrgeometer	pirgeometru
pyrheliometer	pirheliometru
pyrometer	pirometru
planimeter	planimetru
plastometer	plastometru
pedometer	podometru
polarimeter	polarimetru
porosimeter	porozimetru
potentiometer	potențiometru
prisometer	prizometru
profilometer	profilometru
prosopometer	prosopometru
psychrometer	psihrometru
psophometer	psofometru
pupilometer	pupilometru
altimeter	radioaltimetru
radio interferometer	radiointerferometru
radiometer	radiometru
radiomicrometer	radiomicrometru
reflectometer	reflectometru
refractometer	refractometru
rheometer	reometru
resistivity meter	rezistivimetru
flowmeter	rotametru
salinometer	salinometru
sclerometer	sclerometru
seismometer	seismometru
sensitometer	sensitometru
spherometer	sferometru
sphygmomanometer	sfigmomanometru
sphygmomanometer	sfigmometru
sphygmotensiometer	sfigmotensiometru
solarimeter	solarimetru
spectrophotometer	spectrofotometru
spectrometer	spectrometru
spinterometer	spinterometru
spirometer	spirometru
stadimeter	stadimetru
stalagmometer	stalagmometru
stereometer	stereometru
stethometer	stetometru
stylodimeter	stilodozimetru
strabometer	strabometru
tachometer	taheometru
tachymeter	tahimetru
telemeter	telemetru
telethermometer	teletermometru
tellurometer	telurometru
tonometer	tensiometru
thermoanemometer	termoanemometru
thermobarometer	termobarometru
typometer	tipometru
turbidimeter	tolometru
tonometer	tonometru
tribometer	tribometru
turbidimeter	turbidimetru
udometer	udometru
hygrometer	umidometru
grid dip meter	undametru
urometer	urometru
variometer	variometru
var hour meter	varometru
vibrometer	vibrometru
viscometer	viscozimetru
voltameter	voltametru
voltameter	voltampermetru
saccharimeter	zaharimetru
saccharometer	zaharometru
zoometer	zoometru
amphitheater	amfiteatru
ensemble	ansamblu
truce	armistițiu
coffin	copârșeu
energy meter	energometru
focometer	focometru
iconometer	iconometru
parking meter	parcometru
sonometer	sonometru
telephone meter	telefonometru
gooseberry	agriș
usher	aprod
fair	bâlci
lameness	beteșug
darling	bibic
Csango	ceangău
csardas	ceardaș
host	gazdă
pinhead	gămălie
good-for-nothing	teleleu
customs officer	vameș
pond	heleșteu
pepper	paprică
steppe	pustă
shingle	șindrilă
lollipop	acadea
rabble	prostime
obedient	ascultător
Albanian	arnăut
kiosk	chioșc
veranda	cerdac
pump	cișmea
doorman	ceauș
bundle	boccea
yataghan	iatagan
janissary	ienicer
railroad switch	macaz
jam	magiun
shed	acaret
abundance	berechet
Circassian	cerchez
carter	harabagiu
dyer	boiangiu
coffee shop owner	cafegiu
weigher	cantaragiu
representative	capugiu
coppersmith	cazangiu
lumberman	cherestegiu
bargain hunter	chilipirgiu
carter	chirigiu
confectioner	cichirgiu
soup cook	ciorbagiu
comitadji	comitagiu
glazier	geamgiu
goldsmith	giuvaiergiu
pilgrim	hagiu
innkeeper	hangiu
lemonade seller	limonagiu
candlemaker	mungiu
gossiper	palavragiu
shirker	papugiu
slaughterman	parlagiu
taxman	peșchegiu
coachman	surugiu
tobacconist	tutungiu
shop	dugheană
floor	dușumea
schoolbag	ghiozdan
ring	ghiul
counter	tejghea
cheese pastry	merdenea
Arvanite	arvanit
person	ipochimen
sponge cake	chec
ship	timonă
sour cherry	vișinea
wave	vălurel
dowry	zestrișoară
day	ziulică
bridegroom	ginerică
globe	globușor
voice	glăscior
donut	gogoșea
Greek	grecușor
cricket	greieruș
beam	grinduliță
hillock	gruieț
group	grupușor
wheat	grâușor
heap	grămăjuie
grain	grăuncior
lion	leușor
crate	lădățuie
mantle	măntăluță
wares	mărfușoară
margin	mărgioară
eye	ochiuleț
treasure	odoraș
field	ogoraș
yard	ogrăjoară
stink	putorișcă
kid	puștiulică
branch	rămurea
drop	stropuleț
tin	tinicheluță
comrade	tovărășel
crocus	brândușea
boil	bubuliță
cafe	cafeneluță
sofa	canapeluță
capital	capitălaș
earring	cerceluș
fortress	cetățuie
forest	codruleț
bucket	căldărușă
haystack	căpicioară
capital	căpitălaș
path	cărăruie
spade	căzmăluță
rope	funioară
hole	găurea
lie	minciunea
bit	piculeț
bag	punguliță
piglet	purceluș
soil	pămânțel
bird	păsărea
dew	roușoară
sunray	răzișoară
sardine	sardeluță
board	scândurea
servant	sluguliță
job	slujbuliță
gypsy woman	țigăncușă
fair	târgușor
verse	versurel
cabbage	verzișoară
fireplace	vetrișoară
worm	viermușor
heifer	vițelușă
dale	vâlcelușă
valley	vâlcicuță
fairy	zânișoară
vindictive	răzbunător
frog	broscoi
parsley	albitură
betrayal	trădare
smoked meat	afumătură
bourgeoisie	burghezime
rabbit	iepuroi
wolf	lupoi
snake	șerpoi
sighing	oftare
US dollar	verzișor
baroness	baroneasă
Cinderella	cenușăreasă
queen	crăiasă
innkeeperess	cârciumăreasă
boatman	barcagiu
truck driver	camionagiu
tenant	chiriaș
receipt book	chitanțier
slacker	chiulangiu
bigotry	habotnicie
grocer	aprozăriță
boyar	boieriță
narrow gauge	mocăniță
mayor	primăriță
apprenticeship	ucenicie
scout	cercetaș
hiker	drumaș
trail	drumeag
publishing house	editură
flower shop	florărie
fussing	fâțâială
pansy	fătălău
run	alergătură
selection	alesătură
caress	alintătură
slip	alunecătură
habit	apucătură
arch	arcuitură
burn	arsătură
throw	aruncătură
vault	boltitură
furrow	brăzdătură
swelling	bulbucătură
squeaking	chiorăitură
glance	căutătură
fall	căzătură
frostbite	degerătură
enchantment	descântătură
discharge	descărcătură
blast	detunătură
debris	dărâmătură
ramshackle building	dărăpănătură
shear	forfecătură
lightning	fulgerătură
blind alley	fundătură
theft	furătură
whistling	fâsâitură
fake	făcătură
tickle	gâdilătură
spying	iscoditură
rocking	legănătură
shake	scuturătură
shout	strigătură
mince	tocătură
shake	tremurătură
low quality	tușinătură
witchcraft	vrăjitură
scream	zbierătură
splash	împroșcătură
shot	împușcătură
coagulation	închegătură
knot	înnodătură
splice	înnăditură
turn	întorsătură
twist	întortochetură
investiture	învestitură
sting	înțepătură
hedgehog	aricioaică
ethnicism	etnicism
free trade	liber-schimbism
liquidationism	lichidatorism
subjectivism	subiectivism
womanizer	fustangiu
oak	goruniște
illustrator	grafician
grammarian	gramatician
gardening	grădinărie
hydrotechnician	hidrotehnician
juniper	jnepeniș
glade	luminiș
crane operator	macaragiu
mint	monetărie
marriage	măritiș
sandy	nisipiște
parking attendant	parcagiu
pumper	pompagiu
Turkish delight seller	rahagiu
nobility	boierime
alacrity	agerime
devilkind	drăcime
foliage	frunzărime
officialdom	funcționărime
rabbitkind	iepurime
billionth	miliardime
millionth	milionime
catkind	motănime
womankind	muierime
flatness	netezime
nobility	nobilime
birdkind	păsărime
roundness	rotunjime
Szekler	secuime
entirety	întregime
sixteenth	șaisprezecime
mousekind	șoricime
mousekind	șoricărime
demystifier	demistificator
gooseherd	gâscar
industrialist	industriaș
nightstand	noptieră
hatter	pălărier
marriage	însurăciune
marrying	însurătoare
fraud	înșelătorie
apiary	albinărie
brass mongery	alămărie
antique	anticărie
silverware	argintărie
goldware	aurărie
melon field	bostănărie
cheese shop	brânzărie
watchmaker	ceasornicărie
hosiery	ciorăpărie
bootmaking	cizmărie
cake shop	cofetărie
monachism	călugărie
usury	cămătărie
literacy	cărturărie
brickyard	cărămidărie
carrier	cărăuș
lacing	dantelărie
cooperage	dogărie
devilry	drăcărie
dovecote	hulubărie
locksmith	lăcătușărie
monkey business	maimuțărie
seamanship	marinărie
soldiering	militărie
cheating	potlogărie
forestry	pădurărie
glassware	sticlărie
tobacconist	tutunărie
nitrotoluene	nitrotoluen
oligomenorrhea	oligomenoree
Angolan	angolez
Cameroonian	camerunez
Gabonese	gabonez
Iroquois	irochez
Javanese	javanez
Pekingese	pechinez
abbess	abatesă
solitary confinement	carceră
castle keeper	castelan
diploma	absolutoriu
adjuration	adjurație
archdiocese	arhidieceză
archiepiscopate	arhiepiscopat
calculation	calculație
auspices	auspiciu
avarice	avariție
ballista	balistă
font	baptisteriu
Bible	biblie
Britons	britani
equine	cabalin
caduceus	caduceu
circumference	circumferință
circumlocution	circumlocuție
district	circumscripție
circumspection	circumspecție
claudication	claudicație
harpsichord	clavicimbal
clemency	clemență
climate	climă
coherence	coerență
college	colegiu
colloquy	colocviu
dove	columbă
council	conciliu
duct	conductă
conglomeration	conglomerație
consort	consoartă
copulation	copulație
evocation	evocație
excrescence	excrescență
sycophant	sicofant
synecdoche	sinecdocă
solemnity	solemnitate
subscription	subscripție
suburb	suburbie
tabernacle	tabernacul
testimony	testimoniu
ounce	uncie
ungulates	ungulat
usufructuary	uzufructuar
truthfulness	verosimilitudine
vomitory	vomitoriu
delinquent	delincvent
descent	descensiune
despair	desperație
disciple	discipol
congratulations	gratulație
pregnancy	graviditate
graciousness	grațiozitate
insufficiency	insuficiență
lapidary	lapidariu
manuscript	manuscris
martyrdom	martiriu
martyrology	martirologiu
monocotyledon	monocotiledon
nationalist	naționalist
necromania	necromanie
necromancy	necromanție
papacy	papalitate
papilla	papilă
papule	papulă
paradigm	paradigmă
paronomasia	paronomasie
patrimony	patrimoniu
prefecture	prefectură
presbytery	prezbiteriu
presidium	prezidiu
evidence	probatoriu
probation	probațiune
prochestor	prochestor
promontory	promontoriu
promulgation	promulgație
outlawry	proscripție
protection	protecție
protest	protestație
sestertium	sesterț
triclinium	tricliniu
Agathyrsi	agatârși
alluvium	aluviu
bicycle	biciclu
curler	bigudiu
binocular	binoclu
biofilter	biofiltru
bistro	bistrou
bistoury	bisturiu
whim	capriciu
plaid	carou
centilitre	centilitru
Caesar	cezar
cross-examination	contrainterogatoriu
corrective	corigent
drudgery	corvoadă
crustacean	crustaceu
decemvirat	decemvirat
decimation	decimație
decolletage	decolteu
depot	depou
refuse	deșeu
dodecahedron	dodecaedru
flagellation	flagelație
forsythia	forsiția
cabin	habitaclu
impetration	impetrație
metaphor	metaforă
micronucleus	micronucleu
motorcycle	motociclu
mucilage	mucilagiu
mulatto	mulatru
négligée	neglijeu
novelette	novelă
coupe	cupeu
decalitre	decalitru
ambrosia	ambrozie
frontispiece	frontispiciu
interrogation	interogatoriu
interstice	interstițiu
jersey	jerseu
make one stitch	jeteu
aquarellist	acuarelist
adhesive	adeziv
abolitionist	aboliționist
absentee	absenteist
abstentionist	abstenționist
abstractionist	abstracționist
accordionist	acordeonist
alchemist	alchimist
vanguardist	avangardist
Byzantinist	bizantinist
Bonapartist	bonapartist
punner	calamburist
bicycle tourist	cicloturist
cymbalist	cimbalist
Confucian	confucianist
Darwinian	darwinist
geochemist	geochimist
striker	grevist
hydrochemist	hidrochimist
Hindu	hinduist
Hispanist	hispanist
inconsistency	inconsecvență
cablegram	cablogramă
cardiogram	cardiogramă
cardiomalacia	cardiomalacie
cardioplasty	cardioplastie
cardiosclerosis	cardioscleroză
cardioscope	cardioscop
cardioscopy	cardioscopie
karyokinesis	cariochineză
karyometry	cariometrie
cockpit	carlingă
carousel	carusel
acidosis	acidoză
carburetion	carburație
inhumation	inhumație
installation	instalație
instillation	instilație
intercalation	intercalație
manipulation	manipulație
acanthosis	acantoză
acariosis	acarioză
avitaminosis	avitaminoză
bacillosis	baciloză
bacteriosis	bacterioză
botriocephalosis	botriocefaloză
botryomycosis	botriomicoză
brucellosis	bruceloză
carcinomatosis	carcinomatoză
carcinosis	carcinoză
coenurosis	cenuroză
cerebrosclerosis	cerebroscleroză
keratosis	cheratoză
cyclosis	cicloză
kyphosis	cifoză
cirrhosis	ciroză
ecchymosis	echimoză
electronarcosis	electronarcoză
photodermatosis	fotodermatoză
galvanonarcosis	galvanonarcoză
helcosis	helcoză
heliosis	helioză
helminthosporiosis	helmintosporioză
haemarthrosis	hemartroză
keratosis	hematocheratoză
hematosis	hematoză
hemosiderosis	hemosideroză
hepatoptosis	hepatoptoză
hyalinosis	hialinoză
hydrarthrosis	hidartroză
hydatidosis	hidatioză
hydrargyrosis	hidrargiroză
hydronephrosis	hidronefroză
hyperkeratosis	hipercheratoză
hyperhidrosis	hiperhidroză
hyperostosis	hiperostoză
hypervitaminosis	hipervitaminoză
hypnosis	hipnoză
hypodermosis	hipodermoză
hypohydrosis	hipohidroză
hypovitaminosis	hipovitaminoză
hysteroptosis	histeroptoză
ichthyosis	ihtioză
meiosis	meioză
osmosis	osmoză
siderosis	sideroză
symbiosis	simbioză
visceroptosis	visceroptoză
xanthomatosis	xantomatoză
xerosis	xeroză
zoonosis	zoonoză
acrocyanosis	acrocianoză
actinomycosis	actinomicoză
agranulocytosis	agranulocitoză
alkali cellulose	alcaliceluloză
alkalosis	alcaloză
amaurosis	amauroză
amphiarthrosis	amfiartroză
amyloidosis	amiloidoză
amitosis	amitoză
calcinosis	calcinoză
iron deficiency	calcocloroză
callose	caloză
cercosporiosis	cercosporioză
ketoacidosis	cetoacidoză
fructose	fructoză
galactose	galactoză
hypertrichosis	hipertricoză
maltose	maltoză
myositis	mioză
thyrotoxicosis	tireotoxicoză
xylose	xiloză
anamorphosis	anamorfoză
ankylosis	anchiloză
anhydrosis	anhidroză
anisocytosis	anizocitoză
anoxybiosis	anoxibioză
antibiosis	antibioză
anthophytosis	antofitoză
apodosis	apodoză
apotheosis	apoteoză
argyrosis	argiroză
arteriosclerosis	arterioscleroză
ascariasis	ascaridioză
cyanosis	cianoză
coprosclerosis	coproscleroză
electrodiagnosis	electrodiagnoză
electroosmosis	electroosmoză
emphyteusis	emfiteoză
encephalosis	encefaloză
enchymosis	enchimoză
phagocytosis	fagocitoză
fibromatosis	fibromatoză
filariasis	filarioză
phytocoenosis	fitocenoză
fluorosis	fluoroză
furunculosis	furunculoză
lactobiose	lactobioză
leptospirosis	leptospiroză
