perquisite	gratis
indeclinable	Wesołowicz
indeclinable	Kuleszewicz
indeclinable	Muszkiewicz
indeclinable	Przekopowicz
pockmarked	dziobaty
diagonally	skosem
vibrate	wibrować
fall down	osuwać
drill	świdrować
shake	zatrząść
hack apart	rozrąbać
shiver	dygotać
hide	zasłaniać
outline	nakreślić
return	cofnąć
straighten	wyprostować
grab	chwycić
strike	rozwalić
lift	unieść
indeclinable	Szczyglak
indeclinable	Jodzis
indeclinable	Miniach
indeclinable	Dudzic
indeclinable	Kuźnik
indeclinable	Swędzioł
indeclinable	Pudlarz
indeclinable	Skrzekut
indeclinable	Czopur
indeclinable	Wdowiarz
indeclinable	Baradziej
indeclinable	Szczegielniak
indeclinable	Miszczyszyn
indeclinable	Wawrzaszek
indeclinable	Sośnierz
indeclinable	Wodzisz
indeclinable	Wołowczyk
indeclinable	Zawrotniak
indeclinable	Przeliorz
indeclinable	Koterwas
indeclinable	Kotwas
indeclinable	Kotfas
indeclinable	Skomiał
indeclinable	Korowaj
indeclinable	Jewiarz
indeclinable	Charchut
indeclinable	Charkot
indeclinable	Nieświec
indeclinable	Poźniak
indeclinable	Marzejon
indeclinable	Wrzeszcz
indeclinable	Dzedzej
indeclinable	Czuchaj
indeclinable	Majoch
indeclinable	Dobaj
indeclinable	Czembor
indeclinable	Banduch
indeclinable	Kaśków
indeclinable	Dżbik
indeclinable	Klimaj
indeclinable	Niczyj
indeclinable	Radczyc
indeclinable	Topij
indeclinable	Ścięgaj
indeclinable	Dziadosz
indeclinable	Smieszkoł
indeclinable	Śmieszkoł
indeclinable	Dźbik
indeclinable	Karbowniczek
indeclinable	Winiarz
indeclinable	Raźniak
indeclinable	Ścibich
indeclinable	Bogdziun
indeclinable	Wrzodak
indeclinable	Jasnos
indeclinable	Pojawis
indeclinable	Wrzaszcz
indeclinable	Płocharz
indeclinable	Pichłacz
indeclinable	Dadzibóg
indeclinable	Szczyrbak
indeclinable	Błaszczyszyn
indeclinable	Kopyciok
indeclinable	Łuczyszyn
indeclinable	Hołod
indeclinable	Machut
indeclinable	Zyśk
indeclinable	Konior
indeclinable	Słociak
indeclinable	Wojcieszak
indeclinable	Baszczyj
indeclinable	Postrzygacz
indeclinable	Zabojszcz
indeclinable	Cacaj
indeclinable	Jaczun
indeclinable	Niedopad
indeclinable	Czyrw
indeclinable	Parszcz
indeclinable	Piórczyk
indeclinable	Wałęsiak
indeclinable	Szęszoł
indeclinable	Dziachan
indeclinable	Bijoch
indeclinable	Wrzecion
indeclinable	Sołowij
indeclinable	Drożdżak
indeclinable	Juszczyszyn
indeclinable	Koniarz
indeclinable	Bzdak
indeclinable	Świszcz
indeclinable	Filuś
indeclinable	Błażków
indeclinable	Matyjewicz
indeclinable	Szulim
indeclinable	Gurgul
indeclinable	Juźwik
indeclinable	Łubiarz
indeclinable	Wciślik
indeclinable	Tłuściak
indeclinable	Kurzydem
indeclinable	Łubian
indeclinable	Palichleb
indeclinable	Pacioch
indeclinable	Piór
indeclinable	Szostakiewicz
indeclinable	Piórewicz
indeclinable	Bojdoł
indeclinable	Figlus
indeclinable	Czapor
indeclinable	Radziul
indeclinable	Bladzich
indeclinable	Poskrop
indeclinable	Potyraj
indeclinable	Gmiąt
indeclinable	Siemieniuch
indeclinable	Łygan
indeclinable	Noworól
indeclinable	Kordyś
indeclinable	Kubiś
indeclinable	Barnaś
indeclinable	Kłoś
indeclinable	Maraś
indeclinable	Chudaś
indeclinable	Jernaś
indeclinable	Kiliś
indeclinable	Gajkoś
indeclinable	Juruś
indeclinable	Szymaś
indeclinable	Gryguś
indeclinable	Byjoś
indeclinable	Cioś
indeclinable	Gembołyś
indeclinable	Gębołyś
indeclinable	Rakuś
indeclinable	Stolaś
indeclinable	Pitaś
indeclinable	Skroś
indeclinable	Kuliś
indeclinable	Głuś
indeclinable	Urbaś
indeclinable	Durnaś
indeclinable	Tyluś
indeclinable	Lubaś
indeclinable	Brzuś
indeclinable	Brzyś
indeclinable	Duduś
indeclinable	Biniaś
indeclinable	Wysopal
indeclinable	Byczkiewicz
indeclinable	Strzęciwilk
indeclinable	Gembolis
indeclinable	Lubas
baby	becik
indeclinable	Leżoń
indeclinable	Mołoń
indeclinable	Moreń
indeclinable	Bzdoń
indeclinable	Stuczeń
indeclinable	Piskoń
indeclinable	Baryń
indeclinable	Moruń
indeclinable	Rosikoń
indeclinable	Dziadoń
indeclinable	Światłoń
indeclinable	Ciebień
indeclinable	Kwiatoń
indeclinable	Moryń
indeclinable	Dobrzyń
indeclinable	Dłużeń
indeclinable	Budzoń
indeclinable	Szczypień
indeclinable	Ziobroń
indeclinable	Oroń
indeclinable	Bodzoń
indeclinable	Jeczeń
indeclinable	Jęczeń
indeclinable	Lipień
indeclinable	Samoń
indeclinable	Kryń
indeclinable	Kubień
indeclinable	Ciszczoń
indeclinable	Szyrszeń
indeclinable	Świtoń
indeclinable	Giełdoń
indeclinable	Chroń
indeclinable	Grodź
indeclinable	Lebiedź
indeclinable	Żołędź
indeclinable	Listoś
indeclinable	Sobaś
indeclinable	Świś
indeclinable	Tybuś
indeclinable	Ładoś
indeclinable	Bakoś
indeclinable	Korpyś
indeclinable	Świąć
indeclinable	Chwyć
indeclinable	Troć
indeclinable	Pawluć
indeclinable	Kukuć
indeclinable	Małozięć
indeclinable	Rzekęć
indeclinable	Chuć
indeclinable	Kić
indeclinable	Pać
indeclinable	Boć
indeclinable	Dziaduś
indeclinable	Łabul
indeclinable	Kiwus
indeclinable	Dąchór
indeclinable	Tynior
indeclinable	Dziędzioł
indeclinable	Kujach
indeclinable	Czołomiej
indeclinable	Wrzochol
indeclinable	Szczerbik
indeclinable	Gaczoł
indeclinable	Kwapich
indeclinable	Grzmil
indeclinable	Dłużak
indeclinable	Bożym
indeclinable	Bujas
indeclinable	Kozubal
indeclinable	Kręc
indeclinable	Zdechlik
indeclinable	Druzd
indeclinable	Matląg
indeclinable	Dziendzioł
indeclinable	Orciuch
indeclinable	Kołoszyc
indeclinable	Oprych
indeclinable	Szczudlik
indeclinable	Wrzochal
indeclinable	Gwis
indeclinable	Krzek
indeclinable	Ciwis
indeclinable	Łaptos
indeclinable	Kręć
indeclinable	Szczupak
indeclinable	Wójciszyn
indeclinable	Rozmysł
indeclinable	Kaczoch
indeclinable	Podlach
indeclinable	Racis
indeclinable	Kuźdub
indeclinable	Gnach
indeclinable	Ściubisz
indeclinable	Owsiak
indeclinable	Kściuk
indeclinable	Chałupnik
indeclinable	Wojczyszyn
indeclinable	Zmarzlik
indeclinable	Żużewicz
indeclinable	Kondzielnik
indeclinable	Przeździęk
indeclinable	Nieciąg
indeclinable	Łyszczek
indeclinable	Śwircz
indeclinable	Szemiot
indeclinable	Kodzis
indeclinable	Tworus
indeclinable	Kaminiarz
indeclinable	Leciej
indeclinable	Czwórnóg
indeclinable	Mokros
indeclinable	Wyzuj
indeclinable	Niewrzoł
indeclinable	Gogacz
indeclinable	Ślusarczyk
indeclinable	Skocz
indeclinable	Brudzisz
indeclinable	Brudz
indeclinable	Bożejewicz
indeclinable	Próchniewicz
indeclinable	Dziub
indeclinable	Antoszczyszyn
indeclinable	Szcząchor
indeclinable	Waszczuk
indeclinable	Konachowicz
indeclinable	Czerniachowicz
indeclinable	Młotkiewicz
indeclinable	Szybowicz
indeclinable	Iwankiewicz
indeclinable	Wyrostkiewicz
indeclinable	Wołujewicz
indeclinable	Góralewicz
indeclinable	Gęsikiewicz
indeclinable	Białasiewicz
indeclinable	Wasylkiewicz
indeclinable	Kowalkiewicz
indeclinable	Wilczkiewicz
indeclinable	Zagórowicz
indeclinable	Dobosiewicz
indeclinable	Szczykutowicz
indeclinable	Trochimowicz
indeclinable	Piotrkowicz
indeclinable	Różewicz
indeclinable	Łuckiewicz
indeclinable	Grochowicz
indeclinable	Uścinowicz
indeclinable	Szczukiewicz
indeclinable	Ługiewicz
indeclinable	Mroziewicz
indeclinable	Jasiukiewicz
indeclinable	Czyżowicz
indeclinable	Kaślewicz
indeclinable	Szumowicz
indeclinable	Szalewicz
indeclinable	Michewicz
indeclinable	Ziębowicz
indeclinable	Jakubcewicz
indeclinable	Pieronkiewicz
indeclinable	Kawałkiewicz
indeclinable	Franckiewicz
indeclinable	Korusiewicz
indeclinable	Wołodkowicz
indeclinable	Grażewicz
indeclinable	Nowatkiewicz
indeclinable	Szyszkowicz
indeclinable	Szyszkiewicz
indeclinable	Wawrynowicz
indeclinable	Małgorzewicz
indeclinable	Kacperkiewicz
indeclinable	Wyrębkiewicz
indeclinable	Czerniejewicz
indeclinable	Jarowicz
indeclinable	Toporowicz
indeclinable	Rzatkiewicz
indeclinable	Ozimkiewicz
indeclinable	Matuszkiewicz
indeclinable	Juśkiewicz
indeclinable	Stanilewicz
indeclinable	Kurłowicz
indeclinable	Jeleniewicz
indeclinable	Jarmuszkiewicz
indeclinable	Błaszczykiewicz
indeclinable	Prędkiewicz
indeclinable	Pawlikiewicz
indeclinable	Łyszkowicz
indeclinable	Ryglewicz
indeclinable	Bujanowicz
indeclinable	Musiałkiewicz
indeclinable	Głuszkiewicz
indeclinable	Jarmułowicz
indeclinable	Jałkiewicz
indeclinable	Stolarzewicz
indeclinable	Paruszkiewicz
indeclinable	Bogdziewicz
indeclinable	Brzyszkiewicz
indeclinable	Brzyśkiewicz
indeclinable	Mikołowicz
indeclinable	Kużdowicz
indeclinable	Piskunowicz
indeclinable	Ciećkiewicz
indeclinable	Przepiórkiewicz
indeclinable	Kozdronkiewicz
indeclinable	Dwornikiewicz
indeclinable	Piłasiewicz
indeclinable	Suchowicz
indeclinable	Podkowicz
indeclinable	Strusiewicz
indeclinable	Wawrowicz
indeclinable	Sawkiewicz
indeclinable	Czubasiewicz
indeclinable	Szymczykiewicz
indeclinable	Mrożkiewicz
indeclinable	Wójtewicz
indeclinable	Stępniewicz
indeclinable	Górnikiewicz
indeclinable	Wołosiewicz
indeclinable	Kłosowicz
indeclinable	Jędrychowicz
indeclinable	Biadasiewicz
indeclinable	Miliszkiewicz
indeclinable	Kwiatkiewicz
indeclinable	Czechowicz
indeclinable	Paluszkiewicz
indeclinable	Miaśkiewicz
indeclinable	Chudzikiewicz
indeclinable	Pierzchlewicz
indeclinable	Pęczkowicz
indeclinable	Kępowicz
indeclinable	Długiewicz
indeclinable	Ostasiewicz
indeclinable	Zieleniewicz
indeclinable	Wojakiewicz
indeclinable	Wasilewicz
indeclinable	Onyszkiewicz
indeclinable	Wojdasiewicz
indeclinable	Małasiewicz
indeclinable	Bracisiewicz
indeclinable	Bogajewicz
indeclinable	Szuszczewicz
indeclinable	Bysiewicz
indeclinable	Busłowicz
indeclinable	Ciszkiewicz
indeclinable	Zdaniewicz
indeclinable	Wiórkiewicz
indeclinable	Łuszczkiewicz
indeclinable	Ożadowicz
indeclinable	Mrugasiewicz
indeclinable	Jerzykiewicz
indeclinable	Jusiewicz
indeclinable	Busiakiewicz
indeclinable	Koziołkiewicz
indeclinable	Wtorkiewicz
indeclinable	Gorzkowicz
indeclinable	Nowikiewicz
indeclinable	Wiatrowicz
indeclinable	Radziukiewicz
indeclinable	Suszkiewicz
indeclinable	Uszakiewicz
indeclinable	Wojtewicz
indeclinable	Wujtewicz
indeclinable	Stempniewicz
indeclinable	Kwaśniewicz
indeclinable	Liszkiewicz
indeclinable	Kryśkiewicz
indeclinable	Dziemidowicz
indeclinable	Krzysztofowicz
indeclinable	Szczęsnowicz
indeclinable	Bednarkiewicz
indeclinable	Czaplejewicz
indeclinable	Jaśniewicz
indeclinable	Pisarkiewicz
indeclinable	Matyszkiewicz
indeclinable	Gałkiewicz
indeclinable	Bujnowicz
indeclinable	Żerebiec
indeclinable	Okapiec
indeclinable	Siebielec
indeclinable	Siedlec
indeclinable	Jędrzejec
indeclinable	Służalec
indeclinable	Hudziec
indeclinable	Naziemiec
indeclinable	Bałkowiec
indeclinable	Brzozowiec
indeclinable	Gotowiec
indeclinable	Kadłubiec
indeclinable	Łowiec
indeclinable	Dołowiec
indeclinable	Masłowiec
indeclinable	Rałowiec
indeclinable	Kulawiec
indeclinable	Legawiec
indeclinable	Ziewiec
indeclinable	Pilipiec
indeclinable	Szarowolec
indeclinable	Nabielec
indeclinable	Łobodziec
indeclinable	Kochaniec
indeclinable	Wybraniec
indeclinable	Młodożeniec
indeclinable	Skruszeniec
indeclinable	Pietroniec
indeclinable	Barwaniec
indeclinable	Soleniec
indeclinable	Grygianiec
indeclinable	Staniec
indeclinable	Odroniec
indeclinable	Surowaniec
indeclinable	Broniec
indeclinable	Osior
indeclinable	Rozpłoch
indeclinable	Drzewicz
indeclinable	Palikot
indeclinable	Żytkowiak
indeclinable	Jędrzejas
indeclinable	Pachut
indeclinable	Płosaj
indeclinable	Hasior
indeclinable	Pieczul
indeclinable	Mocior
indeclinable	Nyćkowiak
indeclinable	Niewadzisz
indeclinable	Drżał
indeclinable	Dzius
indeclinable	Dziąbor
indeclinable	Ścięgosz
indeclinable	Niewieczerzał
indeclinable	Niekowal
indeclinable	Siotor
indeclinable	Chlebiej
indeclinable	Wrzoł
indeclinable	Złośnik
indeclinable	Bylebył
Lesser Poland	Nowy Sącz
Greater Poland	Konin
indeclinable	Bzdzikot
indeclinable	Bździkot
indeclinable	Kanior
indeclinable	Skrobas
indeclinable	Łuków
indeclinable	Rżanek
indeclinable	Szczebiot
indeclinable	Pokrop
indeclinable	Dziewirz
indeclinable	Rzadkosz
indeclinable	Szczotok
indeclinable	Broniarz
indeclinable	Kipigroch
indeclinable	Bziuk
indeclinable	Kutaj
indeclinable	Rapior
indeclinable	Zimnol
indeclinable	Nielepiec
indeclinable	Horbowiec
indeclinable	Sterkowiec
indeclinable	Pasiowiec
indeclinable	Kobylec
indeclinable	Szczygioł
indeclinable	Bogocz
indeclinable	Wcześniak
indeclinable	Malej
indeclinable	Wywijas
indeclinable	Siadul
indeclinable	Ołdziej
indeclinable	Liszcz
indeclinable	Odwrot
indeclinable	Rodzaj
indeclinable	Chłód
indeclinable	Bumbul
indeclinable	Gudaniec
indeclinable	Szyniec
indeclinable	Złamaniec
indeclinable	Nieścier
indeclinable	Tłustochowicz
indeclinable	Jędruchniewicz
indeclinable	Jędrzejkiewicz
indeclinable	Kaczorkiewicz
indeclinable	Juchnowicz
indeclinable	Żarkiewicz
indeclinable	Gackiewicz
indeclinable	Musielewicz
indeclinable	Brążkiewicz
indeclinable	Marculewicz
indeclinable	Mikuśkiewicz
indeclinable	Nawrotkiewicz
indeclinable	Słodowicz
indeclinable	Lebiedowicz
indeclinable	Złotorowicz
indeclinable	Wojkiewicz
indeclinable	Wnukiewicz
indeclinable	Wojtukiewicz
indeclinable	Grzybowicz
indeclinable	Jagiełowicz
indeclinable	Kujawowicz
indeclinable	Skrętowicz
indeclinable	Ciszewicz
indeclinable	Maraszkiewicz
indeclinable	Sylwestrowicz
indeclinable	Dziemianowicz
indeclinable	Jasionowicz
indeclinable	Andryszkiewicz
indeclinable	Trędowicz
indeclinable	Kaliszewicz
indeclinable	Łoszakiewicz
indeclinable	Święchowicz
indeclinable	Walczykiewicz
indeclinable	Bryśkiewicz
indeclinable	Wasiukiewicz
indeclinable	Brzozowicz
indeclinable	Wierzbowicz
indeclinable	Kowalczykiewicz
indeclinable	Wałkiewicz
indeclinable	Wierzchowiak
indeclinable	Łuczków
indeclinable	Wawryków
indeclinable	Dźwigał
indeclinable	Białousz
indeclinable	Dolibóg
indeclinable	Przedwój
indeclinable	Brzost
indeclinable	Dziedziech
indeclinable	Oniszczuk
indeclinable	Drzał
indeclinable	Samol
indeclinable	Marcinków
indeclinable	Dobrogost
indeclinable	Niewczas
indeclinable	Dziurgot
indeclinable	Gwiżdż
indeclinable	Ciukaj
indeclinable	Zgiet
indeclinable	Stroiwąs
indeclinable	Cierebiej
indeclinable	Chrzczon
indeclinable	Śniadach
indeclinable	Pytlos
indeclinable	Czysz
indeclinable	Pienias
indeclinable	Książczyk
indeclinable	Wylot
indeclinable	Kościarz
indeclinable	Pomykoł
indeclinable	Kuźbik
indeclinable	Luboch
indeclinable	Oświt
indeclinable	Strzyż
indeclinable	Skorus
indeclinable	Tasior
indeclinable	Ciećwierz
indeclinable	Pawłat
indeclinable	Nyczaj
indeclinable	Ciepichał
indeclinable	Mazij
indeclinable	Miącz
indeclinable	Nieckarz
indeclinable	Czubat
indeclinable	Chodun
indeclinable	Gawrych
indeclinable	Piszczan
indeclinable	Skrzypkowiak
indeclinable	Krzesaj
indeclinable	Siemion
indeclinable	Jaszczyszyn
indeclinable	Chwaszcz
indeclinable	Grzeszczuk
indeclinable	Stukan
indeclinable	Miężał
indeclinable	Mikołajczuk
indeclinable	Dziuk
indeclinable	Niepokój
indeclinable	Szelest
indeclinable	Chrząszcz
indeclinable	Pasierb
indeclinable	Ogon
indeclinable	Goliwąs
indeclinable	Mościpan
indeclinable	Makiej
indeclinable	Grąz
indeclinable	Strzys
indeclinable	Owsian
indeclinable	Ochap
indeclinable	Świrszcz
indeclinable	Ochej
indeclinable	Zawitaj
indeclinable	Bucław
indeclinable	Stogniew
indeclinable	Radziun
indeclinable	Mołas
indeclinable	Chołaj
indeclinable	Łuszczek
indeclinable	Chrząstek
indeclinable	Wojcieszek
indeclinable	Dwojak
indeclinable	Płoszaj
indeclinable	Potrykus
indeclinable	Grochal
indeclinable	Kopciał
indeclinable	Styczyrz
indeclinable	Myszczyszyn
indeclinable	Zapór
indeclinable	Michór
indeclinable	Sąpór
indeclinable	Dolot
indeclinable	Grzeczkowicz
indeclinable	Oliwkiewicz
indeclinable	Sempołowicz
indeclinable	Siłakiewicz
indeclinable	Tomczykiewicz
indeclinable	Czernuszewicz
indeclinable	Jakołcewicz
indeclinable	Goździkiewicz
indeclinable	Dziedziniewicz
indeclinable	Gasiulewicz
indeclinable	Wołoszkiewicz
indeclinable	Wronowicz
indeclinable	Koziorowicz
indeclinable	Kraszkiewicz
indeclinable	Dołomisiewicz
indeclinable	Czarnuszewicz
indeclinable	Lisikiewicz
indeclinable	Skórkiewicz
indeclinable	Szerszenowicz
indeclinable	Pielaszkiewicz
indeclinable	Szukiełowicz
indeclinable	Naszkiewicz
indeclinable	Trendowicz
indeclinable	Brzoskiewicz
indeclinable	Łuszczykiewicz
indeclinable	Nagórniewicz
indeclinable	Pachniewicz
indeclinable	Sądowicz
indeclinable	Miszkiewicz
indeclinable	Staszkiewicz
indeclinable	Pawlukiewicz
indeclinable	Szczechowicz
indeclinable	Łosiewicz
indeclinable	Kozłowicz
indeclinable	Żeberkiewicz
indeclinable	Dobrasiewicz
indeclinable	Bątkiewicz
indeclinable	Piłaszewicz
indeclinable	Gładkiewicz
indeclinable	Jasienowicz
indeclinable	Cieplechowicz
indeclinable	Słomowicz
indeclinable	Wielkiewicz
indeclinable	Gibasiewicz
indeclinable	Rodziewicz
indeclinable	Czuryszkiewicz
indeclinable	Andruchowicz
indeclinable	Uszkiewicz
indeclinable	Młynarkiewicz
indeclinable	Steckiewicz
indeclinable	Mikołajewicz
indeclinable	Świrydowicz
indeclinable	Ziemniewicz
indeclinable	Kryłowicz
indeclinable	Jarmołowicz
indeclinable	Wąsewicz
indeclinable	Prześlakiewicz
indeclinable	Kraśniewicz
indeclinable	Watrakiewicz
indeclinable	Szczepanowicz
indeclinable	Niekraszewicz
indeclinable	Witkiewicz
indeclinable	Skrętkowicz
indeclinable	Wyderkiewicz
indeclinable	Cieślakiewicz
indeclinable	Nowaczkiewicz
indeclinable	Artysiewicz
indeclinable	Maliszkiewicz
indeclinable	Dzwoniarkiewicz
indeclinable	Chreptowicz
indeclinable	Zuchniewicz
indeclinable	Żuchniewicz
indeclinable	Gątkiewicz
indeclinable	Kępkowicz
indeclinable	Ośkiewicz
indeclinable	Topolewicz
indeclinable	Słoniewicz
indeclinable	Ryłowicz
indeclinable	Dąbrowicz
indeclinable	Krzyształowicz
indeclinable	Miłosiewicz
indeclinable	Łopatkiewicz
indeclinable	Cudakiewicz
indeclinable	Kasiorkiewicz
indeclinable	Waluśkiewicz
indeclinable	Zielniewicz
indeclinable	Ziemlewicz
indeclinable	Latosiewicz
indeclinable	Jaremkiewicz
indeclinable	Cichanowicz
indeclinable	Tomaszkiewicz
indeclinable	Rękosiewicz
indeclinable	Gryckiewicz
indeclinable	Czerechowicz
indeclinable	Grzymowicz
indeclinable	Gierejkiewicz
indeclinable	Czyszkiewicz
indeclinable	Piłatowicz
indeclinable	Michorczyk
indeclinable	Błoniarczyk
indeclinable	Myśliwczyk
indeclinable	Jędraszczyk
indeclinable	Winiarczyk
indeclinable	Bukowczyk
indeclinable	Polaszczyk
indeclinable	Struszczyk
indeclinable	Mrowczyk
indeclinable	Draszczyk
indeclinable	Synowczyk
indeclinable	Stasiorczyk
indeclinable	Niesłańczyk
indeclinable	Jajszczyk
indeclinable	Witaszczyk
indeclinable	Szczypczyk
indeclinable	Pożarowszczyk
indeclinable	Gbiorczyk
indeclinable	Doroszczyk
indeclinable	Pluszczyk
indeclinable	Białończyk
indeclinable	Gorzelańczyk
indeclinable	Pogorzelczyk
indeclinable	Grzeszczyk
indeclinable	Ostrycharczyk
indeclinable	Drążczyk
indeclinable	Anuszczyk
indeclinable	Stajszczyk
indeclinable	Białaszczyk
indeclinable	Karbowniczak
indeclinable	Trojszczak
indeclinable	Franciszczak
indeclinable	Oleszczak
indeclinable	Rybczak
indeclinable	Wajszczak
indeclinable	Borowczak
indeclinable	Wawruszczak
indeclinable	Świątczak
indeclinable	Strzelczak
indeclinable	Dworczak
indeclinable	Wawrzyńczak
indeclinable	Owczarczak
indeclinable	Pieluszczak
indeclinable	Płociniczak
indeclinable	Płóciniczak
indeclinable	Łajszczak
indeclinable	Włoszczak
indeclinable	Kaliszczak
indeclinable	Wereszczak
indeclinable	Grzybczak
indeclinable	Frąszczak
indeclinable	Grzeszczak
indeclinable	Żeliszczak
indeclinable	Wołczyk
indeclinable	Tomaszczyk
indeclinable	Masiejczyk
indeclinable	Grzegoszczyk
indeclinable	Kozielczyk
indeclinable	Gieszczyk
indeclinable	Pawluczyk
indeclinable	Imiołczyk
indeclinable	Imiolczyk
indeclinable	Zimończyk
indeclinable	Janowczyk
indeclinable	Grzybczyk
indeclinable	Wojaczyk
indeclinable	Kuciejczyk
indeclinable	Wawrzeńczyk
indeclinable	Zaganiaczyk
indeclinable	Matyjaszczyk
indeclinable	Wojszczyk
indeclinable	Mateuszczyk
indeclinable	Lasończyk
indeclinable	Wolczyk
indeclinable	Chrószcz
indeclinable	Ciuk
indeclinable	Patrzałek
indeclinable	Szczerbiak
indeclinable	Dzierżak
indeclinable	Szczepaniuk
indeclinable	Tułacz
indeclinable	Szczypek
indeclinable	Słabosz
indeclinable	Słodownik
indeclinable	Matwijów
indeclinable	Ustach
indeclinable	Łaszcz
indeclinable	Wiechniak
indeclinable	Bławut
indeclinable	Wojech
indeclinable	Dubas
indeclinable	Samul
indeclinable	Pawliczek
indeclinable	Dworaczek
indeclinable	Gniewek
indeclinable	Działak
indeclinable	Błaszyk
indeclinable	Gościniak
indeclinable	Kwiatos
indeclinable	Najdychor
indeclinable	Dzionk
indeclinable	Cygon
indeclinable	Mochniej
indeclinable	Pyrcioch
indeclinable	Zmyj
indeclinable	Wykpisz
indeclinable	Wowrzyk
indeclinable	Niegłos
indeclinable	Nadaj
indeclinable	Łatwis
indeclinable	Łuciów
indeclinable	Dyrduł
indeclinable	Możdżan
indeclinable	Rędzioch
indeclinable	Pizior
indeclinable	Masiul
indeclinable	Więckowiak
indeclinable	Koszczyc
indeclinable	Pożdał
indeclinable	Zbęk
indeclinable	Tkaczuk
indeclinable	Grzesiuk
indeclinable	Błaszczuk
indeclinable	Piętak
indeclinable	Pieszczek
indeclinable	Nalej
indeclinable	Wawrzonek
indeclinable	Warzych
indeclinable	Świdergał
indeclinable	Świdergoł
indeclinable	Wyroślak
indeclinable	Głowiak
indeclinable	Druszcz
indeclinable	Koczywąs
indeclinable	Małochwiej
indeclinable	Łowkis
indeclinable	Srogosz
indeclinable	Targos
indeclinable	Chrzonszcz
indeclinable	Skroban
indeclinable	Skrobich
indeclinable	Kołątaj
indeclinable	Błaszczok
indeclinable	Dziedziak
indeclinable	Bzymek
indeclinable	Mendroch
indeclinable	Kucwaj
indeclinable	Stróżyk
indeclinable	Piechaczek
indeclinable	Łachut
indeclinable	Jadwidzic
indeclinable	Drgas
indeclinable	Staniul
indeclinable	Andruszczak
indeclinable	Mażul
indeclinable	Grażul
indeclinable	Mąkol
indeclinable	Wigłasz
indeclinable	Grzeszczyszyn
indeclinable	Chroszcz
indeclinable	Rosłon
indeclinable	Porwol
know-it-all	mędrek
indeclinable	Zdzuj
indeclinable	Biernot
indeclinable	Iszczek
indeclinable	Chyziak
indeclinable	Trzaskacz
indeclinable	Misiaczyk
indeclinable	Agnieszczak
indeclinable	Marchewczyk
indeclinable	Droździok
indeclinable	Wojczak
indeclinable	Tracichleb
indeclinable	Grzybacz
indeclinable	Całuch
indeclinable	Kwasiżur
indeclinable	Zdrowak
indeclinable	Mendrek
indeclinable	Mędrek
indeclinable	Grzywok
indeclinable	Błaszków
indeclinable	Pawliszak
indeclinable	Górszczyk
indeclinable	Szczesik
indeclinable	Łasut
indeclinable	Wyród
indeclinable	Pszon
indeclinable	Grzebisz
indeclinable	Niesyt
indeclinable	Bździon
indeclinable	Wrzołek
indeclinable	Śledzik
indeclinable	Ciecior
indeclinable	Wypart
indeclinable	Jastrząb
indeclinable	Banuch
indeclinable	Zimroz
indeclinable	Okraj
indeclinable	Wierzbic
indeclinable	Buż
indeclinable	Trześniak
indeclinable	Wyleżuch
indeclinable	Jaślan
indeclinable	Michałów
indeclinable	Żmijan
indeclinable	Bodziuch
indeclinable	Szczeponik
indeclinable	Dubij
indeclinable	Czuż
indeclinable	Okolus
indeclinable	Wyciślok
indeclinable	Wąsiołek
indeclinable	Kusiołek
indeclinable	Głaszcz
indeclinable	Rygoł
indeclinable	Czachur
indeclinable	Czochór
indeclinable	Czarnas
indeclinable	Michor
indeclinable	Ochot
indeclinable	Gnot
indeclinable	Chamot
indeclinable	Jamróz
indeclinable	Jamroż
indeclinable	Jamroz
indeclinable	Droźdź
indeclinable	Dróźdź
indeclinable	Sajnog
indeclinable	Bzdzion
indeclinable	Ziembowicz
indeclinable	Giedrowicz
indeclinable	Jamrozowicz
indeclinable	Małachowicz
indeclinable	Bochowicz
indeclinable	Krzyszkiewicz
indeclinable	Olesiewicz
indeclinable	Przetakiewicz
indeclinable	Piszczorowicz
indeclinable	Dowgielewicz
indeclinable	Kosturkiewicz
indeclinable	Szotkiewicz
indeclinable	Kłaczkiewicz
indeclinable	Leszczewicz
indeclinable	Włoskowicz
indeclinable	Szczerbaniewicz
indeclinable	Popielewicz
indeclinable	Kruczkiewicz
indeclinable	Maślankiewicz
indeclinable	Zackiewicz
indeclinable	Matyjaśkiewicz
indeclinable	Sieciechowicz
indeclinable	Garstkiewicz
indeclinable	Michowicz
indeclinable	Dziekiewicz
indeclinable	Lipniewicz
indeclinable	Pietrukiewicz
indeclinable	Białowicz
indeclinable	Szumilewicz
indeclinable	Żytkowicz
indeclinable	Kupraszewicz
indeclinable	Krzyżanowicz
indeclinable	Szarowicz
indeclinable	Motylewicz
indeclinable	Sobierajewicz
indeclinable	Brysiewicz
indeclinable	Mordasiewicz
indeclinable	Grębowicz
indeclinable	Grodkiewicz
indeclinable	Kukułowicz
indeclinable	Miernikiewicz
indeclinable	Kutasiewicz
indeclinable	Wabiszczewicz
indeclinable	Wilkowicz
indeclinable	Południkiewicz
indeclinable	Wojniłowicz
indeclinable	Szalkiewicz
indeclinable	Żelaśkiewicz
indeclinable	Dziadykiewicz
indeclinable	Zjadewicz
indeclinable	Korpikiewicz
indeclinable	Dziurkiewicz
