someone	a-
brushtail	Nahatʼeʼiitsoh bikéyahdę́ę́ʼ biyázhí neiyéhé
flathead	tsiiʼnteelí
worm lizard	naʼashǫ́ʼii bijáád ádinígíí
Persian	Béézhąą bizaad
Tsin Bikeeʼ Dineʼé bizaad	Tsin Bikeeʼ Dineʼé bizaad
Dutch	Tsin Bikeeʼ Dineʼé
chidí bikʼah hágéédi	chidí bikʼah hágéédi
Grey-winged Trumpeter	tsiiyázhí
clothes moth	chʼosh ałchozhii
gaillardia	tsísʼnádą́ą́ʼ
bįįh bitseełgaiígíí	bįįh bitseełgaiígíí
hoverfly	tséʼédǫ́ʼii dishooí
hakʼaz gah	hakʼaz gah
whale shark	łóóʼntsxaaí łikizhígíí
chéłchaaʼ bideeneezígíí	chéłchaaʼ bideeneezígíí
tropicbird	atseełtsʼózí
jádí bideeneezígíí	jádí bideeneezígíí
whooping crane	tóniłhę́ęshii
Eurasian badger	tó wónaanídę́ę́ʼ nahashchʼidí
badger	nahashchʼid
merlin	chʼilhaatʼaʼii
toohjįʼ ndiigaiitsoh	toohjįʼ ndiigaiitsoh
small white	kʼaalógiiłgaígíí
roadrunner	naatsédlózii
binturong	tsinlátahgi dlǫ́ʼiitsoh
barn owl	biniiʼłigaii
southern cassowary	tsídiitsoh bikʼos dootłʼizhí
ostrich	tsídiitsoh
black vulture	jeeshóóʼ łizhinígíí
vulture	jeeshóóʼ
mockingbird	zahalánii
Jack-in-the-pulpit	niłtsínii
butter	mandagíiya
curlew	daakʼį́į́ʼ
darter	tłʼiishkʼosí
broomrape	łeeʼdoolʼeezí
bongo	jádítsoh noodǫ́zígíí
táłtłʼááh tsisteełtsoh	táłtłʼááh tsisteełtsoh
pseudoscorpion	séigoʼchilí bitseeʼ ádinígíí
red kangaroo	nahatʼeʼiitsoh łichíiʼii
bay cat	Náátsʼózídę́ę́ʼ mósíłchíiʼii ałchinígíí
tábąąh ayání	tábąąh ayání
tábąąh béégashii	tábąąh béégashii
religion	binahaghá
chʼil ditsʼozíłchííʼ	chʼil ditsʼozíłchííʼ
sika	dzeeh łikizhígíí
mara	Shádiʼááhdę́ę́ʼ gahniiʼí ntsxaaígíí
flesh-fly	tséʼédǫ́ʼii łibáhígíí
grison	Shádiʼááhdę́ę́ʼ niłchiis
nyala	jádítsoh diłhiłígíí
lancelet	łóóʼchilí bitʼaʼ ádaadinígíí
cuscus	tseelkǫǫhí
common horsetail	ałtį́į́ʼ jikʼaashí
bow	ałtį́į́ʼ
chʼoshłóóʼ bikááʼtsʼinígíí	chʼoshłóóʼ bikááʼtsʼinígíí
tsinaʼayąʼii yildeełí	tsinaʼayąʼii yildeełí
sǫʼ łóóʼ bigaanézí	sǫʼ łóóʼ bigaanézí
sǫʼ łóóʼ	sǫʼ łóóʼ
administrator	hooʼááłígíí
spike moss	tségad
paca	kʼiiznoodǫ́ǫzii
silverweed	tʼąąʼdoolghasí
bivalve	chʼosh bitsʼaʼígíí
dodder	tsiighájíłchí
łóóʼ naatʼaʼí	łóóʼ naatʼaʼí
nahatʼeʼii jáádnézí	nahatʼeʼii jáádnézí
quagga	halgaigi tééh łį́į́ʼ
behind	bineʼdę́ę́ʼ
horseshoe crab	táłtłʼááh séigoʼ bitsʼaʼígíí
genet	dlǫ́ʼiitsoh áłtsʼózígíí
ram	deenástsʼaaʼ
storm petrel	níyol yiiʼ naatʼaʼígíí
shash ndilnaʼii	shash ndilnaʼii
sponge	táłtłʼááh yilcháazhii
oyster	chʼosh yoołgai bitsʼaʼígíí
swift	tsxį́į́łnaalkʼįhii
naʼashjéʼii nahachaʼígíí	naʼashjéʼii nahachaʼígíí
decapod	chʼosh bijáád neeznánígíí
yadiizį́įgo ayání	yadiizį́įgo ayání
greasewood	díwózhii
whippoorwill	hoshdódii
ground squirrel	tsin ditʼinii
tsinlátah tsídii nahatʼeʼígíí	tsinlátah tsídii nahatʼeʼígíí
yellow warbler	tsídiiłtsooí
Japanese	Binááʼádaałtsʼózí dineʼé
king crab	chʼoshtsoh bikágí diwozhí
tsintah bisóoditsoh	tsintah bisóoditsoh
cottonwood	tʼiis
firebird	tsįyaatsiiłchííʼ
cottontail	gałbáhí
Roman	Roman dineʼé
rush	tłʼohtsʼózí
chʼééh digháhii bitsʼaʼ yilzhólí	chʼééh digháhii bitsʼaʼ yilzhólí
seriema	tłʼohtahilzhahí
cowbird	chʼagiiłbáhí
łóóʼ hashkéhé bíchį́į́hnézí	łóóʼ hashkéhé bíchį́į́hnézí
titmouse	chʼíshiibeezhii
okapi	bijáád noodǫ́ǫzii
tamandua	wóláchííʼ yildeełí łizhin dóó łigaígíí
caiman	bitseeʼ yee adiłhałii yázhí
hodíłchʼil ayáníchilí	hodíłchʼil ayáníchilí
Iberian lynx	Dibé diníí bikéyahdę́ę́ʼ náshdóí
shoebill	chʼídeeldlóohiitsoh
saltbush	díkʼǫ́ǫ́zhí
badger	nahashchʼidí
brant goose	naalʼeełítsoh diłhiłígíí
tiger	náshdóítsoh noodǫ́zígíí
dik-dik	díʼdikii
amber	tséjééʼ
wolf spider	naʼashjéʼiitsoh
impala	jádí bideeʼ yisdizígíí
Czech Republic	Chek bikéyah
Binááʼádaałtsʼózí dineʼé bikéyah	Binááʼádaałtsʼózí dineʼé bikéyah
Netherlands	Kéyah Wóyahgo Siʼánígíí
Greece	Gwíík Dineʼé bikéyah
fossa	dlǫ́ʼiitsoh naalzheehígíí
damselfly	tániilʼáítsʼóóz
łóóʼ hashkéhé bitsiiʼ dikʼání	łóóʼ hashkéhé bitsiiʼ dikʼání
Indonesia	Indoníízha
Egypt	Ííjip
chį́į́hnézí nahatʼeʼígíí	chį́į́hnézí nahatʼeʼígíí
chéłchaaʼ bikʼosnézí	chéłchaaʼ bikʼosnézí
akágí yitsʼǫǫsii	akágí yitsʼǫǫsii
nahatʼeʼiitsoh yázhí	nahatʼeʼiitsoh yázhí
Caribbean	Kayíbíyinsíí
thinhorn sheep	Náhookǫsdę́ę́ʼ tsétah dibé
Ukraine	Yóókwein
Israel	Ízrel bikéyah
yak	béégashiiʼilí
markhor	tłʼízí bideeʼ yisdizígíí
Switzerland	Swis bikéyah
squirrel	tseekʼi nástánii
your	ni-
Iran	Iiwą́ą́
mudskipper	hashtłʼishdi tádíʼnéehii
mud	hashtłʼish
Poland	Póolish Dineʼé bikéyah
South Africa	Kéyah Naakai Łizhinii Bikéyah Shádiʼááhjí Siʼánígíí
nettle	hołchʼíʼí
Pakistan	Eʼeʼaahjí Naakaii Dootłʼizhí Bikéyah
díkʼǫ́ǫ́zhí yiltʼąąʼí	díkʼǫ́ǫ́zhí yiltʼąąʼí
almost	kʼasdą́ą́ʼ
let's see	haaʼí yeeʼ
remipede	yeenaʼałkǫ́ʼíłániichilí
haigo ahąą honinééh	haigo ahąą honinééh
radish	akétłʼóól łichxííʼí yázhí
root	akétłʼóól
Denmark	Déinish Dineʼé bikéyah
Carolina sphinx moth	wóóseekʼidii
chokecherry	kʼįįshzhíní
Romania	Wooméiniya
Hungary	Hángewii
Latvia	Létbiiya
Thailand	Tʼáí bikéyah
Korea	Binááʼádaałtsʼózí Dineʼé Bikéyah Yázhí
leopard	Naakaii Łizhiní Bikéyahdę́ę́ʼ náshdóítsoh łikizhígíí
bobcat	náshdóí łibáhígíí
sawfish	chį́į́h yee achʼiishíhii
cauliflower	sęęschʼil
Malaysia	Maléízha
Papua New Guinea	Páápowa Bigíní Ániidí
asparagus	chʼałdą́ą́ʼ
jay	tʼádootłʼizhii
Croatia	Kwóóʼad bikéyah
Uzbekistan	Ózbeʼ bikéyah
Serbia	Séwib bikéyah
cockroach	chʼoshtsoh
chʼoshtsoh bíláshgaantsohí	chʼoshtsoh bíláshgaantsohí
People's Republic of China	Tsiiʼyishbizhí Dineʼé Bikéyah
łóóʼ bigaan tseebíí	łóóʼ bigaan tseebíí
goldeneye	naalʼeełí binááʼ łitsooígíí
locate	naazlá
locate	naaznil
locate	naaziid
spy	naalchiʼ
tragopan	tsídii bizééʼ naashchʼąąʼí
jélii łóóʼ daʼhólzhaʼígíí	jélii łóóʼ daʼhólzhaʼígíí
chʼał niłtólí	chʼał niłtólí
shash yázhí	shash yázhí
mágíłtsooí bináázhiní	mágíłtsooí bináázhiní
red squirrel	dloziłchííʼ
flat-headed cat	mósí ałchiní bitsiiʼtʼąhígíí
skua	łóóʼyiniʼįįhí
rhea	Shádiʼááhdę́ę́ʼ tsídiitsoh
poison dart frog	Shádiʼááhdę́ę́ʼ chʼał kʼaasdáhígíí
avocet	jáádtsʼósí
jélii łóóʼ	jélii łóóʼ
turnip	niłtsínii bikétłʼóól dijoolí
tsin yąąh dzootʼihí	tsin yąąh dzootʼihí
poison	kʼaasdá
mąʼii chʼil	mąʼii chʼil
field horsetail	ałtį́į́ʼ jikʼaashí áłtsʼózígíí
chį́į́h yee adilohii	chį́į́h yee adilohii
edge	bibąąh
Northern Ireland	Náhookǫsjí Bitsiighaʼ Łichííʼí bikéyah
barberry	shashdą́ą́ʼ
mussel	chʼosh dichiłí bitsʼaʼígíí
barracuda	yílnoodii
able	nilʼąąh
locate	silá
Galápagos tortoise	chʼééh digháhiitsoh
jam	jélii
ahąą honinééh	ahąą honinééh
called	hoolyéedi
called	hoolyé
photographed	éélkid
dziʼizí bee ałhaʼdikááh	dziʼizí bee ałhaʼdikááh
naʼałkǫ́ǫ́ʼ yee ałhaʼdikááh	naʼałkǫ́ǫ́ʼ yee ałhaʼdikááh
draw	naʼachʼąąh
artist	naʼachʼąąhí
jerky	ditsxiz
jelly	jélii ditsxizí
stingy	nichįʼ
duoplural	nidaah
Jicarilla Apache	Beehai
Lipan Apache	Tsétah chíshí
Mescalero Apache	Naashgalí
Plains Apache	Halgai hóteeljí chíshí
Oklahoma	Halgai hóteel hahoodzo
prairie	halgai
Great Plains	Halgai Hóteel
wide	hóteel
undercooked	shichʼil
steel	béésh ntłʼizígíí
cactus fruit	hosh bineestʼąʼ
hard	ntłʼiz
sétį́	sitį́
skinny	yigan
don't count your chickens before they're hatched	tʼáadoo danitʼání íítiʼ
orange	łichxííʼ
story	haneʼ
sponge	tó yitsʼǫǫsí
pole	tsin ííʼáhígíí
blue shark	łóóʼ hashkéhé dootłʼizhígíí
swamphen	tóidoozohii dootłʼizhígíí
tsétah bįįhchilí	tsétah bįįhchilí
tsisteeł diyogí	tsisteeł diyogí
łóóʼ bigháhootʼíní	łóóʼ bigháhootʼíní
India	Tó Wónaanídę́ę́ʼ Bitsįʼ Yishtłizhii Bikéyah
bruised	yishtłizh
wood duck	naalʼeełí naashchʼąąʼígíí
antechinus	naʼatsʼǫǫsí bizaʼazis hólóní
big hairy armadillo	kááʼtsʼiní ditłʼooígíí
łóóʼ bíígháántsiighąąʼ ádaadinígíí	łóóʼ bíígháántsiighąąʼ ádaadinígíí
boll weevil	ndikʼąʼ biyaʼ
World Trade Center	Naʼiiniʼ bá Hooghantsoh
foxtail	zééʼiilwoʼii
ńdíshchíitah dlǫ́ʼii	ńdíshchíitah dlǫ́ʼii
water boatman	tó bichʼosh
francolin	Náátsʼózídę́ę́ʼ naaʼahóóhaitʼą́ʼí
sandhill crane	déłí
sorrel	chaatʼíní
avocado	chʼil akʼahí
beet	łeehdoolʼeez łichííʼí
bitseeʼ yee adiłhałii	bitseeʼ yee adiłhałii
coati	tábąąh mąʼii bíchį́į́h nineezí
mango	Naakaii bichʼil łitsxooí
shrew	chį́į́shnézí
táłtłʼááh adijiłii	táłtłʼááh adijiłii
zucchini	naayízítsʼósí
tłʼoh dichʼíízh	tłʼoh dichʼíízh
tinamou	hodíłchʼiltah naaʼahóóhai
łóóʼtsoh bighą́ą́ʼ yílkʼidígíí	łóóʼtsoh bighą́ą́ʼ yílkʼidígíí
néʼéshjaaʼ báʼałnááʼáhii	néʼéshjaaʼ báʼałnááʼáhii
chʼosh bitsʼaʼ doolghasígíí	chʼosh bitsʼaʼ doolghasígíí
pod	bitsʼaʼ
horehound	azeeʼ ndootʼeezhí łibáhígíí
salamander	tsxilghááh
mágí bíchį́į́htsohígíí	mágí bíchį́į́htsohígíí
booby	taahilnoodii
spotted hyena	tééh łééchąąʼí łikizhígíí
fishing cat	tábąąh mósí ałchiní
pelican	tsídiidaatsohí
sugar cane	dáʼákaz łikaní
chameleon	naʼashǫ́ʼii łahgo aníʼdoolníiłii
locate	shijaaʼ
katydid	nahachagii dootłʼizhí
sweathouse	táchééh
tin can	yadiizíní
pizza	náneeskaadítéél
knitting needle	bee atłʼóhí
papaya	babáayah
biscuit	bááh nímazí
slapped bread	náneeskaadí
soft	yisééh
tónteel naʼashjéʼii	tónteel naʼashjéʼii
dictionary	naaltsoos saad bee siʼánígíí
leopard cat	Náátsʼózídę́ę́ʼ mósíłkizhii ałchinígíí
arrow worm	chʼoshkʼaaʼ
sticks	iijííł
thump	dog
toadfish	chʼałniiʼí
sunbittern	yáhashjool yił aheełtʼéhii
siil béésh náyoołbaał	siil béésh náyoołbaał
serval	náshdóítʼą́ʼí łikizhígíí
screech owl	tsidiłdǫǫhii
chʼééh	dighááh
gym	biiʼndaʼaʼnéhé
tomorrow	yiską́ągo
tomorrow	yiską́o
happen	tʼáá áhoonííłgóó
steal	yiniʼįįh
power plant	bééshbiiʼkǫǫʼítsoh
power plant	atsiniltłʼish bá hooghan
redstem filaree	dzílí bíláshgaan
dééłgai bitsiiʼ halzhinígíí	dééłgai bitsiiʼ halzhinígíí
buffaloberry	dibédą́ą́ʼ
béégashii bichaan	béégashii bichaan
wooly locoweed	taʼagháliitsʼóóz
barn swallow	táshchozhiiłchííʼ
łóóʼ ooshgę́ęzhii	łóóʼ ooshgę́ęzhii
stonefish	tsé nahalinii
ribbon seal	tábąąstííntsoh łizhin dóó łigaiígíí
vertebrate	bíígháán dahólónígíí
naʼashjéʼii jáádnézí	naʼashjéʼii jáádnézí
naʼashjéʼii tsiizisí	naʼashjéʼii tsiizisí
bįįh danilínígíí	bįįh danilínígíí
bikétłʼááh hoolzhólígíí	bikétłʼááh hoolzhólígíí
ungulate	naaldlooshii bikéshgaan hólónígíí
aniłtʼánii yázhí	aniłtʼánii yázhí
chʼosh bíígháán ádaadinígíí	chʼosh bíígháán ádaadinígíí
łóóʼtsoh dóó tééh hóyáanii	łóóʼtsoh dóó tééh hóyáanii
white clover	tłʼoh waaʼí nahalinígíí
hakʼaz naalʼeełí	hakʼaz naalʼeełí
mullein	nátʼostsoh
goose	chį́į́shłigaii
click beetle	wóónałchídii
tsídii bidaanézí	tsídii bidaanézí
squid	łóóʼ bigaan neeznání
wóóneeshchʼįįdii nahachaʼígíí	wóóneeshchʼįįdii nahachaʼígíí
aye-aye	bílaneezii
emu	tsídiitsoh ditsʼozígíí
arachnid	chʼosh bijáád tseebíhígíí
flatfish	łóóʼtʼą́hí
horsefly	tłʼézhii
botfly	łį́į́ʼ bitsísʼná
snow leopard	náshdóíłgaii łikizhígíí
łéʼétsoh beeniʼíhoniitaahígíí	łéʼétsoh beeniʼíhoniitaahígíí
chʼosh łitsxooí	chʼosh łitsxooí
tónteel táshchozhii	tónteel táshchozhii
jaguar	Shádiʼááhdę́ę́ʼ náshdóítsoh łikizhígíí
snipe	tábąąsdísí
aardvark	bisóodi bíchį́į́h nineezí
swordfish	łóóʼ bíchį́į́h nineezí
koala	shash bizaʼazis hólóní
bedbug	wóósitsʼílí
azeeʼ hókániitsoh daadánígíí	azeeʼ hókániitsoh daadánígíí
platypus	naalʼeełídaaʼí
lemur	mágí bitseeʼ noodǫ́zígíí
tłʼiish bikʼós niteelígíí	tłʼiish bikʼós niteelígíí
łéʼétsoh yiljaaʼí	łéʼétsoh yiljaaʼí
toohjįʼ ndiigaii	toohjįʼ ndiigaii
morning star	sǫʼtsoh
black bear	shash łizhinígíí
shash bitéélgaígíí	shash bitéélgaígíí
killer whale	łóóʼtsoh łizhin dóó łigaígíí
termite	tsinaʼayąʼii
brown bear	shashtsoh
marmot	dilchaʼ
goldfinch	tsídiiłtsooí bitʼaʼ łizhinígíí
náshdóí dilwoʼí	náshdóí dilwoʼí
black widow	naʼashjéʼii bijéí dah łichíiʼii
black widow	naʼashjéʼii diłhiłí
civet	dlǫ́ʼiitsoh łikizhígíí
toward	bichʼįʼjígo
prostitute	kiyąąh sizíní
beside	yąąh
panda	shash łizhin dóó łigaígíí
atʼaʼ yiltʼąąʼí	atʼaʼ yiltʼąąʼí
mallard	naalʼeełí bitsiiʼ dootłʼizhí
broccoli	chʼilzooł
łóóʼtsoh bitsiiʼ dikʼání	łóóʼtsoh bitsiiʼ dikʼání
tónteel tsídiitsoh	tónteel tsídiitsoh
Republican	Chį́į́h Yee Adilohiijí dah oonéłígíí
Democrat	Téliijí dah oonéłígíí
puffin	tsídii naʼałkǫ́ʼígíí
adijiłii bíchį́į́hnézí	adijiłii bíchį́į́hnézí
licorice	ałtaʼneetsʼéhiitsʼóóz
tábąąh dlǫ́ʼii	tábąąh dlǫ́ʼii
eucalyptus	akʼah sisíʼí tsin
burro	téliichoʼí
táłtłʼááh chʼoshtsoh chʼééh digháhii	táłtłʼááh chʼoshtsoh chʼééh digháhii
sea turtle	táłtłʼááh chʼééh digháhii
anglerfish	yółeehii
llama	Shádiʼááhdę́ę́ʼ tłʼízí
pangolin	wóláchííʼ yildeełí bikágí ntłʼizí
toucan	tsídii bidaatsoh naashchʼąąʼí
prisoner of war	yisnááh
tsídii yáłtiʼí yázhí	tsídii yáłtiʼí yázhí
blue whale	łóóʼtsoh dootłʼizhígíí
space shuttle	yágháhoníkáángóó ałánátʼahí
manatee	béégashiitsoh naʼałkǫ́ǫ́ʼígíí
voting day	iʼiiʼnííł bijį́
voting	iʼiiʼnííł
mágí bigaanézí	mágí bigaanézí
tsʼíʼii jáádnézí	tsʼíʼii jáádnézí
dung beetle	chąąneiłmaasii
tapir	bíchį́į́h naatsʼǫǫdí
black swan	dééshzhiin
ibis	tsídiidaashiyishí
peafowl	tsídii bitseeʼ naashchʼąąʼí
shash bighą́ąʼgi hadzíbáhí	shash bighą́ąʼgi hadzíbáhí
bustard	dééłtsoh
kiwi fruit	chʼil dishooí
naalʼeełí bidaatsʼózí	naalʼeełí bidaatsʼózí
ałtʼoʼígíí biyęęzhii yiłchíhígíí	ałtʼoʼígíí biyęęzhii yiłchíhígíí
red panda	tsinlátah shash łichíʼígíí
Southern Ocean	Shádiʼááhjí tónteel
bellflower	awééʼchíʼí
tó wónaanídę́ę́ʼ dzeeh	tó wónaanídę́ę́ʼ dzeeh
grey heron	tó wónaanídę́ę́ʼ toohjįʼ noołnahii
hazéí yiltseeʼí	hazéí yiltseeʼí
baking powder	biłʼéʼélʼíní
łóóʼ hashkéhétsoh	łóóʼ hashkéhétsoh
shash nátʼoh	shash nátʼoh
tsísʼná yiyání	tsísʼná yiyání
táłkááʼ dah yikał	táłkááʼ dah yikał
alpaca	Shádiʼááhdę́ę́ʼ tłʼízíʼilí
tééh hóyáanii bíchį́į́htsahí	tééh hóyáanii bíchį́į́htsahí
tsídii bitʼaʼ hózhóón	tsídii bitʼaʼ hózhóón
jimsonweed	chʼóhojilyééh
kohlrabi	Béésh Bichʼahii beʼakétłʼóól dijoolí
mágí binááʼtsohígíí	mágí binááʼtsohígíí
hakʼaz giníłgaii	hakʼaz giníłgaii
stick insect	wónikǫsí
hazéí naatʼáʼii	hazéí naatʼáʼii
shash naʼazísí	shash naʼazísí
gerbil	hóółtseiigi naʼatsʼǫǫsí
dlǫ́ǫ́ʼ ntsxaaígíí	dlǫ́ǫ́ʼ ntsxaaígíí
woodlouse	wónitłʼizí
ocelot	náshdóí łikizhígíí
spotted	łikizh
coot	tóidoozohii bidaaʼ łigaaígíí
tábąąstííntsoh bíchį́į́htsohígíí	tábąąstííntsoh bíchį́į́htsohígíí
Brussels sprout	atʼééké bijish yázhí
meerkat	dlǫ́tʼą́ʼí
hastóí tsiiyéélí	hastóí tsiiyéélí
elder	hastóí
hakʼaz néʼéshjaaʼ	hakʼaz néʼéshjaaʼ
clouded leopard	náshdóí kʼos bee naashchʼąąʼígíí
giní jáádnézí	giní jáádnézí
mandarin duck	Náátsʼózídę́ę́ʼ naalʼeełí
Oriental	Náátsʼózí
warthog	bisóodi bizęęs dį́įʼii
naayééʼ tsídiitsoh	naayééʼ tsídiitsoh
grouper	dáádílí
lake	beʼakʼid
cashew nut	neeshchʼííłgai
scoter	naalʼeełí łizhinígíí
snapdragon	shį́náldzidí
nautilus	łóóʼ bitsʼaʼí bigaanłání
tééh hóyáaniitsoh	tééh hóyáaniitsoh
rough-legged buzzard	atsáłgaii
náshdóí bijaałizhiní	náshdóí bijaałizhiní
dlǫ́ǫ́ʼ bitseetłʼooígíí	dlǫ́ǫ́ʼ bitseetłʼooígíí
spoonbill	dááʼadeeʼii
paddlefish	chį́į́hʼadeeʼii
tábąąstííntsoh bighaaʼ díłchʼilígíí	tábąąstííntsoh bighaaʼ díłchʼilígíí
antlion	aniłtʼániitsʼóóz
aniłtʼánii biyázhí	aniłtʼánii biyázhí
naalʼeełítsoh bitsiiʼ halzhinígíí	naalʼeełítsoh bitsiiʼ halzhinígíí
greylag goose	tó wónaanídę́ę́ʼ naalʼeełítsoh łibáhígíí
dlǫ́ʼii yázhí	dlǫ́ʼii yázhí
hyrax	shą́ą́ʼnahalghałí
ayánítsoh bighą́ą́ʼaskʼidígíí	ayánítsoh bighą́ą́ʼaskʼidígíí
bandicoot	naʼastsʼǫǫsíʼniiʼí
naʼashǫ́ʼii łóóʼ atsiniltłʼish ííłʼínígíí	naʼashǫ́ʼii łóóʼ atsiniltłʼish ííłʼínígíí
atsiniltłʼish ííłʼínígíí	atsiniltłʼish ííłʼínígíí
mandrill	mágí bíchį́į́h dootłʼizhígíí
wóláchííʼ yildeełítsoh	wóláchííʼ yildeełítsoh
according	bikʼehgo
according	bikʼeh
eater	yiyání
hoop dancer	tsibąąs yee alzhishí
hoop	tsibąąs
mouflon	tó wónaanídę́ę́ʼ dibé ałchiní
blowfly	tséʼédǫ́ʼii dootłʼizhí
peccary	Shádiʼááhdę́ę́ʼ bisóodi diʼilígíí
hairy	diʼil
long-haired	ditsʼoz
harpy eagle	Shádiʼááhdę́ę́ʼ atsátsoh
Shetland pony	łį́į́chilí
Tasmanian devil	mąʼii bizaʼazis hólóní
bok choy	Binááʼ Ádaałtsʼózí bichʼil łigaií
atsʼiis naałdzid	atsʼiis naałdzid
grow	naniseʼ
Western Apache	Dziłghą́ʼiʼ
hodíłchʼil jeeshóóʼ	hodíłchʼil jeeshóóʼ
hashtłʼish jeeshóóʼ	hashtłʼish jeeshóóʼ
táłtłʼááh chʼoshchilí	táłtłʼááh chʼoshchilí
bullfrog	chʼał nineezí
common quail	díłdánii yił aheełtʼéhii
alike	aheełtʼé
chʼosh yighání	chʼosh yighání
agouti	Shádiʼááhdę́ę́ʼ łéʼétsoh bitseeʼ ádinígíí
łóóʼ adishishí ntsxaaígíí	łóóʼ adishishí ntsxaaígíí
sapsucker	néʼézhiin
sháńdíín náyiiláhí	sháńdíín náyiiláhí
giant salamander	táłtłʼááh tsxilghááhtsoh
sugar glider	naalkʼįhí bizaʼazis hólóní
honey locust	naaztání
metalmark	kʼaalógii bitʼaʼ disxǫsgo łikizhígíí
jádí bíchį́į́htsohígíí	jádí bíchį́į́htsohígíí
Salt Lake City	Sooléí
beech marten	dlǫ́ʼii bitéél halgaií
front	bitéél
wisent	Tó Wónaanídi Bilagáana Bikéyahdę́ę́ʼ ayání
iPod	hiTSʼezh
groundhog	dlǫ́ʼátsoh
grey seal	tábąąstííntsoh łibáhígíí
tłʼiish yighání	tłʼiish yighání
manul	Chʼah diʼilii bikéyahdę́ę́ʼ mósí ałchinígíí
Mongolia	Chʼah diʼilii bikéyah
griffon vulture	tsétah jeeshóóʼ łibáhí
dlóóʼ binaalniih	dlóóʼ binaalniih
táłkááʼ tsʼin bíchį́į́hnézí	táłkááʼ tsʼin bíchį́į́hnézí
iPhone	biłńjoobałí ntsékeesígíí
American hornbeam	kʼiishzhinii
brain	atsiighąąʼ
mind	bíniʼ
mind	shíniʼ
corn silk	naadą́ą́ʼ bitsiighaʼ
mane	atsiighaʼ
silk	naakʼaʼatʼą́hí disǫsígíí
chidí naatʼaʼí ńdinibįįhígi	chidí naatʼaʼí ńdinibįįhígi
fly	naatʼaʼ
hosh yiyání	hosh yiyání
dííłdzid yiyání	dííłdzid yiyání
chicken hawk	tsįyaalzhahí
Bovidae	bideeʼtsʼinígíí
snapping turtle	tsisteeł hashkéhé
pregnant	yiltsą́
nudibranch	chʼoshłóóʼ bitsʼaʼ ádinígíí
appreciation	ahééh
this	díidí
kin	akʼéí
ntsaago áłah aleeh	ntsaago áłah aleeh
conference	áłah aleeh
mule	dzaanééz
Democrat	Dzaanééz
Republican	Chį́į́h Yee Adilohii
Democrat	Dzaanééz Nahatʼá Bee Dah Ooldah
unable	yiʼį́
plan	nahatʼá
łóóʼntsxaaí díníchʼahii	łóóʼntsxaaí díníchʼahii
tsídii bichʼahtsooígíí	tsídii bichʼahtsooígíí
chairman	alą́ąjįʼ dahsidáhígíí
foremost	alą́ąjįʼ
dah sidá	dah sidá
cocoa	gohwééh hashtłʼishí
snail	chʼosh chʼééh digháhii
Friday	Ashdlaʼajį́ Ndaʼanish
boot	ké deigo nineezí
upward	deigo
cowboy boot	ké ndootsʼosii bikétal nineezí
cowboy boot	ké bikétal nineezígíí
pickup truck	chidí bikéeʼjįʼ adeezʼáhí
big	ntsaago
hahoodzo	Náhookǫsjí Kééláanah hahoodzo
Republican	Chį́į́h Yee Adilohii Nahatʼá Bee Dah Ooldah
chimpanzee	mágíshzhin
guinea fowl	naaʼahóóhaistłʼinii
kiwi	łeesdísí
tarantula	naałʼaashii
chidí naatʼaʼí dilwoʼí	chidí naatʼaʼí dilwoʼí
swallowtail	kʼaalógii bitseeʼ hólóní
great horned owl	néʼéshjaatsoh
thylacine	náshdóí bizaʼazis hólóní
hairy	ditłʼo
mastodon	bíchį́į́h yee adilohii ditłʼoígíí
Connecticut	Kanédikiʼ hahoodzo
Delaware	Déláwee hahoodzo
Florida	Gah Bikeeʼ Taah Yíʼáhí
Georgia	Jóojah
Georgia	Jóojah hahoodzo
Hawaii	Hawáai hahoodzo
Illinois	Ílínóo hahoodzo
Indiana	Índíʼyéenah hahoodzo
Iowa	Áawah hahoodzo
Kansas	Kénsis hahoodzo
Kentucky	Kentákii hahoodzo
Louisiana	Liwíízíʼéenah Hahoodzo
Wóód Áalin hahoodzo	Wóód Áalin hahoodzo
Ohio	Oohááyoo hahoodzo
Oregon	Óogin hahoodzo
Pennsylvania	Pénsówéíniyah hahoodzo
Utah	Áshįįh biiʼtó hahoodzo
Vermont	Bimááʼ hahoodzo
Virginia	Bijíniyah Hahoodzo
Tennessee	Ténésii hahoodzo
Washington	Wááshindoon hahoodzo
West Virginia	Eʼeʼaahjí Bijíniyah Hahoodzo
Wisconsin	Wiskaansin hahoodzo
hahoodzo	Shádiʼááhjí Kééláanah hahoodzo
South Dakota	Ałnííʼjí Dzígaii
North Dakota	Náhookǫsjí Dzígaii
extend	deezʼá
New Jersey	Niijéízii hahoodzo
New Hampshire	Niihémpshoo hahoodzo
Nebraska	Nabeeskah hahoodzo
Montana	Máánteenah hahoodzo
Missouri	Dzígaii Chʼíńlį́ Hahoodzo
Mississippi	Mísísípii hahoodzo
Minnesota	Mínisóodah hahoodzo
Michigan	Míshigin hahoodzo
Massachusetts	Méésíchóoshish hahoodzo
Maryland	Méelin hahoodzo
trap rock	tsézhin
permeable	yiyiigis
star-nosed mole	naadoobooʼíinii bíchį́į́h sǫʼ nahalinígíí
flatworm	chʼoshtʼą́hí
my	si-
pray	sodilzin
immorally	bąąhági
bąąhági átʼéii	bąąhági átʼéii
