house	Haus
peregrine falcon	Spuervull
mammal	Mamendéier
concrete	Bëtong
company	Betrib
population	Bevëlkerung
evaluation	Bewäertung
proof	Bewäis
movable	beweeglech
movement	Beweegung
admiration	Bewonnerung
relation	Bezéiung
connection	Bezuch
ballpoint pen	Bic
miner	Mineur
monitor	Bildschierm
bracket	Klamer
youngster	Binnert
biological	biologesch
meal	Moolzecht
blueberry	Molbier
alga	Alg
endive	Andéif
olive	Oliv
spinach	Päinetsch
leek	Porrett
sorrel	Sauerampel
earthquake	Äerdbiewen
grenade	Granat
pomegranate	Granatapel
honey	Hunneg
olive oil	Olivenueleg
mirabelle plum	Mirabell
blackberry	Päerdsbier
blackberry	Schwaarzbier
passion fruit	Passiounsfruucht
prince	Prënz
plum	Promm
quince	Quitt
greengage	Réngglott
hop	Happ
chervil	Kierwel
spice	Gewierz
laurel	Lorber
nutmeg	Meskot
mustard	Moschter
clove	Neelcheskapp
coin	Mënz
peppermint	Peffermënz
rosemary	Rousemaräin
vanilla	Vanill
juniper	Wakelter
pod	Scheek
legume	Scheekefruucht
linseed	Fluesssom
chestnut	Käscht
chestnut tree	Käschtebam
coconut	Kokosnoss
sweet chestnut	Maroun
sunflower	Sonneblumm
buttermilk	Bottermëllech
cheat	bedréien
midnight	Hallefnuecht
midnight	Mëtternuecht
sewing machine	Bitzmaschinn
kettle	Biz
lead	bläien
lead-free	bläifräi
passenger	Passagéier
neighbour	Noper
bleary-eyed	blatzeg
blossom	Bléi
shiny	blénkeg
reed	Blietchen
bloody	bluddeg
blouse	Blus
blood pressure	Bluttdrock
very	bluttjonk
bobbin	Bobine
orchard	Bongert
start	Ufank
strap	Rimm
voice	Stëmm
ready	prett
wheat	Weess
wage	Loun
family tree	Stammbam
public	ëffentlech
odd	ongerued
even	gerued
worship	ubieden
turmoil	Oprou
exact	genee
box	Këscht
match	Fixspoun
shaving	Spoun
present	iwwerreechen
gift	Gof
wake	erwächen
kill	doutmaachen
prophet	Prophéit
guardian	Momper
rage	Roserei
then	deemools
after	nodeem
that	déijéineg
queen	Kinnigin
settle	nidderloossen
leave	loossen
appear	optrieden
preach	priedegen
Kingdom of Heaven	Himmelräich
voucher	Bong
grandmother	Boma
botanical	botanesch
narrow-minded	bornéiert
bunch	Botte
boy	Bouf
spark plug	Bougie
meatball	Boulette
soup	Bouneschlupp
tablespoon	Iessläffel
curdled	Brach
poach	braconnéieren
poacher	Braconnier
porridge	Bräi
wedding ring	Brautrank
breadth	Breet
postman	Bréifdréier
skid mark	Bremsspur
burner	Brenner
fuel	Brennes
cot	Brëtsch
stretcher	Drobier
pretzel	Bretzel
patent	Brevet
briquet	Brickett
cigarette lighter	Briquet
cigarette lighter	Bricki
brotherly	bridderlech
plank	Briet
gameboard	Spillbriet
right-angled	rechtwénkleg
piggy bank	Spuerschwäin
hoarfrost	Bromee
misty	bronkeg
messenger	Buet
bloke	Bugger
ball	Bull
bulldog	Bulldogg
mud	Bulli
bus driver	Buschauffeur
cute	butzeg
hair	Buuscht
cabin	Cabine
crate	Cageot
notebook	Calepin
lorry	Camion
capacity	Capacitéit
bonnet	Capot
father-in-law	Schwéierpapp
mother-in-law	Schwéiermamm
aunt	Tatta
son-in-law	Eedem
daughter-in-law	Schnauer
bachelor	Jonggesell
journeyman	Gesell
champion	Champion
championship	Championnat
equal opportunity	Chancëgläichheet
blackmail	Chantage
characteristic	charakteristesch
learn	bäiléieren
proverb	Sprachwuert
nothing	näischt
sleep	schlofen
eggshell	Eeërschuel
water polo	Waasserball
horse race	Päerdscourse
confess	agestoen
circle	Krees
circumference	Ëmfang
expression	Ausdrock
periodic	periodesch
unending	onendlech
face	Gesiicht
dentist	Zänndokter
sunglasses	Sonnebrëll
necktie	Krawatt
raincoat	Reemantel
straw	Stréi
straw hat	Stréihutt
underwear	Ënnerwäsch
Miss	Joffer
bra	Soutien
stocking	Strëmp
thirst	Duuscht
hunger	Honger
source	Quell
upper	iewescht
breakfast	Muereskaffi
lunch	Mëttegiessen
meal	Iessen
dinner	Owendiessen
carafe	Karaff
flour	Miel
rough	graff
tip	Drénkgeld
sweet	Kamell
wine cellar	Wäikeller
lock	Schlass
radio wave	Radiowell
radioactivity	Radioaktivitéit
writing desk	Schreifdësch
cooker	Kachmaschinn
hairbrush	Hoerbiischt
broom	Kierbiischt
nailbrush	Neelbiischt
shoe brush	Schongbiischt
lipstick	Lëppestëft
dustbin	Dreckskëscht
search engine	Sichmaschinn
front door	Hausdier
schoolmaster	Schoulmeeschter
master	Meeschter
bookshop	Bicherbuttek
cemetery	Kierfecht
prisoner	Prisonnéier
police station	Policestatioun
capital city	Haaptstad
parasol	Sonneprabbeli
rainbow	Reebou
rainbow trout	Reeboufrell
brook trout	Baachfrell
waterfall	Waasserfall
bitterling	Drecksschlapp
pilgrimage	Pilgerfaart
earthworm	Reewuerm
raindrop	Reendrëps
rainwater	Reewaasser
rain cloud	Reewollek
shad	Meefësch
shad	Els
lamprey	Nénga
lamprey	Lamprouer
roach	Routa
gudgeon	Gif
grass carp	Graskaarp
loach	Grondel
crucian carp	Karausch
tadpole	Kauzekapp
burbot	Laangfëschmudder
mackerel	Makréil
brook lamprey	Baachnénga
asp	Rapfen
rudd	Routfieder
flounder	Rubbel
spirlin	Schneiderfësch
ruffe	Steepiisch
silver carp	Sëlwerkaarp
mirror carp	Spigelkaarp
stickleback	Spuerk
sandal	Sandal
thrashing floor	Denn
barn	Scheier
chaff	Kuef
necessary	néideg
justice	Gerechtegkeet
open	opmaachen
come	eropkommen
come down	erofkommen
favor	Gonscht
test	Prouf
nickname	Spëtznumm
peak	Spëtzt
holy	helleg
saint	Hellegen
order	Uerder
thereafter	duerno
leave	verloossen
withdraw	zeréckzéien
back	zeréck
backwards	zeréck-
push back	zeréckdrécken
stay behind	zeréckbleiwen
bring back	zeréckbréngen
date	zeréckdatéieren
think back	zeréckdenken
turn back	zeréckdréien
refind	zeréckfannen
area	Gebitt
comfort	tréischten
peace	Fridden
insult	Frechheet
injustice	Onrecht
jubilate	jubiléieren
again	nees
glorify	verherrlechen
disciple	Jünger
city wall	Stadmauer
pass	vergoen
enter	erakommen
scholar	Geléierten
learned	geléiert
font	Schrëft
scribe	Schrëftgeléierten
everyone	jiddereen
reduction	Reduktioun
judge	Riichter
marriage	Bestietnes
covetous	begierlech
covetousness	Begierlechkeet
look	bekucken
away	ewech
divorce	Scheedung
sexual intercourse	Geschlechtsverkéier
oath	Eed
swear	schwieren
throne	Troun
only	eenzeg
resistance	Widderstand
opposite	Géigendeel
mile	Meil
history	Geschicht
lie	léien
loan	léinen
hate	haassen
unjust	ongerecht
due	fälleg
rent	Loyer
prime number	Primzuel
primrose	Primmel
at least	wéinstens
possible	méiglech
hesitate	zécken
hesitation	Zécken
tease	zecken
eternal	éiweg
eternity	Éiwegkeet
miracle	Wonner
clear	kloer
pile	Koup
silly	topeg
damage	Schued
fleet	Flott
might	Muecht
impure	onreng
betray	verroden
rather	villméi
lost	verluer
send	erausschécken
prefix	eraus-
on the way	ënnerwee
send	schécken
announce	verkënnegen
clean	rengegen
leprous	aussätzeg
leper	Aussätzeger
search	Sich
submission	Soumissioun
persevere	duerhalen
soul	Séil
even	esouguer
nun	Nonn
fart	Fascht
facility	Facilitéit
lame	schlamm
childish	kannereg
look at	ukucken
stalk	Hallem
velvet	Samett
yoke	Jach
certainty	Sécherheet
praise	luewen
entrust	uvertrauen
corner	Eck
humble	damiddeg
meanwhile	iwwerdeems
stretch out	ausstrecken
huge	Onmass
dizziness	weech
parable	Gläichnes
sow	séien
stony	stengeg
immediately	eenzock
immediately	gaangs
abundance	Iwwerfloss
persecution	Verfollegung
weed	Onkraut
harvest	Rekolt
compare	vergläichen
grain	Kär
good	Wuel
probably	wuel
breathe	ootmen
send	heemschécken
moan	jéimeren
invite	invitéieren
generate	generéieren
embarrassed	genéiert
transfer	iwwerweisen
shout	jäizen
cook	kachen
cost	kaschten
complain	kloen
concentrate	konzentréieren
concentration	Konzentratioun
whisper	pësperen
whisper	Gepëspers
enough	genuch
cry	kräischen
laugh	laachen
avalanche	Lawin
run	lafen
listen	lauschteren
once	eemol
twice	zweemol
not	keemol
ever	jeemools
thrice	dräimol
four	véiermol
rather	léiwer
household	Stot
murderer	Mäerder
murderess	Mäerderin
read	liesen
live	liewen
life	Liewen
lease	lounen
alive	lieweg
secret	heemlech
bad	schlëmm
close	zoumaachen
bless	seenen
satiate	siedegen
watch	Wuecht
guard dog	Wuechthond
doubt	zweiwelen
real	wierklech
then	dunn
together	mateneen
together	beieneen
consecutively	openeen
shine	liichten
terrible	freeschlech
get up	opstoen
win	gewannen
win back	erëmgewannen
sin	sëndegen
witness	Zeien
bend	Kéier
five	fënnefmol
six	sechsmol
seven	siwemol
eight	aachtmol
guilty	schëlleg
innocent	onschëlleg
forgive	verzeien
patience	Gedold
impatience	Ongedold
fault	Schold
beautiful	wonnerschéin
nine	néngmol
ten	zéngmol
vineyard	Wéngert
misery	Misär
unite	eenegen
silver	Sëlwermënz
hire	dangen
table	Tabell
extremely	hellewech
banister	Trapegelänner
administrator	Verwalter
region	Géigend
multitude	Abberzuel
stallion	Hengscht
goose bumps	Héngerhaut
download	eroflueden
load	lueden
overload	iwwerlueden
nowhere	néierens
study	Etude
study	studéieren
earn	verdéngen
Luxembourg	Grondschoul
primary school	Primärschoul
playschool	Spillschoul
by the way	iwwregens
college	Héichschoul
middle school	Mëttelschoul
private school	Privatschoul
rocket	Rakéit
schoolchild	Schoulkand
founder	Grënner
cofounder	Matgrënner
fortune	Verméigen
since	säithier
pancreas	Bauchspeicheldrüs
appreciate	wierdegen
gravity	Gravitéit
strength	Kraaft
science	Wëssenschaft
knowledge	Wëssen
scientific	wëssenschaftlech
research	Fuerschung
deliberate	wëssentlech
franc	Frang
pound	Pond
light year	Liichtjoer
unit	Eenheet
luminosity	Liichtstäerkt
gullible	liichtgleeweg
human	mënschlech
humanity	Mënschlechkeet
vertebrate	Wierbeldéier
beak	Schniewel
platypus	Schnieweldéier
register	umellen
minute	Gedenkminutt
hole	Lach
height	Héicht
luxurious	luxuriéis
humidity	Fiichtegkeet
speed	Vitesse
unstable	onbestänneg
location	Lag
situation	Situatioun
wind speed	Wandvitesse
furnace	Héichuewen
acrophobia	Héichtenangscht
sweat	Schweess
sweaty	schweesseg
breath	Otem
breathing	Ootmung
sunny	sonneg
snowball	Schnéiball
snowberry	Schnéibier
snowblind	schnéiblann
whisk	Schnéibiesem
colourblind	faarweblann
community	Gemeng
snowflake	Schnéiflack
snowball	Schnéiklatz
snowdrop	Schnéikläckelchen
snowman	Schnéimännchen
sleet	Schnéireen
plough	Plou
snow plow	Schnéiplou
snow shovel	Schnéischëpp
storm	Stuerm
snow-white	schnéiwäiss
snowdrift	Schnéiwick
rain	Reeschauer
snow	Schnéischauer
drizzle	Fisemreen
rain	reenen
sinew	Fies
hermetic	hermetesch
sundial	Sonnenauer
sunset	Sonnenënnergang
sunrise	Sonnenopgang
sunburn	Sonnebrand
sunspot	Sonnefleck
great circle	Grousskrees
shine	Schäin
sunshine	Sonneschäin
hypocritical	schäinhelleg
labium	Schimtlëps
shame	Schimt
rail	Schinn
masturbation	Masturbatioun
opinion	Meenung
natural	natierlech
unnatural	onnatierlech
narcissistic	narzisstesch
puberty	Pubertéit
by no means	kengesfalls
agile	gelenkeg
extraordinary	aussergewéinlech
tributary	Niewefloss
weapon	Waff
rosary	Rousekranz
rosebush	Rousestack
rose oil	Rousenueleg
ox	Ochs
country	Landstrooss
servant	Dénger
among	ënnereneen
allow	erlaben
wicked	nidderträchteg
wickedness	Nidderträchtegkeet
label	Opschrëft
important	wichteg
into	aneneen
canine	Eckzant
angular	eckeg
annoying	iergerlech
saliva	Spaut
spiderweb	Spaweck
wound	Wonn
wart	Waarzel
watertight	waasserdicht
pistol	Pistoul
warmth	Wäermt
points	Wäich
gout	Giicht
ganglion cyst	Huwwelbeen
flu	Gripp
measles	Riedelen
rubella	Riselen
chickenpox	Waasserpouken
pock	Pouk
dandelion	Pissblumm
dandelion	Bettseechesch
beat	schloen
people	Vollek
full moon	Vollmound
new moon	Neimound
fig	Figebam
apparent	schäinbar
shift	verréckelen
move	réckelen
juicy	saafteg
sign	Zeechen
misfortune	Ongléck
draw	zeechnen
basket	Kuerf
shabby	schappeg
tremble	zidderen
you're welcome	keng Ursaach
wonderful	wonnerbar
hopefully	hoffentlech
too much	zevill
hit	Stouss
cold	Keelt
gate	Paart
pantry	Spënnchen
laundry	Wäschkichen
ceiling	Plafong
carpenter	Zammermann
joiner	Schräiner
plasterer	Gipser
plumber	Installateur
waffle	Eisekuch
tripe	Kuddelfleck
entrails	Träip
cobbler	Schouster
knacker	Schënner
basketmaker	Kierfmécher
arrow	Fäil
mason	Steemetzer
jug	Krou
watchmaker	Auermécher
organ	Uergelbauer
shepherd	Schéifer
milkman	Mëllechmann
decorator	Dekorateur
cancoillotte	Kachkéis
salt cellar	Salzdëppchen
veal	Kalleffleesch
cutlet	Schnëtzel
pork	Schwéngefleesch
beef	Rëndfleesch
mutton	Hämmelfleesch
swimmer	Schwëmmer
snot	Schnuddel
turkey	Schnuddelhong
matter	Saach
average	Duerchschnëtt
wig	Parréck
poplar	Pëppel
weeping willow	Trauerweid
trowel	Traufel
pear tree	Birebam
cherry tree	Kiischtebam
walnut	Nëssert
jugged	Huesenziwwi
plum tree	Prommebam
saddle	Suedel
hoof	Houf
horseshoe	Houfeisen
udder	Auder
snout	Schnëss
paw	Tatz
tomcat	Kueder
coal	Kuel
crafty	luusseg
harmful	schiedlech
mistress	Meeschtesch
maid	Mod
stepfather	Stéifpapp
stepmother	Stéifmamm
stepchild	Stéifkand
godfather	Pätter
godmother	Giedel
birth	Gebuert
outdated	vereelzt
headscarf	Schnappech
handkerchief	Nuesschnappech
tailcoat	Schnëppel
collar	Kolli
lining	Fudderduch
buttonhole	Knapplach
curl	Krausel
curly	krauseleg
agrimony	Odermëllech
spine	Réckstrank
strand	Strank
stroke	Stréch
bow	Stréchel
manner	Manéier
polite	manéierlech
spare part	Ersatzstéck
note	Ziedel
Greece	Griicheland
Greek	Griich
Greek	Griichesch
Greek	griichesch
Spanish	Spuenier
Spanish	Spuenesch
Spanish	spuenesch
Austria	Éisträich
Austrian	Éisträicher
Austrian	éisträichesch
Swedish	Schweed
Swedish	schweedesch
officer	Offizéier
unfriendly	onfrëndlech
quick	huerteg
cheerful	lëschteg
sluggish	schwéierfälleg
marry	bestueden
polar bear	Polarbier
honeycomb	Ros
but	awer
brain	Hier
down	nidder
glaring	grell
Croat	Kroat
daft	dabozeg
doddering	daddereg
mute	stomm
deaf-mute	dafstomm
cyclist	Cyclist
motorcyclist	Motocyclist
motorcycle	Moto
cause	Ursaach
collide	kollidéieren
collision	Kollisioun
group	Grupp
Belgian	belsch
Belgian	Belschen
news	Nouvelle
harrow	Éig
magic	magesch
development	Entwécklung
cut off	erofschneiden
slice	Schläiss
additional	zousätzlech
livermorium	Livermorium
flerovium	Flerovium
Advent calendar	Adventskalenner
stripe	Sträif
zebra crossing	Zebrasträif
soldier	Zaldot
usual	gewéinlech
tongs	Zaang
atrocious	grujeleg
fidgety	zabbeleg
simultaneously	zäitgläich
shootout	Schéisserei
cloudy	bedeckt
barque	Naachen
namely	nämlech
charity	Nächsteléift
village	Uertschaft
organist	Uergelspiller
player	Spiller
downplay	erofspillen
overwrite	iwwerspillen
play along	matspillen
reenact	nospillen
play	ofspillen
allude	uspillen
audition	virspillen
pass	zouspillen
slice	Schmier
since	säit
violin	Gei
wire	Drot
tone	Toun
main	haaptsächlech
main	Haaptsaach
mechanic	Mecanicien
coat of arms	Wopen
origin	Origine
heraldic	heraldesch
describe	beschreiwen
description	Beschreiwung
today	haiteg
constitution	Konstitutioun
Communion	Kommioun
claw	Krall
tradition	Traditioun
stage	Etapp
triple	dräifach
thereto	dozou
dim	dréif
to	géintiwwer
progressive	fortschrëttlech
shine	schéngen
since	zanter
datum	Donnée
assault	Iwwerfall
farcical	skurril
maybe	vläicht
diligent	fläisseg
diligence	Fläiss
wrap	apaken
outside	dobaussen
pack	paken
hatred	Haass
grammatical	grammatesch
faith	Glawen
decompose	zersetzen
action	Aktioun
log in	aloggen
military	militäresch
swing	schaukelen
peak	Kopp
shear	schieren
pickpocket	Täschendéif
pocket	Täsch
own	eegen
trumpet	Trompett
trombone	Trombone
trombone	Posaun
painter	Moler
province	Provënz
grimace	Grimass
cast iron	Goss
objection	Objektioun
objection	Awand
climb	klammen
rack	Gestell
breakdown	Pann
pay	Pai
smoke	raachen
smoker	Fëmmert
gallows	Gaalgen
handful	Gaaschel
thereby	dobäi
gutter	Kulang
brick	Zill
roof tile	Daachzill
magnifying glass	Lupp
dull	stompeg
already	schonn
undertake	ënnerhuelen
overwrite	iwwerschreiwen
enrol	aschreiwen
advertise	ausschreiwen
back to front	hannevir
paraphrase	ëmschreiwen
speech	Ried
sign	ënnerschreiwen
co-write	matschreiwen
copy	ofschreiwen
note	opschreiwen
write	uschreiwen
prescribe	verschreiwen
dictate	virschreiwen
write	zeréckschreiwen
saw	seeën
deliver	liwweren
delivery	Liwwerung
judge	aschätzen
auxiliary verb	Hëllefsverb
acid	Saier
adult	maans
dumb	domm
stupidity	Dommheet
excursion	Ausfluch
down	ënnen
report	zoudroen
ethical	ethesch
ethnic	ethnesch
pass down	iwwerliwweren
eyewitness	Aenzeien
choose	wielen
choice	Wiel
nauseous	iwwel
bad	Iwwel
glue	Koll
scab	Roff
draught	Zoch
cowpat	Flapp
hand	Grapp
flap	Klapp
folder	Mapp
tablecloth	Napp
grater	Rapp
moment	Strapp
runny	Schnapp
plait	Zapp
crop	Krapp
basket	Hatt
bowl	Jatt
cut	Schnatt
step	Tratt
linden	Lann
range	Gamm
chock	Cale
hell	Häll
trunk	Mall
hall	Sall
class	Klass
cat	Muuss
skyscraper	Wollekekrazert
unicorn	Eenhar
copyright	Auteursrecht
grumpiness	Grand
pledge	Pand
mesh	Masch
plural	Pluriel
pattern	Stuel
sole	Suel
food	Kascht
dirt	Knascht
fattening	Mascht
lance	Lanz
stomach	Panz
holiday	Vakanz
stew	Ziwwi
building site	Schantjen
spoke	Speech
stunned	paff
graft	Praff
poverty	Aarmut
pathetic	aarmséileg
nice	aartlech
include	aschléissen
convoke	aberuffen
convocation	Aberuffung
crack	Krack
sheet	Plack
twist	Dréi
effort	Méi
like	ewéi
ball	Klatz
sleep	Blatz
F	Datz
cloth	Fatz
bald	Glatz
dollop	Schnatz
pointed	spatz
bitch	Zatz
retirement home	Altersheem
retirement home	Seniorenheem
scratch	krazen
adhesive tape	Pechband
consecration	Wei
paste	Pap
peg	Zap
plate	Plat
pork rind	Schwaart
compartment	Case
phase	Phas
cup	Taass
assume	unhuelen
flake	Flack
shack	Brak
sack	Sak
product placement	Produktplacéierung
swim	schwammen
meaning	Bedeitung
claim	behaapten
nice	léif
sloe	Schléif
crackling	Gréif
poison	Gëft
boast	bretzen
weave	wiewen
flank	Flank
hallway	Gank
plague	ploen
dare	woen
undress	ausdoen
change	ëmdoen
pair	Koppel
hëlzen	Klam
bridle	Zam
cleric	Paf
hay	Raf
rod	Staf
flat	flaach
making	Maach
pocket	Gefaach
taste	Goût
hit-and-run	Chauffersflucht
hit-and-run	Fuererflucht
many	villmols
foundation	Fundament
decay	Verfall
coast	Küst
layer	Lo
plague	Plo
desert	Wüst
hard	schro
grammar school	Lycéesschüler
grammar school	Lycée
diminutive	-elchen
understanding	Versteesdemech
ox	Uess
repair	Fléck
knitting	Stréck
knit	strécken
spot	Eess
cash register	Keess
thesis	Thees
head	Heet
sorrow	Leed
horsefly	Beel
skittle	Keel
loam	Leem
rake	Reech
urine	Seech
soaking	Weech
pitchfork	Greef
hoop	Reef
bold	kéng
sprout	Kéng
blade	Kléng
pain	Péng
bar	Staang
shot	Schoss
enjoyment	Genoss
two	zwéin
customer	Konn
round	Ronn
bulb	Knoll
role	Roll
unemployment	Chômage
youth	Jugendchômage
member	Member
passage	Schloff
drinking	Soff
palate	Gumm
billhook	Kromm
drum	Tromm
sum	Zomm
bale	Bott
grotto	Grott
extractor hood	Hott
place	Plaz
half	hallef
lot	Hällewull
wisp	Wësch
Christian	Chrëscht
between	tëscht
reed	Lëtsch
bread roll	Mëtsch
slide	Glëtsch
step	Schrëtt
step	Trëtt
glaze	Glëtz
trifle	Grëtz
well	Pëtz
point	Spëtz
syringe	Sprëtz
braid	Trëtz
slide	Rëtsch
stoop	bécken
click	klécken
nod	nécken
wallet	Portmonni
ball	Plott
home	Heemecht
police officer	Flic
Luxembourg	Chamber
count	Grof
slop	Frooss
measure	Mooss
ferry	Fuer
at all	guer
hawk	Huer
moor	Muer
where	wuer
merchandise	Wuer
trammel	Héil
panel	Panéil
torch	Fakel
threshold	Schwell
chapel	Kapell
plot	Parzell
chip	Fritt
rein	Gitt
limb	Glidd
rivet	Nitt
dog	Ridd
sled	Schlitt
custom	Sitt
site	Site
character	Gemitt
drill	Drill
furrow	Rill
feeling	Gefill
single	eenzel
double	duebel
lose	ënnerleien
perform	opféieren
emphasis	Betounung
open	oppen
syllable	Silb
pronounce	ausschwätzen
closed	zouen
actually	nawell
rub	reiwen
starch	steiwen
joint	Fou
sit	sëtzen
use	asetzen
assert	duerchsetzen
implement	ëmsetzen
reduce	erofsetzen
downwards	erof
raise	eropsetzen
translate	iwwersetzen
set down	ofsetzen
put on	opsetzen
replace	zerécksetzen
replace	hanneschtsetzen
block	zousetzen
so	esou
next to	uneneen
each other	eneen
between	dertëschent
create	schafen
abolish	ofschafen
cul-de-sac	Sakgaass
because of	wéint
fling	schleideren
catapult	Schleider
robber	Brigang
reputation	Ruff
bloom	bléien
bleed	bludden
fry	broden
dry	dréchnen
snatch	räissen
disgust	eekelen
pity	erbaarmen
pity	Erbaarmen
bathe	bueden
tub	Bidden
match	Fixfeier
feel	spieren
Easter	Ouschteren
Easter Sunday	Ouschtersonndeg
Easter Day	Ouschterdag
Easter Monday	Ouschterméindeg
Easter egg	Ouschteree
Easter Bunny	Ouschterhues
mental	geeschteg
spiritual	geeschtlech
clergyman	Geeschtlechen
spirituality	Geeschtlechkeet
Geescht	Hellege Geescht
name	bezeechnen
name	Bezeechnung
represent	vertrieden
at the same time	zugläich
reside	residéieren
next to	niewent
Roman	réimesch
cathedral	Kathedral
cathedral	Doum
arch-	äerz-
archbishop	Äerzbëschof
Catholic	kathoulesch
view	Opfaassung
understand	opfaassen
different	verschidden
Christian	chrëschtlech
mechanical	maschinell
succeed	nofollegen
conversation	Gespréich
talkative	gespréicheg
probably	wahrscheinlech
speak	spriechen
discuss	bespriechen
correspond	entspriechen
agree	ofspriechen
speaker	Spriecher
promise	Verspriechung
award	zouspriechen
canonise	hellegspriechen
address	uspriechen
address	Usprooch
saying	Sproch
this	dësen
claim	Usproch
relation	Relatioun
despair	verzweiwelen
desperation	Verzweiwelung
gravestone	Grafsteen
epitaph	Grafschrëft
silver	sëlwer
self	selwer
lawful	rechtlech
honour	Éier
by-	bäi-
interpret	ausleeën
prove	beleeën
put in	draleeën
put	dropleeën
expound	duerleeën
speaker	Riedner
tilt	ëmleeën
about	ëm-
around	ëm
put	eraleeën
them	hinnen
bus station	Busgare
Macedonian	Mazedonier
stem	Stam
seal	Sigel
hem	seemen
shoot	schéissen
serve	verbéissen
walk	héissen
shut	schléissen
exclude	ausschléissen
dispute	Mëssel
ink	Tënt
finish	ofschléissen
unlock	opschléissen
connect	uschléissen
seal	verschléissen
cattle	Véi
clover	Kléi
oblique	schréi
mow	méien
sew	néien
apprenticeship	Léier
racquet	Schléier
steel	Stol
puddle	Pull
roll	Rull
mess	Wull
crucible	Digel
currycomb	Strigel
trough	Dränk
bore	bueren
save	spueren
bar	spären
godmother	Gued
cake	Flued
maggot	Mued
spade	Spuet
calf	Wued
swell	quëllen
swell up	schwëllen
fall	trëllen
bottom	Fong
stanchion	Rong
momentum	Schwong
chip	Stong
diagonal	queesch
ulcer	Schwier
weir	Wier
meals	Zier
Unioun	Europäesch Unioun
Turkey	Tierkei
Alphabet	Internationaalt Phonetescht Alphabet
birch	Bierk
ridge	Fiischt
anterior	viischt
view	Siicht
survive	iwwerliewen
eat	friessen
measure	moossen
shake	biewen
stick	kliewen
float	schwiewen
strive	striewen
feel	frieden
knead	knieden
step	trieden
chest	Schräin
mature	räif
frost	Räif
direct	riichten
sword	Schwäert
vote	stëmmen
sigh	këmmen
double over	krëmmen
pluck	plëmmen
flow	rënnen
skin	schënnen
squirm	wënnen
death knell	Péis
tie	knëppen
shovel	schëppen
pillar	Sail
accident	Accident
pattern	Middel
work	Wierk
fashion	Moud
region	Regioun
version	Versioun
juice	Jus
further	weider
pornographic	pornografesch
doubtful	zweiwelhaft
woodlouse	Schwéngchen
glad	freeën
spread	spreeden
buy	steeën
auction	versteeën
auction	Stee
dress	kleeden
lead	leeden
pasture	weeden
lark	Léierchen
polite	héiflech
politeness	Héiflechkeet
knuckle	Héiss
coop	Juck
recognize	unerkennen
tick	Zeck
poppy	Feierblumm
frame	Rumm
scratch	Strumm
lawn	Wues
place	Uert
pluck	plécken
embroider	stécken
breed	ziichten
breeding	Zuucht
crust	Kuuscht
scratch	Krazert
gape	afen
gather	rafen
vomit	katzen
pour	schëdden
vine	Rief
strut	Strief
crack	kraachen
taste	schmaachen
watch	waachen
confirm	confirméieren
bedim	dréiwen
strike	sträichen
fall asleep	entschlofen
please	erfreeën
mark	Nott
vote	Vott
innkeeper	Wiert
Christmas tree	Chrëschtbeemchen
earnest	Eescht
last	Leescht
pus	Eeter
earnest	eescht
nail	neelen
hurry	fläissen
bite	bäissen
shit	schäissen
split	schläissen
throw	schmäissen
split	spläissen
whitewash	wäissen
ointment	Sallef
falcon	Fallek
spark	Fonk
jump	Sprong
stem	Stronk
fence	Zonk
oats	Huewer
rung	Sprass
will	Wëllen
ore	Äerz
sometimes	heiansdo
trait	Dugend
lottery ticket	Lous
duty	Flicht
shit	Schäiss
splendour	Pruecht
skirting board	Läischt
apron	Schiertech
ant	Ameis
clothing	Truecht
desire	Loscht
shield	Schëld
danger	Gefor
sheaf	Gaarf
cramp	Kramp
marrow	Muerch
hub	Nuef
please	gefalen
look after	këmmeren
bang	klaken
solve	léisen
notice	mierken
make use	notzen
usefulness	Notzen
plan	plangen
move	plënneren
present	presentéieren
rattle	rabbelen
stir	réieren
call out	ruffen
separate	scheeden
blade	Schneid
seek	sichen
walk	spadséieren
die	stierwen
push	stoussen
argue	streiden
mourn	traueren
walk	trëppelen
disadvantage	Nodeel
advantage	Virdeel
blow	blosen
facade	Fassad
spend	verbréngen
forget	vergiessen
behaviour	Verhalen
consolation	Trouscht
sell	verkafen
fight	Sträit
fall in love	verléiwen
love	léiwen
rent	verlounen
dwelling	Wunneng
accuse	zeien
wash	wäschen
over-	iwwer-
wish	wënschen
bare	blouss
change	wiesselen
altar boy	Massendénger
surprise	wonneren
goal	Zil
aim	zilen
grow	zillen
greeting	Grouss
hand	Pout
haze	Donst
fern	Far
thread	Fuedem
fluff	Flom
countryside	Flouer
pipe	Rouer
twine	Schnouer
yarn	Gar
shepherd	Hiert
100	Honnert
entrance	Agang
paring knife	Knäip
cripple	Krëppel
praise	Luef
lynx	Luuss
mildew	Mielda
spleen	Mëlz
courage	Mutt
goods	Gutt
space	Sputt
purée	Mous
envy	Näid
slide	Schläich
rudder	Rudder
juice	Saaft
lap	Schouss
slime	Schläim
spelt	Spelz
stump	Stomp
sponge	Schwamp
swarm	Schwaarm
brother-in-law	Schwoer
thread	Zwir
fruit	Uebst
medal	Uerden
bet	Wett
angle	Wénkel
die	Wierfel
service	Déngscht
thing	Déngen
only	eréischt
because of	wéinst
resurrect	operstoen
demand	Fuerderung
mean	gemeng
