approbatur	A
optical power	taittovoimakkuus
electromotive force	sähkömotorinen voima
heat flow	lämpövirta
heat flux	lämpövuo
transconductance	transkonduktanssi
susceptance	suskeptanssi
mutual inductance	keskinäisinduktanssi
equivalent dose	ekvivalenttiannos
specific volume	ominaistilavuus
irradiance	säteilytysvoimakkuus
second moment of area	jäyhyysmomentti
heat of fusion	sulamislämpö
heat of vaporization	höyrystymislämpö
inchoative	-tua
shooting	makuuammunta
whistle	viheltäminen
Venezuelan	venezuelalainen
Italianization	italialaistaminen
corner	loukko
food seller	ruokakauppias
grocer	elintarvikekauppias
great-great-grandchild	lapsenlapsenlapsenlapsi
great-great-grandfather	isoisoisoisä
iso	isoisoisoäiti
glover	hanskantekijä
straightly	suorasti
Northern Yukaghir	pohjoisjukagiiri
Southern Yukaghir	eteläjukagiiri
Yeniseian	jeniseiläinen
Itelmen	itelmeeni
Koryak	korjakki
Even	eveeni
Yucatec Maya	jukatek
Yeniseian	jeniseiläiskieli
Cantonese	kantonilainen
Cantonese	kantoninkielinen
style mistake	tyylivirhe
Portuguese	portugalinkielinen
imperfektiivinen aspekti	imperfektiivinen aspekti
perfektiivinen aspekti	perfektiivinen aspekti
molecular	molekulaarinen
Modern Greek	nykykreikka
nursery	taimitarha
nursery	taimisto
bravery	uljaus
majesty	majesteettisuus
worsening	huononeminen
goatherd	vuohipaimen
coppersmith	kupariseppä
maltose	mallassokeri
trehalose	trehaloosi
trehalose	sienisokeri
stachyose	stakyoosi
Fibonacci number	Fibonaccin luku
Fibonacci sequence	Fibonaccin lukujono
chestnut	kastanjanruskea
plumber's snake	viemärirassi
plumber's snake	viemärinavausjousi
head chef	keittiömestari
coppersmith	kilkkuseppä
golden spiral	kultainen spiraali
Traditional Chinese	perinteinen kiina
Simplified Chinese	yksinkertaistettu kiina
International Phonetic Alphabet	kansainvälinen foneettinen aakkosto
nonessential amino acid	ei-välttämätön aminohappo
singleplayer game	yksinpeli
multiplayer game	moninpeli
out of control	lähteä lapasesta
out of hand	karata käsistä
Võro	võru
repeatability	toistettavuus
flint	tulukset
firestriker	tulusrauta
firesteel	karkku
feather stick	kiehinen
ignimbrite	ignimbriitti
granodiorite	granodioriitti
argillite	argilliitti
arkose	arkoosihiekkakivi
siltstone	silttikivi
mudstone	mutakivi
mica gneiss	kiillegneissi
veined gneiss	suonigneissi
street sweeper	kadunlakaisija
street cleaner	katusiivooja
ragpicker	lumpunkerääjä
brewer	oluenpanija
codpiece	kalukukkaro
inoculate	silmuttaa
copolymer	kopolymeeri
branched polymer	haarapolymeeri
scion	oksas
graft polymer	oksaspolymeeri
Upper Egypt	Ylä-Egypti
Lower Egypt	Ala-Egypti
panacea	yleislääke
prokaryotic	prokaryoottinen
standard drink	alkoholiannos
raffinose	raffinoosi
Anglo-Saxon	anglosaksilainen
trail mix	evässekoitus
net neutrality	nettineutraliteetti
Old Saxon	muinaisalasaksa
Old Saxon	muinaissaksi
zeta function	zeeta-funktio
isoglucose	isoglukoosi
birthday paradox	syntymäpäiväparadoksi
invert sugar	inverttisokeri
passive	-Vntua
translative	-stua
translative	-htua
frequentative	-htia
quinoline yellow	kinoliinikeltainen
cochineal	kokkiniili
azorubine	atsorubiini
erythrosine	erytrosiini
caramel coloring	sokerikulööri
carotenoid	karotenoidi
lycopene	lykopeeni
luteolin	luteoliini
hue	kulööri
pilot whale	pallopäävalas
snow globe	lumisadepallo
lipreader	huuliltalukija
potassium benzoate	kaliumbentsoaatti
potassium sorbate	kaliumsorbaatti
calcium sorbate	kalsiumsorbaatti
calcium benzoate	kalsiumbentsoaatti
sodium sulfite	natriumsulfiitti
sodium bisulfite	natriumvetysulfiitti
orthophenylphenol	ortofenyylifenoli
natamycin	natamysiini
hexamine	heksametyleenitetramiini
carmoisine	karmosiini
lipreading	huuliltalukeminen
beetroot red	punajuuriväri
fast yellow AB	nopea keltainen AB
yellow 2G	keltainen 2G
Orange GGN	oranssi GGN
nudist	nudistinen
naturistic	naturistinen
sou'wester	sydvesti
octyl gallate	oktyyligallaatti
erythorbic acid	erytorbiinihappo
sodium erythorbate	natriumerytorbaatti
butylated hydroxyanisole	butyylihydroksianisoli
butylated hydroxytoluene	butyylihydroksitolueeni
potassium lactate	kaliumlaktaatti
potassium citrate	kaliumsitraatti
calcium citrate	kalsiumsitraatti
sodium tartrate	natriumtartraatti
sodium ascorbate	natriumaskorbaatti
calcium ascorbate	kalsiumaskorbaatti
potassium tartrate	kaliumtartraatti
potassium sodium tartrate	kaliumnatriumtartraatti
sodium phosphate	natriumfosfaatti
potassium phosphate	kaliumfosfaatti
calcium phosphate	kalsiumfosfaatti
magnesium phosphate	magnesiumfosfaatti
sodium malate	natriummalaatti
potassium malate	kaliummalaatti
calcium malate	kalsiummalaatti
metatartaric acid	metaviinihappo
calcium tartrate	kalsiumtartraatti
sodium adipate	natriumadipaatti
potassium adipate	kaliumadipaatti
triammonium citrate	triammoniumsitraatti
calcium disodium EDTA	kalsiumdinatriumetyleenidiamiinitetra-asetaatti
B	B2-vitamiini
B	B12-vitamiini
cobalamin	kobalamiini
B	B7-vitamiini
ergocalciferol	ergokalsiferoli
menaquinone	menakinoni
lady fern	hiirenporras
lady fern	soreahiirenporras
sodium alginate	natriumalginaatti
potassium alginate	kaliumalginaatti
ammonium alginate	ammoniumalginaatti
calcium alginate	kalsiumalginaatti
locust bean gum	johanneksenleipäpuujauhe
guar gum	guarkumi
tragacanth	tragantti
karaya gum	karaijakumi
tara gum	tarakumi
gellan gum	gellaanikumi
ammonium phosphatide	ammoniumfosfatidi
ethylcellulose	etyyliselluloosa
hydroxypropyl cellulose	hydroksipropyyliselluloosa
hydroxypropyl methylcellulose	hydroksipropyylimetyyliselluloosa
ethyl methyl cellulose	etyylimetyyliselluloosa
carboxymethylcellulose	karboksyylimetyyliselluloosa
sucroglyceride	sokeriglyseridi
flour treatment agent	jauhonparanne
stabilizer	stabilointiaine
emulsifier	emulgointiaine
gelling agent	hyytelöimisaine
texturing agent	rakenneaine
ammonium carbonate	ammoniumkarbonaatti
potassium sulfate	kaliumsulfaatti
potassium aluminium sulfate	kaliumalumiinisulfaatti
ammonium hydroxide	ammoniumhydroksidi
magnesium hydroxide	magnesiumhydroksidi
calcium silicate	kalsiumsilikaatti
magnesium silicate	magnesiumsilikaatti
aluminium silicate	alumiinisilikaatti
gluconic acid	glukonihappo
calcium gluconate	kalsiumglukonaatti
endure	siitää
duck	suorsa
habit	ruukata
strait	rauma
islander	saarelainen
pant	puuskuttaa
coin	myntti
inosinic acid	inosiinihappo
carnauba wax	karnaubavaha
sucralose	sukraloosi
thaumatin	taumatiini
lactitol	laktitoli
erythritol	erytritoli
quillaia	kvillauute
triacetin	triasetiini
polydextrose	polydekstroosi
invertase	invertaasi
straight	oiko-
lava lamp	laavalamppu
waterbed	vesisänky
pie chart	ympyräkaavio
bar chart	pylväskaavio
ultramontane	ultramontanistinen
black-crowned night heron	yöhaikara
isomalt	isomaltitoli
effervescent tablet	poretabletti
environmental	ympäristö-
past passive participle	-ttu
stove	kiukas
stove	kiukaa
loan	laihna
limb	ravio
black grouse	teiri
black grouse	terri
black grouse	teyri
black grouse	töyri
plump	pullakka
chubby	pulleva
plump cheek	pulloposki
Wanderwort	kulkusana
roller blind	rullaverho
cover	päiväpeitto
error message	virheviesti
synth	syntikka
tenor saxophone	tenorisaksofoni
Sumatran rhinoceros	sumatransarvikuono
greater yellow-headed vulture	amazoniankondori
California condor	kaliforniankondori
turkey vulture	kalkkunakondori
lesser yellow-headed vulture	pikkukondori
homophone	homofoni
aphonic	puhekyvytön
twenty-second	kahdeskymmenestoinen
twenty-third	kahdeskymmeneskolmas
twenty-fourth	kahdeskymmenesneljäs
twenty-fifth	kahdeskymmenesviides
twenty-sixth	kahdeskymmeneskuudes
twenty-seventh	kahdeskymmenesseitsemäs
twenty-eighth	kahdeskymmeneskahdeksas
twenty-ninth	kahdeskymmenesyhdeksäs
thirty-first	kolmaskymmenesensimmäinen
thirty-second	kolmaskymmenestoinen
thirty-third	kolmaskymmeneskolmas
thirty-fourth	kolmaskymmenesneljäs
thirty-fifth	kolmaskymmenesviides
thirty-sixth	kolmaskymmeneskuudes
thirty-seventh	kolmaskymmenesseitsemäs
thirty-eighth	kolmaskymmeneskahdeksas
thirty-ninth	kolmaskymmenesyhdeksäs
forty-first	neljäskymmenesensimmäinen
forty-second	neljäskymmenestoinen
forty-third	neljäskymmeneskolmas
forty-fourth	neljäskymmenesneljäs
forty-fifth	neljäskymmenesviides
forty-sixth	neljäskymmeneskuudes
forty-seventh	neljäskymmenesseitsemäs
forty-eighth	neljäskymmeneskahdeksas
forty-ninth	neljäskymmenesyhdeksäs
cut up	raajoa
claustrophobia	ahtaanpaikankammo
superessive	superessiivi
sublative	sublatiivi
separative case	separatiivi
temporal case	temporaali
multiplicative	multiplikatiivi
temporaalinen distributiivi	temporaalinen distributiivi
situative	situatiivi
kausaali	kausaali-finaali
essiivi	essiivi-modaali
essiivi	essiivi-formaali
sap	mehi
bird strike	lintutörmäys
avocado	avokadopuu
zeptosecond	zeptosekunti
wherever	missä vain
fifty-first	viideskymmenesensimmäinen
fifty-second	viideskymmenestoinen
fifty-third	viideskymmeneskolmas
fifty-fourth	viideskymmenesneljäs
fifty-fifth	viideskymmenesviides
fifty-sixth	viideskymmeneskuudes
fifty-seventh	viideskymmenesseitsemäs
fifty-eighth	viideskymmeneskahdeksas
fifty-ninth	viideskymmenesyhdeksäs
sixty-first	kuudeskymmenesensimmäinen
sixty-second	kuudeskymmenestoinen
sixty-third	kuudeskymmeneskolmas
sixty-fourth	kuudeskymmenesneljäs
sixty-fifth	kuudeskymmenesviides
sixty-sixth	kuudeskymmeneskuudes
sixty-seventh	kuudeskymmenesseitsemäs
sixty-eighth	kuudeskymmeneskahdeksas
sixty-ninth	kuudeskymmenesyhdeksäs
seventy-first	seitsemäskymmenesensimmäinen
seventy-second	seitsemäskymmenestoinen
seventy-third	seitsemäskymmeneskolmas
seventy-fourth	seitsemäskymmenesneljäs
seventy-fifth	seitsemäskymmenesviides
seventy-sixth	seitsemäskymmeneskuudes
seventy-seventh	seitsemäskymmenesseitsemäs
seventy-eighth	seitsemäskymmeneskahdeksas
seventy-ninth	seitsemäskymmenesyhdeksäs
eighty-first	kahdeksaskymmenesensimmäinen
eighty-second	kahdeksaskymmenestoinen
eighty-third	kahdeksaskymmeneskolmas
eighty-fourth	kahdeksaskymmenesneljäs
eighty-fifth	kahdeksaskymmenesviides
eighty-sixth	kahdeksaskymmeneskuudes
eighty-seventh	kahdeksaskymmenesseitsemäs
eighty-eighth	kahdeksaskymmeneskahdeksas
eighty-ninth	kahdeksaskymmenesyhdeksäs
ninety-first	yhdeksäskymmenesensimmäinen
ninety-second	yhdeksäskymmenestoinen
ninety-third	yhdeksäskymmeneskolmas
ninety-fourth	yhdeksäskymmenesneljäs
ninety-fifth	yhdeksäskymmenesviides
ninety-sixth	yhdeksäskymmeneskuudes
ninety-seventh	yhdeksäskymmenesseitsemäs
ninety-eighth	yhdeksäskymmeneskahdeksas
ninety-ninth	yhdeksäskymmenesyhdeksäs
-ane	-aani
-ase	-aasi
-ation	-aatio
momentane	-aista
-diene	-dieeni
-ene	-eeni
-phyte	-fyytti
-ide	-idi
about	-isen
Ackermann function	Ackermannin funktio
Tower of Babel	Baabelin torni
sword of Damocles	Damokleen miekka
South Georgia and the South Sandwich Islands	Etelä-Georgia ja Eteläiset Sandwichsaaret
Strait of Gibraltar	Gibraltarinsalmi
case	kirjainkoko
spelling alphabet	aakkosnimi
turbulent	aallokkoinen
stern wave	peräaallokko
beam sea	sivuaallokko
surf	tyrskyaallokko
following sea	myötäaallokko
head sea	vasta-aallokko
inner side	sisäsivu
outer side	ulkosivu
backside	takasivu
light sensor	valoanturi
photocopier	valokopiokone
phototypesetting	valoladonta
bright spot	valopilkku
sewage	likavesi
water boy	vesipoika
aqueous	vesiperäinen
wash	vesipesu
water transport	vesiliikenne
aqueous solution	vesiliuos
flood meadow	vataja
land	täyttömaa
bad weather	koiranilma
lactic acid fermentation	maitohappokäyminen
fungus	maitohome
milk room	maitohuone
milk train	maitojuna
unripe grain	maitojyvä
calcium lactate	maitokalkki
gland cistern	maitokammio
milk beverage	maitojuoma
milk jug	maitokannu
milk soup	maitokeitto
milk quota	maitokiintiö
custard	maitokiisseli
milkstone	maitokivi
milk fever	maitokuume
anemia	maitoanemia
milk container	maitoastia
car	maitoauto
milk platform	maitolaituri
litre	maitolitra
pyramid scheme	pyramidihuijaus
milk fever	poikimahalvaus
lesser spotted woodpecker	pikkutikka
drop	maitopisara
suckling pig	maitoporsas
profit	maitotili
dash	maitotilkka
agreement	maitotinki
milk churn	maitotonkka
milk yield	maitotuotos
milk product	maitovalmiste
milk pap	maitovelli
blueberry milk	mustikkamaito
milk	pullomaito
milk	ykkösmaito
milk carton	maitopurkki
mammary alveolus	maitorakkula
mastitis	maitorauhastulehdus
milk diet	maitoravinto
food	maitoruoka
feeding	maitoruokinta
fungus	maitosieni
skimmed milk	sintu
lactose intolerance	maitosokerihäiriö
dairy industry	maitotalous
dairy product	maitotaloustuote
dairy industry	maitoteollisuus
milk duct	maitotiehyt
condensed milk	maitotiiviste
detestable	pullopersepaviaani
disposable bottle	kertakäyttöpullo
plastic bottle	muovipullo
sample bottle	näytepullo
bottle cap	pullonkorkki
lead	lyijyinen
lead shot	lyijyhauli
heavy	lyijynraskas
plumb	lyijypaino
blood sample	verinäyte
blodpalt	veripalttu
blood money	veriraha
blood bond	veriside
tool	hakkuurauta
brace	hammasrauta
pig iron	harkkorauta
triangle	pimpparauta
grater	raastinrauta
grater	riivinrauta
caulking iron	tilkerauta
caulking iron	riverauta
frizzen	tulirauta
concrete reinforce	rautabetoni
iron shovel	rautalapio
armor	rautapaita
iron ring	rautarengas
all right	kuinkaan
language care	kielenhuolto
blabbermouth	kielikello
unintentionally ambiguous wording	kielikukkanen
male linguist	kielimies
language skill	kielitaitoinen
language institute	kielitoimisto
paper ball	paperitollo
printing paper	painopaperi
insulation paper	paperieriste
papermaking felt	paperihuopa
paperback	paperikantinen
paper size	paperikoko
paper fiber	paperikuitu
type	paperilaatu
paper glue	paperiliima
mark	paperimarkka
paper processing	paperinjalostus
paper stack	paperipino
ambiguous	käännöskukkanen
hydrogen gas	vetykaasu
hydrogen balloon	vetypallo
meat pie	vetypiirakka
hydrogen bottle	vetypullo
hydrogen balance diagram	vetytase
ammoniacal nitrogen	ammoniumtyppi
nitric nitrogen	nitraattityppi
nitrogen-fixing bacterium	typensitojabakteeri
nitrogen fertiliser	typpilannoite
oxyacid	happihappo
oxygen therapy	happihoito
walk outside	happihyppy
oxygen	happiköyhä
oxygen equipment	happilaite
anaerobic	happipakoinen
aerobic	happihakuinen
oxygen bottle	happipullo
oxygen	runsashappinen
oxygen	happirikas
reactive oxygen species	happiradikaali
oxygen tent	happiteltta
hypoxia	happivajaus
oxygenated water	happivesi
poultry	kanakarja
gun dog	kanakoira
fowl cholera	kanakolera
henhouse	kanakoppi
poultry farming	kananhoito
wintercress	kanankaali
roast chicken	kananpaisti
chick	kananpoikanen
chicken head	kananpää
chicken feed	kananruoka
chicken breed	kanarotu
avian influenza	kanarutto
chicken run	kanatarha
avian tuberculosis	kanatuberkuloosi
chicken louse	kanatäi
chicken thief	kanavaras
fish farm	kalankasvattamo
seafood restaurant	kalaravintola
fish story	kalavale
fishing ground	kalavesi
downforce	pitovoima
angular frequency	kulmataajuus
silverware	hopeaesine
silvery hair	hopeahapset
silver ingot	hopeaharkko
silver-haired	hopeahiuksinen
silver fitting	hopeahela
argentite	hopeahohde
team	hopeajoukkue
silver chain	hopeaketju
silver jewellery	hopeakoru
silver shell	hopeakuorinen
silver wire	hopealanka
silver plate	hopealautanen
silver alloy	hopealejeerinki
silver cup	hopeamalja
mark	hopeamarkka
silvery	hopeanhohtoinen
silver polish	hopeankiillotusaine
silver	hopeanvalkoinen
silver medal	hopeaottelu
silver paper	hopeapaperi
silverberry	hopeapensas
silverware	perintöhopeat
cutlery	pöytähopeat
argentous	hopeapitoinen
silver trophy	hopeapokaali
silver coin	hopearaha
silver alloy	hopeaseos
silver buckle	hopeasolki
cambric tea	hopeatee
silverware	hopeateos
silver steel	hopeateräs
silverware	hopeatyö
butterfly	hopeatäpläperhonen
product	hopeavalmiste
santolina	hopeayrtti
plastic	plastiikki
plastic toy	muovilelu
heating pad	lämpötyyny
down pillow	untuvatyyny
brother-in-law	suoveri
mead	hunajaviini
cardinal mark	kardinaalimerkki
lateral mark	lateraalimerkki
lateral mark	lateraaliviitta
cardinal mark	kardinaaliviitta
oxpecker	loisnokkeli
dessert wine	jälkiruokaviini
mild wine	karahviviini
sacramental wine	kirkkoviini
homemade wine	kotiviini
medicinal wine	lääkeviini
Malaga	malagaviini
Mosel	moselviini
Rhenish wine	reininviini
muscatel	muskatelliviini
muscatel	muskattiviini
wine	mustaherukkaviini
palm wine	palmuviini
table wine	pöytäviini
wine	ruokaviini
grape wine	rypäleviini
wine	tilaviini
vintage wine	vuosikertaviini
god of wine	viininjumala
vintage	viininkorjuu
wine connoisseur	viinintuntija
winemaking	viininvalmistus
wine exporter	viininviejä
wine region	viinialue
wine yeast	viinihiiva
decanter	viinikarahvi
wine culture	viinikulttuuri
type of wine	viinilaji
wine list	viinilista
wine country	viinimaa
brasserie	viiniravintola
wine jar	viiniruukku
vintage	viinisato
vinedresser	viinitarhuri
dash	viinitilkka
wine barrel	viinitynnyri
zabaglione	viinivaahto
vineyard	viiniviljelmä
wine year	viinivuosi
entelechy	entelekia
aril	siemenvaippa
brain coral	aivokoralli
gas dynamics	kaasudynamiikka
fluid dynamics	virtausdynamiikka
root	hampaanjuuri
coralroot	harajuuri
inula	hirvenjuuri
root	hiusjuuri
branch	juurenhaara
root	juurenotto
sweet flag	kalmojuuri
root	karvanjuuri
turmeric	keltajuuri
root	kynnenjuuri
secondary root	lisäjuuri
root	mukulajuuri
burnet saxifrage	pukinjuuri
tree root	puunjuuri
false hellebore	pärskäjuuri
grassroots	ruohonjuuritaso
stoneseed	rusojuuri
bloodline	sukujuuri
figwort	syyläjuuri
fibrous root	versojuuri
valerian	virmajuuri
rhizopod	juurieläin
scrubbing brush	juuriharja
treat	juurihoitaa
periodontal ligament	juurikalvo
basket	juurikori
radical	juurilauseke
wireworm	juurimato
root barrier cloth	juurimatto
root part	juuriosa
rootball	juuripaakku
root perm	juuripermanentti
root wood	juuripuu
material	juuritäyte
sucker	juuriverso
fishy	olla koira haudattuna
suunnattu kaari	suunnattu kaari
suuntaamaton kaari	suuntaamaton kaari
suuntaamaton verkko	suuntaamaton verkko
suunnattu verkko	suunnattu verkko
undirected	suuntaamaton
indegree	tuloaste
outdegree	lähtöaste
breadth-first search	leveyshaku
depth-first search	syvyyshaku
yhteinen suku	yhteinen suku
common gender	en-suku
yleinen suku	yleinen suku
seat	tuolinistuin
leg	tuolinjalka
frame	tuolinkarmi
chair cover	tuolinpäällinen
back	tuolinselkä
back	tuolinselkämys
back	tuolinselus
back	tuolinselusta
row	tuolirivi
kitchen chair	keittiötuoli
rocking chair	kiikkutuoli
wicker chair	korituoli
hand	kultatuoli
butterfly chair	lepakkotuoli
named	nimikkotuoli
director	ohjaajantuoli
camping chair	telttatuoli
ball chair	pallotuoli
barber chair	parturintuoli
potty chair	pottatuoli
garden chair	puutarhatuoli
wooden chair	puutuoli
hammock chair	riipputuoli
confessional	rippituoli
rococo chair	rokokootuoli
rattan chair	rottinkituoli
pulpit	saarnatuoli
Safari chair	safarituoli
sabertooth	sapelihammas
neighborhood	kulmakunta
L-sit	kulmanoja
L-sit hang	kulmariipunta
miter	kulmasahauslaite
set square	kulmaviivain
angle of elevation	nousukulma
back corner	takakulma
angle of depression	laskukulma
altitude	korkeuskulma
pathfinding	polunetsintä
seesaw	kiikku
cross-draught	läpiveto
sweet flag	rohtokalmojuuri
viinin ystävä	viininystävä
oenophile	enofiili
fine silt	hiesusavi
sandy clay	hietasavi
loam	hiuesavi
marl	merkeli
layered clay	kerrossavi
muddy clay	liejusavi
motion sickness	liikepahoinvointi
boulder clay	lohkaresavi
varved clay	lustosavi
modeling clay	muovailusavi
potter	savenvalaja
pottering	savenvalanta
pottering	savenvalu
earthen vessel	saviastia
earthen object	saviesine
clay block	saviharkko
Chenopodium album	saviheinä
tinea versicolor	savipuoli
clay treatment	savihoito
feet of clay	savijalka
mud pie	savikakku
layer of clay	savikerros
clay stratum	savikerrostuma
lump of clay	savikimpale
clod of clay	savikokkare
ceramic sculpture	savikukko
clay cup	savikuppi
clay bath	savikylpy
mud	savilieju
soil	savimaa
clay mineral	savimineraali
clay	saviperäinen
clayey	savipitoinen
clay bottom	savipohja
earthenware	savitavara
clay industry	saviteollisuus
pottery	savituote
pottery	savityö
mud	savivelli
on one's own	omillaan
spanning tree	virityspuu
bright	liidunvalkea
chalk white	liidunvalkoinen
chalk powder	liitujauhe
pastel	pastelliliitu
oil pastel	rasvaliitu
wax crayon	vahaliitu
hook	hiilikoukku
charcoal drawing	hiilipiirros
carbon compound	hiiliyhdiste
activated carbon	lääkehiili
fullerene	pallohiili
carbon disulfide	rikkihiili
outdoor skill	erätaito
presentation skill	esitystaito
presentation skill	ilmaisutaito
management skill	johtamistaito
organizational skill	järjestelytaito
civic competence	kansalaistaito
conversation skill	keskustelutaito
printing	kirjapainotaito
art	kuvaamataito
photography skill	kuvaamistaito
skill	käsityötaito
singing skill	laulutaito
mimicry skill	matkimistaito
maritime skill	merenkulkutaito
skill	nuotinlukutaito
tour de force	taidonnäyte
drawing skill	piirustustaito
cooking skill	ruoanlaittotaito
literacy	sisälukutaito
playing skill	soittotaito
fighting skill	taistelutaito
debate skill	väittelytaito
practical subject	taitoaine
art	taitolaji
aerobat	taitolentäjä
figure skater	taitoluistelija
figure skate	taitoluistin
skill trick	taitotemppu
synchronised swimming	taitouinti
malpractice	taitovirhe
artistic gymnastics	taitovoimistelu
synchronised swimmer	taitouimari
painottamaton  verkko	painottamaton verkko
painotettu verkko	painotettu verkko
unweighted	painottamaton
transitiivinen sulkeuma	transitiivinen sulkeuma
binary search	binäärihaku
binary search	puolitushaku
linear search	peräkkäishaku
linear search	lineaarihaku
English	rallienglanti
bitstream	bittivirta
vaginal fluid	emätinneste
hydraulic fluid	hydraulineste
brake fluid	jarruneste
fluid removal	nesteenpoisto
diuretic	nesteenpoistolääke
fluid coupling	nestekytkin
liquid soap	nestesaippua
fluid balance	nestetasapaino
liquid lubrication	nestevoitelu
steering fluid	ohjausneste
power steering fluid	ohjaustehostinneste
antifreeze	pakkasneste
transmission fluid	vaihteistoneste
waste oil	jäteöljy
petroleum oil	paloöljy
fuel oil	polttoöljy
valerian oil	valeriaanaöljy
lubricating oil	voiteluöljy
oil absorption	öljynimeytys
oil profit	öljytulot
oil power	öljyvoima
welding gas	hitsauskaasu
gas pipe	kaasujohto
gas distribution	kaasunjakelu
combustion gas	palokaasu
solid	kiintoaine
solid rock	kiintokallio
solid cubic metre	kiintokuutiometri
wood	kiintomitta
fixed	kiintonainen
rigid caster	kiintopyörä
timber rafting	kiintouitto
gold	kullankeltainen
gold country	kultamaa
gold rush	kultaryntäys
forecastle	keulapakka
fixed bench	kiintopenkki
binding	kiintoside
loose cubic metre	irtokuutiometri
stacked cubic metre	pinokuutiometri
loose cubic metre	heittokuutiometri
raised deck	korokekansi
main deck	pääkansi
gun deck	tykkikansi
number sign	ristikkomerkki
vertical line	pystyviiva
loose object	irtoesine
loose sand	irtohiekka
trousers	irtohousut
detachable collar	irtokaulus
removable keel	irtoköli
loose leaf	irtolehti
store	irtokauppa
loose snow	irtolumi
soil	irtomaa
skirt	irtohame
fake nose	irtonenä
hollow back	irtoselkä
fling	irtosuhde
bulk product	irtotavara
drift floating	irtouitto
liner	irtovuori
attendees	kokousväki
navy	meriväki
menfolk	miesväki
political party	puolueväki
military	sotaväki
gathering	väenkokous
crowd	väenpaljous
large	väentungos
stick	väkikapula
stick	väkikarttu
population count	väkimäärä
coercion	väkipakko
block and tackle	väkipyörästö
storming	väkirynnäkkö
mighty	väkivahva
felt roof	huopakatto
roofed	katollinen
maximum permitted speed	kattonopeus
tin roof	peltikatto
shake roof	pärekatto
gable roof	satulakatto
flat roof	tasakatto
pyramid roof	telttakatto
tile roof	tiilikatto
sod roof	turvekatto
hip roof	valmikatto
hip end	valmi
ceiling	välikatto
sighting	hajahavainto
stray field	hajakenttä
betting pool	hajarivi
text genre	tekstilaji
peasant	nimismies
governor-general	käskynhaltija
plus-minus sign	plus-miinusmerkki
composing	koostaminen
environmental technology	ympäristötekniikka
transportation engineering	liikennetekniikka
structural engineering	rakennesuunnittelu
construction engineering	rakennustekniikka
building technology	talonrakennustekniikka
software architecture	ohjelmistoarkkitehtuuri
system architecture	järjestelmäarkkitehtuuri
data analysis	data-analyysi
software business	ohjelmistoliiketoiminta
systematicness	järjestelmällisyys
theoretical computer science	tietojenkäsittelyteoria
automata theory	automaattiteoria
post route	kantopiiri
domestic sphere	kotipiiri
school district	koulupiiri
circuit training	kuntopiiri
craft circle	käsityöpiiri
coven	noitapiiri
sweeping area	nuohouspiiri
ring	nuotiopiiri
sewing circle	ompelupiiri
ball club	pallopiiri
family circle	perhepiiri
police district	poliisipiiri
realm	valtapiiri
district champion	piirinmestari
districting	piirijako
district organization	piirijärjestö
conference	piirikokous
ring game	piirileikki
district attorney	piirisyyttäjä
workout video	jumppavideo
instructional video	opetusvideo
violent video	väkivaltavideo
record	videonauhoittaa
video film	videoelokuva
video film	videofilmi
video	videokuva
video device	videolaite
videodisc	videolevy
videotape	video-ohjelma
video workshop	videopaja
video signal	videosignaali
video art	videotaide
video recording	videotallenne
video technology	videotekniikka
videotex	videoteksi
video entertainment	videoviihde
film violence	videoväkivalta
video rental shop	videovuokraamo
appendix	kuvaliite
picture disc	kuvalevy
videotape	kuvanauha
videophone	kuvapuhelin
photobook	kuvateos
video signal	kuvasignaali
roll	kallistuminen
nodding	nyökkääminen
turning	kääntyminen
animal origin	eläinperäinen
animal protein	eläinproteiini
fur animal	turkiseläin
aquatic animal	vesieläin
bass cornett	bassosinkki
zinc coffin	sinkkiarkku
zinc oxide cream	sinkkipasta
calamine lotion	sinkkivoide
brass plating	messingöinti
spelter	messinkijuote
brasswork	messinkityö
brass sheet	messinkilevy
brass screw	messinkiruuvi
crop	viljelyskasvi
plant anatomy	kasvianatomia
phytoestrogen	kasviestrogeeni
plant fossil	kasvifossiili
plant family	kasviheimo
greenhouse cucumber	kasvihuonekurkku
greenhouse gas emission	kasvihuonekaasupäästö
greenhouse gas	kasvihuonepäästö
greenhouse cultivation	kasvihuoneviljely
vegetal waste	kasvijäte
plant map	kasvikartta
plant fiber	kasvikuitu
vegetable dehydrator	kasvikuivain
plant variety	kasvilajike
plant morphology	kasvimorfologia
flora	kasvilajisto
grow light	kasvilamppu
mucilage	kasviliima
herbalism	kasvilääkintä
flora	kasvimaailma
vegetable margarine	kasvimargariini
botanical museum	kasvimuseo
exudate	kasvineste
plant breeding	kasvinjalostus
plant residue	kasvinjäte
part	kasvinosa
plant nutrient	kasvinravinne
crop protection	kasvinsuojelu
crop protection product	kasvinsuojeluaine
plant health inspection	kasvintarkastus
crop production	kasvintuotanto
plant cultivation	kasvinviljely
horticulturist	kasvinviljelijä
crop rotation	kasvinvuorottelu
crop rotation	kasvinvuorotus
parallax scrolling	parallaksivieritys
ray casting	säteensuuntaus
ray tracing	säteenseuranta
ray tracing	säteenjäljitys
hölkäsen pöläystä	hölkäsen pöläystä
intoxication	humalatila
university student	kylteri
cutlery	sosin
Proto-Indo-European	kantaindoeurooppa
Proto-Germanic	kantagermaani
Proto-Baltic	kantabaltti
