deir siad	abraid
deceit	calaois
movement	luain
fast-moving	luaineach
participator	rannpháirtí
mark	rianaigh
ruler	rialóir
critical	beachtaíoch
domhan thíos	domhan thíos
Martian	Marsach
freangadh ama	freangadh ama
ficsean eolaíochta	ficsean eolaíochta
extraterrestrial	eachtardhomhandach
alien	eachtrán
virtual reality	réaltacht fhíorúil
sásar eitilte	sásar eitilte
future	todhchaíoch
flux capacitor	toilleoir flosca
flux	flosc
ufology	úfó-eolaíocht
allometric	allaiméadrach
allotropic	allatrópach
allophane	allafán
allophone	allafón
allomorph	allamorf
allomorphic	allamorfach
allosaur	allasár
allotrope	allatróp
allotetraploid	allaiteitreaplóideach
allopolyploid	allapolaplóideach
ethnologist	eitneolaí
ethnological	eitneolaíochta
ethnological	eitneolaíochtúil
ethnographic	eitneagrafaíoch
ethnographer	eitneagrafaí
ethnolect	eitneachanúint
Neolithic	Neoiliteach
neotechnic	neoiteicniúil
morphogenetic	morfaiginiteach
morphometric	morfaiméadrach
morphotectonics	morfaiteicteonaic
clavicle	dealrachán
infraclavicular	infridhealracháin
catastrophe	catastróf
kinetic	cinéiteach
incomplete	neamhfhoirfe
entire	neamhuilíoch
unceremonious	neamhnósúil
back	ar ais
greatly	as éadan
as éadan a chéile	as éadan a chéile
each other	a chéile
against	in éadan
uphill	in éadan an chnoic
in store	i ndán
helpful	cúntach
ruler	rialtóir
real	dearbh-
gelding	gearrán
for	faoi choinne
incontinence	neamhchoinneálacht
unretentive	neamhchoinneálach
retentiveness	coinneálacht
sustaining	coinneálach
near	de chóir
inutility	neamhúsáid
downy youth	brusaire
hale	breabhsánta
sprightliness	breabhsántacht
examination	scrúdú
examine	scrúdaigh
tip	síneadh láimhe
gap-toothed	mantach
lisping	briotach
lisper	briotaire
lisper	briotóg
laborious	saothrach
review	athbhreithniú
cross-examiner	croscheisteoir
cross-question	croscheist
toy	áilleagán
masculine	firinscneach
full name	ainm iomlán
output	aschur
review	athbhreithnigh
logger	lománaí
nótaire poiblí	nótaire poiblí
notary	nótaire
pull	tarraingt
lyric	liriceach
lyric	liriciúil
lyric	liric
stop	lonnaigh
resident	lonnaithe
reader	léitheoir
local	logánta
paucity	laghad
presenter	láithreoir
area	limistéar
herbalist	luibhlia
moving	luail
pilot	luamh
hedgehog	gráinneog
dignity	dínit
spruce	breabhsaire
spruce	breabhsóg
start	preab
inexcusable	doleithscéil
trinket	daighsín
maintenance	coinneáil
keep	coinnigh
terrestrial	domhanda
incompatibility	neamh-chomhoiriúnacht
pliant	neamhumhal
humble	umhal
humble	umhlaigh
genuflection	umhlú
undischarged	neamh-urscaoilte
jurisprudence	dlí-eolaíocht
discharge	urscaoil
neoprene	neoipréin
isoprene	isipréin
nondisclosure	neamhnochtadh
unvoiced	neamhghlórach
increase	breisiú
hostage	brá gill
manager	bainisteoir
management	bainistiú
manage	bainistigh
correct	beachtaigh
accuracy	beachtas
increase	breis
refract	athraon
angiography	angagrafaíocht
angio-	anga-
summary	achoimriú
summarize	achoimrigh
attribution	aitreabúideacht
warrior	curadh
champion	seaimpín
autistic	uathach
autism	uathachas
autotimer	uath-amadóir
hand	crág
out-	eachtar-
extracellular	eachtarcheallach
extramural	eachtarmhúrach
extrapolation	eachtarshuíomh
foreign	eachtarchríoch
foreign	eachtarchine
extrasolar	eachtarghréine
extrapolate	eachtarshuigh
aspiration	ardaidhm
archangel	ardaingeal
overlord	ard-aire
overlordship	ard-aireacht
quality	ardchaighdeáin
highchair	ardchathaoir
supremacy	ardcheannas
supreme	ardcheannasach
Secretary General	Ard-Rúnaí
bell tower	clogás
hilly	cnocach
cell	cillín
high-level	ardleibhéil
level	leibhéal
grand	ardnósach
towered	clocásach
fairy host	síothshluagh
abbess	máthairab
actress	ban-aisteoir
actor	aisteoir
xerography	xéireagrafaíocht
resembling	cosúil
tiredness	tuirse
opinion	dar le
poppycock	raiméis
nettle	neantóg
leaf	copóg
leader	ceannaire
leader	cinnire
hereditary	dúiche
awake	múscailte
living	maireachtáil
some	inteacht
active	gnaitheach
murmuring	monabhar
undisciplined	ainrialaí
face powder	snuaphúdar
burden	ualach
Ogham	ogham
high court	ardchúirt
call for papers	gairm scoile
call number	gairmuimhir
grand jury	ard-ghiúiré
jury	giúiré
archbishop	ardeaspag
headmaster	ardmháistir
Grandmaster	Ardmháistir
high vacuum	ardfholús
high profile	ardiomrá
high profile	ardíomhá
citation	ardlua
higher education	ardoideachas
headmistress	ardmháistreás
mistress	máistreás
first mate	ardmháta
chief petty officer	ard-mhionoifigeach
high priest	ardsagart
high school	ardscoil
high technology	ardteicneolaíocht
overlord	ardtiarna
high treason	ardtréas
high cross	ardchros
high cross	cros ard
high fidelity	ard-dílseacht
genius	ardéirim
comptroller	ard-reachtaire
high definition	ardghléine
couple	ordphéire
high-powered	ardchumhachta
attributive	aitreabúideach
proprietary right	dílseacht
supreme	ardchumhacht
attribute	aitreabúid
hi-tech	ardteicniúil
aspiration	ardmhian
high frequency	ardmhinicíocht
commendation	ardmholadh
high culture	ardchultúr
eminence	ardchéimíocht
eminent	ardchéimiúil
highland	ardchríoch
upland	ardtalamh
high ground	talamh ard
high-frequency	ardmhinicíochta
Girl Scout	banghasóg
girl guide	banóglach
lore	banseanchas
attendant	banfhreastalaí
baroness	banbharún
carer	banchúramóir
learned	banéigeas
warrior	banlaoch
tsarina	bansár
handmaid	bansclábhaí
writer	banscríbhneoir
duchess	bandiúc
deaconess	bandeagánach
satirist	bancháinte
offender	banchiontóir
zealot	bandíograiseoir
helper	banchúntóir
Father Christmas	Daidí na Nollag
daddy	daidí
character	carachtar
tradition	traidisiún
usual	iondúil
d’fheicfeadh	d'fheicfeadh
d’fheiceadh	d'fheiceadh
visibility	feiceáil
abair le	abair le
don't mention it	ná habair é
old man	seanfhear
d’altadh	d'altadh
d’altfadh	d'altfadh
Kilkenny	Cill Chainnigh
suit	culaith
weakness	fágáil
left	fágtha
valedictory	fágála
d’fhágadh	d'fhágadh
d’fhágfadh	d'fhágfadh
present	bronntanas
Christmas Eve	Oíche Nollag
North Pole	Pol Thuaidh
remains	taisí
greed	cíocras
messenger	teachtaire
ruby	rúibín
wardress	banbhairdéir
administrator	banriarthóir
dancer	banrinceoir
tutoress	banoide
heiress	banoidhre
hostess	banóstach
authoress	banúdar
saint	ban-naomh
stewardess	banmhaor
empress	banimpire
idolatress	baníoltóir
forge	ceárta
cuir tús le	cuir tús le
illegitimate	tabhartha
spent	tugtha
twenties	fichidí
fifties	caogaidí
fifty	caoga
cropped	maolagán
Irish	-agán
omelette	uibheagán
ovotestis	uirí-ubhagán
mussel	diúilicín
bareness	maoile
womankind	bantracht
shepherdess	bantréadaí
shepherd	tréadaí
virgin	banógh
virgin	ógh
alas	óch
procuratrix	banphrócadóir
prisoner	banphríosúnach
horsewoman	banmharcach
marchioness	banmharcas
physician	banlia
shepherdess	banaoire
lady friend	banchara
giantess	banfhathach
princess	banfhlaith
courier	baneachlach
patroness	banéarlamh
airwoman	baneitleoir
amazon	banghaiscíoch
policewoman	bangharda
attendant	banghiolla
tailoress	bantáilliúir
company	bandáil
doctor	bandochtúir
janitress	bandoirseoir
druidess	bandraoi
almoner	banalmsóir
inspector	banchigire
clerk	banchléireach
screw	banscriú
fairy	bansióg
demography	déimeagrafaíocht
discography	dioscagrafaíocht
wanting	díothach
want	díothacht
author	údar
almoner	almsóir
host	óstach
inn	ósta
procurator	prócadóir
administrator	riarthóir
dancer	rinceoir
stalk	gasóg
maladjustment	mí-oiriúint
unsuitable	mí-oiriúnach
dancer	damhsóir
deacon	deagánach
zealot	díograiseoir
doorman	doirseoir
earring	fáinne cluaise
no problem	fadhb dá laghad
tailor	táilliúir
textbook	téacsleabhar
text	téacs
textual	téacsach
faulty	fabhtach
hollowness	fabhtacht
foul blow	fabhtóg
virtual	fíorúil
completeness	foirfeacht
growth	forás
increase	fuilleamh
eggshell	blaosc uibhe
shell	blaosc
nutshell	blaosc cnó
crystallography	criostalagrafaíocht
jump	lingeadh
afternoon	coinfheascar
spinner	banabhraiseach
spinner	abhraiseach
spinner	bean abhrais
daughter-in-law	banchliamhain
son-in-law	cliamhain
directress	banstiúrthóir
huntress	bansealgaire
executrix	banseiceadóir
priestess	bansagart
maidservant	banseirbhíseach
broken	smiodar
executor	seiceadóir
executorship	seiceadóireacht
steersman	stiúrthóir
conductor	conduchtaire
directing	stiúrthóireacht
chess piece	fear fichille
sleeplessness	neamhchodladh
blue	dúghorm
warder	bairdéir
band	banchuire
adulteress	banadhaltrach
adulterous	adhaltrach
almswoman	banalmsach
ambassadress	banambasadóir
protectress	banchosantóir
defender	cosantóir
keeper	banchoimeádaí
seductive	banchealgaire
collector	bailitheoir
bracelet	bráisléad
inhabitant	áitreabhach
habitation	áitreabh
inhabitant	áitreabhthóir
almsman	almsach
alms	almsa
ambassador	ambasadóir
cushion	adhartán
argumentative	aighneasach
argument	aighneas
recovery	aisghabháil
pressure	ardbhrú
coming	athbhliain
forceful	éifeachtach
young man	ógfhear
long-lived	saolach
base	neamhlómhar
unrelated	neamhghaolmhar
deathless	neamhbhásmhar
nondestructive	neamhlotmhar
noncontributory	neamhchionmhar
unsympathetic	neamhchásmhar
disinterested	neamhleasmhar
associated	gaolmhar
interrelated	idirghaolmhar
closely related	neasghaolmhar
untidy	míshlachtmhar
clean-cut	slachtmhar
fastigiate	uasfhásmhar
chrome	cróm-mhar
chrome	cróm
ill-considered	éigiallmhar
sensible	ciallmhar
limy	aolmhar
lime	aol
strong	bríomhar
calciferous	calcmhar
-y	-mhar
concerned	cásmhar
musical	ceolmhar
bony	cnámhar
diamondiferous	diamantmhar
jealous	éadmhar
jealousy	éad
fleshy	feolmhar
pouring	folcmhar
loving	grámhar
hairy	greannach
comic	greannán
sunny	grianmhar
interested	leasmhar
strong	neartmhar
platiniferous	platanmhar
platinum	platanam
seminiferous	seamhanmhar
semen	seamhan
prolific	sliochtmhar
stressful	strusmhar
stress	strus
scarf	scairf
wisp	dlaoi
irrefutable	dobhréagnaithe
contradict	bréagnaigh
bad	drochdhuine
lock	dual gruaige
hairbrush	scuab ghruaige
ladder	dréimire
saucer	fochupán
overalls	forbhríste
true skin	fíorchneas
confiscate	gabh seilbh ar
interconfessional	idirchreidmheach
leathanach baile	leathanach baile
page	leathanach
capital city	príomhchathair
lowly	uiríseal
ounce	uinge
retrospective	iarghabhálach
taking	gabhálach
receptiveness	gabhálacht
ar b’	arb
ignorance	ainbhios
storm	anfa
moment	móimint
loving	ceanúil
mop	strailleán
untidy	strailleog
mat	straille
le	le haghaidh
steady	fosta
phyco-	fíci-
sympathetic	simpiteach
iron	iarnda
samphire	cabáiste
London pride	cabáiste an mhadra rua
iron	iarnúil
iron	iarnaíocht
ironer	iarnálaí
ferrotype	iarnchló
mailed	iarndóid
ironmonger	iarnmhangaire
human rights	cearta an duine
human rights	cearta daonna
state debt	státfhiach
screw	scriú
immediacy	neamh-mheánacht
enormous number	neamh-mheán
hybrid	cros-síolrach
breeding	síolradh
breed	síolrach
thin	séimhigh
impermeability	neamh-thréscaoilteacht
impermeable	neamh-thréscaoilteach
buckle	búcla
interpretation	teangaireacht
interlanguage	idirtheanga
metalanguage	meititheanga
object language	sprioctheanga
object language	teanga aidhme
tongue and groove	teanga agus eitre
cushion	cúisín
curtain	cuirtín
vernacular	teanga choiteann
vernacular	teanga dhúchais
tongued	teangach
white dead-nettle	teanga mhín
hornwrack	teanga chait
sign language	teanga chomharthaíochta
signs	comharthaíocht
constructed language	teanga chumtha
shapely	cumtha
receptive language	teanga ghlacach
hand	glacach
intermediate language	teanga idirmheánach
intermediate	idirmheánach
medium	idirmheán
foreign language	teanga iasachta
attributive	iasachta
teanga íseal	teanga íseal-leibhéil
scripting language	teanga scriptithe
artificial language	teanga shaorga
interpreter	teangaire
tongue-shaped	teangachruthach
ligule	teangóg
lingual	teangúil
mother tongue	máthairtheanga
branched	géagach
spare	géagachán
strong	géagláidir
long	leabhairchruth
streamlined	leabhairchruthach
slender	géagleabhair
loose-limbed	géagscaoilte
loose	scaoilte
loose	scaoilteach
looseness	scaoilteacht
release	scaoilteán
wrapper	scaoilteog
i	i gcúirt iata
practice	crábhadh
devoutness	cráifeacht
sanctimony	bréagchráifeacht
sanctimony	bréagchrábhadh
hallucination	bréagchéadfa
sensory	céadfaíoch
sensibility	céadfaíocht
diarrhea	scaoing
metropolis	ceannchathair
eclipse	éiclips
cast	urchar
scaoil leat	scaoil leat
scaoileann	scaoil amach
scaoileann	scaoil anuas
scaoileann	scaoil as
scaoileann	scaoil chuig
scaoileann	scaoil chun
scaoileann	scaoil thart
scaoileann	scaoil timpeall
scaoileann	scaoil thar
scaoileann	scaoil ó
scaoileann	scaoil le
scaoileann	scaoil i
scaoileann	scaoil faoi
scaoileann	scaoil de
loose	scaoil
story	uirscéal
apologue	apalóg
inhibitive	urchoillteach
emetic	urlacach
inhibition	urchoilleadh
inhibit	urchoill
hyperbolic	urtheilgeach
lanky	liúdramán
across	trasna
revere	urraigh
sponsoring	urrú
sponsorship	urraíocht
sponsor	urraitheoir
security	urrús
respectful	urramach
respectfulness	urramacht
strong	urrúsach
securitization	urrúsú
ursid	ursaideach
urticaria	urtacáire
foreshore	urthrá
surroundings	urthimpeall
beginning	urthosach
outpost	urphost
proglacial	uroighreach
appoggiatura	urnóta
adnate	urnasctha
prohibit	urghair
injunction	urghaire
crochet	cróise
brave	cróga
bravery	crógacht
baring	nochtadh
naked	nochtach
nudism	nochtachas
nudity	nochtacht
fool	pleidhc
flake	pleidhce
grow wise	eagnaigh
moan	éagnaigh
bastion	urdhún
prayerful	urnaitheach
potbelly	urbholg
potbellied	urbholgach
breast	urbhruinne
baneful	urbhadhach
bane	urbhaidh
fare	eachtraigh
praying	urnaí
representative	uiríollaí
prophylaxis	urchoscacht
prophylactic	urchoscach
bar	urchosc
saucer	sásar
threshold	tairseach
patriot	tírghráthóir
patriotism	tírghrá
lighthouse	teach solais
assessing	measúnach
estimative	measúnaitheach
estimative	measúnaitheacht
assessor	measúnóir
assay	measúnú
T-square	crosbhacart
try square	bacart
belted	criosach
muffler	muifléad
insecurity	neamhdhiongbháilteacht
worthiness	diongbháilteacht
worthy	diongbháilte
shameless	neamhnáireach
shamelessness	neamhnáire
ward off	diongaibh
match	diongbháil
Asplenium scolopendrium	teanga mhadra rua
Asplenium scolopendrium	teanga fia
hart's tongue	creamh na muice fia
defense	cosaint
defend	cosain
cosmography	cosmagrafaíocht
guileful	cealgaire
crystal	criostal
cryptography	cripteagrafaíocht
crypto-	cripti-
chromatography	crómatagrafaíocht
chromato-	crómata-
comparative	breischéim
comparative	comparáideach
comparison	comparáid
cross-reference	crostagairt
imp	crosdiabhal
fairy	sióg
streak	síog
seizure	urghabháil
seize	urghabh
swineherd	muicí
guinea pig	muc ghuine
technical	teicniúil
technicality	teicniúlacht
shamelessness	mínáire
shame	náiriú
caith seile	caith seile
restore	aisig
paintbrush	scuab phéinte
nailbrush	scuab ingne
wire brush	sreangscuab
barbed wire	sreang dheilgneach
barbed wire	sreang dhealgach
thorny	dealgach
fingernail	ionga méire
bain greim as	bain greim as
déan gáire	déan gáire
Moldavian	Moldáivis
Moldavian	Moldóvach
disrespectful	neamhurramach
unauthorized	neamhúdaraithe
needy	neamhuireasach
unprepared	neamhullamh
smooth	réidh
harmless	neamhurchóideach
pun	imeartas focal
harmlessness	neamhurchóid
lacking	uireasach
lack	uireasa
capable	cumasach
illegality	neamhdhleathacht
unlawful	neamhdhleathach
unlikelihood	neamhdhóchúlacht
incompetence	neamhfhulangacht
illiquidity	neamhleachtacht
impermeability	neamhscagacht
detachment	neamhshaoltacht
self-sufficiency	neamhthuilleamaíocht
displeased	míshásta
artery	artaire
itch	tochas
satisfied	sásta
assuage appetite	sásaigh
satisfaction	sástacht
handy	sástaí
opposite	urchomhaireach
opposition	urchomhaireacht
permeability	tréscaoilteacht
permeable	tréscaoilteach
technological	teicneolaíoch
technology	teicneolaíocht
technological	teicneolaíochta
technologist	teicneolaí
technique	teicníc
technics	teicnic
technetium	teicnéitiam
technique	teicníocht
Technicolor	teicnidhath
technocentrism	teicnealárnachas
technostructure	teicneastruchtúr
technician	teicneoir
centripetal	láraimsitheach
central district	lárcheantar
central system	lárchóras
midrib	láreasna
midrib	meánfhéith
diametrical	lárlíneach
core dialect	lárchanúint
central plain	lármhá
centerpunch	lárphritil
exact center	lármheán
medial moraine	lármhoiréan
moraine	moiréan
fellowship	comhaltacht
fosterage	comhaltas
isochromatic	iseacrómatach
isobaric	iseabarach
isobar	iseabar
isobath	iseabat
isochore	iseacór
isochronic	iseacrónach
isochronic	iseacrónúil
isogamy	iseagamacht
isomorphic	iseamorfach
isonomia	iseanóimeacht
isopod	iseapód
-pod	-pód
isopropyl	iseapróipil
propyl	próipil
isostasy	iseastacht
isotropic	iseatrópach
isotopic	iseatópach
isotope	iseatóp
isocheim	isicím
isobilateral	isi-dhéthaobhach
bilateral	déthaobhach
isodiametric	isidiaiméadrach
isodynamic	isidinimiciúil
isoelectric	isileictreach
isometric	isiméadrach
isomer	isiméir
-mer	-méir
isomeric	isiméireach
isomerism	isiméireacht
isoseismal	isiseismeach
isotherm	isiteirm
isothermal	isiteirmeach
thermal	teirmeach
next friend	neaschara
near gale	neasghála
gale	gála
next of kin	neasghaol
approximate value	neasluach
close range	neasraon
close support	neastacaíocht
close reconnaissance	neastaiscéalaíocht
close target	neastargaid
approximate result	neastoradh
near	gar-
great-grandfather	garathair
amylase	amaláis
black bear	béar dubh
roll	rollóg
bramble brake	drischoill
bramble	driseog
brambly	driseach
cocoon	cocún
patron saint	éarlamh
poisoning	nimhiú
poison	nimhigh
poisoner	nimhitheoir
node	nód
vomiting	urlacan
tributary king	uirrí
humble	uirísligh
abasement	uirísliú
spancel	urchall
decoct	urbhruith
spokesperson	urlabhraí
articulation	urlabhairt
articulation	urlabhraíocht
breakthrough	urfhuascailt
outwork	urtheach
doorpost	ursain
control	urlámhas
forecourt	urlios
stout-hearted	móruchtúil
courageous	misniúil
organizational	eagraíochtúil
cranial	blaoisce
skull	blaosc an chinn
chest	ucht
facing	in ucht
for the sake of	as ucht
le	le hucht
parapet	uchtbhalla
adopted child	uchtleanbh
adopted son	uchtmhac
breastplate	uchtphláta
full-chested	uchtúil
courageousness	uchtúlacht
parapet	uchtbharr
armful	uchtán
armful	uchtóg
agaric	agairg
chanterelle	cantarnaid
bracket fungus	bracfhungas
arm	brac
yell	béic
puffball	béiceadán
ergot	eargót
coif	caidhp
lawyer's wig	caidhp dhubh ghiobach
lawyer's wig	caidhp mhosach
moss	caonach
caonach mara	caonach mara
mildew	caonach liath
morel	morchal
spongy	múscán
groundswell	múisceán
vomit	múisc
nauseating	múisciúil
dankness	múisciúlacht
fungous	fungasach
fungus	fungas
mushroom	muisiriún
mushroom	beacán
muscat	musc-chaor
mycology	míceolaíocht
shiitake	síotaicé
stinkhorn	adharc an phúca
toadstool	beacán bearaigh
truffle	strufal
truffled	struflaithe
bread mold	múscán aráin
death cap	caidhp bháis
fly agaric	agairg na gcuileanna
troimpéad	troimpéad an phúca
trumpet	troimpéad
funnel chanterelle	cantarnaid throimpéadach
shaggy	mosach
Seisnia	Seisnia
hydrophobic	hidreafóbach
transphobic	trasfóbach
lyophobic	liófóbach
osmiophobic	oismeafóbach
suburban	fo-bhailteach
ellipsis	focalbhá
elliptical	focalbháiteach
underclothing	fo-éadach
subedit	fo-eagraigh
subeditor	fo-eagarthóir
hypodermic	fodheirmeach
subhuman	fodhaonna
hypophosphate	fofhosfáit
slip	fo-ghúna
sharpish	foghéar
subsume	fo-ghlac
sublieutenant	foleifteanant
sublease	foléas
sublessee	foléasaí
sublet	foligean
whitish	fobhán
branch	foghéag
subalkalic	fo-alcaileach
subregion	foréigiún
infrared	fodhearg
underdeveloped	foréalta
minor planet	fophláinéad
subordination	fo-ordú
subordinating	fo-ordaitheach
suboffice	fo-oifig
subordinate officer	fo-oifigeach
subequatorial	fo-mheánchiorclach
cloud	fonéal
suborder	fo-ord
subnormal	fonormal
subnormal	fonormalach
hyponitrite	fonítrít
occasionally	fo-uair
side dish	fomhias
subalpine	fo-alpach
den	brocais
trait	tréith
personal trait	tréithe pearsanta
rice	rís
clause	clásal
gown	gúna
honour	clú
main clause	príomhchlásal
ballgown	gúna damhsa
evening dress	gúna tráthnóna
gold clause	órchlásal
lieutenant	leifteanant
subacid	fo-aigéadach
subharmonic	fo-armónach
subdominant	focheannasach
satellite state	fostát
sublet	folig
rider	fo-fhadhb
hypophosphorous	fofhosfarúil
subemploy	fofhostaigh
subfactorial	fo-iolrán
underpainting	fophéinteáil
subacetate	fo-aicéatáit
subgenus	fo-aicme
hypobromite	fobhróimít
underpants	fobhríste
submanager	fo-bhainisteoir
undercoat	fo-bhrat
subsidiary bond	fo-bhanna
bard	fo-bhard
meaning	fobhrí
adventure	fo-eachtra
underlay	foleagan
follow	folean
trailer	foleantóir
bound	foléim
bounding	foléimneach
underlie	foluí
subclassify	fo-rangaigh
subclass	fo-rang
undersecretary	fo-rúnaí
fill up	folíon
band	fo-ghasra
horny	fo-ghartach
part	fopháirt
verse	fo-rann
odd	fo-rud
subdeacon	fodheagánach
subdeaconship	fodheagántacht
understeward	fomhaor
submediant	fomheánach
submachine gun	fo-mheaisínghunna
mistress	fomháistreás
master	fomháistir
think	smaoinigh
smell	bolaigh
machine gun	meaisínghunna
midnight	meán oíche
factorial	iolrán
lordling	fothiarna
byproduct	fothoradh
underskirt	fosciorta
subscriber	foscríobhaí
subscribe	foscríobh
subscript	foscript
hyposulfite	foshuilfít
subsalt	foshalann
undersheriff	foshirriam
sheriff	sirriam
High Sheriff	Ard-Sirriam
substratum	foshraith
warrior	gasra
mind	meabhair
Arabic	Araibis
Araibe	Araib
classify	rangaigh
classification	rangú
ranker	rangóir
guidance	treoir
tale	fo-scéal
subshell	fosceall
subsequence	fosheicheamh
subsite	foshuíomh
subjunctive	foshuiteach
substation	fostáisiún
undercut	fostiall
clearing out	fo-scardadh
submultiple	fomhéadaí
clitoris	brillín
sublittoral	fo-chladach
sublittoral	fo-chladachúil
subclavian	fo-chlabhach
subcontrary	fochontrártha
underhanging	fochrochta
tagann	tar le
tig le	tig le
go raibh maith agaibh	go raibh maith agaibh
clerk	cléireach
nauseating	samhnasach
release	ligean
fond	ligthe
steadfastness	seasmhacht
slave	sclábhaí
ornament	siogairlín
pendant	siogairlíneach
satellite	satailít
swim	snámh
tá brón orm	tá brón orm
Beilíse	Beilís
Belizean	Beilíseach
Costa Rican	Cósta Ríceach
Nicaragua	Nicearagua
Salvadóire	Salvadóir
stressed word	aiceantach
possession	sealbhach
possessive adjective	aidiacht shealbhach
possessive pronoun	forainm sealbhach
demonstrative	taispeántach
demonstrative adjective	aidiacht thaispeántach
demonstrative pronoun	forainm taispeántach
affricate	aifricéad
Indian	Indiach
verbal	briathartha
verbal noun	ainmbhriathartha
alveolar	ailbheolach
retroflex	aislúbtha
analogical	analachúil
monophthong	aonfhoghar
stench	mosar
airíonn	airigh ó
maté	maité
forgiveness	maitheamh
agonize	cráigh
soap	sópa
manhood	óglachas
glossary	sanasán
count	comhaireamh
bloody	fuilí
visit	céilíoch
priest	cruimhthir
amaranth	amarantas
companion	coigéile
society	coigéilsine
pig	mucár
warrior	árchú
scallop	sliogán mara
undercarriage	fo-charbad
déan miongháire	déan miongháire
senator	seanadóir
nonsensical	brille bhreaille
nausea	samhnas
ease	sámhnas
smile	fáthadh an gháire
smile	meangadh gáire
subliminal	fo-thairseachúil
subcontrary	fochontráir
shell	sliogán
shelled	sliogánach
agriculturalist	talmhaíochtaí
agricultural	talmhaíoch
permanent	buan-
disobedient	easumhal
ungentleness	eascaoineas
smoothness	caoineas
lacking	easpach
pub	teach óil
durable	buanfasach
stereotyped	buanchruthach
memory	buanchuimhneach
persevering	buanseasmhach
argumentative	conspóideach
easy	éascaigh
inspector	cigire
frog	loscann
learned	éigeas
amphibious	loscánta
tavern	teach tábhairne
tavern	tábhairne
housekeeper	bean tí
liomsa	liomsa
perseverance	buanseasamh
fixed	buanchruth
durability	buanfas
lasting remembrance	buanchuimhne
commemoration	cuimhneachán
recollective	cuimhneach
remembrance	cuimhneamh
argument	conspóid
lunar	éascaí
wet	easca
abode	buanchónaí
eternal truth	buanfhírinne
soldier	buanóglach
benefit	buantairbhe
fixity	buanseilbh
standing rule	buanriail
constant number	buanuimhir
frequency	minicíocht
permanent magnet	buanmhaighnéad
district	focheantar
fraction	codán
partial fraction	fochodán
supplementary	fochostas
ticket	ticéad
quantity	cainníocht
console	consól
costly	costasach
costliness	costasacht
lexical item	mír fhoclóireachta
mark	marcáil
mathematics	matamaitic
moderation	measarthacht
decline	meathlaigh
amount	méid
standing order	buanordú
standing committee	buanchoiste
perpetuity	buanbhlianacht
feast	coirm
concert	ceolchoirm
Bolaive	Bolaiv
Bolaive	Bolaive
Republic of Bolivia	Poblacht na Bolaive
minor	focheist
odd	focheann
subcontract	fochonradh
Ark of the Covenant	Áirc an Chonartha
League of Nations	Conradh na Náisiún
pagan	págánach
doglike	conúil
conical	cónúil
cone	cón
agreement	conradh
often	minic
frequent	minicigh
ark	áirc
gender	inscne
feminine	baininscneach
feminine gender	baininscne
masculine gender	firinscne
circumstance	toisc
toisc go	toisc go
toisc gur	toisc gur
Áise Bige	Áise Bheag
genital	ginitiúil
genetic	-giniteach
anogenital	anaighinitiúil
obscene	gáirsiúil
economic	geilleagrach
unemployment	dífhostaíocht
creature	créatúr
iompar poiblí	iompar poiblí
carriage	iompar
knightly	ridiriúil
neck	scrogall
scrogall buidéil	scrogall buidéil
seeking	sirtheoireacht
steering	stiúradh
wordlist	foclóirín
study	staidéar
bootstrap	brógstrapa
secondary meaning	fochiall
eighty	ochtó
seventy	seachtó
singing	focheadal
subordinate rent	fochíosaí
subrent	fochíos
subchloride	fochlóiríd
contributory cause	fochúis
subcontractor	fochonraitheoir
inferior	fodhuine
subtenancy	fothionóntacht
secondary industry	fothionscal
subtenant	fothionónta
servient tenement	fothionóntán
seeker	sirtheoir
schoolman	scolaí
rudder	stiúir
belly	tarr
lamb	uainín
hospital	ospidéal
electrician	leictreoir
offender	ciontóir
greedy	cíocrach
greedy	cíocrachán
swallow hole	cíocra
canine tooth	cíocrán
communication	cumarsáid
choreography	cóiréagrafaíocht
firmness	fostacht
as well	chomh maith
thrashing	léasadh
tyrannical	ansmachtúil
tyranny	ansmacht
arbitrary	aondeonach
confiscate	coigistigh
tenantry	tionóntaí
leek	cainneann
boggy	abar
darkness	dorchacht
pleasant	subhach
gladness	subhachas
recital	ceadal
will	deoin
intentional	de dheoin
arbitrary	dírialta
regulator	rialtán
regular	rialtach
Uí Bhriain	Uí Bhriain
subjugation	traochadh
worn out	tuirseach traochta
subatomic	fo-adamhach
war	badhbh
1 Samuel	Céad Leabhar Shamúéil
Samúéil	1 Samúéil
Samuel	Samúéil
2 Samuel	Dara Leabhar Shamúéil
Samúéil	2 Samúéil
1 Chronicles	Céad Leabhar na gCroinicí
1 Chronicles	1 Croinicí
in turn	faoi seach
tablecloth	scaraoid
context	comhthéacs
Corantaigh	1 Corantaigh
1 Corinthians	Céad Litir Naomh Pól chuig na Corantaigh
Paul	Naomh Pól
videotape	téip físe
tape	téip
videotape	fístéip
video gamer	físchluichire
video game	físchluiche
video display	fístaispeáint
1 John	Céad Litir Naomh Eoin
John	Naomh Eoin
Eoin	1 Eoin
3 John	Tríú Litir Naomh Eoin
2 John	Dara Litir Naomh Eoin
Eoin	2 Eoin
Eoin	3 Eoin
Macabaeigh	1 Macabaeigh
1 Maccabees	Céad Leabhar na Macabaech
Peadar	1 Peadar
1 Peter	Céad Litir Naomh Peadar
adhesive tape	téip ghreamaitheach
