paint	cat
shower	pancuran
toothpaste	ubat gigi
dentist	doktor gigi
cheap	murah
sleeping bag	kantung tidur
building	wisma
polygon	اوکتاݢون
garlic	bawang putih
bedbug	pijat-pijat
food court	medan selera
eatery	kedai makan
arse	pantat
ice	air batu
push	tolak
sweat	berkeringat
perspire	berpeluh
sweat	keringat
gas station	stesen minyak
rice vermicelli	bihun
grand	agung
herder	gembala
territory	wilayah
stopwatch	randik
word	kalimah
backside	pungkur
make	tiup
torch	suluh
round	bulat
soft	lembut
when	apabila
polymer	polistirena
polymer	ڤوليستيرينا
iron	seterika
woman	وانيتا
telefon bimbit	telefon bimbit
unpleasant smell	langu
rainbow	bangun-bangun
rainbow	benang raja
rainbow	kuwung
rainbow	ular danu
rainbow	ular mengiang
uterus	kandungan
uterus	kandung
womb	rahim
quick	cepat
ink	mangsi
coffee shop	کوڤيتيام
coffee shop	kopitiam
swamp	rawa
envious	dengki
thick	تبل
betelnut	pinang
pillar	tiang
strong	kuat
menstruation	haid
policeman	mata-mata
tunas	Tunas
today	hari ini
weather	cuaca
alum	tawas
star fruit	belimbing
daily	harian
picture	gambar
together	bersama
university	universiti
dolphinfish	belitung
neighbor	jiran
even	genap
broad	babur
how are you	apa khabar
noble	mulia
mine	lombong
whole	seluruh
cauldron	kawah
paradise	jannah
evildoer	durjana
basketball	bola keranjang
temperature	suhu
bodybuilding	bina badan
instant noodle	mi segera
drunk	mabuk
natural	سمولاجادي
original	semula
waist	pinggang
ladies and gentlemen	tuan-tuan dan puan-puan
bed	ranjang
desert	gurun
beautiful	cantik
safety	keselamatan
disc	cakra
maiden	gadis
mosquito net	kelambu
wok	kuali
rainbow	lanum
force	paksa
smooth	tarah
fail	gagal
noisy	bising
smooth	licin
coconut shell	tempurung
syllable	suku kata
cupboard	almari
busy	sibuk
source	sumber
trans woman	mak nyah
news	berita
cartoon	kartun
equivalence	persamaan
history	babad
clear	jernih
result	keputusan
jail	penjara
dynasty	wangsa
library	perpustakaan
writing	tulisan
wing	sayap
wing	kepak
fishing rod	pancing
diamond	intan
thief	pencuri
pull	menarik
galangal	lengkuas
delicious	sedap
delicious	سدڤ
spine	tulang belakang
threaten	ugut
out of order	rosak
birth	kelahiran
state	negeri
discover	menemui
synopsis	sinopsis
tower	menara
unguent	palit
blade	bilah
anniversary	ulang tahun
farming	pertanian
sodomy	liwat
window	natang
fungus	kulat
thin	nipis
today	aghi ning
octopus	kurita
hardworking	rajin
bell	loceng
key	anak kunci
film	filem
officer	pegawai
secretary	setiausaha
gum	gusi
embroider	sulam
Islam	Mekah
or	ataupun
come from	berasal
speak	bercakap
talk	cakap
life	kehidupan
singing	nyanyi
throat	kerongkong
wall	tembok
passion	gembira
garden	kebun
tub	tahang
pleasure	kegemaran
clean	bersih
beautiful	elok
tourist	pelancong
back-formation	berniaga
trade	niaga
visit	melawat
plant	berladang
teach	mengajar
lady	empuan
wish	hendak
title	betara
kadang	kadang-kadang
fitting	patut
want	mahu
marry	kahwin
news	akhbar
erode	hakis
hit	pukul
ancient	purba
noun	kata nama
premier	perdana
prime minister	perdana menteri
airplane	kapal terbang
bumiputra	bumiputera
music	muzik
detainment	lokap
form	merupakan
how many	berapa
peace	sejahtera
say	bertutur
converse	berbual
monster	raksasa
medicine	perubatan
health	kesihatan
office	pejabat
healthy	sihat
along	sepanjang
surgery	pembedahan
dibantu	membantu
signature	tandatangan
international	antarabangsa
connect	hubung
field	lapangan
curry puff	karipap
weapon	senjata
longhouse	rumah panjang
Brunei	Kampong Ayer
beautiful	indah
Allah	innalillahiwainnailaihirojiun
dubbing	dabing
society	masyarakat
trim	raut
surrounding atmosphere	persekitaran
corpse	mayat
red envelope	angpau
go back	kembali
Kshatriya	kesatria
cross	salib
intellectual capacity	budaya
post office	pejabat pos
bay	teluk
enemy	musuh
winter	musim dingin
autumn	musim gugur
rainy season	musim hujan
dry season	musim kemarau
spring	musim bunga
autumn	musim luruh
winter	musim sejuk
knowledge	pengetahuan
face	wajah
hollow	lekuk
roll	guling
instrument	peranti
activate	mengaktifkan
perisian jahat	perisian jahat
edit	menyunting
edit	suntingan
dubbing	alih suara
firewall	tembok api
switch on	menghidupkan
scanner	pengimbas
false alarm	penggera palsu
baseball	besbol
winnow	tampi
dance	tarian
deactivate	menyahaktifkan
debugger	penyahpepijat
false	palsu
window	tetingkap
turn off	mematikan
typewriter	mesin taip
wrecker	perosak
shipping container	kontena
soy sauce	kicap
rite	upacara
selamat hari jadi	selamat hari jadi
birthday	hari lahir
message	utusan
ifrit	عفريت
wheat	gandum
meaning	makna
rating	penilaian
movement	pergerakan
cockatoo	kakaktua
brain	otak-otak
guard	intip
spy	pengintip
transvestite	pondan
monastery	biara
bored	baus
effort	usaha
divide	bahagi
constellation	buruj
equator	khatulistiwa
court	mahkamah
gift	hadiah
carry	junjung
perfect	sempurna
ghost	antu
my God	ilahi
happy	bahagia
marry	mempersuami
make someone become someone	mempersuamikan
uncle	mamak
grammar	nahu
scroll	tatal
set	surup
step	langkah
mangosteen	manggustan
win	menang
embezzle	songlap
unity is strength	bersekutu bertambah mutu
unite	bersekutu
strength	muthu
opportunity seldom knocks twice	pisang tidak akan berbuah dua kali
fruit	berbuah
blowing	bertiup
regret	menyesal
larva	jentik
early	embun belum kering lagi
thief	panjang tangan
when in Rome, do as the Romans do	di mana bumi dipijak, di situ langit dijunjung
Kaul festival	pesta Kaul
keep mum	tutup mulut
close	tutup
add	bertambah
bookworm	ulat buku
ignorant	katak di bawah tempurung
hit the sack	meletakkan kepala
place	meletakkan
dessert	pembasuh mulut
sunflower	bunga matahari
easy come, easy go	senang dapat, senang habis
congee	bubur
invite	ajak-ajak ayam
bite the hand that feeds one	kacang lupakan kulit
idiom	simpulan bahasa
knot	simpulan
ungrateful	seperti kacang lupakan kulit
victory	jaya
walking stick	tongkat
cute	comel
leader	pemimpin
black sheep	kambing hitam
flag	Jalur Gemilang
hero	pahlawan
raisin	kismis
alah bisa	alah bisa, tegal biasa
however	walau bagaimanapun
jump	lompat
leap year	tahun lompat
literature	sastera
eaten	dimakan
instance	umpama
damned	bedebah
wrathful	murka
wave	gelombang
cassava	bandong
water hyacinth	bakong
sandal	capal
fail	gawak
erection	canggar
family	insanak
again	agik
mix	campur
dirty	sawang
aubergine	terung
address	alamat
monument	tugu
animal scale	sisik
contribute	sumbang
dreg	latak
conclusion	kesimpulan
roadshow	jerayawara
crown	mahkota
explore	jelajah
fall off	tanggal
bronze	perunggu
report	lapor
password	kata laluan
well done	syabas
congratulate	tahniah
scholarship	biasiswa
copyright	hak cipta
victim	mangsa
midday	zuhur
midday	Zuhur
secret	rahsia
displacement	sesaran
aquarium	akuarium
holy	begawan
error	kesilapan
false	silap
throne	takhta
throne	singgahsana
chevrotain	pelanduk
always	selalu
drizzle	lalam
driver	pemandu
worker	pekerja
customer	pelanggan
waiter	pelayan
reader	pembaca
customer	pembeli
winner	pemenang
opinion	pendepat
farmer	peladang
handkerchief	saputangan
joy	nikmat
safety	keamanan
useful	berguna
thirsty	dahaga
successful	berjaya
success	kejayaan
songster	biduan
songstress	biduanita
spoon	camca
special	istimewa
silk	sutera
shirt	kemeja
region	rantau
question	soalan
purse	pundi-pundi
pheasant	kuangkuit
parade	perbarisan
page	mukasurat
newspaper	suratkhabar
mattress	tilam
marriage	perkahwinan
list	senarai
ladle	senduk
fisherman	nelayan
lesson	pelajaran
hardship	kesukaran
flying fox	keluang
firefly	kelip-kelip
peanut	kacang tanah
octopus	gurita
answer	jawaban
admiral	laksamana
commander	panglima
chrysalis	kepompong
adjective	kata sifat
use	faedah
advantageous	berfaedah
Mars	Marikh
gargle	کومور
amulet	azimat
bridge	jambatan
skull	tengkorak
curse	kutuk
regret	sesal
cabbage	kubis
puppet	boneka
cut	golok
seek	mencari
wood branch	dahan kayu
mutualism	kesalingan
debug	nyahpepijat
programming	pengaturcaraan
mansion	rumah agam
potential energy	tenaga keupayaan
grow upwards	sulur
pass by	lewat
seafarer	pelaut
vote	undi
know	تاهو
know	tauk
choice	pilihan
cement	simen
expense	biaya
financing	pembiayaan
when in Rome, do as the Romans do	masuk ke dalam kandang kambing mengembek, masuk ke dalam kandang kerbau menguak
hippopotamus	badak air
strength	kekuatan
stage	pentas
jackhammer	gerudi tukul
knot	ikatan
like	seperti
bad apple	sebab nila setitik, rosak susu sebelanga
only child	anak tunggal
close	bagai aur dengan tebing
sailor	anak kapal
water spinach	kangkung
orange jessamine	kemuning
famous	terkenal
drinking straw	penyedut minuman
sick	ݢريڠ
spelling	ejaan
group	kumpulan
progress	kemajuan
tribe	puak
mortar	lesung
small pigeon	punai
loan	pinjaman
speech	pidato
santol	sentul
player	pemain
game	permainan
nearsightedness	rabun jauh
newspaper	surat khabar
quality	kualiti
capacity	kapasiti
tarsier	kera hantu
mould	kulapuk
cupboard	lemari
diocese	keuskupan
Ethiopia	Habsyah
ink	dakwat
insurance	insurans
ticket	karcis
cancer	barah
carrot	lobak merah
obstacle	kendala
responsibility	tanggungjawab
spectacles	cermin mata
bespectacled	berkaca mata
bespectacled	bercermin mata
nurse	jururawat
battle	pertempuran
question	pertanyaan
oven	ketuhar
mold	acuan
modal verb	-kah
discard	sampah
loathe	menyampah
sodium hydroxide	natrium hidroksida
student	pelajar
pollution	pencemaran
nature	alam sekitar
set free	membebaskan
clear	jelas
reality	realiti
headteacher	guru besar
word	perkataan
destroy	musnah
latest	متاخير
high school	sekolah menengah
cinema	pawagam
good manner	adab
heir	waris
grasshopper	belalang
dragonfly	capung
eel	belut
wick	sumbu
prince	bupala
astronaut	angkasawan
bureaucracy	birokrasi
child	bocah
rug	babut
dumb	babuk
shield	perisai
niche	lahad
rattan mat	lampit
plowshare	lanjam
coffin	larung
stinging nettle	latang
hall	pendapa
coward	pengecut
beggar	pengemis
chairman	pengerusi
itchy	pengas
director	pengarah
lecturer	pensyarah
slow	pentar
European	peranggi
scaffolding	perancah
trap	perangkap
statistician	perangkawan
belief	percaya
fairy	peri-peri
rancid	perat
Portuguese	Peringgi
square	persegi
full moon	pernama
hip	pinggul
high fever	pijau
borax	pijar
peppermint	poho
storm	prahara
small hill	puntuk
head	penggawa
stirrup	rakap
driver's license	rebewis
body hair	remang
dagger	rencong
sprain	sengkol
trigger	sentil
tapir	tenuk
surveillance	penjagaan
guard	penjaga
incense	istanggi
doorknob	combol
stark naked	bogel
bigger	membesarkan
bhikkhu	biksu
eclipse	gerhana
stir	mengacau
disturb	ganggu
enter into	memasukkan
written material	bacaan
ability	kebolehan
capable	berkebolehan
type	macam
firework	bunga api
blunt	tumpul
bribe	rasuah
should	sebaiknya
while	sambil
langit	langit-langit
take	ambil
throne	singgasana
love	asmara
award	anugerah
ship	bahtera
advisor	bendahara
difficult	sukar
need	perlu
Ltd.	Sdn. Bhd.
clothes	busana
passenger	penumpang
case	perkara
how	bagaimana
Pterocarpus indicus	angsana
unit	satuan
transparent	telus
convert	mualaf
follow	ikut
mask	kedok
chauffeur	supir
body	jasad
determined	berazam
he	baginda
knife-edge	telur di hujung tanduk
catch	licin seperti belut
where there's a will, there's a way	di mana ada kemahuan, di situ ada jalan
disappointed	kecewa
many a mickle makes a muckle	sedikit-sedikit, lama-lama jadi bukit
pot calling the kettle black	kata periuk belanga hitam
go in one ear and out the other	masuk telinga kanan, keluar telinga kiri
sexual orientation	orientasi seksual
rosewater	air mawar
earthenware	tempayan
cumin	jintan
royal executioner	maharajalela
echo	guk
netizen	wargamaya
advance	pendahuluan
waistcoat	weskot
watermelon	tembikai
echo	gaung
separate	pisah
mistake	bersalah
dan sebagainya	dsb.
fate	nasib
death	kematian
stand	berdiri
everything	semuanya
best	terbaik
before	sebelum
something	sesuatu
pawn	bidak
straw	jerami
stop	berhenti
change	berubah
hope	berharap
play	bermain
blessing	rahmat
age	usia
below	kebawah
shade	menaungi
permanent	kekal
lead	memimpin
save	selamatkan
sell	menjual
close	menutup
someone	seseorang
discover	mengetahui
homeland	tanah air
parliament	parlimen
both	berdua
classifier	penjodoh bilangan
philosophy	filsafat
seller	penjual
scientist	ahli sains
scientist	ilmuwan
revolution	pemberontakan
refrigerator	peti sejuk
refrigerator	lemari es
recommendation	perakuan
rebel	pemberontak
microprocessor	pemproses mikro
strawberry	strawberi
appendix	apendik
appendix	lampiran
gall bladder	pundi hempedu
urinary bladder	pundi kencing
foreskin	kulup
pacemaker	perentak jantung
millipede	ulat gonggok
experience	pengalaman
calculator	mesin kira
constitution	perlembagaan
architecture	seni bina
engineering	kejuruteraan
textbook	buku teks
test	ujian
symptom	gejala
steel	keluli
postage stamp	setem pos
librarian	pustakawan
wheel	jentera
beautiful	laksmi
penis	konek
home economics	kemahiran hidup
notch	takah
movement	gerakan
cut one's coat according to one's cloth	ukur baju di badan sendiri
firewood	kayu api
power	kuasa
marry	memperisteri
consent	berkenan
two-faced	bermuka dua
butterfly	rerama
obtain	memperoleh
conflict	air dicincang tidak akan putus
accusation	dakwa
excuses	hendak seribu daya, tak hendak seribu dalih
pretext	dalih
edge	tebing
archbishop	uskup agung
hyena	dubuk
conjunction	kata hubung
proper noun	kata nama khas
plump	montel
gold	bogam
interview	temu bual
agree	kenan
big building	loji
down	menurunkan
Colocasia	keladi
miswak	kayu sugi
fly	layang
sew	jahit
doctorate	kedoktoran
sincere	ikhlas
hit on	mengorat
trousers	seluar
shorts	seluar pendek
vagina	faraj
jellyfish	ubur-ubur
seaweed	rumpai laut
belt	tali pinggang
waterfall	air terjun
coriander	ketumbar
cilantro	daun ketumbar
slipper	selipar
pomelo	limau bali
kaffir lime	limau purut
lime	limau nipis
yardlong bean	kacang panjang
cliff	cenuram
mouth	muara
clever person	sarjana
bachelor's degree	sarjana muda
curtain	langsir
erectile dysfunction	mati pucuk
pencil	potlot
agent	ejen
madly	kasmaran
driver	drebar
grass jelly	cincau
a-	nir-
bicycle	kereta angin
rattan ball	takraw
rest	jeda
sloppy	cincai
hoarse	parau
auction	lelong
wow	walao
narcissus	nargis
watchman	kawal
lively	gegap gempita
effort	ikhtiar
time zone	zon waktu
cashew	gajus
cashew	janggus
cashew	jambu golok
eyebrow	bulu mansu
rancid	pedar
prime number	nombor perdana
state of emergency	darurat
inverted	songsang
proverb	peribahasa
flower	kesuma
anus	dubur
acceleration	pecutan
angry	membawang
private limited	sendirian berhad
inspector	merinyu
diversity	kepelbagaian
percentage	peratusan
accident	kemalangan
fraction	pecahan
middle finger	jari hantu
condolence	takziah
nightmare	mimpi ngeri
violence	keganasan
capital punishment	hukuman mati
barnacle	teritip
keadaan	keadaannya
reproduction	pembiakan
weight	pemberat
platform	pelantar
revolt	rusuhan
climb	panjat
hard liquor	minuman keras
madrasa	tahfiz
hardware	perkakasan
character	watak
deep	دالم
volunteer	sukarelawan
taboo	pantang
trapped	terkurung
lawbreakers	sepandai-pandai tupai melompat, akhirnya jatuh ke tanah juga
ownership	kepunyaan
obstacle	halangan
result	akibat
defense	pertahanan
pronunciation	sebutan
building	pembangunan
pathology	kaji penyakit
skateboard	papan selaju
puppy love	cinta monyet
foxtail millet	jawawut
famous	masyhur
Pandanus amaryllifolius	pandan wangi
Pandanus odorifer	pandan laut
Pandanus tectorius	pandan hutan
Pandanus tectorius	pandan duri
you	-مو
standard	piawai
broke	pokai
collision	perlanggaran
idol	berhala
jerk	sentakan
next	hadapan
face	menghadap
pious	warak
adversity	malang
lost	sesat
send	kirim
starfish	tapak sulaiman
wealth	kekayaan
tuberculosis	batuk kering
rafter	kasau
upbeat	rancak
saga	hikayat
mudsnake	ular tuna
marbled eel	belut tuna
fish	ikan tuna
crust	kerak
interview	temu duga
debris	serpihan
capability	keupayaan
termite	anai-anai
oh my God	alamak
activity	aktiviti
buzzkill	potong stim
recitation	pengajian
wallet	dompet
shilling	syiling
ugly	hodoh
box	kotak
guide	panduan
let	biar
small amount	dikit
all right	baiklah
see you later	sampai nanti
meet	jumpa
road	jalan raya
ratio	nisbah
range	julat
error	ralat
marinade	perap
bruise	lebam
constant	pemalar
activity	kegiatan
section	bahagian
scales	dacing
steady	tetap
wash	basuh
protest	bantah
willing	sanggup
stubborn	degil
oar	kayuh
mix	bancuh
commitment	iktizam
temptation	godaan
seduce	menggoda
appreciate	menghargai
pisang raja	pisang raja
committee	jawatankuasa
organizer	penganjur
surveyor	juruukur
obey	mematuhi
pioneer	perintis
forecaster	peramal
prediction	ramalan
porch	anjung
sway	goyang
shake	goncang
theater	panggung
incident	perihal
inheritance	pusaka
service	khidmat
exemplary	teladan
compass	pedoman
tip	petua
careful	cermat
line up	beratur
scribble	conteng
pluck	petik
ambition	cita-cita
message	pesanan
fishing net	pukat
touch	sentuh
appetite	selera
banquet	jamuan
sell	jual
Calophyllum	bintangur
clap	tepuk
so	begini
adjective	adjektif
cooperation	kerjasama
fashion	fesyen
calm	tenang
sapodilla	ciku
peat	gambut
shirt	jersi
alliance	perikatan
fishery	perikanan
detail	perincian
sincerity	keikhlasan
incident	kejadian
ignorance	kejahilan
fall	kejatuhan
joke	jenaka
humor	kejenakaan
fragile	rapuh
mother	inang
cupboard	gerobok
superpower	adikuasa
side	pihak
field	bidang
mine	makdan
mixed-race	kacukan
meat	bantai
crisps	kerepek
pony	kuda padi
rice cooker	periuk nasi
pot	periuk
crumb	serdak
lust	syahwat
powder	serbuk
tailless	togel
firearm	senapang
cannon	meriam
palate	lelangit
dumb	bisu
white person	Mat Salleh
white person	orang putih
self-service	swalayan
defragmentation	penyahserpihan
defragment	nyahserpih
chip	serpih
defragment	menyahserpih
splintering	penyerpihan
brave	berani
basil	selasih
priest	paderi
edge	pinggir
horseshoe crab	belangkas
blueberry	beri biru
allergy	alergi
thorough	saksama
itchy	gatal
pacemaker	pemacu
four-wheel drive	pacuan empat roda
drive	pacuan
evil eye	mata jahat
put	taroh
sleep	tiduk
sleep	tidok
winged bean	kacang bulu
there is no	takde
monk	biarawan
mooncake	kuih bulan
mother	induk
civilised society	masyarakat madani
paste	tampal
drinking straw	penyedut
rumah ibadat bukan Islam	RIBI
consensus	muafakat
unity	perpaduan
meeting	sidang
struggle	perjuangan
warrior	pejuang
current	terkini
donation	sumbangan
discount	diskaun
edition	edisi
goal	matlamat
determination	tekad
definition	takrif
graves	kubur
career	karier
cavity	kaviti
chicory	cikori
chimpanzee	cimpanzi
chrysanthemum	kekwa
cinematography	sinematografi
community	komuniti
concrete	konkrit
conspiracy	konspirasi
custard	kastard
detective	detektif
monk	rahib
ocelot	oselot
rennet	renet
scales	mizan
turquoise	firus
typhoon	taufan
walnut	walnat
wire	wayar
dengue	denggi
complaint	rungutan
colony	jajahan
club	kelab
citrus	sitrus
pillow	kalang ulu
celebration	perayaan
celery	saderi
canal	terusan
camouflage	penyamaran
excavation	penggalian
exclamation	jeritan
fascism	fasisme
feeling	perasaan
forbidden	dilarang
smoke	merokok
fragrance	wangian
musk	kasturi
idol	pujaan
golden	keemasan
kleptocracy	kleptokrasi
leadership	kepimpinan
like	kesukaan
listener	pendengar
loss	kerugian
chaos	kemelut
speed	kelajuan
speed	kecepatan
statistics	perangkaan
sterilization	pemandulan
stupidity	kebodohan
suitability	kesesuaian
abundance	kelimpahan
overflowing	limpah
accuracy	kejituan
accuracy	ketepatan
advantage	kelebihan
affability	keramahan
difficulty	kepayahan
Americanness	keamerikaan
anger	kemarahan
Arabness	kearaban
arrival	kedatangan
astonishment	kekaguman
balance	keseimbangan
bestiality	kebinatangan
bliss	kebahagiaan
confidence	keyakinan
conflagration	kebakaran
confusion	kekeliruan
courage	keberanian
damage	kerosakan
disappointment	kekecewaan
divinity	ketuhanan
durability	ketahanan
epidemic	wabak
failure	kegagalan
fatha	fathah
fez	tarbus
fluency	kefasihan
justice	keadilan
thickness	ketebalan
wushu	wusyu
postal code	poskod
recipe	resipi
postcard	poskad
chive	kucai
laboratory	makmal
museum	muzium
wriggler	jentik-jentik
house	teratak
face	lawan
royal	diraja
hug	peluk
hook	cangkuk
poop	berak
poop	taik
gentle	landai
virtual reality	realiti maya
sponge	bunga karang
cuttlefish	sotong katak
beauty	kecantikan
netizen	warga maya
merging	realiti terimbuh
augmented	terimbuh
screenshot	tangkap layar
capture	tangkap
malicious code	kod hasad
senses	pancaindera
perceive	indera
fairyland	keinderaan
selamat hari lahir	selamat hari lahir
selamat menjamu selera	selamat menjamu selera
semoga berjaya	semoga berjaya
latrine	jamban
journalist	wartawan
weevil	bubuk
gravel	batu kerikil
ultraviolet	ultraungu
ultrasound	ultrabunyi
elves	bunian
separate	lerai
public talk	ceramah
Chinese dumpling	wantan
woman	janda
sputum	kahak
language teacher	munsyi
journalism	kewartawanan
freedom	kebebasan
shallow	tohor
punctuation mark	noktah
transport	angkut
large self-service store	pasar raya
potassium nitrate	sendawa
initial	parap
tofu	taukua
mark	kesan
memory	kenangan
dictionary	bausastera
ingredient	ramuan
always	sentiasa
subject	tertakluk
sensation	sensasi
entertainment	hiburan
worship	sembah
pleasant	seronok
soon	kelak
tired	letih
quince	safarjal
Kling	Keling
cricket	cengkerik
firecracker	mercun
vote	undian
kingfisher	raja udang
desire	hasrat
taboo	pemali
little	sikit
rice husk	sekam
holiday	hari raya
souvenir	cenderamata
glans penis	kepala butuh
goal	tujuan
head	kepala otak
city	bandar raya
infect	jangkit
infection	jangkitan
Eid al-Fitr	Hari Raya Aidilfitri
Eid al-Adha	Hari Raya Aidiladha
sun bear	beruang madu
computerization	komputerisasi
trap	jaring
shape	bentuk
pussy	pepek
tear	koyak
patient	pesakit
single	bujang
etc.	dan sebagainya
hammock	buaian rajut
swing	buaian
cardinal direction	mata angin
Cairo	Kaherah
Alexandria	Iskandariah
Lebanon	Lubnan
Palestine	Palestin
fish hook	mata kail
watermelon	mendikai
restriction	sekatan
lockdown	sekatan pergerakan
localization	penyetempatan
rabbit	kucing belanda
screw thread	bebenang
netting	rajutan
anatomy	ilmu tasyrih
howdah	rengga
stagnantly	congok
crescent	bulan sabit
populism	kerakyatan
heavy	lebat
spider lily	bakung
sungai	Golok
scratcher	pencakar
skyscraper	pencakar langit
talon	cakar
update	kemas kini
tidy	kemas
upgrade	naik taraf
shallot	bawang merah
shore	pesisir
explore	jajah
famous	sohor
trending	sohor kini
reload	muat semula
glimpse	imbas
carpet	permaidani
resolution	leraian
resolution	peleraian
return	mengembalikan
example	uswah
eye-catching	mencolok mata
duty	fardu
Constantinople	Kustantiniyah
dependent	berdikari
photosynthesis	fotosintesis
hypocrite	munafik
cleavage	lurah dada
keyboard	papan kekunci
key	kekunci
YouTube	tontonan
police	Bukit Aman
plug-in	pemalam
uncivilized	biadab
British Empire	Perang Dunia Pertama
good	باءيق
toilet	تاندس
waterfall	اير ترجون
puppet	orang-orang
hearsay	angin-angin
hearsay	khabar angin
alien	makhluk asing
video game	permainan video
L square	sesiku
stationery	alat tulis
design	reka bentuk
bare foot	kaki ayam
diligent	ringan tulang
Stone Age	Zaman Batu
palm	tapak tangan
palm	telapak tangan
sole	tapak kaki
armpit	ketiak
denture	gigi palsu
pistachio	pistasio
pistachio	kacang cerdik
fingerprint	cap jari
tank	kereta kebal
boot	kasut but
political party	parti politik
you	کالين
leader	tua-tua
inflammation	radang
otitis	radang telinga
color blindness	buta warna
double-decker bus	bas dua tingkat
conduction	konduksi
conductivity	kekonduksian
blood transfusion	pemindahan darah
cerebrum	serebrum
cerebellum	serebelum
trigeminal nerve	saraf trigeminal
culinary	kulinari
sea urchin	landak laut
sea horse	kuda laut
hermit crab	umang-umang
sperm whale	paus sperma
clownfish	ikan badut
volcano	gunung berapi
seawater	air laut
mudskipper	belacak
Dead Sea	Laut Mati
mirage	logamaya
Cape of Good Hope	Tanjung Harapan
paste	تمڤل
curse	laknat
lick	jilat
variable	pemboleh ubah
election	pilihan raya
initial	inisial
individuality	individualiti
individualist	individualis
healthy	nyaman
circus	sarkas
study	ulang kaji
appearance similar	menanjung
cinnamon	kulit kayu manis
dam	empangan
block	empang
gargle	kumur
obsessive-compulsive disorder	kecelaruan obsesif kompulsif
loanword	kata pinjaman
AC	pendingin hawa
tool	pendingin
AC	penyaman udara
Christianity	Masihi
Anno Domini	Tahun Masihi
twinkle	kelip
peck	patuk
woodpecker	pelatuk
jewellery	barang kemas
wage	upah
startle	kejut
sunlight	cahaya matahari
gull	camar
gull	burung camar
grouper	kerapu
grouper	ikan kerapu
piranha	ikan pirana
blue whale	paus biru
finance	kewangan
snot	hingus
nuance	nuansa
smarting	pedih
scoliosis	skoliosis
sign language	bahasa isyarat
dandelion	paliman
stinger	sengat
integrity	integriti
excrement	air besar
frost	ibun
shovel	sodok
difficult	susah
immediately	lantas
collapse	rebah
celery	seladeri
deep	garau
appoint	lantik
booger	tahi hidung
walnut	akrot
collapse	runtuh
look	tengok
paddle	dayung
walnut	jauzah
grip	genggam
peak	puncak
rob	rompak
offline	luar talian
online	dalam talian
leafy	rimbun
break	patah
sweep	menyapu
cut	memotong
furious	bengis
fell	tebang
swell	membengkak
swell	bengkak
inform	beritahu
answer	balasan
garbage can	tong sampah
blood type	jenis darah
blood group	kumpulan darah
arrange	isih
abolish	mansuh
appeal	rayuan
grass roots	akar umbi
orchid	orkid
homestay	inap desa
conspiracy theorist	tahi konspirasi
inverted	terbalik
hypocrite	penunggang agama
family	balik kampung
pistachio	pistacio
pembasmian kaum	genosid
street racer	mat rempit
profess	anut
rang undang-undang	RUU
terror	dahsyat
zebra	kuda belang
spread out	hampar
McDonald's	Mekdi
eraser	pemadam
tunnel	terowong
patriotism	Malaysia Boleh
piggyback	dukung
fried chicken	ayam goreng
hold	paut
let's go	jom
seasoned	makan garam
cash-back	pulangan tunai
